Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,2.446555611,0.227129167,10.37752479,-0.429471111,-0.437882208,3.923502528,270.415636,166.581727,0,817.925717,190.255196,0,85.06720721,34.15417769,72.56489034,14.93279279,65.84582231,27.43510966
1,2.374672278,0.309235417,9.991193667,-0.479328889,-0.482809431,4.091670306,269.608339,165.54832,0,818.324458,191.694845,0,83.20502127,39.04266504,70.94575142,16.79497873,60.95733496,29.05424858
2,2.293961167,0.409272917,9.525360319,-0.510568889,-0.527736653,4.253655444,268.972311,164.008028,0,818.141702,192.738423,0,81.79485052,43.6786272,69.12946819,18.20514948,56.3213728,30.87053181
3,2.200638944,0.50301875,9.074433639,-0.538968889,-0.560008319,4.384727375,267.932485,162.88995,0,817.775456,193.182219,0,80.32678684,47.31946763,67.42198588,19.67321316,52.68053237,32.57801412
4,2.104479222,0.601797903,8.597420292,-0.559164444,-0.585635819,4.526928069,267.15701,161.356288,0,818.763988,194.088637,0,79.00753575,50.68054676,65.50740696,20.99246425,49.31945324,34.49259304
5,1.989087542,0.700891653,8.1179225,-0.571155556,-0.602088042,4.653053903,266.462416,159.874199,0,818.409229,194.54041,0,77.69135454,53.79144861,63.56540208,22.30864546,46.20855139,36.43459792
6,1.879370875,0.786143736,7.645878042,-0.590404444,-0.615376375,4.764341403,265.791143,158.807043,0,818.643378,194.50661,0,76.09481155,56.09221943,61.60953137,23.90518845,43.90778057,38.39046863
7,1.756097264,0.858497903,7.187498028,-0.608391111,-0.627399153,4.855844458,265.273857,157.568615,0,817.242121,194.674751,0,74.26965099,57.77640514,59.68025933,25.73034901,42.22359486,40.31974067
8,1.642281986,0.934941653,6.745266889,-0.628902222,-0.641320264,5.035140972,264.133433,156.752721,0,818.743539,194.611717,0,72.3095018,59.31385152,57.25834766,27.6904982,40.68614848,42.74165234
9,1.521530597,0.993768736,6.327880208,-0.66172,-0.650179153,5.176105139,263.900504,155.9149,0,818.71109,194.69272,0,69.6910652,60.45013609,55.00598286,30.3089348,39.54986391,44.99401714
10,1.396995861,1.055112486,5.935337986,-0.702426653,-0.661885542,5.360347778,263.315943,155.137283,0,819.239814,194.786675,0,66.54191102,61.45100163,52.54517619,33.45808898,38.54899837,47.45482381
11,1.292954194,1.102299986,5.571366861,-0.741555542,-0.662201931,5.532225125,262.666603,155.272879,0,819.170431,194.380269,0,63.55114313,62.4708863,50.17625709,36.44885687,37.5291137,49.82374291
12,1.195218083,1.127781236,5.260811292,-0.788888875,-0.663151097,5.697919847,261.747514,155.792014,0,819.490874,193.928961,0,60.2395994,62.97173908,48.00566074,39.7604006,37.02826092,51.99433926
13,1.108516694,1.151689569,4.936591278,-0.840639986,-0.673591931,5.888345125,261.352578,155.794716,0,819.859689,194.016545,0,56.87160532,63.09654535,45.6038825,43.12839468,36.90345465,54.3961175
14,1.02685975,1.161127069,4.686904597,-0.879453319,-0.685931083,6.0837165,260.789935,156.581876,0,819.945392,194.183959,0,53.86627026,62.86359028,43.51563902,46.13372974,37.13640972,56.48436098
15,0.96443475,1.166160403,4.457093486,-0.924577764,-0.702066917,6.275378306,259.924669,157.470942,0,820.45106,194.710777,0,51.05496882,62.42069103,41.52904916,48.94503118,37.57930897,58.47095084
