Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.389052792,0.829241653,7.299298028,0.075102222,0.353722764,4.429242375,348.304122,253.768685,0,827.744718,241.026335,0,83.81958183,70.09861337,62.23534879,16.18041817,29.90138663,37.76465121
1,0.379594458,0.837420819,7.288118028,0.071,0.334423042,4.465101681,348.204423,253.588403,0,827.700767,242.814144,0,84.24303746,71.4618088,62.00954469,15.75696254,28.5381912,37.99045531
2,0.366037514,0.839622903,7.240913583,0.0568,0.324298597,4.486122653,348.620892,253.423569,0,828.261791,243.715951,0,86.56694401,72.13741672,61.74546951,13.43305599,27.86258328,38.25453049
3,0.354372236,0.838049986,7.206131361,0.050488889,0.306580819,4.519508903,349.100285,253.651525,0,828.842958,245.298741,0,87.52933147,73.21574625,61.4561866,12.47066853,26.78425375,38.5438134
4,0.342706958,0.836791653,7.162653583,0.039444444,0.298354708,4.513326264,349.164423,253.31985,0,828.337937,246.948842,0,89.67832012,73.71663086,61.34520338,10.32167988,26.28336914,38.65479662
5,0.339238903,0.830499986,7.135324681,0.03976,0.286015542,4.550422097,349.659211,253.995952,0,828.719248,248.504159,0,89.50920446,74.38320072,61.06006588,10.49079554,25.61679928,38.93993412
6,0.331356958,0.824208319,7.106753569,0.029346667,0.281269708,4.583808347,349.415873,253.989986,0,829.011505,248.525305,0,91.86404998,74.55673462,60.79052162,8.135950025,25.44326538,39.20947838
7,0.321898625,0.822006236,7.028493569,0.03124,0.273992764,4.604829319,349.96573,254.26333,0,829.397874,249.373523,0,91.15361567,75.00063742,60.41690441,8.846384334,24.99936258,39.58309559
8,0.314331958,0.821062486,6.968866903,0.025244444,0.274625542,4.622140708,350.499262,254.763697,0,829.337239,249.465139,0,92.56590145,74.9357906,60.12304656,7.434098553,25.0642094,39.87695344
9,0.311809736,0.821377069,6.926631347,0.02272,0.266715819,4.640688625,350.159079,254.551499,0,829.15499,249.564252,0,93.20837655,75.48777111,59.88103868,6.791623449,24.51222889,40.11896132
10,0.315277792,0.827039569,6.906755792,0.015462222,0.273676375,4.666655708,349.959944,254.474462,0,829.022653,248.498896,0,95.32496173,75.13651216,59.67778638,4.67503827,24.86348784,40.32221362
