Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,1.140990306,-1.580152069,10.53528703,0.265066667,-0.146488056,2.102097167,412.198667,351.272851,0,929.488485,352.335997,0,81.14822714,91.51600537,83.3660421,18.85177286,8.483994634,16.6339579
1,1.137206972,-1.550581236,10.44584703,0.260648889,-0.1793925,2.147848694,411.605733,351.738313,0,930.034781,353.572386,0,81.35366484,89.6303339,82.94504852,18.64633516,10.3696661,17.05495148
2,1.144773639,-1.515347903,10.33528924,0.257808889,-0.228116375,2.225749944,410.998191,351.979712,0,930.726231,353.501631,0,81.61898614,86.91591345,82.28052701,18.38101386,13.08408655,17.71947299
3,1.155177806,-1.468474986,10.17628479,0.253706667,-0.273676375,2.325908681,410.485183,351.910267,0,931.090877,355.117244,0,81.99237257,84.29089566,81.39599514,18.00762743,15.70910434,18.60400486
4,1.142251417,-1.417827069,9.971318111,0.240453333,-0.328411653,2.455744097,410.62664,352.517972,0,930.047873,355.001674,0,82.60992932,81.19319835,80.23873981,17.39007068,18.80680165,19.76126019
5,1.124911139,-1.364977069,9.786227,0.218995556,-0.390740264,2.612783125,410.073858,352.189082,0,930.391799,353.661564,0,83.70455654,77.74469406,78.92748616,16.29544346,22.25530594,21.07251384
6,1.097166694,-1.309924986,9.563869208,0.191857778,-0.443577208,2.785897014,410.271408,351.982989,0,929.579324,352.219185,0,85.11604846,74.70335596,77.44170243,14.88395154,25.29664404,22.55829757
7,1.062486139,-1.237885403,9.346480319,0.171977778,-0.512233597,3.003525889,409.997538,351.72267,0,929.929959,350.393602,0,86.0686266,70.73149899,75.67996454,13.9313734,29.26850101,24.32003546
8,1.007627806,-1.174024986,9.071949194,0.140422222,-0.586584986,3.207552972,410.003711,351.443442,0,929.683638,349.835009,0,87.76863213,66.6828545,73.87880283,12.23136787,33.3171455,26.12119717
9,0.947725028,-1.097266653,8.731580292,0.113284444,-0.668213319,3.490717819,410.624079,351.70414,0,929.530826,345.465446,0,89.32295635,62.15118098,71.43975881,10.67704365,37.84881902,28.56024119
10,0.873950028,-1.011385403,8.376304722,0.075102222,-0.761548028,3.752861708,411.241181,351.008453,0,928.250615,344.288285,0,92.08660827,57.0458758,69.05919521,7.913391726,42.9541242,30.94080479
11,0.793238903,-0.916066653,8.033451389,0.040075556,-0.847289417,4.106508639,411.036299,349.608534,0,927.27883,340.002978,0,95.19082441,51.95018004,66.17362306,4.809175594,48.04981996,33.82637694
12,0.710320847,-0.816343736,7.665753597,0.009466667,-0.953912472,4.498487931,411.467764,347.684421,0,926.135781,337.278669,0,98.68479704,46.11443995,63.01875526,1.315202957,53.88556005,36.98124474
13,0.617629181,-0.704037486,7.303024694,-0.030924444,-1.052309417,4.933745694,412.397012,345.282435,0,924.572466,333.60355,0,95.23178296,40.08533195,59.68098168,4.768217037,59.91466805,40.31901832
14,0.546061125,-0.596135403,6.955202458,-0.070684444,-1.147542458,5.409808875,412.957171,342.678499,0,923.087427,329.606003,0,88.53912408,34.18839088,56.2490585,11.46087592,65.81160912,43.7509415
15,0.470709736,-0.48791875,6.597442444,-0.111075556,-1.242775514,5.940279278,413.728932,340.00662,0,921.083976,325.18835,0,80.90780961,28.19208223,52.62074395,19.09219039,71.80791777,47.37925605
16,0.396304181,-0.393858333,6.232229097,-0.158093333,-1.332946347,6.486824542,414.743064,336.903771,0,919.163329,320.924942,0,71.48375861,22.80850508,48.99915728,28.51624139,77.19149492,51.00084272
17,0.332302792,-0.29161875,5.864531306,-0.207951111,-1.408246903,7.016058417,415.677542,334.960127,0,917.903438,316.679252,0,61.50863325,17.15539987,45.52999072,38.49136675,82.84460013,54.47000928
18,0.268616667,-0.208254167,5.517951292,-0.256546667,-1.468993569,7.518088681,416.044629,332.421206,0,916.401851,312.851206,0,51.14916629,12.41642258,42.32843182,48.85083371,87.58357742,57.67156818
19,0.210605556,-0.137158333,5.149011292,-0.304195556,-1.543977736,7.958292556,417.397013,330.845372,0,915.273826,309.351371,0,40.91008178,8.158669356,39.28352735,59.08991822,91.84133064,60.71647265
