Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.731129181,-0.266452083,6.342786889,-0.381506667,0.014870278,3.459804625,387.727674,93.498679,0,850.579804,72.335404,0,65.71145289,94.71415009,64.70520454,34.28854711,5.285849912,35.29479546
1,0.736488903,-0.2567,6.355209111,-0.371408889,0.002531111,3.469696847,387.654403,92.159657,0,851.417083,72.086149,0,66.47624973,99.02360828,64.68468134,33.52375027,0.976391723,35.31531866
2,0.748784736,-0.248835417,6.380053556,-0.3692,0.007909722,3.472169903,388.055755,91.044751,0,851.294695,72.818947,0,66.97629332,96.91923194,64.75749949,33.02370668,3.080768055,35.24250051
3,0.759819458,-0.238139583,6.413593556,-0.367622222,0.0028475,3.468460319,387.282201,90.170903,0,850.683179,72.826963,0,67.39323829,98.8184014,64.90142269,32.60676171,1.181598599,35.09857731
4,0.779366681,-0.2283875,6.434711333,-0.365413333,-0.003796667,3.475879486,388.061967,88.19783,0,851.097273,72.809053,0,68.08003906,98.3648038,64.92762592,31.91996094,1.635196198,35.07237408
5,0.793869458,-0.211085417,6.508002444,-0.370777778,-0.012022778,3.438783653,387.727495,87.32785,0,850.478968,71.158793,0,68.1639413,94.61123434,65.4281934,31.8360587,5.388765665,34.5718066
6,0.814362514,-0.1868625,6.572598,-0.361942222,-0.017717778,3.473406431,387.948429,84.710665,0,851.485392,73.203814,0,69.23057341,91.33944974,65.42499603,30.76942659,8.660550259,34.57500397
7,0.834855569,-0.16138125,6.647131333,-0.359417778,-0.02278,3.442493236,387.841835,82.827814,0,851.091721,72.281786,0,69.90489835,87.63040542,65.88085897,30.09510165,12.36959458,34.11914103
8,0.857555583,-0.124575,6.689366889,-0.353422222,-0.037966667,3.432601014,387.862308,80.311001,0,851.363868,72.642428,0,70.81513628,76.6418867,66.08761214,29.18486372,23.3581133,33.91238786
9,0.883408361,-0.086825,6.714211333,-0.34932,-0.0484075,3.435074069,387.574904,77.595759,0,851.102685,73.03157,0,71.66285688,64.20424084,66.15452287,28.33714312,35.79575916,33.84547713
10,0.90768475,-0.0434125,6.696820222,-0.346164444,-0.060113889,3.414053097,387.727814,74.416365,0,851.114083,72.115722,0,72.39185972,41.9337528,66.23384559,27.60814028,58.0662472,33.76615441
11,0.926286139,0.000629167,6.673218,-0.336066667,-0.073718611,3.441256708,387.88708,70.911465,0,851.62794,73.77147,0,73.37775421,0.846248113,65.97691123,26.62224579,99.15375189,34.02308877
12,0.93889725,0.04058125,6.695578,-0.33796,-0.081311944,3.465987264,387.134179,68.259479,0,852.259081,75.361784,0,73.53188855,33.29246574,65.89120698,26.46811145,66.70753426,34.10879302
13,0.95592225,0.085566667,6.684398,-0.338275556,-0.093018333,3.416526153,388.366027,64.558553,0,851.018514,72.919898,0,73.86214425,47.91369189,66.17610328,26.13785575,52.08630811,33.82389672
14,0.972001417,0.118283333,6.747751333,-0.335435556,-0.104724722,3.446202819,387.780454,62.634636,0,851.735069,74.06433,0,74.34403626,53.03993752,66.19365981,25.65596374,46.96006248,33.80634019
15,0.986188917,0.1415625,6.771353569,-0.331964444,-0.116431111,3.428891431,388.416941,60.025731,0,851.306934,73.850993,0,74.81594675,54.87054481,66.38422479,25.18405325,45.12945519,33.61577521
16,0.991863917,0.162010417,6.796198014,-0.33796,-0.124973611,3.436310597,388.58807,58.513196,0,851.425132,73.68758,0,74.58610905,56.45276426,66.41771116,25.41389095,43.54723574,33.58228884
17,0.989026417,0.172077083,6.843402458,-0.337328889,-0.130668611,3.447439347,388.246429,57.138709,0,852.775707,74.447846,0,74.5672304,56.83882099,66.49992865,25.4327696,43.16117901,33.50007135
18,0.998169472,0.181514583,6.853340236,-0.346795556,-0.146488056,3.473406431,388.449382,56.21626,0,852.895142,74.085171,0,74.21527338,55.33936676,66.36494975,25.78472662,44.66063324,33.63505025
19,0.997854194,0.1906375,6.848371347,-0.347426667,-0.161358333,3.474642958,389.30417,54.771004,0,852.792949,74.558134,0,74.17441393,54.15902177,66.34081039,25.82558607,45.84097823,33.65918961
20,0.995016694,0.196614583,6.880669125,-0.353737778,-0.175912222,3.489481292,389.151759,54.111653,0,853.481516,74.342249,0,73.77300427,52.77864046,66.35071671,26.22699573,47.22135954,33.64928329
21,0.99564725,0.20290625,6.868246903,-0.358471111,-0.1850875,3.493190875,389.598335,52.875917,0,853.221091,74.242581,0,73.52734285,52.29626766,66.28662016,26.47265715,47.70373234,33.71337984
22,0.99848475,0.2095125,6.916693569,-0.367306667,-0.198375833,3.504319625,389.30389,52.393824,0,853.724753,74.270366,0,73.10667923,51.36516122,66.37256321,26.89332077,48.63483878,33.62743679
23,0.999430583,0.21423125,6.945264681,-0.375511111,-0.199641389,3.515448375,390.056683,51.176111,0,854.115149,74.792165,0,72.68894291,51.76260276,66.39379786,27.31105709,48.23739724,33.60620214
24,1.000691694,0.220522917,6.978804681,-0.386555556,-0.210398611,3.519157958,390.64943,49.833674,0,853.859918,74.517647,0,72.1350642,51.17472729,66.47770544,27.8649358,48.82527271,33.52229456
