Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.053597222,-0.587956236,3.663313458,-0.104448889,-0.556844431,3.86662225,396.517421,229.546961,0,847.678428,244.996452,0,33.91239547,51.35883069,48.6499965,66.08760453,48.64116931,51.3500035
1,0.049498611,-0.588899986,3.668282347,-0.096875556,-0.558742764,3.843128236,396.09078,228.906472,0,847.335358,245.91177,0,33.81649388,51.31387674,48.83613146,66.18350612,48.68612326,51.16386854
2,0.060218056,-0.583552069,3.669524569,-0.096244444,-0.561590264,3.846837806,396.914124,228.932626,0,846.949773,246.333461,0,38.48721295,50.95891161,48.82048505,61.51278705,49.04108839,51.17951495
3,0.069045833,-0.582922903,3.703064569,-0.095928889,-0.563804986,3.843128236,395.653461,228.965182,0,848.13387,246.609457,0,41.85237132,50.83358558,49.07195807,58.14762868,49.16641442,50.92804193
4,0.062425,-0.582922903,3.684431236,-0.096875556,-0.564437764,3.848074333,396.178291,228.543808,0,848.18414,247.157006,0,39.18693176,50.80555049,48.91375389,60.81306824,49.19444951,51.08624611
5,0.063055556,-0.580406236,3.699337903,-0.098768889,-0.560324708,3.839418653,395.504163,228.511967,0,848.604728,247.449461,0,38.96540833,50.88020439,49.07092934,61.03459167,49.11979561,50.92907066
6,0.0681,-0.577889569,3.713002347,-0.095613333,-0.565703319,3.845601278,394.785756,229.030598,0,847.218587,247.79715,0,41.59710062,50.53280543,49.12286093,58.40289938,49.46719457,50.87713907
7,0.069045833,-0.578204153,3.694369014,-0.095613333,-0.571398319,3.859203083,395.985407,228.607041,0,848.984416,248.146034,0,41.9325779,50.29600812,48.90889987,58.0674221,49.70399188,51.09110013
8,0.066838889,-0.572856236,3.699337903,-0.098453333,-0.572347486,3.875277944,395.39991,228.820671,0,847.804217,248.106744,0,40.43680216,50.02221221,48.8386207,59.56319784,49.97778779,51.1613793
9,0.068415278,-0.570654153,3.717971236,-0.099715556,-0.578042486,3.880224056,394.565244,228.45683,0,848.702867,247.884177,0,40.69169017,49.67840363,48.9322937,59.30830983,50.32159637,51.0677063
10,0.0681,-0.564677069,3.715486792,-0.096244444,-0.578042486,3.882697111,394.692034,229.000986,0,848.46805,248.158075,0,41.43736056,49.41519262,48.89966917,58.56263944,50.58480738,51.10033083
11,0.068415278,-0.565935403,3.711760125,-0.092142222,-0.579308042,3.893825861,394.467456,228.579317,0,848.158932,248.665717,0,42.61107564,49.4161661,48.80307884,57.38892436,50.5838339,51.19692116
12,0.075981944,-0.561845819,3.703064569,-0.090248889,-0.583421097,3.892589333,395.105137,228.877174,0,847.872296,248.839249,0,45.7086949,49.05806771,48.75241311,54.2913051,50.94193229,51.24758689
13,0.081972222,-0.564677069,3.704306792,-0.084253333,-0.585635819,3.869095306,396.014263,228.550692,0,847.337849,249.483711,0,49.31385066,49.08899786,48.91205754,50.68614934,50.91100214,51.08794246
14,0.086070833,-0.562474986,3.720455681,-0.075733333,-0.575511375,3.848074333,395.226919,227.929568,0,847.946621,250.078759,0,53.19444802,49.42721682,49.15691255,46.80555198,50.57278318,50.84308745
15,0.0936375,-0.568766653,3.741573458,-0.073524444,-0.577409708,3.846837806,394.776051,228.316671,0,848.626438,251.101795,0,56.016039,49.62296136,49.3064138,43.983961,50.37703864,50.6935862
