Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.596190292,0.0471875,4.546533486,-0.818551097,0.016452222,5.680608458,341.962162,220.972611,0,854.454827,215.08304,0,42.14129143,74.14787235,44.45556257,57.85870857,25.85212765,55.54443743
1,0.599343069,0.0471875,4.576346819,-0.813502208,0.012655556,5.657114431,341.991081,221.519768,0,854.79974,215.766033,0,42.42099817,78.85208996,44.7194425,57.57900183,21.14791004,55.2805575
2,0.611638903,0.043097917,4.606160153,-0.808137764,0.015186667,5.621255125,341.837099,221.044153,0,854.78456,216.468404,0,43.07993765,73.94393886,45.03738264,56.92006235,26.05606114,54.96261736
3,0.619836125,0.039008333,4.633489042,-0.805928875,0.003163889,5.597761097,341.368893,221.570044,0,854.842885,216.882206,0,43.47393329,92.49769464,45.28761372,56.52606671,7.502305362,54.71238628
4,0.624880569,0.035547917,4.648395708,-0.796146653,-0.002214722,5.555719153,341.549505,221.746882,0,855.059808,217.67354,0,43.97386339,94.13514975,45.5541296,56.02613661,5.864850252,54.4458704
5,0.628979181,0.035547917,4.689389042,-0.791097764,-0.0085425,5.507494569,341.294161,221.921402,0,854.745605,217.755327,0,44.29190848,80.62504134,45.98845314,55.70809152,19.37495866,54.01154686
6,0.635915292,0.033345833,4.712991278,-0.787311097,-0.0085425,5.491419708,341.939831,222.500639,0,854.705675,218.091313,0,44.68124654,79.60649345,46.1858238,55.31875346,20.39350655,53.8141762
7,0.633077792,0.0283125,4.745289056,-0.780684431,-0.015819444,5.475344847,341.262235,222.518008,0,855.265464,218.801637,0,44.77965118,64.15420928,46.42852,55.22034882,35.84579072,53.57148
8,0.640329181,0.022020833,4.771375722,-0.777213319,-0.008226111,5.419701097,342.030038,222.597694,0,854.541073,218.856923,0,45.17178007,72.80349714,46.81915176,54.82821993,27.19650286,53.18084824
9,0.644112514,0.019189583,4.8148535,-0.775319986,-0.014553889,5.401153181,341.416576,222.824986,0,854.531404,218.994552,0,45.37817148,56.86902405,47.13048504,54.62182852,43.13097595,52.86951496
10,0.648526403,0.017616667,4.8483935,-0.771533319,-0.014553889,5.356638194,341.589312,222.844513,0,854.882541,219.456525,0,45.66895269,54.76021897,47.50983285,54.33104731,45.23978103,52.49016715
11,0.654831958,0.01415625,4.883175722,-0.763328875,-0.017085,5.339326806,341.501766,222.430288,0,854.835077,219.913703,0,46.17473159,45.31268755,47.7688874,53.82526841,54.68731245,52.2311126
12,0.659561125,0.015729167,4.920442389,-0.754808875,-0.016135833,5.287392639,341.413567,222.708502,0,854.851165,219.886012,0,46.63285597,49.36189131,48.20260492,53.36714403,50.63810869,51.79739508
13,0.665236125,0.015729167,4.956466833,-0.749759986,-0.014870278,5.249060278,340.914646,223.104422,0,855.011489,220.362389,0,47.01328292,51.4034387,48.56649519,52.98671708,48.5965613,51.43350481
14,0.674379181,0.014470833,4.951497944,-0.739977764,-0.022463611,5.220620139,341.46738,223.112453,0,854.729758,220.716419,0,47.68097496,39.17977799,48.67715754,52.31902504,60.82022201,51.32284246
15,0.671856958,0.013527083,4.970131278,-0.739346653,-0.027525833,5.211964444,341.257803,223.081696,0,855.206018,220.948912,0,47.60878962,32.95035878,48.81245878,52.39121038,67.04964122,51.18754122
16,0.668388903,0.0169875,4.996217944,-0.736191097,-0.0313225,5.19218,340.994964,222.910646,0,855.139702,220.93165,0,47.58638901,35.16352722,49.03830781,52.41361099,64.83647278,50.96169219
17,0.671856958,0.010066667,5.002429056,-0.738399986,-0.0256275,5.15879375,341.327922,223.517078,0,854.775925,221.229615,0,47.64074809,28.20255411,49.23058131,52.35925191,71.79744589,50.76941869
18,0.679108347,0.015729167,5.032242389,-0.735244431,-0.027209444,5.1254075,340.794318,223.586752,0,855.095604,221.230876,0,48.0154851,36.63175464,49.5414042,51.9845149,63.36824536,50.4585958
19,0.680369458,0.0132125,5.055844611,-0.727671097,-0.024994722,5.088311667,341.269248,223.60343,0,854.920519,221.174464,0,48.32030268,34.5811583,49.83997163,51.67969732,65.4188417,50.16002837
20,0.689197236,0.016358333,5.104291278,-0.723884431,-0.027209444,5.054925417,341.379202,222.985033,0,855.087332,221.442542,0,48.77264014,37.54686185,50.24296096,51.22735986,62.45313815,49.75703904
