Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,1.08077225,0.238139583,5.671986861,-0.378982222,-0.134148889,2.149085222,427.638591,297.519732,0,869.268379,338.591419,0,74.03794752,63.96641344,72.5218589,25.96205248,36.03358656,27.4781411
1,1.086762528,0.2623625,5.696831306,-0.379928889,-0.146171667,2.10580675,428.058575,295.857764,0,870.148747,338.072596,0,74.0961947,64.22045484,73.01160537,25.9038053,35.77954516,26.98839463
2,1.10630975,0.289416667,5.727886861,-0.380244444,-0.165787778,2.055109111,428.363815,294.592476,0,869.558445,338.96768,0,74.42108429,63.57949053,73.59488405,25.57891571,36.42050947,26.40511595
3,1.122704194,0.3152125,5.760184639,-0.384031111,-0.187618611,2.050163,428.842475,293.033902,0,869.962356,337.778519,0,74.51237057,62.68754917,73.75068185,25.48762943,37.31245083,26.24931815
4,1.145719472,0.342895833,5.804904639,-0.387817778,-0.209133056,2.006884528,428.566268,291.754863,0,870.77382,339.147167,0,74.71089941,62.11555957,74.30954056,25.28910059,37.88444043,25.69045944
5,1.16873475,0.371522917,5.853351306,-0.387817778,-0.230963875,1.990809667,428.394218,290.581436,0,871.475152,339.493219,0,75.08482555,61.66490649,74.62048938,24.91517445,38.33509351,25.37951062
6,1.203730583,0.39731875,5.890617972,-0.389395556,-0.258489708,1.974734806,428.92044,289.516214,0,872.015322,340.004251,0,75.55776997,60.58457236,74.89324559,24.44223003,39.41542764,25.10675441
7,1.23399725,0.42751875,5.942791319,-0.398231111,-0.267348597,1.963606056,428.184206,288.675271,0,872.603267,341.554332,0,75.60199782,61.52523236,75.16433892,24.39800218,38.47476764,24.83566108
8,1.267731972,0.4435625,5.980057986,-0.410853333,-0.299936653,1.980917444,428.557475,289.348015,0,872.901015,342.481733,0,75.52383355,59.65877679,75.11715164,24.47616645,40.34122321,24.88284836
9,1.300205583,0.454572917,6.004902431,-0.420951111,-0.322083875,1.990809667,428.114952,289.869867,0,872.514692,343.958465,0,75.54254575,58.52944589,75.10153389,24.45745425,41.47055411,24.89846611
10,1.328895861,0.458347917,6.002417986,-0.431048889,-0.344547486,1.985863556,427.501847,290.466499,0,873.916834,346.057654,0,75.507817,57.0868777,75.14029087,24.492183,42.9131223,24.85970913
11,1.358531972,0.47281875,5.988753542,-0.447773333,-0.370807764,2.01677675,427.239444,291.569876,0,875.318787,345.945626,0,75.21053988,56.04598033,74.80770572,24.78946012,43.95401967,25.19229428
12,1.372719472,0.495783333,5.994964653,-0.463551111,-0.389158319,1.998228833,426.202767,291.080011,0,875.119019,348.694769,0,74.75583853,56.02440927,75.00086997,25.24416147,43.97559073,24.99913003
13,1.385645861,0.513714583,5.92291575,-0.483431111,-0.411305542,2.001938417,427.504995,291.171317,0,875.342752,350.494703,0,74.13530217,55.53550344,74.73848257,25.86469783,44.46449656,25.26151743
14,1.400148639,0.541712486,5.904282417,-0.491635556,-0.439780542,1.988336611,426.764486,290.568069,0,875.552111,353.623658,0,74.01206982,55.19269835,74.80764491,25.98793018,44.80730165,25.19235509
15,1.409606972,0.570339569,5.839686861,-0.499208889,-0.464142486,1.998228833,426.792089,290.423977,0,877.273888,355.958368,0,73.84719506,55.13286252,74.50560951,26.15280494,44.86713748,25.49439049
16,1.419695861,0.598022903,5.75521575,-0.506782222,-0.500843597,1.996992306,426.682243,289.68937,0,878.192971,359.548053,0,73.69384959,54.42179762,74.23969673,26.30615041,45.57820238,25.76030327
17,1.433568097,0.631997903,5.655837972,-0.52824,-0.531849708,2.045216889,426.68785,289.083023,0,877.555134,361.418872,0,73.07381896,54.30246166,73.44237996,26.92618104,45.69753834,26.55762004
18,1.431045875,0.665343736,5.532857972,-0.549382222,-0.564754153,2.119408556,426.286318,287.952188,0,878.207093,362.981106,0,72.25942093,54.08868206,72.30351886,27.74057907,45.91131794,27.69648114
19,1.426947264,0.705295819,5.418573514,-0.579675556,-0.594178319,2.213384667,426.236189,286.381209,0,878.398364,362.567656,0,71.11188261,54.27547947,70.99846967,28.88811739,45.72452053,29.00153033
20,1.415281972,0.751539569,5.270749069,-0.621644444,-0.617907486,2.354348819,426.305037,284.198936,0,878.337554,361.842313,0,69.48125178,54.87905256,69.12369056,30.51874822,45.12094744,30.87630944
21,1.39857225,0.799670819,5.085657944,-0.666453333,-0.629297486,2.432250069,427.459373,282.462055,0,878.543574,363.018781,0,67.72663067,55.9614105,67.64724888,32.27336933,44.0385895,32.35275112
22,1.390375028,0.837106236,4.946529056,-0.718204431,-0.654292208,2.570741181,427.738308,280.157668,0,880.959743,360.133147,0,65.93894398,56.12894658,65.80219814,34.06105602,43.87105342,34.19780186
23,1.379970861,0.863216653,4.772617944,-0.755755542,-0.671693597,2.653588542,428.330747,278.639773,0,881.467127,362.173053,0,64.61365366,56.23890079,64.26723999,35.38634634,43.76109921,35.73276001
