Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,-0.026798611,0.47093125,4.459577931,-0.146102222,0.799831083,5.257715972,311.34479,193.709901,0,749.291407,326.579886,0,15.49941119,37.05895569,45.89320829,84.50058881,62.94104431,54.10679171
1,-0.012926389,0.4813125,4.476969042,-0.136635556,0.791921361,5.283683056,309.544614,195.084657,0,751.105583,326.394489,0,8.642832866,37.8023641,45.86751989,91.35716713,62.1976359,54.13248011
2,-0.004413889,0.504591667,4.472000153,-0.132217778,0.779265806,5.235458472,308.401332,197.738548,0,749.872675,327.237549,0,3.23050212,39.30277913,46.06767152,96.76949788,60.69722087,53.93232848
3,0.007251389,0.514658333,4.457093486,-0.114231111,0.770090528,5.234221944,306.788809,201.885562,0,750.158347,327.792217,0,5.969081052,40.05906126,45.99059352,94.03091895,59.94093874,54.00940648
4,0.007566667,0.518433333,4.442186819,-0.109182222,0.750474417,5.240404583,305.33346,206.552743,0,751.321942,327.892523,0,6.48114662,40.85666065,45.87807783,93.51885338,59.14333935,54.12192217
5,-0.007251389,0.52378125,4.394982375,-0.100031111,0.734022194,5.209491389,303.366328,211.985631,0,750.402329,329.199453,0,6.759153533,41.64253583,45.75974159,93.24084647,58.35746417,54.24025841
6,-0.006620833,0.539510403,4.385044597,-0.086777778,0.716304417,5.223093194,302.171659,218.318583,0,750.561534,328.807197,0,7.088792065,42.96098393,45.63886044,92.91120793,57.03901607,54.36113956
7,-0.015133333,0.542027069,4.422311264,-0.072893333,0.705230806,5.245350694,299.738215,225.676776,0,750.956712,328.862461,0,17.19176007,43.45749827,45.74333777,82.80823993,56.54250173,54.25666223
8,-0.009458333,0.538252083,4.465789042,-0.057746667,0.687829417,5.261425556,297.973844,233.002816,0,751.130593,329.294642,0,14.07385363,43.90018798,45.91025516,85.92614637,56.09981202,54.08974484
9,-0.003783333,0.525983333,4.468273486,-0.045755556,0.668846097,5.251533333,297.360679,240.367101,0,750.560552,329.720287,0,7.637097679,44.02162517,45.97080548,92.36290232,55.97837483,54.02919452
10,0.008827778,0.520320833,4.450882375,-0.036604444,0.651444708,5.286156111,296.23403,246.478471,0,751.839993,328.765165,0,19.43065372,44.40485872,45.710843,80.56934628,55.59514128,54.289157
11,0.011665278,0.51434375,4.435975708,-0.035026667,0.642902208,5.284919583,295.135868,251.823192,0,751.734145,328.329939,0,24.98349109,44.44549979,45.63340696,75.01650891,55.55450021,54.36659304
12,0.016394444,0.519377083,4.428522375,-0.031555556,0.628031931,5.287392639,295.187937,255.695933,0,751.997732,327.6218,0,34.19070791,45.26520857,45.58008555,65.80929209,54.73479143,54.41991445
13,0.016394444,0.524410417,4.449640153,-0.034711111,0.623918875,5.260189028,294.810815,259.740216,0,751.166958,326.850935,0,32.07957387,45.66725072,45.82614246,67.92042613,54.33274928,54.17385754
14,0.0312125,0.534477083,4.469515708,-0.037551111,0.615376375,5.268844722,294.957821,262.368375,0,752.315564,325.243984,0,45.3910135,46.48219123,45.89597746,54.6089865,53.51780877,54.10402254
