Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.477330569,0.076129167,5.390002403,0.542124444,0.056000833,4.664182653,394.330691,312.030485,0,821.576959,325.795947,0,46.82213172,57.61686723,53.60954044,53.17786828,42.38313277,46.39045956
1,0.477961125,0.074870833,5.388760181,0.54812,0.052204167,4.672838347,394.113847,312.241593,0,821.022356,326.149342,0,46.58122183,58.91861761,53.55769429,53.41877817,41.08138239,46.44230571
2,0.481429181,0.081791667,5.390002403,0.54812,0.053153333,4.680257514,394.668044,312.227368,0,821.242886,326.274121,0,46.76116398,60.61111317,53.5239651,53.23883602,39.38888683,46.4760349
3,0.478906958,0.08021875,5.397455736,0.548751111,0.052836944,4.693859319,394.784398,312.154292,0,821.396693,326.527697,0,46.60178055,60.28960304,53.4861483,53.39821945,39.71039696,46.5138517
4,0.484266681,0.086510417,5.403666847,0.543071111,0.047774722,4.688913208,394.868441,311.606603,0,821.004346,327.110577,0,47.13801872,64.42292675,53.54098573,52.86198128,35.57707325,46.45901427
5,0.491202792,0.101925,5.442175736,0.54528,0.041446944,4.676547931,394.106726,311.112455,0,820.548062,327.74609,0,47.39131181,71.09131455,53.78322321,52.60868819,28.90868545,46.21677679
6,0.500030569,0.11985625,5.462051292,0.546226667,0.032904444,4.677784458,394.645893,310.43944,0,821.231183,328.204431,0,47.79231648,78.46013691,53.8672561,52.20768352,21.53986309,46.1327439
7,0.516425014,0.12551875,5.489380181,0.544333333,0.028475,4.677784458,394.176407,310.290593,0,821.302724,328.047465,0,48.68451097,81.50898981,53.99125888,51.31548903,18.49101019,46.00874112
8,0.527775014,0.1377875,5.510497958,0.547804444,0.021830833,4.658000014,394.450271,309.589522,0,821.049398,329.16239,0,49.06890047,86.32310407,54.19185777,50.93109953,13.67689593,45.80814223
9,0.542908347,0.1377875,5.537826861,0.5538,0.011073611,4.648107792,394.297494,309.574896,0,820.589578,329.805213,0,49.50343896,92.56111215,54.36739043,50.49656104,7.438887852,45.63260957
10,0.552051403,0.148797917,5.536584639,0.55664,0.007593333,4.639452097,394.498437,310.293695,0,820.95812,330.222623,0,49.79306247,95.1446559,54.40806458,50.20693753,4.855344102,45.59193542
11,0.563086125,0.138102083,5.541553528,0.567684444,-0.0028475,4.620904181,394.112386,310.633135,0,820.379306,330.699764,0,49.79667319,97.97977409,54.52965894,50.20332681,2.020225908,45.47034106
12,0.567815292,0.137472917,5.520435736,0.574942222,-0.008858889,4.576389181,394.112258,311.399795,0,820.560011,332.141463,0,49.6881696,93.94602639,54.67496744,50.3118304,6.053973608,45.32503256
13,0.572229181,0.140933333,5.514224625,0.579044444,-0.018983333,4.565260431,393.707773,311.813379,0,821.40323,332.38278,0,49.70401199,88.12923398,54.70740414,50.29598801,11.87076602,45.29259586
14,0.586731958,0.145966667,5.529131306,0.574311111,-0.024045556,4.483649597,393.469848,312.204093,0,821.137695,333.231851,0,50.53490036,85.8565724,55.22073597,49.46509964,14.1434276,44.77926403
15,0.596820847,0.14628125,5.514224625,0.57368,-0.023729167,4.441607653,394.122138,312.473594,0,821.128579,334.590684,0,50.98850194,86.0425219,55.38687747,49.01149806,13.9574781,44.61312253
16,0.604702792,0.156033333,5.55397575,0.57368,-0.02278,4.390910014,392.913318,311.479402,0,821.112545,335.27607,0,51.31632912,87.26045783,55.84755704,48.68367088,12.73954217,44.15244296
17,0.624565292,0.171133333,5.556460194,0.570208889,-0.029107778,4.341448917,393.546574,311.707436,0,820.584526,336.417631,0,52.27475634,85.46363551,56.13771689,47.72524366,14.53636449,43.86228311
18,0.637806958,0.179627083,5.59869575,0.561057778,-0.028791389,4.284568639,392.917708,310.876506,0,820.26105,337.54245,0,53.20091076,86.18577875,56.64824424,46.79908924,13.81422125,43.35175576
19,0.659245847,0.191895833,5.628509083,0.563266667,-0.031006111,4.248709333,393.345519,310.429334,0,820.387666,338.147704,0,53.92548867,86.08979783,56.98475872,46.07451133,13.91020217,43.01524128
20,0.678162514,0.20101875,5.66577575,0.561057778,-0.029107778,4.209140444,392.890135,309.73972,0,819.662849,338.831946,0,54.72493619,87.3514027,57.37543123,45.27506381,12.6485973,42.62456877
21,0.691404181,0.211085417,5.679440194,0.557902222,-0.036384722,4.185646417,393.428662,309.603868,0,820.104266,339.027504,0,55.34304307,85.29732824,57.57111334,44.65695693,14.70267176,42.42888666
22,0.706852792,0.21800625,5.69931575,0.558533333,-0.032904444,4.164625444,393.613134,309.312425,0,819.326562,339.731776,0,55.8606403,86.88599363,57.7792957,44.1393597,13.11400637,42.2207043
23,0.711581958,0.210141667,5.746520194,0.555693333,-0.046192778,4.196775167,393.197548,308.735229,0,819.928791,338.877946,0,56.15054306,81.9794886,57.79291458,43.84945694,18.0205114,42.20708542
24,0.711897236,0.212972917,5.76639575,0.549697778,-0.050305833,4.168335028,393.292064,308.348813,0,818.670267,340.553305,0,56.4283489,80.89255843,58.04279833,43.5716511,19.10744157,41.95720167
25,0.715680569,0.22555625,5.776333528,0.550644444,-0.060113889,4.184409889,393.57926,308.144867,0,818.883049,340.765107,0,56.51634151,78.95688744,57.99098808,43.48365849,21.04311256,42.00901192
