Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,-0.003152778,-0.44545,5.424784625,0.049542222,-0.404977764,4.697568903,355.118799,244.862003,0,763.456617,258.642764,0,5.983068181,52.37952227,53.59212766,94.01693182,47.62047773,46.40787234
1,0,-0.423114583,5.391244625,0.038182222,-0.408774431,4.686440153,355.235753,244.159219,0,762.536492,258.671134,0,0,50.861903,53.4968571,100,49.138097,46.5031429
2,-0.004413889,-0.400464583,5.380064625,0.034395556,-0.418898875,4.730955153,355.435155,242.71656,0,763.634941,258.97693,0,11.37323389,48.87508459,53.209911,88.62676611,51.12491541,46.790089
3,-0.002522222,-0.382847917,5.357704625,0.022404444,-0.423961097,4.735901264,355.462147,241.502298,0,763.405695,259.224805,0,10.11857003,47.45211197,53.08018447,89.88142997,52.54788803,46.91981553
4,-0.001261111,-0.364916667,5.342797958,0.012622222,-0.431238042,4.769287514,355.49735,240.191821,0,763.831672,259.494482,0,9.083633453,45.834894,52.83576739,90.91636655,54.165106,47.16423261
5,-0.005044444,-0.348558333,5.314226847,0.007888889,-0.441995264,4.779179736,356.138015,239.213556,0,763.716725,260.152023,0,39.00343643,44.0904114,52.65047834,60.99656357,55.9095886,47.34952166
6,-0.004729167,-0.341322917,5.305531292,-0.002524444,-0.466040819,4.816275569,356.229523,239.284212,0,764.082105,260.247096,0,65.19741125,42.27622587,52.41683984,34.80258875,57.72377413,47.58316016
7,-0.008827778,-0.336289583,5.280686847,-0.003471111,-0.475848875,4.811329458,356.415069,239.205531,0,762.966057,260.248307,0,71.77703496,41.40791264,52.32538957,28.22296504,58.59208736,47.67461043
8,-0.014502778,-0.330627083,5.245904625,-0.007888889,-0.493566653,4.839769597,356.182444,239.535468,0,763.44195,260.417445,0,64.76863913,40.11521428,52.01342527,35.23136087,59.88478572,47.98657473
9,-0.015763889,-0.3265375,5.196215736,-0.012306667,-0.507171375,4.881811528,356.326442,239.617595,0,763.932464,260.851641,0,56.15809369,39.16684946,51.55984996,43.84190631,60.83315054,48.44015004
10,-0.026798611,-0.31615625,5.157706847,-0.012622222,-0.529002208,4.883048056,356.569489,240.106656,0,763.575257,261.448618,0,67.9808336,37.40792592,51.36771983,32.0191664,62.59207408,48.63228017
11,-0.024276389,-0.303572917,5.132862403,-0.018302222,-0.548618319,4.909015139,356.230449,239.587512,0,764.090187,262.055657,0,57.01545507,35.62262833,51.11456878,42.98454493,64.37737167,48.88543122
12,-0.032158333,-0.296966667,5.0831735,-0.02272,-0.566968875,4.912724722,356.403159,239.478397,0,763.52822,262.691258,0,58.59932578,34.37370641,50.8525936,41.40067422,65.62629359,49.1474064
13,-0.037833333,-0.274316667,5.024789056,-0.03692,-0.584370264,4.922616944,356.720027,239.571356,0,763.141714,262.987609,0,50.61089806,31.94606287,50.51356158,49.38910194,68.05393713,49.48643842
14,-0.037833333,-0.25198125,4.975100167,-0.035657778,-0.611896097,4.979497222,356.308761,238.689874,0,763.623386,263.461521,0,51.48014877,29.16863729,49.97791445,48.51985123,70.83136271,50.02208555
15,-0.040670833,-0.241914583,4.920442389,-0.056484444,-0.621071375,5.009173889,356.328485,238.272413,0,764.422896,263.339937,0,41.8616819,28.03227341,49.55319774,58.1383181,71.96772659,50.44680226
16,-0.041616667,-0.218320833,4.862057944,-0.057115556,-0.641953042,5.057398472,356.161696,237.464154,0,764.81362,263.936939,0,42.15104829,25.37806153,49.01536677,57.84895171,74.62193847,50.98463323
17,-0.035311111,-0.204479167,4.847151278,-0.060902222,-0.652077486,5.087075139,356.868585,236.646827,0,764.379268,263.454893,0,36.70084996,23.87222912,48.79243813,63.29915004,76.12777088,51.20756187
18,-0.035311111,-0.201647917,4.863300167,-0.059955556,-0.654608597,5.096967361,356.838736,237.244668,0,763.66819,264.400741,0,37.065547,23.5499425,48.82700342,62.934453,76.4500575,51.17299658
19,-0.036256944,-0.20668125,4.869511278,-0.058377778,-0.674857486,5.120461389,356.39078,237.725841,0,763.524616,263.848768,0,38.31251743,23.44550971,48.74399,61.68748257,76.55449029,51.25601
20,-0.037833333,-0.203220833,4.822306833,-0.051751111,-0.690993306,5.130353611,356.975494,238.834067,0,763.509895,264.060607,0,42.23203433,22.72619326,48.45244003,57.76796567,77.27380674,51.54755997
21,-0.034680556,-0.200075,4.817337944,-0.047648889,-0.698903028,5.1254075,356.824888,239.719196,0,763.120462,264.591123,0,42.12412192,22.2558276,48.45078224,57.87587808,77.7441724,51.54921776
22,-0.037202778,-0.198502083,4.817337944,-0.039128889,-0.708394694,5.124170972,356.575118,240.75298,0,763.849507,264.737023,0,48.73832762,21.88805696,48.45680857,51.26167238,78.11194304,51.54319143
23,-0.035941667,-0.196929167,4.819822389,-0.036604444,-0.709343861,5.098203889,356.789411,241.073744,0,763.329431,265.406285,0,49.54320241,21.7295628,48.59658821,50.45679759,78.2704372,51.40341179
24,-0.033419444,-0.192210417,4.8595735,-0.034711111,-0.710293028,5.073473333,357.21551,241.151159,0,764.303619,265.070216,0,49.05206507,21.29747181,48.92329193,50.94793493,78.70252819,51.07670807
25,-0.029005556,-0.184345833,4.873237944,-0.03124,-0.704281639,5.021539167,357.556583,241.837881,0,763.513494,265.59317,0,48.14555246,20.74500723,49.25060858,51.85444754,79.25499277,50.74939142
26,-0.028375,-0.18969375,4.912989056,-0.032186667,-0.704281639,5.012883472,357.425902,242.487192,0,764.109312,265.293188,0,46.85306987,21.21912441,49.49679781,53.14693013,78.78087559,50.50320219
27,-0.014818056,-0.184345833,4.942802389,-0.031555556,-0.701750528,5.006700833,356.563175,242.827505,0,764.193349,265.437057,0,31.95363743,20.8042648,49.67888626,68.04636257,79.1957352,50.32111374
28,-0.003468056,-0.176795833,4.9490135,-0.03124,-0.703648861,5.02524875,356.89304,244.036997,0,764.234105,264.779521,0,9.992076767,20.08028834,49.61784016,90.00792323,79.91971166,50.38215984
29,-0.000630556,-0.173335417,4.981311278,-0.0426,-0.697004694,5.067290694,356.50169,245.219697,0,765.29553,264.865374,0,1.458587676,19.91582537,49.5721822,98.54141232,80.08417463,50.4278178
