Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.460305569,0.311752083,5.427269069,-0.299777778,0.086690556,4.162152389,290.694933,190.758649,0,704.496478,196.748516,0,60.55988085,78.24265099,56.59641818,39.44011915,21.75734901,43.40358182
1,0.453369458,0.34446875,5.423542403,-0.28116,0.054418889,4.165861972,291.573717,189.05129,0,704.610018,197.185408,0,61.72243376,86.35733886,56.55765667,38.27756624,13.64266114,43.44234333
2,0.452423625,0.383791667,5.396213514,-0.254653333,0.024994722,4.154733222,292.133906,187.680363,0,705.15661,198.688894,0,63.98506127,93.88562758,56.49925251,36.01493873,6.114372421,43.50074749
3,0.452108347,0.426889583,5.397455736,-0.224991111,-0.008858889,4.134948778,292.579342,185.883244,0,705.054005,199.324888,0,66.77133494,97.9669719,56.62218518,33.22866506,2.033028101,43.37781482
4,0.452423625,0.465583333,5.394971292,-0.205426667,-0.040814167,4.087960722,293.005349,184.449113,0,704.050481,200.787099,0,68.77303708,91.94029065,56.89138427,31.22696292,8.059709352,43.10861573
5,0.449270847,0.498614583,5.381306847,-0.183022222,-0.074984167,4.071885861,293.484785,183.983218,0,704.876328,202.110238,0,71.05421029,86.92741805,56.92581346,28.94578971,13.07258195,43.07418654
6,0.455261125,0.523466667,5.397455736,-0.170715556,-0.107572222,4.068176278,293.517486,183.994484,0,705.312388,203.003629,0,72.72812856,82.95315485,57.02160963,27.27187144,17.04684515,42.97839037
7,0.450216681,0.530702083,5.418573514,-0.174502222,-0.134781667,4.068176278,293.275521,185.370976,0,705.64616,203.877037,0,72.06708146,79.74681325,57.11728076,27.93291854,20.25318675,42.88271924
8,0.446748625,0.524095833,5.432237958,-0.171977778,-0.155346944,4.076831972,293.302181,186.390126,0,705.487231,203.861584,0,72.20455164,77.13612544,57.12691144,27.79544836,22.86387456,42.87308856
9,0.441073625,0.526297917,5.418573514,-0.177973333,-0.18224,4.092906833,293.733876,187.048744,0,705.599972,204.134877,0,71.25043085,74.27942871,56.96877159,28.74956915,25.72057129,43.03122841
10,0.442650014,0.524410417,5.438449069,-0.179866667,-0.194895556,4.121346972,293.578178,187.573549,0,706.566021,204.296274,0,71.10653059,72.90505528,56.88875626,28.89346941,27.09494472,43.11124374
11,0.439181958,0.540454153,5.473231292,-0.188071111,-0.210715,4.11145475,293.578652,189.026807,0,705.766473,204.20544,0,70.01670932,71.94839548,57.10391835,29.98329068,28.05160452,42.89608165
12,0.436344458,0.550835403,5.455840181,-0.178288889,-0.226850819,4.108981694,293.981682,189.172262,0,706.003714,204.62939,0,70.99264306,70.83003235,57.04068776,29.00735694,29.16996765,42.95931224
13,0.439497236,0.571597903,5.468262403,-0.166297778,-0.242353875,4.096616417,293.566444,189.805807,0,705.980349,204.593256,0,72.54883682,70.22503278,57.17022145,27.45116318,29.77496722,42.82977855
14,0.444541681,0.592045819,5.435964625,-0.146733333,-0.254693042,4.087960722,293.409397,191.023198,0,707.239321,206.061497,0,75.18357281,69.92070952,57.07693442,24.81642719,30.07929048,42.92306558
15,0.458098625,0.607774986,5.407393514,-0.114231111,-0.280320542,4.074358917,292.860831,191.992617,0,707.633729,206.966306,0,80.04103161,68.435767,57.02947375,19.95896839,31.564233,42.97052625
