Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.689827792,0.313010417,5.162675736,-0.424106667,-0.381881375,4.625850292,378.563396,170.245704,0,760.895323,223.557536,0,61.9271436,45.04448324,52.74211584,38.0728564,54.95551676,47.25788416
1,0.677531958,0.327795833,5.075720167,-0.422213333,-0.399599153,4.706224597,378.721859,170.177529,0,760.807728,225.028086,0,61.60807993,45.0643515,51.88866109,38.39192007,54.9356485,48.11133891
2,0.665866681,0.34258125,5.029757944,-0.430733333,-0.434085542,4.795254597,378.422845,170.256455,0,761.611569,226.112372,0,60.72101697,44.10916672,51.19339973,39.27898303,55.89083328,48.80660027
3,0.648841681,0.360827083,4.930380167,-0.422844444,-0.455283597,4.883048056,379.1598,169.784851,0,761.94939,227.043275,0,60.54400308,44.21300835,50.24115992,39.45599692,55.78699165,49.75884008
4,0.637491681,0.38599375,4.852120167,-0.422213333,-0.485024153,4.965895417,379.460005,169.68287,0,761.418832,227.949686,0,60.15746573,44.31524872,49.42057919,39.84253427,55.68475128,50.57942081
5,0.619205569,0.40015,4.7813135,-0.418111111,-0.514448319,5.101913472,379.741937,169.204802,0,762.872064,228.424442,0,59.69301189,43.75144711,48.37806026,40.30698811,56.24855289,51.62193974
6,0.613845847,0.421227083,4.708022389,-0.414324444,-0.534697208,5.1699225,380.157902,169.263783,0,761.49298,229.260484,0,59.70274109,44.06490001,47.6619625,40.29725891,55.93509999,52.3380375
7,0.599658347,0.434439583,4.628520153,-0.414324444,-0.562539431,5.262662083,380.230724,168.63745,0,761.660682,230.126089,0,59.1389077,43.57559961,46.79440781,40.8610923,56.42440039,53.20559219
8,0.582633347,0.449854167,4.576346819,-0.416217778,-0.591330819,5.340563333,380.516234,168.83773,0,761.443026,230.282773,0,58.330349,43.20597902,46.1469021,41.669651,56.79402098,53.8530979
9,0.570022236,0.46526875,4.521689042,-0.41748,-0.611896097,5.446904708,381.282781,167.68026,0,761.59019,230.528079,0,57.72364004,43.19382973,45.35934712,42.27635996,56.80617027,54.64065288
10,0.557726403,0.478166667,4.464546819,-0.421582222,-0.636574431,5.529752069,381.743383,167.901225,0,761.183251,230.979245,0,56.95103551,42.89486302,44.67093559,43.04896449,57.10513698,55.32906441
11,0.546691681,0.497670833,4.399951264,-0.415586667,-0.663783875,5.622491653,381.573103,167.309085,0,762.17327,230.46802,0,56.81221885,42.84892297,43.90098602,43.18778115,57.15107703,56.09901398
12,0.542908347,0.50679375,4.358957931,-0.415586667,-0.68118525,5.704102486,382.070257,167.481649,0,761.910529,231.007197,0,56.64174976,42.66016066,43.31642413,43.35825024,57.33983934,56.68357587
13,0.529981958,0.525983333,4.275729028,-0.4118,-0.69542275,5.777057625,382.372392,166.965849,0,761.562831,230.71992,0,56.27438003,43.06375582,42.532774,43.72561997,56.93624418,57.467226
14,0.518631958,0.536679167,4.218586806,-0.410537778,-0.699219417,5.867324153,382.429862,166.876537,0,762.498791,230.633835,0,55.81670799,43.42420761,41.82653231,44.18329201,56.57579239,58.17346769
15,0.511380569,0.546745819,4.136600139,-0.412115556,-0.710293028,5.943988861,383.43167,166.718132,0,762.307813,230.080674,0,55.37441421,43.49474327,41.03530199,44.62558579,56.50525673,58.96469801
