Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,1.352226417,0.158864583,6.361420222,-1.029026653,-0.087639722,6.124521917,271.406886,247.337555,0,781.787511,261.825574,0,56.786338,64.44698115,50.94866011,43.213662,35.55301885,49.05133989
1,1.367675028,0.176795833,6.419804667,-0.997471097,-0.092385556,6.066405111,271.250643,246.656164,0,782.25858,260.94952,0,57.82623802,65.67907019,51.41515945,42.17376198,34.32092981,48.58484055
2,1.391320861,0.18969375,6.521666889,-0.970964431,-0.087323333,5.984794278,271.398075,245.628754,0,782.506251,260.259765,0,58.89724099,68.47727502,52.14638099,41.10275901,31.52272498,47.85361901
3,1.420011139,0.207310417,6.634709111,-0.940671097,-0.080995556,5.866087625,271.44184,244.579934,0,781.983867,259.620284,0,60.15257442,71.90638996,53.07428999,39.84742558,28.09361004,46.92571001
4,1.446809764,0.222725,6.722906889,-0.912586653,-0.082261111,5.769638458,271.330758,243.514802,0,782.224892,259.748165,0,61.32118171,73.02791566,53.81534909,38.67881829,26.97208434,46.18465091
5,1.478022264,0.243802083,6.848371347,-0.891759986,-0.095865833,5.643512625,271.579632,243.171496,0,781.643662,259.744166,0,62.36953897,71.77660043,54.8225661,37.63046103,28.22339957,45.1774339
6,1.501983375,0.273372917,6.955202458,-0.858942208,-0.109154167,5.545826931,271.466675,242.647914,0,782.662553,260.068896,0,63.61841244,71.46498342,55.63703789,36.38158756,28.53501658,44.36296211
7,1.527836153,0.290360417,7.045884681,-0.835906653,-0.129719444,5.435775958,271.38755,241.990753,0,782.72315,261.378094,0,64.63631107,69.12028963,56.44989785,35.36368893,30.87971037,43.55010215
8,1.548644486,0.304516667,7.124144681,-0.820444431,-0.170217222,5.361584306,271.136265,241.330909,0,783.574941,262.223935,0,65.36877849,64.14470797,57.05829983,34.63122151,35.85529203,42.94170017
9,1.574181986,0.312695833,7.187498028,-0.795831097,-0.202488889,5.239168056,271.352348,241.105081,0,783.187451,264.028015,0,66.42081418,60.69586691,57.83931088,33.57918582,39.30413309,42.16068912
10,1.591837542,0.339120833,7.247124694,-0.760804431,-0.230014708,5.148901528,271.092312,240.694403,0,784.102588,264.725311,0,67.6616995,59.58524965,58.46328948,32.3383005,40.41475035,41.53671052
11,1.608862542,0.35485,7.301782472,-0.731457764,-0.260388042,5.022775694,270.900105,240.607336,0,783.978224,266.40682,0,68.74539942,57.67686261,59.24579505,31.25460058,42.32313739,40.75420495
