Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.646634736,-0.135270833,4.746531278,0.36068,-0.106939444,3.222391306,365.244192,222.626339,0,858.170627,285.739281,0,64.19391208,55.84851088,59.56302409,35.80608792,44.15148912,40.43697591
1,0.659561125,-0.117025,4.753984611,0.362573333,-0.111368889,3.28669075,365.071969,223.321602,0,856.697859,281.459546,0,64.52782407,51.23823609,59.12419539,35.47217593,48.76176391,40.87580461
2,0.657669458,-0.107902083,4.721686833,0.363204444,-0.120860556,3.323786583,365.694335,222.364177,0,854.587189,277.730334,0,64.42220303,47.16770355,58.6874953,35.57779697,52.83229645,41.3125047
3,0.658930569,-0.090914583,4.7254135,0.357524444,-0.122126111,3.320077,364.604133,222.612091,0,854.108014,274.945305,0,64.82633864,42.6747498,58.73369063,35.17366136,57.3252502,41.26630937
4,0.662083347,-0.0755,4.663302375,0.353737778,-0.1281375,3.311421306,366.068557,221.695796,0,852.632937,272.278519,0,65.17715875,37.07568596,58.47603706,34.82284125,62.92431404,41.52396294
5,0.659245847,-0.055366667,4.689389042,0.343324444,-0.134148889,3.302765611,364.60524,221.877176,0,851.859172,270.014591,0,65.75557372,29.21484018,58.67490364,34.24442628,70.78515982,41.32509636
6,0.658930569,-0.044670833,4.634731264,0.335435556,-0.137312778,3.273088944,366.371973,221.005966,0,851.156169,268.631693,0,66.26639352,24.54662431,58.60946685,33.73360648,75.45337569,41.39053315
7,0.655462514,-0.02736875,4.635973486,0.335751111,-0.141742222,3.271852417,365.689848,221.109734,0,851.006743,266.864046,0,66.12727038,16.18389963,58.62513342,33.87272962,83.81610037,41.37486658
8,0.652309736,-0.02265,4.587526819,0.327862222,-0.151233889,3.270615889,366.833341,220.565723,0,849.321698,266.083252,0,66.5505405,13.02593365,58.37927599,33.4494595,86.97406635,41.62072401
9,0.645373625,-0.00849375,4.601191264,0.321866667,-0.162940278,3.275562,364.977602,220.552616,0,849.693448,263.825057,0,66.7231949,4.954529804,58.41482029,33.2768051,95.0454702,41.58517971
10,0.637806958,0.005033333,4.553986819,0.327231111,-0.166420556,3.235993111,364.998142,220.294283,0,848.652782,263.907561,0,66.091378,2.935677555,58.45954495,33.908622,97.06432244,41.54045505
11,0.646634736,0.004089583,4.544049042,0.3266,-0.175279444,3.268142833,364.50922,220.1703,0,848.744291,263.065565,0,66.44180608,2.279982996,58.16612181,33.55819392,97.720017,41.83387819
12,0.641905569,0.012583333,4.479453486,0.3266,-0.179708889,3.270615889,365.376225,219.506033,0,847.705742,261.807756,0,66.27794302,6.54385975,57.79888243,33.72205698,93.45614025,42.20111757
13,0.635915292,0.018875,4.448397931,0.33228,-0.185403889,3.289163806,364.583721,220.064155,0,848.034536,261.026925,0,65.6804776,9.239819201,57.49095235,34.3195224,90.7601808,42.50904765
14,0.626141681,0.01981875,4.392497931,0.333542222,-0.185720278,3.307711722,365.420319,219.023999,0,847.596545,259.906027,0,65.24457467,9.642329349,57.0438745,34.75542533,90.35767065,42.9561255
15,0.618259736,0.025166667,4.367653486,0.33796,-0.1850875,3.304002139,364.468722,219.816534,0,847.067133,259.236315,0,64.65665921,11.96963992,56.9323455,35.34334079,88.03036008,43.0676545
16,0.601234736,0.02359375,4.317964597,0.341746667,-0.189833333,3.362118931,364.707902,218.810604,0,846.829303,257.979584,0,63.75891766,11.05471228,56.22288588,36.24108234,88.94528772,43.77711412
17,0.597766681,0.03114375,4.311753486,0.340168889,-0.188884167,3.372011153,363.974746,219.310056,0,846.584201,257.467566,0,63.73216882,14.15445389,56.1151166,36.26783118,85.84554611,43.8848834
18,0.589884736,0.027997917,4.268275694,0.348688889,-0.193313611,3.384376431,364.432213,218.512613,0,845.90988,256.183315,0,62.84906377,12.6509075,55.77511724,37.15093623,87.3490925,44.22488276
19,0.583894458,0.027683333,4.252126806,0.350266667,-0.194895556,3.396741708,364.144996,219.967663,0,846.088207,255.834825,0,62.5046839,12.43753775,55.5915793,37.4953161,87.56246225,44.4084207
20,0.577588903,0.0320875,4.212375694,0.355631111,-0.192997222,3.407870458,364.789427,218.961987,0,845.515679,255.337516,0,61.89203984,14.25574321,55.27873523,38.10796016,85.74425679,44.72126477
21,0.574751403,0.0396375,4.227282361,0.353422222,-0.194579167,3.435074069,364.113125,220.084191,0,845.260942,254.977711,0,61.92283289,16.92343272,55.16948212,38.07716711,83.07656728,44.83051788
