Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.817515292,0.114822917,5.830991306,0.356893333,-0.116431111,3.602005319,331.861396,313.402565,0,820.996115,248.951796,0,69.61080447,49.65228834,61.81483507,30.38919553,50.34771166,38.18516493
1,0.733651403,0.138416667,5.69931575,0.374564444,-0.140160278,3.751625181,331.214332,312.641452,0,821.736325,250.237604,0,66.20112901,49.68705036,60.30421512,33.79887099,50.31294964,39.69578488
2,0.643797236,0.154460417,5.540311306,0.390973333,-0.157878056,3.865385722,331.235497,312.008794,0,821.508597,250.773865,0,62.21642315,49.45289499,58.90378235,37.78357685,50.54710501,41.09621765
3,0.550475014,0.174908333,5.382549069,0.420004444,-0.170217222,4.031080444,331.136339,311.431462,0,821.162796,250.547113,0,56.72196451,50.67962384,57.1782548,43.27803549,49.32037616,42.8217452
4,0.459675014,0.193154167,5.234724625,0.445564444,-0.189516944,4.206667389,331.220606,310.729307,0,821.901491,250.456966,0,50.77938325,50.47524129,55.44441558,49.22061675,49.52475871,44.55558442
5,0.380540292,0.21423125,5.090626833,0.480591111,-0.212929722,4.379781264,330.975217,309.604365,0,821.576286,250.470917,0,44.19073447,50.15234629,53.75298278,55.80926553,49.84765371,46.24701722
6,0.297306958,0.230904167,4.936591278,0.514355556,-0.227483597,4.549185569,330.805435,308.668292,0,821.24189,249.610721,0,36.62938145,50.37310872,52.04203469,63.37061855,49.62689128,47.95796531
7,0.221955556,0.250722917,4.799946833,0.557902222,-0.254693042,4.739610847,330.134423,308.078708,0,821.353592,249.210473,0,28.46102993,49.60724182,50.316241,71.53897007,50.39275818,49.683759
8,0.146604167,0.26425,4.669513486,0.5822,-0.281902486,4.93621875,330.643955,306.244068,0,821.0596,248.486068,0,20.11571467,48.3839233,48.61173903,79.88428533,51.6160767,51.38826097
9,0.069991667,0.284697917,4.522931264,0.605551111,-0.307846375,5.098203889,330.899334,305.473449,0,820.680413,248.093104,0,10.36080452,48.04668962,47.01037032,89.63919548,51.95331038,52.98962968
10,-0.003783333,0.298854167,4.351504597,0.628902222,-0.332524708,5.276263889,332.171628,304.84888,0,820.663548,247.505425,0,0.597980039,47.33357078,45.19743701,99.40201996,52.66642922,54.80256299
