Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.810894458,0.09720625,6.196204653,-0.723568875,-0.121176944,5.218147083,378.855412,299.546866,0,895.627593,310.474287,0,52.84547638,44.51178134,54.28433253,47.15452362,55.48821866,45.71566747
1,0.810894458,0.097520833,6.222291319,-0.724515542,-0.128770278,5.220620139,378.114552,299.286618,0,895.737599,310.218347,0,52.81289417,43.09530006,54.37681959,47.18710583,56.90469994,45.62318041
2,0.808372236,0.100666667,6.213595764,-0.722622208,-0.12529,5.205781806,378.754726,299.600503,0,895.971695,310.470591,0,52.80046829,44.55131515,54.41273595,47.19953171,55.44868485,45.58726405
3,0.813416681,0.100666667,6.222291319,-0.720728875,-0.126871944,5.198362639,378.329928,299.637237,0,896.083546,310.703186,0,53.02082828,44.24157561,54.48279356,46.97917172,55.75842439,45.51720644
4,0.815938903,0.099722917,6.222291319,-0.721991097,-0.127188333,5.183524306,378.215265,299.301768,0,895.630253,310.608834,0,53.05435896,43.9479826,54.55367265,46.94564104,56.0520174,45.44632735
5,0.814362514,0.105070833,6.253346875,-0.729248875,-0.136047222,5.19218,378.05045,299.221,0,895.985893,310.61827,0,52.75696459,43.57650989,54.63572751,47.24303541,56.42349011,45.36427249
6,0.814677792,0.103183333,6.235955764,-0.726408875,-0.137945556,5.178578194,378.44074,299.57135,0,895.730235,310.731282,0,52.8638531,42.79177572,54.6317159,47.1361469,57.20822428,45.3682841
7,0.814362514,0.10286875,6.228502431,-0.729879986,-0.138894722,5.167449444,378.740602,299.497009,0,895.781258,311.294057,0,52.73540353,42.54933512,54.65539429,47.26459647,57.45066488,45.34460571
8,0.818461125,0.10664375,6.221049097,-0.727355542,-0.138894722,5.176105139,378.851487,299.713864,0,896.109655,311.080734,0,52.94684309,43.43260306,54.58423189,47.05315691,56.56739694,45.41576811
9,0.825397236,0.1113625,6.239682431,-0.726724431,-0.144273333,5.174868611,378.528098,299.258885,0,895.789438,311.083293,0,53.17864275,43.56294599,54.66428253,46.82135725,56.43705401,45.33571747
10,0.820352792,0.11041875,6.258315764,-0.722937764,-0.141425833,5.177341667,378.277815,299.007742,0,895.884979,310.988271,0,53.1560819,43.84400432,54.72633123,46.8439181,56.15599568,45.27366877
11,0.829180569,0.112935417,6.270737986,-0.721675542,-0.148386389,5.1699225,378.529776,298.630488,0,895.992262,311.339548,0,53.46598975,43.21698927,54.81097873,46.53401025,56.78301073,45.18902127
12,0.828550014,0.114822917,6.249620208,-0.729248875,-0.150601111,5.163739861,378.878421,298.760318,0,895.661547,311.417435,0,53.18722589,43.26018169,54.75705813,46.81277411,56.73981831,45.24294187
13,0.826027792,0.120170833,6.264526875,-0.721359986,-0.149019167,5.176105139,378.652935,298.463077,0,895.944824,311.398633,0,53.38208066,44.64164097,54.75682521,46.61791934,55.35835903,45.24317479
14,0.831387514,0.127091667,6.249620208,-0.724199986,-0.149651944,5.172395556,379.095015,298.451313,0,896.1171,311.237975,0,53.44524264,45.92397496,54.7155628,46.55475736,54.07602504,45.2844372
15,0.832018069,0.129922917,6.260800208,-0.725146653,-0.156296111,5.168685972,379.117596,298.482297,0,896.065022,311.401784,0,53.43160281,45.39282999,54.77761738,46.56839719,54.60717001,45.22238262
16,0.830441681,0.13684375,6.248377986,-0.728933319,-0.154397778,5.15879375,378.916084,298.13827,0,895.933435,311.757165,0,53.25477711,46.98634533,54.77587373,46.74522289,53.01365467,45.22412627
17,0.836116681,0.140933333,6.267011319,-0.721675542,-0.156296111,5.173632083,378.803754,297.598562,0,895.664158,311.458392,0,53.67318367,47.41567027,54.77848665,46.32681633,52.58432973,45.22151335
18,0.830441681,0.145022917,6.258315764,-0.723253319,-0.159776389,5.162503333,378.981228,297.892508,0,896.317124,311.682944,0,53.44946599,47.57980547,54.79743362,46.55053401,52.42019453,45.20256638
19,0.834855569,0.1491125,6.270737986,-0.726408875,-0.165155,5.189706944,378.983336,297.441152,0,896.04973,311.272443,0,53.47304055,47.44763617,54.71635721,46.52695945,52.55236383,45.28364279
20,0.833279181,0.147225,6.283160208,-0.718519986,-0.161358333,5.145191944,378.770308,297.472119,0,896.245499,311.886661,0,53.69761748,47.70996489,54.97870668,46.30238252,52.29003511,45.02129332
21,0.835170847,0.148797917,6.299309097,-0.715679986,-0.164522222,5.132826667,378.790906,297.119284,0,896.128352,311.9208,0,53.85242921,47.49069664,55.1017695,46.14757079,52.50930336,44.8982305
22,0.839900014,0.152572917,6.299309097,-0.717257764,-0.170217222,5.13653625,378.757844,297.33991,0,896.16038,311.950743,0,53.93801616,47.26690759,55.08389547,46.06198384,52.73309241,44.91610453
23,0.845259736,0.15194375,6.311731319,-0.711893319,-0.170533611,5.095730833,379.309062,296.66598,0,896.086315,312.56584,0,54.28237983,47.11764865,55.32984668,45.71762017,52.88235135,44.67015332
24,0.851565292,0.15949375,6.327880208,-0.709053319,-0.168635278,5.090784722,379.401323,296.745416,0,896.193447,312.308549,0,54.56588084,48.60702239,55.4169883,45.43411916,51.39297761,44.5830117
