Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.513587514,0.103497917,4.703053486,0.385924444,-0.0484075,3.860439611,433.202475,197.846465,0,817.471841,218.307449,0,57.09624081,68.13313109,54.91980238,42.90375919,31.86686891,45.08019762
1,0.509804181,0.114822917,4.671997931,0.387502222,-0.058215556,3.84436475,434.003207,197.520581,0,817.262441,218.715112,0,56.81494961,66.3568715,54.85907665,43.18505039,33.6431285,45.14092335
2,0.507912514,0.130866667,4.665786819,0.383715556,-0.059164722,3.830762958,433.344364,198.207214,0,817.457081,220.129165,0,56.9646169,68.86581603,54.91389966,43.0353831,31.13418397,45.08610034
3,0.509173625,0.133383333,4.648395708,0.3834,-0.061695833,3.822107264,433.671199,198.692145,0,817.935182,220.974068,0,57.04556025,68.37395075,54.87744616,42.95443975,31.62604925,45.12255384
4,0.510750014,0.124889583,4.647153486,0.380875556,-0.076566111,3.839418653,432.938154,199.045552,0,818.34587,222.658647,0,57.28301558,61.99357317,54.75889924,42.71698442,38.00642683,45.24110076
5,0.505390292,0.13495625,4.634731264,0.375826667,-0.082893889,3.809741986,432.893948,199.463165,0,818.090067,223.885898,0,57.35140329,61.94912277,54.88478827,42.64859671,38.05087723,45.11521173
6,0.501922236,0.138416667,4.639700153,0.38056,-0.088588889,3.806032403,432.19891,200.059068,0,818.220244,225.226136,0,56.87618578,60.97501285,54.93543778,43.12381422,39.02498715,45.06456222
7,0.502552792,0.15194375,4.623551264,0.380244444,-0.092069167,3.782538375,432.70653,200.044201,0,818.111958,226.234366,0,56.9273182,62.26873236,55.00240257,43.0726818,37.73126764,44.99759743
8,0.503498625,0.165470833,4.627277931,0.378351111,-0.101244444,3.777592264,432.631031,199.958928,0,818.86517,227.364529,0,57.09573915,62.04025308,55.05472213,42.90426085,37.95974692,44.94527787
9,0.508227792,0.1812,4.633489042,0.378035556,-0.114216389,3.762753931,431.992902,199.557792,0,818.341178,228.0427,0,57.34500849,61.33715217,55.18526628,42.65499151,38.66284783,44.81473372
10,0.508858347,0.184660417,4.634731264,0.380244444,-0.121809722,3.756571292,431.508099,200.157813,0,818.559843,229.637311,0,57.23279153,60.2539671,55.23256054,42.76720847,39.7460329,44.76743946
11,0.508227792,0.200704167,4.626035708,0.382137778,-0.1224425,3.746679069,431.154074,200.423942,0,818.599024,230.982162,0,57.08080019,62.10931053,55.25132327,42.91919981,37.89068947,44.74867673
12,0.509488903,0.211714583,4.622309042,0.383715556,-0.134465278,3.766463514,431.959687,200.057831,0,818.616456,231.187113,0,57.04056871,61.1573945,55.1011368,42.95943129,38.8426055,44.8988632
13,0.503498625,0.223354167,4.655849042,0.387817778,-0.139843889,3.806032403,431.538672,199.718829,0,819.420889,232.734348,0,56.48932561,61.49652049,55.02144023,43.51067439,38.50347951,44.97855977
14,0.511380569,0.248835417,4.680693486,0.388448889,-0.150284722,3.820870736,432.046431,200.034291,0,818.568629,232.368194,0,56.83083219,62.3459937,55.05685029,43.16916781,37.6540063,44.94314971
15,0.502868069,0.265508333,4.709264611,0.385608889,-0.153765,3.848074333,432.084567,200.030378,0,818.632292,233.083355,0,56.59888697,63.32583359,55.03188131,43.40111303,36.67416641,44.96811869
16,0.501291681,0.283439583,4.745289056,0.395075556,-0.158510833,3.886406694,431.934873,200.72033,0,818.664395,233.806879,0,55.92481077,64.13379706,54.97516587,44.07518923,35.86620294,45.02483413
17,0.496562514,0.287214583,4.730382389,0.396968889,-0.170533611,3.88887975,433.029666,201.002977,0,818.927986,234.244379,0,55.57303441,62.74510458,54.88152365,44.42696559,37.25489542,45.11847635
18,0.493725014,0.295079167,4.778829056,0.404857778,-0.175595833,3.913610306,431.739933,201.784658,0,818.402563,235.305791,0,54.94485522,62.69276394,54.97684663,45.05514478,37.30723606,45.02315337
19,0.492779181,0.30671875,4.786282389,0.40896,-0.180658056,3.939577389,432.428195,202.077945,0,819.065363,235.339257,0,54.64763994,62.93257014,54.85169955,45.35236006,37.06742986,45.14830045
20,0.491518069,0.32181875,4.802431278,0.407066667,-0.189200556,3.949469611,431.933092,202.738474,0,818.678256,236.358109,0,54.69913406,62.97584974,54.87300803,45.30086594,37.02415026,45.12699197
21,0.495301403,0.341952083,4.816095722,0.411484444,-0.195528333,3.954415722,432.117468,203.339697,0,818.994356,236.774442,0,54.62165122,63.62131023,54.91237031,45.37834878,36.37868977,45.08762969
22,0.503183347,0.354220833,4.8260335,0.416217778,-0.197426667,3.971727111,433.29704,203.393867,0,818.907729,237.741472,0,54.7294683,64.21144541,54.85524912,45.2705317,35.78855459,45.14475088
