Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,1.643543097,-0.16704375,5.968877986,-1.420946653,0.099029722,5.441958597,350.268055,220.374862,0,925.950938,206.595498,0,53.63186799,62.78106141,52.30885521,46.36813201,37.21893859,47.69114479
1,1.653947264,-0.172077083,5.998691319,-1.410848875,0.097131389,5.429593319,350.026714,220.145106,0,925.532083,207.437226,0,53.96597976,63.9196389,52.48986623,46.03402024,36.0803611,47.51013377
2,1.660252819,-0.16704375,6.022293542,-1.399488875,0.091436389,5.411045403,349.902239,220.158284,0,925.965526,208.329026,0,54.26120847,64.6253715,52.67309551,45.73879153,35.3746285,47.32690449
3,1.671287542,-0.161066667,6.023535764,-1.384973319,0.086057778,5.366530417,349.915556,220.112527,0,925.836696,208.839717,0,54.68406061,65.17633941,52.88411558,45.31593939,34.82366059,47.11588442
4,1.672233375,-0.147854167,6.021051319,-1.378977764,0.084475833,5.323251944,349.9616,220.065687,0,925.819367,209.264328,0,54.80556077,63.63972223,53.07554972,45.19443923,36.36027777,46.92445028
5,1.678854208,-0.138102083,6.063286875,-1.358782208,0.080362778,5.307177083,349.231347,219.337982,0,925.706303,209.631963,0,55.26843829,63.21478092,53.3248854,44.73156171,36.78521908,46.6751146
6,1.682006986,-0.125833333,6.068255764,-1.353417764,0.07973,5.273790833,349.988319,218.715046,0,925.961147,209.488913,0,55.41257401,61.21390001,53.50229971,44.58742599,38.78609999,46.49770029
7,1.687366708,-0.123002083,6.088131319,-1.347422208,0.074984167,5.256479444,349.962037,218.015314,0,925.762839,210.086344,0,55.60079316,62.12657866,53.66540506,44.39920684,37.87342134,46.33459494
8,1.693041708,-0.111047917,6.112975764,-1.338902208,0.076249722,5.208254861,349.905453,218.020801,0,925.716261,210.030834,0,55.84013936,59.28954435,53.99568268,44.15986064,40.71045565,46.00431732
9,1.704706986,-0.106329167,6.162664653,-1.338586653,0.067074444,5.204545278,349.706981,217.831908,0,925.801525,210.762525,0,56.01519894,61.31888834,54.21439993,43.98480106,38.68111166,45.78560007
10,1.710066708,-0.101295833,6.173844653,-1.331959986,0.049356667,5.188470417,350.059817,217.383578,0,925.869387,210.981477,0,56.21471736,67.23806995,54.33615082,43.78528264,32.76193005,45.66384918
11,1.711958375,-0.090914583,6.230986875,-1.316813319,0.036068333,5.210727917,349.85676,217.279797,0,925.73113,211.967177,0,56.52318985,71.59591677,54.45850546,43.47681015,28.40408323,45.54149454
12,1.716372264,-0.083364583,6.249620208,-1.320284431,0.018666944,5.213200972,349.82212,216.653998,0,925.833359,213.052858,0,56.52177498,81.70472907,54.52078603,43.47822502,18.29527093,45.47921397
13,1.717318097,-0.067635417,6.264526875,-1.318391097,0.001581944,5.232985417,350.345099,216.644857,0,925.803696,213.881563,0,56.57057337,97.7145265,54.48593327,43.42942663,2.285473498,45.51406673
14,1.722677819,-0.0604,6.305520208,-1.304191097,-0.015819444,5.209491389,350.084868,216.056176,0,925.700502,214.351032,0,56.91286497,79.24487044,54.75913033,43.08713503,20.75512956,45.24086967
15,1.729298653,-0.047816667,6.295582431,-1.307031097,-0.028475,5.188470417,350.150099,215.900245,0,925.458066,215.188992,0,56.95358525,62.67613326,54.82021473,43.04641475,37.32386674,45.17978527
16,1.741279208,-0.033660417,6.311731319,-1.291568875,-0.033853611,5.182287778,350.268928,215.21515,0,925.852784,216.136084,0,57.41399373,49.85692274,54.91317933,42.58600627,50.14307726,45.08682067
17,1.746008375,-0.023908333,6.326637986,-1.287151097,-0.046509167,5.163739861,350.18377,215.125905,0,926.172416,216.539415,0,57.56401505,33.95226092,55.06031281,42.43598495,66.04773908,44.93968719
