Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.588938903,0.083364583,6.665764667,-0.426,-0.117380278,5.772111514,362.250047,224.664057,0,827.528189,219.104003,0,58.02703012,41.52763008,53.59246683,41.97296988,58.47236992,46.40753317
1,0.593983347,0.08965625,6.665764667,-0.43168,-0.121809722,5.747380958,362.302982,224.602101,0,827.444506,219.210599,0,57.91211598,42.39748318,53.69923844,42.08788402,57.60251682,46.30076156
2,0.597451403,0.087454167,6.649615778,-0.428208889,-0.127188333,5.706575542,362.504457,224.037049,0,827.404146,219.277069,0,58.25041757,40.74410551,53.81606359,41.74958243,59.25589449,46.18393641
3,0.602495847,0.096577083,6.667006889,-0.424737778,-0.127821111,5.702865958,362.563461,223.60396,0,827.948028,219.505964,0,58.65227077,43.03826222,53.89713355,41.34772923,56.96173778,46.10286645
4,0.607540292,0.09720625,6.698062444,-0.431995556,-0.130035833,5.695446792,362.054361,223.2789,0,828.112523,219.498471,0,58.44341908,42.7765177,54.04492236,41.55658092,57.2234823,45.95507764
5,0.612584736,0.11230625,6.712969111,-0.423475556,-0.135730833,5.675662347,362.235464,222.763759,0,827.972321,219.585045,0,59.12635983,45.27800782,54.18652685,40.87364017,54.72199218,45.81347315
6,0.624250014,0.122372917,6.719180222,-0.418742222,-0.139843889,5.659587486,362.271437,222.57215,0,827.840133,219.594222,0,59.85183708,46.66860173,54.27987971,40.14816292,53.33139827,45.72012029
7,0.626772236,0.12929375,6.727875778,-0.416848889,-0.143956944,5.663297069,362.311148,221.978941,0,828.304049,219.134316,0,60.05745007,47.31689713,54.29571406,39.94254993,52.68310287,45.70428594
8,0.634338903,0.13684375,6.755204681,-0.409906667,-0.143324167,5.643512625,361.86264,221.621778,0,828.249736,219.095812,0,60.74614261,48.84347631,54.483093,39.25385739,51.15652369,45.516907
