Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.501606958,0.18969375,4.667029042,-0.173871111,-0.082261111,3.139543944,419.715623,192.615268,0,799.513676,238.601053,0,74.25954757,69.75192472,59.78332682,25.74045243,30.24807528,40.21667318
1,0.512097491,0.186512001,4.717971501,-0.169118528,-0.084502654,3.103485821,418.7281706,192.8721069,0,798.7345623,239.6314662,0,75.17402366,68.81989504,60.32087509,24.82597634,31.18010496,39.67912491
2,0.526974891,0.193431978,4.755467829,-0.166919801,-0.083044285,3.066159803,418.3812824,193.3818553,0,799.0873248,240.2399616,0,75.94450524,69.963322,60.79895455,24.05549476,30.036678,39.20104545
3,0.540167749,0.187199364,4.789276797,-0.157060486,-0.085901357,3.0395745,418.3880516,193.398282,0,799.2048991,240.562212,0,77.47359074,68.54590627,61.17470642,22.52640926,31.45409373,38.82529358
4,0.551495481,0.190437592,4.836821068,-0.157081013,-0.093311883,3.019705033,418.0741834,193.6309763,0,800.1762316,241.4107676,0,77.83146714,67.11469416,61.56437343,22.16853286,32.88530584,38.43562657
5,0.564971065,0.18922702,4.899241456,-0.144199069,-0.095280967,2.988581776,417.1957347,193.7543433,0,799.8470833,241.7808507,0,79.66650565,66.51026634,62.11145092,20.33349435,33.48973366,37.88854908
6,0.582381033,0.198176569,4.927004664,-0.138904045,-0.091722497,2.94920735,417.539002,194.308785,0,799.9747857,242.2727477,0,80.74214359,68.36054083,62.55551089,19.25785641,31.63945917,37.44448911
7,0.588851069,0.199900204,4.955960896,-0.140269396,-0.09654214,2.948111885,417.4122183,193.9851917,0,801.4312096,243.1741921,0,80.76183526,67.43308038,62.70135705,19.23816474,32.56691962,37.29864295
8,0.608604666,0.202692041,4.975019232,-0.137492339,-0.094209677,2.916107515,417.5385867,193.9054665,0,800.6683153,243.9513229,0,81.57178785,68.26906985,63.04573974,18.42821215,31.73093015,36.95426026
9,0.615760513,0.211262379,4.995065992,-0.133730285,-0.098355652,2.898511418,416.7704439,193.8547489,0,801.3349073,243.8283777,0,82.15718118,68.23322854,63.28012931,17.84281882,31.76677146,36.71987069
10,0.626968053,0.21782038,5.018573354,-0.128779166,-0.096135088,2.884140058,416.7481179,194.1303882,0,802.3300524,244.9811696,0,82.96002121,69.3793873,63.50443313,17.03997879,30.6206127,36.49556687
11,0.637820407,0.221088946,5.020515338,-0.133690811,-0.100081863,2.857273564,416.247367,194.3487853,0,801.9535098,245.2280531,0,82.67156615,68.83843119,63.73000597,17.32843385,31.16156881,36.26999403
12,0.645482627,0.224225153,5.020939813,-0.127647643,-0.102857535,2.82981919,416.2642713,194.4527408,0,801.8882881,245.406697,0,83.48950392,68.5530482,63.95483304,16.51049608,31.4469518,36.04516696
13,0.656559157,0.232276626,5.022119886,-0.119988493,-0.102167436,2.807615265,415.9226881,194.3682336,0,801.5713201,246.0482932,0,84.54847,69.45156225,64.14163173,15.45153,30.54843775,35.85836827
14,0.658043836,0.238237844,5.009943853,-0.121050301,-0.10664367,2.801027499,416.2671755,194.6551943,0,802.2679154,247.8288551,0,84.46268614,69.07817167,64.13983137,15.53731386,30.92182833,35.86016863
15,0.668809099,0.242448932,5.010689443,-0.117782355,-0.110792148,2.816666039,415.9016013,194.4782347,0,803.4741412,248.3856378,0,85.02623516,68.63554256,64.01510005,14.97376484,31.36445744,35.98489995
16,0.667070848,0.246546079,5.006928586,-0.121248094,-0.121539661,2.801618824,415.2090154,194.8384327,0,802.5502733,248.9710177,0,84.61941135,66.98061143,64.1211268,15.38058865,33.01938857,35.8788732
17,0.669926977,0.249893592,4.975479732,-0.123239686,-0.123150356,2.842011528,415.6480363,195.271418,0,804.2709261,250.1573828,0,84.46232154,66.98770837,63.64547867,15.53767846,33.01229163,36.35452133
18,0.677108902,0.252950276,4.962717081,-0.121326256,-0.122693623,2.813581849,415.238581,195.4033101,0,803.180792,249.791606,0,84.80449476,67.33778363,63.81849677,15.19550524,32.66221637,36.18150323
19,0.6816263,0.255772775,4.946511219,-0.122703574,-0.128920331,2.842164801,415.2198167,195.6385845,0,803.2093684,251.6503194,0,84.74462056,66.48748601,63.50901239,15.25537944,33.51251399,36.49098761
20,0.682099532,0.263047898,4.921987397,-0.122816478,-0.134274373,2.874208803,414.9263063,196.0310959,0,805.1587508,252.0204948,0,84.74170265,66.2051733,63.13319048,15.25829735,33.7948267,36.86680952
21,0.686989567,0.271174214,4.9016927,-0.125464044,-0.140289499,2.865805746,414.2334259,196.4364148,0,803.7690146,253.411347,0,84.55738984,65.90477012,63.10516486,15.44261016,34.09522988,36.89483514
22,0.687116985,0.272901613,4.869238446,-0.130792352,-0.146839309,2.89748529,414.0218759,196.7862768,0,804.5242508,253.7403859,0,84.00894253,65.01668017,62.69359657,15.99105747,34.98331983,37.30640343
23,0.688027653,0.275579823,4.817763404,-0.136439666,-0.153095175,2.917558213,414.5631453,197.23947,0,804.5766789,255.0067238,0,83.45117348,64.28642314,62.28265149,16.54882652,35.71357686,37.71734851
