Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.002522222,-0.466527083,4.783797944,-0.042284444,-0.507487764,3.270615889,381.51343,288.253739,0,727.665863,292.170898,0,5.62912265,47.89732771,59.39349583,94.37087735,52.10267229,40.60650417
1,0.0085125,-0.4624375,4.794977944,-0.046386667,-0.505273042,3.279271583,381.21395,287.731544,0,726.995841,293.510913,0,15.50569984,47.78675855,59.38605102,84.49430016,52.21324145,40.61394898
2,0.012295833,-0.45205625,4.790009056,-0.050804444,-0.512549986,3.310184778,381.693478,286.514922,0,726.982305,295.138028,0,19.48617941,46.86433003,59.13449918,80.51382059,53.13566997,40.86550082
3,0.020177778,-0.447966667,4.767649056,-0.053644444,-0.513182764,3.332442264,381.986895,285.778173,0,727.140592,296.323361,0,27.33293197,46.60739032,58.8592013,72.66706803,53.39260968,41.1407987
4,0.024906944,-0.4360125,4.776344611,-0.055853333,-0.519826931,3.337388375,381.740084,285.472625,0,726.867054,297.17763,0,30.84058789,45.61566368,58.86741182,69.15941211,54.38433632,41.13258818
5,0.029320833,-0.4379,4.762680167,-0.059955556,-0.522041653,3.350990181,381.971989,285.466602,0,726.379674,298.983211,0,32.84276358,45.61735588,58.69945367,67.15723642,54.38264412,41.30054633
6,0.029320833,-0.425316667,4.7589535,-0.066897778,-0.526471097,3.381903375,381.8128,285.249098,0,727.562684,300.031488,0,30.47314131,44.68608263,58.45764854,69.52685869,55.31391737,41.54235146
7,0.039409722,-0.425316667,4.7701335,-0.074155556,-0.525521931,3.386849486,381.174732,284.09375,0,726.3769,300.472997,0,34.70226375,44.73069014,58.47914,65.29773625,55.26930986,41.52086
8,0.041616667,-0.417766667,4.739077944,-0.068791111,-0.537228319,3.425181847,382.081742,284.505134,0,727.235335,302.505433,0,37.69360049,43.74543037,58.04663332,62.30639951,56.25456963,41.95336668
9,0.037833333,-0.406441667,4.729140167,-0.075102222,-0.541657764,3.440020181,381.620546,284.19915,0,727.283246,303.591087,0,33.49993113,42.86909722,57.89016209,66.50006887,57.13090278,42.10983791
10,0.044138889,-0.40109375,4.7477735,-0.072893333,-0.543556097,3.441256708,381.380835,283.495307,0,727.580262,305.062932,0,37.71515917,42.45951568,57.97723759,62.28484083,57.54048432,42.02276241
11,0.048868056,-0.400464583,4.7365935,-0.077311111,-0.539126653,3.431364486,380.884553,283.219839,0,726.762823,306.529097,0,38.72909994,42.62114928,57.98993467,61.27090006,57.37885072,42.01006533
12,0.051390278,-0.39354375,4.744046833,-0.074155556,-0.545454431,3.437547125,381.459267,282.683605,0,726.593008,306.880455,0,40.93347936,41.9110237,57.9843837,59.06652064,58.0889763,42.0156163
13,0.055488889,-0.380645833,4.721686833,-0.072577778,-0.547036375,3.463514208,382.010082,283.099671,0,727.607438,306.821036,0,43.32812771,41.03192127,57.68565499,56.67187229,58.96807873,42.31434501
14,0.064001389,-0.369320833,4.719202389,-0.072893333,-0.543239708,3.478352542,381.371082,283.142699,0,727.605898,307.380635,0,46.75226908,40.47083086,57.56841435,53.24773092,59.52916914,42.43158565
15,0.063055556,-0.358625,4.708022389,-0.068791111,-0.548301931,3.469696847,380.849242,282.347556,0,725.540185,307.427474,0,47.82491446,39.54287693,57.57133808,52.17508554,60.45712307,42.42866192
16,0.0681,-0.351704167,4.727897944,-0.06248,-0.549567486,3.515448375,380.538023,282.601499,0,727.009488,306.673129,0,52.15193751,39.02310314,57.35411035,47.84806249,60.97689686,42.64588965
17,0.071568056,-0.3322,4.7142335,-0.073208889,-0.548301931,3.535232819,380.702156,283.012926,0,727.006833,305.922701,0,49.43332368,37.72848059,57.14592093,50.56667632,62.27151941,42.85407907
18,0.076927778,-0.326852083,4.695600153,-0.069106667,-0.554629708,3.580984347,380.901454,282.829274,0,727.289748,305.450362,0,52.67783095,37.07984515,56.73354936,47.32216905,62.92015485,43.26645064
19,0.080080556,-0.324335417,4.698084597,-0.072577778,-0.550200264,3.615607125,380.74684,282.941368,0,726.76286,304.003497,0,52.45737577,37.08658479,56.51020935,47.54262423,62.91341521,43.48979065
20,0.083233333,-0.313954167,4.669513486,-0.07384,-0.553047764,3.642810736,380.814467,283.174573,0,726.966608,303.361972,0,52.99011078,36.21147262,56.17578623,47.00988922,63.78852738,43.82421377
21,0.091745833,-0.309235417,4.653364597,-0.074471111,-0.560957486,3.686089208,380.359815,283.308558,0,726.870412,302.815207,0,55.19643839,35.53642137,55.79939293,44.80356161,64.46357863,44.20060707
22,0.099943056,-0.302314583,4.627277931,-0.077311111,-0.562855819,3.734313792,380.227307,283.958313,0,727.528122,302.108031,0,56.38403736,34.94277918,55.33967795,43.61596264,65.05722082,44.66032205
23,0.107509722,-0.290045833,4.607402375,-0.081728889,-0.565703319,3.754098236,380.096583,284.031068,0,726.602153,301.45335,0,56.81172652,33.89379147,55.10257775,43.18827348,66.10620853,44.89742225
24,0.114445833,-0.287214583,4.562682375,-0.078257778,-0.563488597,3.823343792,380.491279,284.600215,0,727.675899,299.905485,0,59.38956342,33.76202063,54.4081581,40.61043658,66.23797937,45.5918419
25,0.120436111,-0.276833333,4.521689042,-0.078573333,-0.570132764,3.865385722,380.266046,284.90625,0,727.41024,298.745568,0,60.5177867,32.68529097,53.91258775,39.4822133,67.31470903,46.08741225
26,0.126741667,-0.269597917,4.470757931,-0.073208889,-0.569816375,3.898771972,379.736653,285.062479,0,726.846469,298.641189,0,63.38650389,32.11738463,53.41707339,36.61349611,67.88261537,46.58292661
27,0.136515278,-0.25953125,4.432249042,-0.079835556,-0.572031097,3.968017528,380.176745,285.407607,0,727.285481,297.152571,0,63.09903025,31.21007714,52.76319513,36.90096975,68.78992286,47.23680487
28,0.138406944,-0.255441667,4.394982375,-0.084884444,-0.579308042,4.005113361,379.76455,285.902644,0,726.398663,295.997747,0,61.98490015,30.60098903,52.32062244,38.01509985,69.39901097,47.67937756
29,0.134308333,-0.244745833,4.331629042,-0.091826667,-0.586584986,4.079305028,380.163647,286.4227,0,726.730918,294.702503,0,59.39298796,29.4402454,51.49997617,40.60701204,70.5597546,48.50002383
30,0.1390375,-0.24443125,4.306784597,-0.097506667,-0.599240542,4.159679333,380.108351,286.70968,0,726.593731,292.978467,0,58.7786636,28.97231511,50.86875268,41.2213364,71.02768489,49.13124732
31,0.135884722,-0.245689583,4.253369028,-0.106342222,-0.612528875,4.253655444,380.815622,287.612136,0,727.415634,291.384645,0,56.09810359,28.62786053,49.99831659,43.90189641,71.37213947,50.00168341
32,0.136830556,-0.238139583,4.201195694,-0.115493333,-0.620754986,4.320427944,381.251833,287.960853,0,726.685458,290.396553,0,54.22814152,27.72628816,49.30041354,45.77185848,72.27371184,50.69958646
33,0.132101389,-0.230904167,4.146537917,-0.118964444,-0.632461375,4.405748347,381.55148,288.678109,0,726.829209,288.603867,0,52.61623501,26.74465861,48.48455476,47.38376499,73.25534139,51.51544524
34,0.131786111,-0.235622917,4.088153472,-0.136635556,-0.643218597,4.460155569,382.62413,289.041511,0,727.298353,287.696757,0,49.09667418,26.8106266,47.82411881,50.90332582,73.1893734,52.17588119
35,0.130525,-0.233735417,4.065793472,-0.139791111,-0.654292208,4.503434042,382.203594,290.182147,0,726.000648,286.759251,0,48.28606015,26.32073711,47.44644095,51.71393985,73.67926289,52.55355905
36,0.12485,-0.231847917,4.024800139,-0.146417778,-0.662518319,4.578862236,382.558248,291.272316,0,726.689983,285.942249,0,46.02463331,25.92315176,46.78007996,53.97536669,74.07684824,53.21992004
37,0.123273611,-0.2321625,3.961446806,-0.1562,-0.675173875,4.629559875,382.962894,291.428929,0,726.343019,284.649597,0,44.10921325,25.58725809,46.11155541,55.89078675,74.41274191,53.88844459
