Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.694872236,0.177425,5.064540167,-0.676235556,-0.261653597,4.205430861,347.757722,332.274517,0,827.183513,380.631041,0,50.67962128,40.40848293,54.63382951,49.32037872,59.59151707,45.36617049
1,0.698655569,0.174279167,5.073235722,-0.670555556,-0.261653597,4.198011694,347.683986,331.914234,0,826.614576,381.550588,0,51.02613882,39.97845106,54.72009854,48.97386118,60.02154894,45.27990146
2,0.702123625,0.177739583,5.074477944,-0.673711111,-0.261020819,4.2116135,347.123894,331.327264,0,826.528627,381.431602,0,51.03255548,40.50948586,54.64600446,48.96744452,59.49051414,45.35399554
3,0.698970847,0.179941667,5.054602389,-0.670555556,-0.269879708,4.216559611,347.460918,331.305599,0,826.931706,381.233892,0,51.03741307,40.00291597,54.51962105,48.96258693,59.99708403,45.48037895
4,0.707483347,0.183716667,5.0608135,-0.672133333,-0.274625542,4.223978778,348.203499,331.538896,0,826.494598,381.543492,0,51.28115347,40.08286021,54.50648058,48.71884653,59.91713979,45.49351942
5,0.706537514,0.190952083,5.0496335,-0.674026667,-0.279054986,4.2116135,348.212883,331.334779,0,826.525522,381.973288,0,51.17744788,40.62749174,54.52433673,48.82255212,59.37250826,45.47566327
6,0.708429181,0.1944125,5.035969056,-0.669293333,-0.284749986,4.227688361,348.455719,331.41769,0,826.768209,382.159207,0,51.42030949,40.57339747,54.36264349,48.57969051,59.42660253,45.63735651
7,0.708113903,0.201333333,5.057086833,-0.674026667,-0.287913875,4.216559611,347.871715,330.034537,0,826.864931,382.493245,0,51.23313203,41.15165706,54.53180541,48.76686797,58.84834294,45.46819459
8,0.712212514,0.210141667,5.0384535,-0.668346667,-0.292026931,4.205430861,347.952494,330.391694,0,826.246161,382.917906,0,51.58869854,41.84683547,54.50580409,48.41130146,58.15316453,45.49419591
9,0.712527792,0.215489583,5.032242389,-0.668346667,-0.294241653,4.205430861,348.369632,329.79966,0,826.246161,383.19071,0,51.59975169,42.27513797,54.47521527,48.40024831,57.72486203,45.52478473
10,0.715365292,0.223354167,5.032242389,-0.66456,-0.298354708,4.223978778,348.0673,329.568261,0,826.829712,382.581794,0,51.8408711,42.81203126,54.36605606,48.1591289,57.18796874,45.63394394
11,0.718202792,0.227758333,5.034726833,-0.660457778,-0.304998875,4.215323083,348.507586,328.690071,0,826.807385,382.402243,0,52.09424332,42.75086846,54.42918556,47.90575668,57.24913154,45.57081444
12,0.716311125,0.23499375,5.031000167,-0.6532,-0.304682486,4.217796139,347.826295,328.579339,0,827.684843,383.100211,0,52.30414795,43.54346815,54.39626953,47.69585205,56.45653185,45.60373047
13,0.719779181,0.24065625,5.042180167,-0.651306667,-0.306897208,4.212850028,348.219278,328.142009,0,826.646,382.798974,0,52.49701775,43.95118802,54.48042914,47.50298225,56.04881198,45.51957086
14,0.727661125,0.25198125,5.0272735,-0.642471111,-0.310377486,4.202957806,348.100963,328.361467,0,826.642147,383.21916,0,53.10882452,44.80791954,54.46530356,46.89117548,55.19208046,45.53469644
15,0.726084736,0.254497917,5.031000167,-0.643417778,-0.319552764,4.202957806,348.69862,328.202798,0,826.272406,383.620024,0,53.01813825,44.33370176,54.48368058,46.98186175,55.66629824,45.51631942
16,0.728922236,0.255441667,5.014851278,-0.634897778,-0.328095264,4.205430861,348.507079,328.331051,0,826.641277,383.610034,0,53.44709923,43.77472158,54.38934733,46.55290077,56.22527842,45.61065267
17,0.732075014,0.259216667,5.018577944,-0.633635556,-0.331259153,4.204194333,348.136898,327.992401,0,826.494954,383.820078,0,53.60396487,43.89962436,54.4150695,46.39603513,56.10037564,45.5849305
18,0.732390292,0.264879167,4.998702389,-0.625115556,-0.336637764,4.227688361,348.401866,328.123369,0,826.614966,383.604414,0,53.95117031,44.03519722,54.1783079,46.04882969,55.96480278,45.8216921
19,0.730498625,0.272114583,4.985037944,-0.622906667,-0.341699986,4.227688361,348.093406,328.011741,0,825.692014,383.847867,0,53.974861,44.33172441,54.11034453,46.025139,55.66827559,45.88965547
20,0.734597236,0.272429167,4.970131278,-0.619435556,-0.343281931,4.252418917,348.436592,328.056127,0,826.344781,383.334616,0,54.252544,44.24626548,53.89107322,45.747456,55.75373452,46.10892678
21,0.730813903,0.279035417,4.9825535,-0.621013333,-0.352140819,4.262311139,348.170199,327.708384,0,826.678312,383.348156,0,54.0611909,44.20879632,53.89536456,45.9388091,55.79120368,46.10463544
22,0.735858347,0.284383333,4.963920167,-0.619435556,-0.357835819,4.257365028,348.730332,327.64745,0,826.681147,383.404524,0,54.29511235,44.28135351,53.83110989,45.70488765,55.71864649,46.16889011
23,0.743109736,0.289102083,4.975100167,-0.627324444,-0.361948875,4.259838083,348.581251,327.417635,0,825.818649,384.051929,0,54.22440177,44.40544625,53.87258725,45.77559823,55.59455375,46.12741275
24,0.741218069,0.294135417,4.965162389,-0.62196,-0.367960264,4.299406972,348.229104,327.240293,0,826.842266,383.293934,0,54.37426599,44.42491098,53.59301869,45.62573401,55.57508902,46.40698131
25,0.745001403,0.30294375,4.929137944,-0.624484444,-0.373022486,4.319191417,348.723872,327.654957,0,826.611608,383.378526,0,54.40008046,44.81640263,53.29760384,45.59991954,55.18359737,46.70239616
26,0.741848625,0.30294375,4.936591278,-0.629217778,-0.370491375,4.326610583,348.277129,326.957246,0,826.600782,383.842268,0,54.10741766,44.98484542,53.2924938,45.89258234,55.01515458,46.7075062
27,0.739641681,0.308920833,4.906777944,-0.631426667,-0.384728875,4.352577667,348.547892,327.226473,0,826.003852,383.398472,0,53.94637562,44.53556739,52.99265036,46.05362438,55.46443261,47.00734964
28,0.743425014,0.31049375,4.884417944,-0.633004444,-0.390107486,4.358760292,348.198171,326.811345,0,826.344723,383.731906,0,54.01112345,44.31818472,52.84348976,45.98887655,55.68181528,47.15651024
29,0.740902792,0.31804375,4.873237944,-0.636475556,-0.395802486,4.378544736,348.755905,326.479746,0,825.953229,384.341901,0,53.79079707,44.55353743,52.6735021,46.20920293,55.44646257,47.3264979
30,0.737434736,0.326222917,4.834729056,-0.645942222,-0.401497486,4.395856125,348.823667,326.403667,0,826.614132,384.876176,0,53.30685405,44.82805696,52.37727577,46.69314595,55.17194304,47.62272423
31,0.731129181,0.32748125,4.816095722,-0.642471111,-0.415734986,4.432951958,347.966576,325.90277,0,826.473277,384.949815,0,53.22721501,44.06271474,52.07126062,46.77278499,55.93728526,47.92873938
32,0.728922236,0.342895833,4.777586833,-0.641524444,-0.423644708,4.484886125,348.985732,325.17187,0,826.900916,384.726069,0,53.18866078,44.73290253,51.58003543,46.81133922,55.26709747,48.41996457
33,0.725769458,0.354535417,4.726655722,-0.639315556,-0.429339708,4.497251403,349.191906,324.927256,0,827.118709,385.262339,0,53.16661241,45.22855814,51.24353116,46.83338759,54.77144186,48.75646884
34,0.721040292,0.36995,4.674482375,-0.649413333,-0.443893597,4.523218486,349.676915,323.97755,0,826.347267,385.554712,0,52.61325728,45.45713713,50.82229185,47.38674272,54.54286287,49.17770815
35,0.712527792,0.38505,4.618582375,-0.647835556,-0.454334431,4.585044875,349.325629,322.722579,0,826.796667,385.153785,0,52.37775578,45.87290233,50.18219719,47.62224422,54.12709767,49.81780281
36,0.700231958,0.401408333,4.578831264,-0.648151111,-0.462876931,4.623377236,349.973026,321.430253,0,826.145053,385.410766,0,51.93123336,46.4439636,49.75796043,48.06876664,53.5560364,50.24203957
37,0.698340292,0.424372917,4.522931264,-0.654462222,-0.473317764,4.676547931,350.195213,320.674445,0,826.549016,385.363438,0,51.62174704,47.27384676,49.16507955,48.37825296,52.72615324,50.83492045
38,0.686675014,0.441989583,4.458335708,-0.657617778,-0.482493042,4.730955153,350.57738,318.795988,0,826.326643,385.288043,0,51.08076292,47.80939862,48.51664591,48.91923708,52.19060138,51.48335409
39,0.679738903,0.456460417,4.444671264,-0.6674,-0.491351931,4.795254597,350.28193,317.45297,0,827.051854,384.69891,0,50.45796698,48.15936593,48.10288882,49.54203302,51.84063407,51.89711118
40,0.683206958,0.464010417,4.398709042,-0.681284444,-0.497363319,4.841006125,350.319239,316.188505,0,826.512198,385.303505,0,50.070448,48.26535189,47.60654373,49.929552,51.73464811,52.39345627
41,0.678477792,0.468414583,4.342809042,-0.689173333,-0.501159986,4.905305556,350.905426,316.219317,0,826.532877,384.798221,0,49.60898136,48.31135202,46.95885844,50.39101864,51.68864798,53.04114156
42,0.672487514,0.469672917,4.322933486,-0.699271111,-0.516030264,4.967131944,351.003753,315.325982,0,826.543024,385.287519,0,49.02374963,47.64851387,46.53286372,50.97625037,52.35148613,53.46713628
