Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.643797236,-0.06323125,3.916726806,-0.651306667,-0.078148056,4.144841,388.754226,228.524293,0,848.753374,267.098534,0,49.71008386,44.7245442,48.58517475,50.28991614,55.2754558,51.41482525
1,0.641590292,-0.058197917,3.93039125,-0.647835556,-0.075933333,4.130002667,387.811044,228.59024,0,849.162218,267.3822,0,49.75782772,43.38878275,48.76177629,50.24217228,56.61121725,51.23822371
2,0.641590292,-0.05756875,3.944055694,-0.65036,-0.080046389,4.142367944,387.523169,228.538725,0,849.650541,267.233769,0,49.66060194,41.83315184,48.77379507,50.33939806,58.16684816,51.22620493
3,0.646950014,-0.053164583,3.934117917,-0.650991111,-0.087323333,4.142367944,388.926393,228.266414,0,849.57774,267.32714,0,49.84432664,37.84281566,48.71076337,50.15567336,62.15718434,51.28923663
4,0.641905569,-0.052535417,3.960204583,-0.645626667,-0.084159444,4.147314056,387.330347,228.227072,0,849.616891,266.784836,0,49.85549499,38.4326201,48.84607436,50.14450501,61.5673799,51.15392564
5,0.643797236,-0.046872917,3.929149028,-0.640577778,-0.087956111,4.146077528,388.399853,228.33059,0,849.646074,267.255503,0,50.12533171,34.76470715,48.65682716,49.87466829,65.23529285,51.34317284
6,0.644743069,-0.047816667,3.939086806,-0.639631111,-0.092701944,4.151023639,388.281169,228.224963,0,849.54148,267.132284,0,50.1990058,34.02870715,48.6901487,49.8009942,65.97129285,51.3098513
7,0.643797236,-0.037120833,3.937844583,-0.644364444,-0.098080556,4.152260167,388.382584,228.340136,0,849.64817,267.16744,0,49.97798381,27.45595562,48.67482814,50.02201619,72.54404438,51.32517186
8,0.647895847,-0.043727083,3.929149028,-0.64184,-0.104408333,4.144841,388.932321,227.913355,0,849.180265,267.168117,0,50.23477083,29.51831798,48.66427893,49.76522917,70.48168202,51.33572107
9,0.657669458,-0.039008333,3.935360139,-0.637106667,-0.102193611,4.117637389,388.965817,228.144084,0,849.054527,267.459863,0,50.79406746,27.62591796,48.86826458,49.20593254,72.37408204,51.13173542
10,0.657038903,-0.0396375,3.946540139,-0.637106667,-0.105041111,4.13371225,389.064068,228.078243,0,849.334233,267.524387,0,50.77009251,27.39693151,48.84179292,49.22990749,72.60306849,51.15820708
11,0.655777792,-0.039322917,3.949024583,-0.634266667,-0.110103333,4.139894889,388.376455,228.429514,0,849.835561,267.453081,0,50.8337358,26.31593623,48.82017428,49.1662642,73.68406377,51.17982572
12,0.660191681,-0.039322917,3.942813472,-0.631742222,-0.111368889,4.1225835,388.739248,227.282156,0,849.461974,266.856894,0,51.10104156,26.09492701,48.88554755,48.89895844,73.90507299,51.11445245
13,0.654201403,-0.029885417,3.951509028,-0.62764,-0.112950833,4.1225835,388.379222,227.463242,0,849.570018,267.375302,0,51.03606432,20.92285163,48.94059629,48.96393568,79.07714837,51.05940371
14,0.663659736,-0.0245375,3.953993472,-0.628902222,-0.117380278,4.130002667,389.055453,226.971607,0,850.15244,267.299639,0,51.34452022,17.28994097,48.9113726,48.65547978,82.71005903,51.0886274
15,0.663975014,-0.01981875,3.946540139,-0.6248,-0.115481944,4.100326,388.653643,227.601652,0,848.707317,267.712646,0,51.51985465,14.64792925,49.04443632,48.48014535,85.35207075,50.95556368
16,0.663975014,-0.017302083,3.946540139,-0.620697778,-0.126555556,4.113927806,389.76373,226.591596,0,849.757489,267.414245,0,51.68436805,12.02722599,48.96167525,48.31563195,87.97277401,51.03832475
17,0.663344458,-0.008808333,3.949024583,-0.61912,-0.131934167,4.110218222,389.706542,226.825127,0,849.340577,266.890056,0,51.7241982,6.258474401,48.99994551,48.2758018,93.7415256,51.00005449
18,0.668388903,-0.00849375,3.971384583,-0.614071111,-0.140793056,4.115164333,389.551937,226.478116,0,849.577921,267.059326,0,52.11771872,5.689551711,49.11099437,47.88228128,94.31044829,50.88900563
19,0.667758347,-0.0094375,3.972626806,-0.612808889,-0.141742222,4.115164333,388.951552,226.05737,0,850.025654,266.782131,0,52.14551243,6.24257001,49.11881053,47.85448757,93.75742999,50.88118947
20,0.675009736,-0.003145833,3.994986806,-0.609653333,-0.138261944,4.106508639,388.962812,226.566415,0,849.270797,266.623541,0,52.54371766,2.224653681,49.31172069,47.45628234,97.77534632,50.68827931
21,0.680369458,0.005977083,3.992502361,-0.611862222,-0.137945556,4.099089472,389.515367,226.558484,0,849.454615,266.388143,0,52.6507335,4.152983422,49.34137118,47.3492665,95.84701658,50.65862882
22,0.678793069,0.0056625,3.990017917,-0.608075556,-0.148386389,4.071885861,389.47951,226.654497,0,848.880016,266.785822,0,52.74765864,3.675781137,49.49225427,47.25234136,96.32421886,50.50774573
23,0.680684736,0.012897917,4.002440139,-0.601133333,-0.146804444,4.070649333,389.149608,226.133899,0,849.537718,267.049406,0,53.10306917,8.076221652,49.5775521,46.89693083,91.92377835,50.4224479
24,0.685413903,0.017616667,3.999955694,-0.59924,-0.1509175,4.075595444,389.318005,226.249163,0,849.812616,267.200827,0,53.35397349,10.45287553,49.53167438,46.64602651,89.54712447,50.46832562
25,0.680054181,0.014785417,3.971384583,-0.5964,-0.157561667,4.061993639,389.918993,225.526375,0,849.637178,266.473248,0,53.27681878,8.578860971,49.43604637,46.72318122,91.42113903,50.56395363
26,0.690773625,0.0245375,3.985049028,-0.591666667,-0.154397778,4.02242475,390.154263,225.412676,0,848.778712,266.302826,0,53.86399893,13.71305888,49.76661977,46.13600107,86.28694112,50.23338023
27,0.688251403,0.032402083,3.985049028,-0.591035556,-0.164838611,4.034790028,390.127169,224.880763,0,849.689071,267.351228,0,53.79961066,16.4276867,49.68988779,46.20038934,83.5723133,50.31011221
28,0.692034736,0.040266667,3.993744583,-0.583777778,-0.171482778,4.049628361,390.215494,225.321661,0,849.854547,266.641721,0,54.24266721,19.01618527,49.65260981,45.75733279,80.98381473,50.34739019
29,0.698970847,0.040895833,4.003682361,-0.578097778,-0.171166389,4.038499611,390.568609,224.52624,0,849.75093,266.605605,0,54.73244221,19.2848273,49.78353356,45.26755779,80.7151727,50.21646644
30,0.698970847,0.045929167,3.994986806,-0.570524444,-0.180025278,4.027370861,390.487544,224.291236,0,849.461068,266.440689,0,55.05895546,20.32673744,49.79816373,44.94104454,79.67326256,50.20183627
31,0.705591681,0.046872917,4.013620139,-0.569893333,-0.186036667,4.028607389,390.063853,224.369809,0,850.002246,266.163066,0,55.31948027,20.12494119,49.90682152,44.68051973,79.87505881,50.09317848
32,0.705276403,0.052220833,4.001197917,-0.561688889,-0.194895556,4.0335535,390.207239,224.097239,0,849.661477,266.336653,0,55.66659224,21.13208014,49.79865224,44.33340776,78.86791986,50.20134776
33,0.711897236,0.06134375,4.016104583,-0.564528889,-0.204387222,4.036026556,389.263226,224.052894,0,849.573658,265.092161,0,55.77269394,23.08490783,49.87629379,44.22730606,76.91509217,50.12370621
34,0.713473625,0.061972917,3.994986806,-0.560742222,-0.209133056,4.036026556,389.854752,224.224041,0,850.124331,266.100857,0,55.9931527,22.859296,49.74449208,44.0068473,77.140704,50.25550792
35,0.706222236,0.060714583,3.99747125,-0.558533333,-0.214195278,4.04468225,389.761547,223.83971,0,850.639065,265.566368,0,55.83863421,22.08526936,49.70647787,44.16136579,77.91473064,50.29352213
36,0.706852792,0.06700625,3.966415694,-0.561057778,-0.223370556,4.045918778,390.72288,223.433021,0,849.919949,265.121684,0,55.74942024,23.07562061,49.50387067,44.25057976,76.92437939,50.49612933
37,0.708744458,0.071725,3.962689028,-0.560111111,-0.230647486,4.055811,390.283978,223.820576,0,850.136898,264.591798,0,55.85698447,23.72074289,49.41933047,44.14301553,76.27925711,50.58066953
