Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,1.548013931,0.1113625,7.464513583,-1.113911097,-0.336004986,5.492656236,247.050032,197.243153,0,762.501887,223.34345,0,58.15392674,24.89284614,57.609136,41.84607326,75.10715386,42.390864
1,1.555895875,0.0906,7.474451361,-1.113279986,-0.329677208,5.462979569,247.251778,197.261371,0,762.880916,221.961414,0,58.29124629,21.55720039,57.77384553,41.70875371,78.44279961,42.22615447
2,1.558733375,0.091858333,7.489358028,-1.104759986,-0.323033042,5.408572347,247.099869,197.792688,0,762.399686,220.898775,0,58.5221423,22.14033332,58.06635491,41.4778577,77.85966668,41.93364509
3,1.569137542,0.091858333,7.500538028,-1.096555542,-0.311643042,5.366530417,247.13396,197.988818,0,762.555031,219.416218,0,58.86414875,22.76530863,58.29251675,41.13585125,77.23469137,41.70748325
4,1.568506986,0.092172917,7.509233583,-1.081724431,-0.288230264,5.324488472,247.157271,197.884292,0,762.014383,217.667697,0,59.18377453,24.23032229,58.51173612,40.81622547,75.76967771,41.48826388
5,1.574812542,0.0887125,7.522898028,-1.063106653,-0.270196097,5.277500417,246.988331,198.415846,0,761.997694,215.808444,0,59.69904404,24.7172959,58.7708114,40.30095596,75.2827041,41.2291886
6,1.577019486,0.087454167,7.504264694,-1.047959986,-0.247099708,5.257715972,246.963718,198.562368,0,761.990282,213.653607,0,60.07740262,26.14053317,58.80172436,39.92259738,73.85946683,41.19827564
7,1.587738931,0.087454167,7.520413583,-1.036915542,-0.220206667,5.242877639,247.041186,198.996498,0,761.653873,211.531333,0,60.4932553,28.42551186,58.92221256,39.5067447,71.57448814,41.07778744
8,1.600350042,0.10098125,7.500538028,-1.023977764,-0.199957778,5.237931528,246.545484,198.313798,0,761.342883,210.384851,0,60.98133161,33.5553852,58.88099818,39.01866839,66.4446148,41.11900182
9,1.610438931,0.103183333,7.495569139,-1.020191097,-0.190149722,5.236695,246.433364,198.158577,0,761.782196,209.327042,0,61.2187542,35.17616967,58.87066948,38.7812458,64.82383033,41.12933052
10,1.621473653,0.121114583,7.544015806,-1.008831097,-0.183189167,5.229275833,246.693762,197.951294,0,761.198683,208.245094,0,61.64584742,39.80055564,59.06085932,38.35415258,60.19944436,40.93914068
