Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.496877792,0.08210625,4.023557917,-0.50268,-0.073718611,4.159679333,405.032053,193.22039,0,846.982652,216.377825,0,49.70976124,52.69136736,49.16829115,50.29023876,47.30863264,50.83170885
1,0.501291681,0.081477083,4.021073472,-0.497631111,-0.072453056,4.162152389,405.921012,192.307526,0,846.613696,216.663993,0,50.18322584,52.93120887,49.13799937,49.81677416,47.06879113,50.86200063
2,0.501922236,0.079275,4.032253472,-0.499524444,-0.079413611,4.159679333,405.779836,192.359592,0,846.087147,216.817534,0,50.11971639,49.95632607,49.22224789,49.88028361,50.04367393,50.77775211
3,0.505705569,0.088397917,4.04219125,-0.501733333,-0.07973,4.134948778,405.414414,192.552984,0,846.283135,217.02654,0,50.19714526,52.57777436,49.43282414,49.80285474,47.42222564,50.56717586
4,0.510119458,0.089341667,4.048402361,-0.492897778,-0.084475833,4.154733222,405.973724,192.656769,0,846.561255,216.517676,0,50.85849375,51.39969604,49.35188892,49.14150625,48.60030396,50.64811108
5,0.513587514,0.09343125,4.048402361,-0.49132,-0.086690556,4.1670985,406.179482,192.261802,0,845.971624,216.67209,0,51.10793847,51.87114892,49.27760863,48.89206153,48.12885108,50.72239137
6,0.513902792,0.09343125,4.070762361,-0.49132,-0.085741389,4.176990722,405.35033,192.679701,0,846.182236,216.848326,0,51.12327296,52.14593622,49.35601636,48.87672704,47.85406378,50.64398364
7,0.508858347,0.090914583,4.06455125,-0.488795556,-0.088905278,4.17822725,405.76331,192.66068,0,845.965747,216.557666,0,51.00549858,50.55869956,49.31045096,48.99450142,49.44130044,50.68954904
8,0.502868069,0.093745833,4.035980139,-0.483746667,-0.09112,4.169571556,406.837547,192.853736,0,845.827176,217.528312,0,50.96904101,50.71019974,49.18596932,49.03095899,49.28980026,50.81403068
9,0.505705569,0.09343125,4.047160139,-0.485955556,-0.095233056,4.189356,406.210286,193.328692,0,845.83154,217.126129,0,50.99580458,49.52248372,49.13679608,49.00419542,50.47751628,50.86320392
10,0.501922236,0.087454167,4.044675694,-0.485955556,-0.093018333,4.172044611,406.567993,193.646721,0,845.486706,217.550702,0,50.80813035,48.45844473,49.22494066,49.19186965,51.54155527,50.77505934
11,0.501606958,0.091229167,4.017346806,-0.480906667,-0.096182222,4.160915861,407.632345,193.461887,0,845.732218,217.349686,0,51.05343535,48.67856068,49.12225211,48.94656465,51.32143932,50.87774789
12,0.494040292,0.089970833,4.023557917,-0.481537778,-0.0939675,4.183173361,407.07746,193.711063,0,845.895914,217.512435,0,50.64077465,48.91358517,49.02753338,49.35922535,51.08641483,50.97246662
13,0.494355569,0.09343125,4.038464583,-0.473017778,-0.095865833,4.191829056,406.51807,193.888056,0,846.200895,217.029792,0,51.10287263,49.35694114,49.06829283,48.89712737,50.64305886,50.93170717
14,0.494670847,0.087454167,4.049644583,-0.474911111,-0.101244444,4.174517667,406.575361,194.165216,0,846.003938,217.67514,0,51.01898225,46.34595144,49.24081578,48.98101775,53.65404856,50.75918422
15,0.495931958,0.092802083,4.013620139,-0.476488889,-0.098080556,4.188119472,407.986769,193.103131,0,846.00167,217.126597,0,50.99972504,48.61735141,48.93620536,49.00027496,51.38264859,51.06379464
16,0.497823625,0.091229167,4.038464583,-0.471755556,-0.101877222,4.15596975,407.673551,193.459217,0,845.700781,217.375501,0,51.34429812,47.24295617,49.28301844,48.65570188,52.75704383,50.71698156
17,0.495301403,0.094375,4.032253472,-0.471124444,-0.099346111,4.170808083,408.357864,193.332143,0,845.743759,217.879806,0,51.25084394,48.71694131,49.15547012,48.74915606,51.28305869,50.84452988
18,0.495931958,0.099408333,4.045917917,-0.468284444,-0.10251,4.162152389,406.965533,193.54879,0,845.979511,217.621635,0,51.43367784,49.23195021,49.29195007,48.56632216,50.76804979,50.70804993
19,0.497823625,0.10664375,4.047160139,-0.467653333,-0.103142778,4.1670985,407.547681,193.738194,0,846.140903,217.796936,0,51.56245529,50.83441302,49.269938,48.43754471,49.16558698,50.730062
20,0.496247236,0.103497917,4.040949028,-0.469862222,-0.105990278,4.185646417,407.325596,193.680254,0,845.693983,217.598974,0,51.36552922,49.40513089,49.12055121,48.63447078,50.59486911,50.87944879
21,0.497823625,0.10664375,4.024800139,-0.465128889,-0.108205,4.174517667,407.989069,193.120289,0,845.408315,217.770932,0,51.69762972,49.636663,49.08701229,48.30237028,50.363337,50.91298771
22,0.500345847,0.113879167,4.038464583,-0.459764444,-0.104724722,4.179463778,407.429082,193.564143,0,845.880429,217.854562,0,52.11337193,52.093843,49.14212446,47.88662807,47.906157,50.85787554
23,0.497193069,0.11230625,4.012377917,-0.459133333,-0.107255833,4.174517667,408.627761,193.333274,0,845.236924,217.912271,0,51.98989257,51.1501113,49.00976049,48.01010743,48.8498887,50.99023951
24,0.497823625,0.11796875,4.04219125,-0.4544,-0.115165556,4.181936833,407.227624,193.305031,0,845.516997,217.495766,0,52.28011697,50.60119733,49.15039271,47.71988303,49.39880267,50.84960729
25,0.496877792,0.117654167,4.018589028,-0.447773333,-0.108837778,4.183173361,409.101808,193.313745,0,845.539117,217.463847,0,52.59907902,51.94629193,48.99665264,47.40092098,48.05370807,51.00334736
26,0.495616681,0.11608125,4.024800139,-0.449666667,-0.108521389,4.169571556,408.679925,193.220666,0,845.571431,217.751569,0,52.43048891,51.68294129,49.11664114,47.56951109,48.31705871,50.88335886
27,0.500030569,0.120170833,4.043433472,-0.450928889,-0.1167475,4.172044611,407.542695,193.812646,0,845.702615,218.271944,0,52.58169158,50.72247118,49.21726321,47.41830842,49.27752882,50.78273679
28,0.500030569,0.120485417,4.016104583,-0.448404444,-0.120544167,4.17822725,408.753727,193.082306,0,845.542424,218.121976,0,52.72164799,49.9878127,49.01076335,47.27835201,50.0121873,50.98923665
29,0.493409736,0.124889583,4.01983125,-0.447142222,-0.121176944,4.168335028,407.722946,193.776095,0,845.276832,218.249211,0,52.45959372,50.75439738,49.0931805,47.54040628,49.24560262,50.9068195
30,0.499715292,0.12835,3.99747125,-0.441146667,-0.1224425,4.204194333,408.852325,193.737441,0,845.785126,217.85808,0,53.1124983,51.17776648,48.73974938,46.8875017,48.82223352,51.26025062
31,0.491518069,0.126777083,4.003682361,-0.442093333,-0.132250556,4.191829056,408.286051,193.779553,0,844.798368,218.016622,0,52.64696511,48.94345788,48.85213573,47.35303489,51.05654212,51.14786427
32,0.490887514,0.12835,3.998713472,-0.435466667,-0.128770278,4.205430861,408.470244,193.988133,0,845.306546,218.388973,0,52.99134221,49.91827214,48.74016485,47.00865779,50.08172786,51.25983515
33,0.487734736,0.12740625,3.98629125,-0.44304,-0.130035833,4.216559611,408.022858,193.518067,0,845.366523,218.182438,0,52.4009427,49.48928643,48.59641261,47.5990573,50.51071357,51.40358739
34,0.491202792,0.12740625,3.960204583,-0.439568889,-0.136996389,4.241290167,408.275693,193.748825,0,845.289389,217.899608,0,52.77371475,48.18645174,48.28637589,47.22628525,51.81354826,51.71362411
35,0.493409736,0.131495833,3.946540139,-0.435782222,-0.134148889,4.246236278,409.109155,194.042064,0,845.349654,218.461926,0,53.10094773,49.50063838,48.17097328,46.89905227,50.49936162,51.82902672
36,0.492779181,0.137472917,3.932875694,-0.436413333,-0.137312778,4.254891972,409.395362,193.143432,0,845.52973,218.198669,0,53.03305539,50.02913887,48.03355267,46.96694461,49.97086113,51.96644733
37,0.488680569,0.1415625,3.961446806,-0.433888889,-0.142375,4.247472806,407.958339,193.534776,0,845.260462,218.774392,0,52.9695152,49.85692274,48.25783408,47.0304848,50.14307726,51.74216592
38,0.492148625,0.138102083,3.953993472,-0.433573333,-0.148702778,4.2561285,408.492672,193.528864,0,845.676369,218.964967,0,53.16376268,48.15193257,48.15998454,46.83623732,51.84806743,51.84001546
39,0.493725014,0.144079167,3.946540139,-0.426631111,-0.149968333,4.257365028,408.488151,193.936505,0,845.701129,219.053283,0,53.64499681,48.99860283,48.10562846,46.35500319,51.00139717,51.89437154
40,0.494986125,0.15005625,3.951509028,-0.427577778,-0.158194444,4.251182389,408.308334,193.703423,0,845.193706,219.019839,0,53.65331589,48.67993899,48.17332296,46.34668411,51.32006101,51.82667704
41,0.496247236,0.151629167,3.920453472,-0.426,-0.160092778,4.252418917,409.190293,193.419421,0,845.360653,219.393449,0,53.80848179,48.6424422,47.96910175,46.19151821,51.3575578,52.03089825
42,0.496247236,0.15005625,3.915484583,-0.427577778,-0.164838611,4.257365028,408.896928,193.458173,0,845.594877,219.846307,0,53.71658362,47.65281004,47.90843793,46.28341638,52.34718996,52.09156207
43,0.491518069,0.147539583,3.890640139,-0.417164444,-0.163889444,4.2561285,409.267016,193.080903,0,844.541949,219.722794,0,54.09128732,47.37502615,47.75685074,45.90871268,52.62497385,52.24314926
44,0.495931958,0.146595833,3.880702347,-0.42032,-0.168951667,4.285805167,409.641161,193.252855,0,845.13713,219.401651,0,54.12615535,46.45761203,47.51973032,45.87384465,53.54238797,52.48026968
45,0.493725014,0.154145833,3.860826792,-0.419373333,-0.169900833,4.284568639,409.670053,193.527326,0,845.156538,219.774577,0,54.07139498,47.56902298,47.39888719,45.92860502,52.43097702,52.60111281
46,0.498454181,0.151314583,3.867037903,-0.416217778,-0.171482778,4.306826139,409.862812,193.592624,0,845.195077,219.499999,0,54.49540417,46.87602861,47.30978987,45.50459583,53.12397139,52.69021013
47,0.489626403,0.1528875,3.855857903,-0.415271111,-0.175595833,4.335266278,409.895363,194.065792,0,845.669538,219.062688,0,54.10849243,46.5434573,47.07361063,45.89150757,53.4565427,52.92638937
48,0.494986125,0.155404167,3.842193458,-0.413377778,-0.174013889,4.347631556,409.937172,194.066456,0,845.109936,219.176311,0,54.49205142,47.17536396,46.9142314,45.50794858,52.82463604,53.0857686
49,0.493409736,0.155404167,3.828529014,-0.42032,-0.1793925,4.346395028,410.080521,193.397387,0,845.085522,219.248235,0,53.99952706,46.41747727,46.83259434,46.00047294,53.58252273,53.16740566
50,0.494355569,0.156977083,3.821075681,-0.417164444,-0.175595833,4.358760292,409.821081,193.483105,0,844.698972,219.445268,0,54.23419803,47.20080183,46.71335334,45.76580197,52.79919817,53.28664666
51,0.495931958,0.157291667,3.822317903,-0.411484444,-0.176228611,4.372362097,409.501757,193.641865,0,845.431043,219.445108,0,54.65318423,47.16105051,46.64389461,45.34681577,52.83894949,53.35610539
52,0.487104181,0.155404167,3.809895681,-0.417164444,-0.184454722,4.368652514,408.973255,193.281578,0,845.344528,219.041749,0,53.86719909,45.72608566,46.58400966,46.13280091,54.27391434,53.41599034
53,0.487104181,0.159808333,3.792504569,-0.415586667,-0.183189167,4.403275292,410.258634,193.406887,0,845.203543,219.495093,0,53.96135145,46.59169042,46.27387062,46.03864855,53.40830958,53.72612938
54,0.486473625,0.162010417,3.790020125,-0.415586667,-0.188884167,4.384727375,409.486586,193.298622,0,845.165645,219.076746,0,53.92916965,46.17068042,46.36253444,46.07083035,53.82931958,53.63746556
55,0.483005569,0.167358333,3.786293458,-0.420004444,-0.191415278,4.399565708,409.744433,193.068972,0,845.191935,219.000735,0,53.4883957,46.64733641,46.25407524,46.5116043,53.35266359,53.74592476
56,0.484266681,0.17270625,3.762691236,-0.42032,-0.191731667,4.432951958,409.603863,192.959879,0,845.604467,218.811979,0,53.53458004,47.38975889,45.91087175,46.46541996,52.61024111,54.08912825
57,0.482690292,0.17648125,3.760206792,-0.421266667,-0.192997222,4.441607653,409.579088,192.614324,0,845.432489,218.731798,0,53.39748615,47.7649615,45.84603586,46.60251385,52.2350385,54.15396414
58,0.481429181,0.17836875,3.731635681,-0.422844444,-0.199008611,4.449026819,411.117908,191.934266,0,845.543778,219.099272,0,53.23932571,47.26535515,45.6153237,46.76067429,52.73464485,54.3846763
59,0.476384736,0.188435417,3.719213458,-0.425053333,-0.206918333,4.451499875,410.699085,191.660391,0,845.565124,219.34176,0,52.84719519,47.6624837,45.51883424,47.15280481,52.3375163,54.48116576
60,0.477961125,0.194097917,3.700580125,-0.423475556,-0.203121667,4.479940014,411.022251,191.561041,0,845.843321,219.300053,0,53.02215178,48.86413581,45.23648939,46.97784822,51.13586419,54.76351061
