Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.850930556,1.036555556,5.366388889,-0.727666667,-0.745416667,6.484305556,386.39,123.93,0,867.1,208.82,0,53.90422228,58.1690075,45.28332845,46.09577772,41.8309925,54.71667155
1,0.840555556,1.058041667,5.279583333,-0.735305556,-0.768597222,6.556111111,387.62,122,0,867.55,209.39,0,53.33944404,57.92286987,44.60729667,46.66055596,42.07713013,55.39270333
2,0.836166667,1.062472222,5.2475,-0.758458333,-0.785125,6.647638889,387.03,121.44,0,867.96,210.33,0,52.43657077,57.50561916,44.11465935,47.56342923,42.49438084,55.88534065
3,0.83325,1.079055556,5.184166667,-0.769902778,-0.817694444,6.717777778,387.54,121.08,0,868.44,211.38,0,51.97570759,56.88970901,43.55730856,48.02429241,43.11029099,56.44269144
4,0.825847222,1.088,5.14,-0.776680556,-0.838222222,6.786527778,387.45,120.95,0,868.22,212.39,0,51.53403477,56.4836179,43.09720395,48.46596523,43.5163821,56.90279605
5,0.82325,1.103055556,5.089027778,-0.788513889,-0.858111111,6.82875,387.86,120.22,0,869.01,214.15,0,51.07758064,56.24486558,42.70114675,48.92241936,43.75513442,57.29885325
6,0.824569444,1.126319444,5.088194444,-0.798097222,-0.886472222,6.880555556,387.29,120.92,0,869.33,215.35,0,50.81570118,55.95807371,42.51232956,49.18429882,44.04192629,57.48767044
7,0.833277778,1.140208333,5.03875,-0.800708333,-0.908444444,6.958333333,387.7,119.89,0,869.47,216.93,0,50.9966255,55.65649512,41.99979162,49.0033745,44.34350488,58.00020838
8,0.839083333,1.1575,5.013333333,-0.813333333,-0.93625,7.020277778,387.96,120.47,0,869.72,218.21,0,50.77916183,55.28358209,41.66108816,49.22083817,44.71641791,58.33891184
9,0.850888889,1.167986111,4.990277778,-0.822680556,-0.951597222,7.106805556,387.61,120.06,0,869.87,218.94,0,50.84275957,55.10451478,41.25190875,49.15724043,44.89548522,58.74809125
10,0.86175,1.185958333,4.946111111,-0.838736111,-0.972361111,7.216805556,387.68,119.95,0,870.13,219.51,0,50.67668559,54.94823004,40.66550192,49.32331441,45.05176996,59.33449808
11,0.870041667,1.198236111,4.896388889,-0.853388889,-0.983930556,7.311111111,387.54,119.83,0,870.24,220.08,0,50.48312877,54.91038468,40.10967757,49.51687123,45.08961532,59.89032243
12,0.875388889,1.203777778,4.841388889,-0.871513889,-0.992333333,7.424305556,387.76,120.24,0,870.46,220.14,0,50.11091058,54.81406527,39.47097256,49.88908942,45.18593473,60.52902744
13,0.877444444,1.210430556,4.794166667,-0.897125,-0.990013889,7.543333333,387.4,121.14,0,870.75,219.73,0,49.44548365,55.00845789,38.85849375,50.55451635,44.99154211,61.14150625
14,0.876736111,1.209236111,4.702777778,-0.926180556,-0.977527778,7.691805556,387.88,121.57,0,871.05,218.96,0,48.62876512,55.29797329,37.94220145,51.37123488,44.70202671,62.05779855
15,0.872736111,1.210625,4.602638889,-0.963694444,-0.954472222,7.837222222,387.62,122.05,0,871.18,218.7,0,47.52350196,55.9155029,36.99911798,52.47649804,44.0844971,63.00088202
16,0.865597222,1.209236111,4.496666667,-1.00225,-0.940222222,7.9975,387.41,123.15,0,871.69,218.17,0,46.34197122,56.25771351,35.99012873,53.65802878,43.74228649,64.00987127
17,0.859805556,1.205180556,4.380694444,-1.046444444,-0.923,8.154722222,387.17,123.75,0,871.74,217.86,0,45.10455373,56.62961972,34.94654036,54.89544627,43.37038028,65.05345964
18,0.852680556,1.194805556,4.268055556,-1.0865,-0.908861111,8.290138889,387.2,123.99,0,872.05,217.56,0,43.97117912,56.79633444,33.98621971,56.02882088,43.20366556,66.01378029
19,0.848569444,1.186375,4.166527778,-1.127597222,-0.897986111,8.446388889,386.66,125.09,0,872.53,217.5,0,42.94017599,56.91792049,33.03381674,57.05982401,43.08207951,66.96618326
20,0.849430556,1.175527778,4.078333333,-1.159152778,-0.898013889,8.576527778,386.34,125.92,0,872.31,217.56,0,42.29003305,56.69178472,32.22740493,57.70996695,43.30821528,67.77259507
21,0.854,1.164708333,3.976388889,-1.1905,-0.886513889,8.713611111,386.18,127.33,0,872.71,218.03,0,41.77060406,56.78118737,31.33482182,58.22939594,43.21881263,68.66517818
