Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.956868083,0.546116653,5.324164625,-0.775319986,-0.632777764,5.28121,286.463274,227.989925,0,804.940183,264.615063,0,55.24042685,46.32447529,50.20251347,44.75957315,53.67552471,49.79748653
1,0.957183361,0.568137486,5.367642403,-0.774373319,-0.650811931,5.271317778,286.360926,227.153423,0,805.330707,264.274359,0,55.27877729,46.6087828,50.45269755,44.72122271,53.3912172,49.54730245
2,0.962227806,0.600539569,5.356462403,-0.769955542,-0.665998597,5.279973472,286.697514,225.874235,0,806.076595,263.840594,0,55.54999747,47.41582885,50.35956091,44.45000253,52.58417115,49.64043909
3,0.969163917,0.626335403,5.360189069,-0.758595542,-0.679603306,5.27008125,286.500738,225.015039,0,805.924114,263.925036,0,56.09368318,47.96055119,50.42382657,43.90631682,52.03944881,49.57617343
4,0.98145975,0.644581236,5.370126847,-0.749444431,-0.70111775,5.224329722,286.743719,223.470303,0,805.911656,264.513162,0,56.70214221,47.89936254,50.68808213,43.29785779,52.10063746,49.31191787
5,0.988395861,0.667545819,5.390002403,-0.737137764,-0.713456917,5.187233889,286.680367,222.645082,0,805.638372,264.730697,0,57.28059116,48.33776226,50.95851368,42.71940884,51.66223774,49.04148632
6,1.001006972,0.690195819,5.383791292,-0.704951097,-0.724846917,5.15879375,286.512474,221.496641,0,806.00848,265.329756,0,58.67711465,48.77561658,51.06708905,41.32288535,51.22438342,48.93291095
7,1.011095861,0.705610403,5.394971292,-0.659195556,-0.724530528,5.142718889,286.5772,220.324813,0,804.839636,264.340653,0,60.53409908,49.33852236,51.19690558,39.46590092,50.66147764,48.80309442
8,1.009204194,0.723541653,5.399940181,-0.597031111,-0.730858306,5.15879375,286.177855,219.213873,0,803.565445,263.360022,0,62.83040791,49.7484649,51.14192872,37.16959209,50.2515351,48.85807128
9,1.019608361,0.730147903,5.433480181,-0.544017778,-0.735604139,5.195889583,286.77056,218.363634,0,803.421915,262.378902,0,65.20793787,49.81387588,51.11761376,34.79206213,50.18612412,48.88238624
10,1.009519472,0.753112486,5.440933514,-0.515933333,-0.74383025,5.216910556,287.074903,217.183152,0,802.746109,261.608335,0,66.17834839,50.31003979,51.0509769,33.82165161,49.68996021,48.9490231
11,1.01267225,0.768212486,5.448386847,-0.524768889,-0.747310528,5.219383611,287.130666,216.820748,0,803.312417,260.854232,0,65.86738343,50.68959554,51.0733416,34.13261657,49.31040446,48.9266584
12,1.017086139,0.773245819,5.444660181,-0.554431111,-0.74952525,5.213200972,287.665376,216.599481,0,803.623853,260.792281,0,64.72001112,50.77886197,51.08586144,35.27998888,49.22113803,48.91413856
13,1.023706972,0.774189569,5.457082403,-0.595453333,-0.76376275,5.213200972,287.140345,216.341229,0,804.380757,260.018894,0,63.22455959,50.33898383,51.14280672,36.77544041,49.66101617,48.85719328
14,1.031273639,0.779222903,5.429753514,-0.638684444,-0.757751361,5.242877639,287.489732,216.781014,0,805.933517,260.193507,0,61.75446253,50.69850036,50.87549112,38.24553747,49.30149964,49.12450888
15,1.033480583,0.779852069,5.442175736,-0.662666667,-0.760598861,5.211964444,287.130195,216.594392,0,806.328669,260.34139,0,60.931065,50.62492118,51.08038419,39.068935,49.37507882,48.91961581
16,1.038840306,0.786458319,5.417331292,-0.676866667,-0.755853028,5.187233889,287.144723,216.350495,0,806.411923,260.623244,0,60.54881879,50.99218915,51.08489787,39.45118121,49.00781085,48.91510213
17,1.048298639,0.788345819,5.428511292,-0.685702222,-0.76091525,5.153847639,286.799256,215.793714,0,806.239959,260.157182,0,60.45548548,50.88527912,51.29774304,39.54451452,49.11472088,48.70225696
18,1.047668083,0.798412486,5.449629069,-0.683177778,-0.765344694,5.119224861,286.518888,216.109811,0,806.80246,260.584455,0,60.52925375,51.05731862,51.5631033,39.47074625,48.94268138,48.4368967
19,1.055550028,0.814141653,5.445902403,-0.670555556,-0.770090528,5.054925417,287.155737,215.370786,0,806.761183,260.943465,0,61.15211248,51.39029889,51.8616484,38.84788752,48.60970111,48.1383516
20,1.056811139,0.821062486,5.449629069,-0.634582222,-0.795401639,5.020302639,286.967543,215.110798,0,805.996116,261.349314,0,62.48168895,50.79373389,52.05028286,37.51831105,49.20626611,47.94971714
21,1.071944472,0.823893736,5.452113514,-0.573995556,-0.813119417,5.035140972,287.172071,215.115569,0,805.028605,260.70522,0,65.12658141,50.32908469,51.98799668,34.87341859,49.67091531,48.01200332
22,1.062801417,0.832387486,5.402424625,-0.517195556,-0.82925525,5.09202125,286.841467,215.080638,0,803.784299,260.084801,0,67.26604135,50.09425119,51.47889359,32.73395865,49.90574881,48.52110641
23,1.061540306,0.834589569,5.399940181,-0.494475556,-0.837481361,5.168685972,286.896998,215.368426,0,803.200412,258.528589,0,68.22168926,49.91352664,51.09405993,31.77831074,50.08647336,48.90594007
24,1.057126417,0.846543736,5.397455736,-0.494475556,-0.84349275,5.244114167,286.673926,216.214209,0,802.977582,257.303924,0,68.13128854,50.09026391,50.72048378,31.86871146,49.90973609,49.27951622
25,1.046406972,0.848116653,5.341555736,-0.526346667,-0.857097472,5.325725,286.872162,215.527997,0,803.400155,256.801767,0,66.53343196,49.73666593,50.0742023,33.46656804,50.26333407,49.9257977
26,1.041362528,0.867306236,5.319195736,-0.568946667,-0.86057775,5.387551375,287.070077,215.255179,0,803.961721,257.276144,0,64.66848301,50.19470306,49.68078242,35.33151699,49.80529694,50.31921758
27,1.042938917,0.884293736,5.312984625,-0.624168889,-0.880826639,5.411045403,287.610306,215.090264,0,804.504948,257.8485,0,62.55977647,50.09821135,49.54279885,37.44022353,49.90178865,50.45720115
28,1.045776417,0.896247903,5.293109069,-0.665191111,-0.894431361,5.488946653,287.989903,213.783837,0,805.948658,259.402627,0,61.12193246,50.05072214,49.0918356,38.87806754,49.94927786,50.9081644
29,1.065638917,0.920785403,5.268264625,-0.699902222,-0.898544417,5.508731097,287.814899,213.354652,0,806.200652,260.620805,0,60.35763728,50.61124118,48.88435294,39.64236272,49.38875882,51.11564706
30,1.080456972,0.939031236,5.255842403,-0.732088875,-0.910250806,5.549536514,287.102345,212.265481,0,806.655383,261.658456,0,59.60991132,50.77815146,48.6409819,40.39008868,49.22184854,51.3590181
31,1.106625028,0.954445819,5.237209069,-0.742502208,-0.924171917,5.610126375,287.405656,211.227859,0,807.125905,262.210879,0,59.84580218,50.80574941,48.28106493,40.15419782,49.19425059,51.71893507
32,1.109462528,0.985904153,5.218575736,-0.725777764,-0.936194694,5.665770125,288.096905,210.026789,0,806.786595,263.25439,0,60.45325687,51.29310359,47.94569929,39.54674313,48.70689641,52.05430071
33,1.123650028,1.014845819,5.152737958,-0.692328889,-0.949483028,5.760982764,287.739099,208.533382,0,805.831009,261.892234,0,61.87571989,51.66374362,47.21339394,38.12428011,48.33625638,52.78660606
