Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,1.564723653,-0.027997917,6.766384681,-0.916688875,0.141742222,5.054925417,296.471935,205.227438,0,900.117859,181.838958,0,63.05778,16.49457627,57.23887306,36.94222,83.50542373,42.76112694
1,1.563462542,-0.01604375,6.744024667,-0.917004431,0.136996389,5.066054167,297.231989,203.637138,0,900.405751,180.876443,0,63.03097599,10.48336085,57.10397671,36.96902401,89.51663915,42.89602329
2,1.570713931,0.00094375,6.763900236,-0.922999986,0.12529,5.077182917,297.597977,201.971035,0,900.67314,180.647685,0,62.98693367,0.747620981,57.12231009,37.01306633,99.25237902,42.87768991
3,1.566300042,0.027683333,6.773838014,-0.917319986,0.110419722,5.074709861,298.032523,199.887034,0,900.791037,180.79991,0,63.06520418,20.04541697,57.17019575,36.93479582,79.95458303,42.82980425
4,1.564723653,0.050647917,6.788744681,-0.912586653,0.0996625,5.084602083,298.391099,197.970971,0,900.841816,181.054443,0,63.1621985,33.69554672,57.17633634,36.8378015,66.30445328,42.82366366
5,1.571975042,0.08210625,6.799924681,-0.905644431,0.0768825,5.058635,298.908396,195.735997,0,901.040305,181.316754,0,63.44699254,51.64280492,57.34191052,36.55300746,48.35719508,42.65808948
6,1.575127819,0.1057,6.787502458,-0.898386653,0.057899167,5.068527222,299.896823,193.305766,0,901.084231,182.345845,0,63.67974949,64.60913106,57.24937134,36.32025051,35.39086894,42.75062866
7,1.582694486,0.134641667,6.835949125,-0.888919986,0.030689722,5.053688889,300.68481,190.984436,0,901.130689,182.959258,0,64.03484459,81.4374497,57.49501471,35.96515541,18.5625503,42.50498529
8,1.583955597,0.162325,6.873215792,-0.876613319,0.0028475,5.061108056,300.662029,189.094462,0,901.587068,183.754407,0,64.37355144,98.27604474,57.59200001,35.62644856,1.723955259,42.40799999
9,1.580487542,0.19724375,6.870731347,-0.870933319,-0.041446944,5.075946389,301.872555,186.933053,0,900.93052,185.403603,0,64.4723053,82.63570998,57.51164884,35.5276947,17.36429002,42.48835116
10,1.580802819,0.224927083,6.900544681,-0.863991097,-0.080362778,5.054925417,301.967975,184.964736,0,901.503378,186.690607,0,64.65996208,73.67656512,57.7187231,35.34003792,26.32343488,42.2812769
11,1.588054208,0.2567,6.879426903,-0.865568875,-0.120544167,5.098203889,302.934563,183.590669,0,902.061068,188.904184,0,64.72282638,68.04611514,57.43562331,35.27717362,31.95388486,42.56437669
12,1.589945875,0.284697917,6.875700236,-0.857364431,-0.149968333,5.156320694,303.111906,181.773997,0,902.233442,190.829215,0,64.96707309,65.49804975,57.14501559,35.03292691,34.50195025,42.85498441
13,1.596251431,0.3189875,6.880669125,-0.870302208,-0.188251389,5.215674028,303.573758,180.04009,0,902.18558,193.310017,0,64.71586125,62.88703548,56.88222497,35.28413875,37.11296452,43.11777503
14,1.600665319,0.355164583,6.855824681,-0.869355542,-0.226850819,5.240404583,303.998368,178.80477,0,902.754773,195.654199,0,64.80371663,61.0232275,56.67737053,35.19628337,38.9767725,43.32262947
15,1.609493097,0.39165625,6.858309125,-0.872195542,-0.250896375,5.260189028,304.155357,177.081833,0,902.696237,197.981038,0,64.85475543,60.95317874,56.59372175,35.14524457,39.04682126,43.40627825
16,1.622419486,0.435697917,6.844644681,-0.866515542,-0.285066375,5.29233875,304.555108,175.154758,0,902.461497,200.544076,0,65.18528881,60.44943149,56.39494129,34.81471119,39.55056851,43.60505871
17,1.625256986,0.473447917,6.785018014,-0.853577764,-0.315123319,5.298521389,304.991627,173.769492,0,902.922168,202.657518,0,65.56536236,60.03869974,56.15091562,34.43463764,39.96130026,43.84908438
18,1.629040319,0.515602083,6.751478014,-0.845688875,-0.351508042,5.289865694,305.346944,171.323351,0,903.032518,204.225221,0,65.82701344,59.46212234,56.06914126,34.17298656,40.53787766,43.93085874
19,1.619897264,0.557441653,6.717938,-0.827386653,-0.380299431,5.29233875,306.234814,170.069595,0,902.637806,205.755372,0,66.19163608,59.44515631,55.93491424,33.80836392,40.55484369,44.06508576
20,1.620527819,0.593304153,6.664522444,-0.822653319,-0.412887486,5.324488472,306.323839,168.904839,0,902.345742,206.535939,0,66.32859896,58.96532329,55.58859268,33.67140104,41.03467671,44.41140732
21,1.609177819,0.623504153,6.602411333,-0.815079986,-0.432187208,5.375186111,306.943964,167.4349,0,902.272478,207.723386,0,66.3781639,59.06121578,55.12300245,33.6218361,40.93878422,44.87699755
22,1.605394486,0.651187486,6.546511333,-0.811924431,-0.447373875,5.444431653,307.198676,166.27484,0,902.205646,208.819782,0,66.41219224,59.27638721,54.5954671,33.58780776,40.72361279,45.4045329
23,1.593413931,0.682960403,6.484400222,-0.816026653,-0.472052208,5.568084431,307.243134,165.899782,0,902.542625,209.336306,0,66.13211139,59.13012518,53.80135639,33.86788861,40.86987482,46.19864361
