Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.705591681,0.135585417,5.782544639,-0.368568889,-0.142375,5.221856667,355.876558,209.977798,0,873.17303,214.362587,0,65.68772869,48.77867802,52.54756236,34.31227131,51.22132198,47.45243764
1,0.713158347,0.15194375,5.781302417,-0.375195556,-0.125606389,5.283683056,356.14379,209.291697,0,872.950729,214.016524,0,65.52632792,54.74461321,52.24862185,34.47367208,45.25538679,47.75137815
2,0.707798625,0.166729167,5.780060194,-0.378351111,-0.122758889,5.334380694,356.173284,208.78253,0,873.43433,213.223552,0,65.16584238,57.59448912,52.0049569,34.83415762,42.40551088,47.9950431
3,0.706537514,0.179627083,5.705526861,-0.383715556,-0.116431111,5.392497486,356.914507,209.129728,0,873.088365,212.753697,0,64.8049094,60.67289699,51.41029324,35.1950906,39.32710301,48.58970676
4,0.701808347,0.189379167,5.664533528,-0.384346667,-0.115165556,5.398680125,356.168886,209.353102,0,873.087353,213.167328,0,64.61401349,62.18435351,51.20151979,35.38598651,37.81564649,48.79848021
5,0.697709736,0.203220833,5.586273528,-0.395075556,-0.124657222,5.423410681,355.746491,210.318351,0,873.883937,213.990441,0,63.84691864,61.98061441,50.73963451,36.15308136,38.01938559,49.26036549
6,0.681315292,0.21045625,5.504286847,-0.396337778,-0.141742222,5.430829847,356.105431,210.650807,0,873.837221,215.252803,0,63.22213623,59.75501503,50.33587662,36.77786377,40.24498497,49.66412338
7,0.667127792,0.220522917,5.414846847,-0.39476,-0.168635278,5.454323875,356.177765,211.264388,0,874.582474,217.692757,0,62.82469738,56.6666512,49.81839908,37.17530262,43.3333488,50.18160092
8,0.661137514,0.2321625,5.342797958,-0.388764444,-0.206601944,5.464216097,356.679262,211.924631,0,874.409528,219.344516,0,62.97135734,52.91278793,49.43824382,37.02864266,47.08721207,50.56175618
9,0.638122236,0.241285417,5.252115736,-0.384031111,-0.242037486,5.481527486,356.924329,212.410642,0,874.51703,220.671974,0,62.4292077,49.92219803,48.93134258,37.5707923,50.07780197,51.06865742
10,0.635284736,0.254183333,5.223544625,-0.387817778,-0.269246931,5.544590403,356.648131,212.724209,0,875.315244,221.807765,0,62.09394733,48.56106933,48.50927864,37.90605267,51.43893067,51.49072136
11,0.632762514,0.258902083,5.181309069,-0.396653333,-0.291077764,5.622491653,356.666251,212.581981,0,874.609253,222.368009,0,61.46811472,47.07483095,47.95820659,38.53188528,52.92516905,52.04179341
12,0.630240292,0.275575,5.156464625,-0.40612,-0.306580819,5.712758181,357.057312,212.548776,0,874.815309,221.916958,0,60.81285599,47.33698278,47.44096903,39.18714401,52.66301722,52.55903097
13,0.629925014,0.291304167,5.129135736,-0.418426667,-0.313857764,5.798078597,357.386927,211.699891,0,874.979193,221.197818,0,60.08718501,48.1365651,46.93909701,39.91281499,51.8634349,53.06090299
14,0.627087514,0.317414583,5.151495736,-0.432942222,-0.314490542,5.914312194,356.864154,211.341522,0,874.850223,220.580015,0,59.15753988,50.23136714,46.55327264,40.84246012,49.76863286,53.44672736
15,0.627087514,0.347614583,5.099322389,-0.441777778,-0.311959431,6.016944,356.809452,210.904804,0,875.026966,219.730233,0,58.66852622,52.70289248,45.87261775,41.33147378,47.29710752,54.12738225
16,0.622673625,0.373095833,5.021062389,-0.45724,-0.318287208,6.0837165,357.328394,210.417059,0,875.539197,219.9062,0,57.65957671,53.96369463,45.21532972,42.34042329,46.03630537,54.78467028
17,0.617313903,0.403295833,4.961435722,-0.466075556,-0.334423042,6.129468028,357.578254,210.834146,0,875.571521,220.781636,0,56.9798698,54.66795645,44.73427805,43.0201302,45.33204355,55.26572195
18,0.608801403,0.431608333,4.860815722,-0.478697778,-0.356570264,6.177692611,356.846098,211.268709,0,875.975076,222.432247,0,55.98178037,54.76021994,44.03507771,44.01821963,45.23978006,55.96492229
19,0.593037514,0.454258333,4.7477735,-0.47428,-0.385361653,6.148015944,357.148144,211.244593,0,876.661151,224.344379,0,55.56336387,54.10284901,43.57438737,44.43663613,45.89715099,56.42561263
20,0.582633347,0.476279167,4.627277931,-0.470808889,-0.424277486,6.150489,357.413878,211.799773,0,876.321738,226.994901,0,55.30757428,52.88719651,42.93354978,44.69242572,47.11280349,57.06645022
21,0.555834736,0.496727083,4.550260153,-0.459133333,-0.469837486,6.160381222,356.825537,212.674593,0,876.270815,229.265546,0,54.76376576,51.39098815,42.48354504,45.23623424,48.60901185,57.51645496
22,0.546061125,0.514658333,4.465789042,-0.456924444,-0.520143319,6.173983028,356.856262,213.158435,0,875.69271,231.563898,0,54.44356745,49.73497404,41.97260066,45.55643255,50.26502596,58.02739934
23,0.536918069,0.524725,4.417342375,-0.4544,-0.558109986,6.227153722,357.176039,214.010063,0,876.051986,233.056737,0,54.162038,48.45844535,41.49883973,45.837962,51.54155465,58.50116027
24,0.532504181,0.5266125,4.388771264,-0.467653333,-0.591963597,6.316183722,356.927153,215.094735,0,876.140492,233.683726,0,53.2420317,47.07882649,40.9975686,46.7579683,52.92117351,59.0024314
25,0.531873625,0.524095833,4.366411264,-0.481222222,-0.605568319,6.413869403,357.507565,215.391199,0,876.456658,233.647551,0,52.49983271,46.39395098,40.50368816,47.50016729,53.60604902,59.49631184
26,0.528405569,0.5190625,4.391255708,-0.493213333,-0.622653319,6.526393431,357.328149,216.118223,0,876.620692,233.269011,0,51.72237593,45.46337111,40.22162329,48.27762407,54.53662889,59.77837671
27,0.535341681,0.525039583,4.416100153,-0.508044444,-0.636890819,6.657465375,357.065598,216.418469,0,876.512315,233.020356,0,51.30810807,45.18683581,39.87965883,48.69189193,54.81316419,60.12034117
28,0.546376403,0.538566653,4.432249042,-0.522875556,-0.649229986,6.740312736,357.015152,216.050681,0,876.967717,233.047651,0,51.0989387,45.34165489,39.67083942,48.9010613,54.65834511,60.32916058
29,0.558041681,0.553352069,4.447155708,-0.535813333,-0.659670819,6.795956486,357.677002,215.693196,0,876.661571,233.315224,0,51.01605546,45.61761155,39.55449018,48.98394454,54.38238845,60.44550982
30,0.568761125,0.567822903,4.465789042,-0.544648889,-0.669795264,6.854073292,356.797954,215.898801,0,877.044221,234.342864,0,51.08281028,45.88029798,39.45091301,48.91718972,54.11970202,60.54908699
31,0.568761125,0.579147903,4.435975708,-0.550328889,-0.678970528,6.839234958,356.836528,216.578527,0,877.075554,235.622111,0,50.8235368,46.03286056,39.34273017,49.1764632,53.96713944,60.65726983
32,0.572544458,0.583552069,4.383802375,-0.551906667,-0.694789972,6.833052319,356.934433,217.499685,0,877.268094,237.081328,0,50.91768291,45.64913383,39.08227836,49.08231709,54.35086617,60.91772164
33,0.568445847,0.586697903,4.315480153,-0.549382222,-0.704598028,6.783591208,356.451454,218.475718,0,877.431685,238.665802,0,50.85270828,45.43481389,38.88145244,49.14729172,54.56518611,61.11854756
34,0.558041681,0.596764569,4.229766806,-0.544648889,-0.717253583,6.715582181,356.338109,220.212658,0,877.57351,240.48537,0,50.60727787,45.41524546,38.64442158,49.39272213,54.58475454,61.35557842
35,0.549213903,0.603999986,4.163929028,-0.54244,-0.731491083,6.680959403,356.310282,220.694952,0,877.671433,241.845154,0,50.31025872,45.22680832,38.39531457,49.68974128,54.77319168,61.60468543
36,0.538494458,0.607774986,4.094364583,-0.540231111,-0.748576083,6.653755792,355.886182,221.446946,0,877.508118,242.712352,0,49.91950442,44.80956294,38.09377306,50.08049558,55.19043706,61.90622694
37,0.533134736,0.613437486,4.078215694,-0.540231111,-0.764395528,6.667357597,356.130188,221.030684,0,877.762038,243.416973,0,49.66943354,44.52190359,37.95251853,50.33056646,55.47809641,62.04748147
38,0.542277792,0.614381236,4.12045125,-0.542755556,-0.782746083,6.726710931,356.447307,220.222765,0,877.677462,243.935051,0,49.97798391,43.97460615,37.98644458,50.02201609,56.02539385,62.01355542
39,0.556465292,0.612808319,4.203680139,-0.559795556,-0.788441083,6.845417597,357.213806,218.421734,0,877.681513,243.201273,0,49.85082949,43.73299416,38.04546072,50.14917051,56.26700584,61.95453928
40,0.580426403,0.611235403,4.314237931,-0.576204444,-0.784644417,6.944339806,357.583395,217.829703,0,877.744311,241.747989,0,50.18251106,43.78854069,38.31956426,49.81748894,56.21145931,61.68043574
41,0.605963903,0.619414569,4.418584597,-0.597346667,-0.767559417,7.045735083,357.010562,216.754613,0,877.734024,240.625503,0,50.35806368,44.65942229,38.54205675,49.64193632,55.34057771,61.45794325
42,0.625511125,0.621616653,4.496844597,-0.610284444,-0.74667775,7.153313,356.99792,215.670482,0,877.943705,239.338166,0,50.61606794,45.43003695,38.59900229,49.38393206,54.56996305,61.40099771
43,0.636545847,0.615324986,4.516720153,-0.622591111,-0.719468306,7.211429806,356.80357,215.983627,0,877.914296,237.980015,0,50.55413893,46.09889711,38.51178719,49.44586107,53.90110289,61.48821281
44,0.648841681,0.605887486,4.526657931,-0.624168889,-0.688462194,7.215139389,356.36284,217.767902,0,877.870119,237.868537,0,50.96907254,46.81018547,38.55166128,49.03092746,53.18981453,61.44833872
45,0.652309736,0.593304153,4.508024597,-0.62196,-0.664733042,7.173097444,355.237086,218.862133,0,877.95656,237.697826,0,51.19086781,47.16109789,38.59239362,48.80913219,52.83890211,61.40760638
46,0.652625014,0.581349986,4.417342375,-0.617226667,-0.641320264,7.070465639,355.972901,220.891909,0,878.002485,238.295805,0,51.39379849,47.54756944,38.45243905,48.60620151,52.45243056,61.54756095
47,0.648841681,0.570968736,4.367653486,-0.61344,-0.624551653,6.976489528,354.831946,222.260399,0,878.571133,238.921865,0,51.40228925,47.75901285,38.50139654,48.59771075,52.24098715,61.49860346
48,0.645688903,0.554924986,4.269517917,-0.603026667,-0.606201097,6.849127181,355.275869,223.384259,0,878.609513,240.538811,0,51.70824474,47.79196627,38.39962405,48.29175526,52.20803373,61.60037595
49,0.642851403,0.542970819,4.185046806,-0.604604444,-0.596709431,6.771225931,355.2829,223.908846,0,878.458102,242.043447,0,51.53299848,47.6423821,38.19772386,48.46700152,52.3576179,61.80227614
50,0.641590292,0.533533333,4.108029028,-0.589457778,-0.591647208,6.724237875,354.557455,223.996173,0,878.82772,242.967675,0,52.11740367,47.41757554,37.92400118,47.88259633,52.58242446,62.07599882
51,0.641590292,0.525039583,4.040949028,-0.57936,-0.589432486,6.669830653,355.538762,222.393313,0,878.381431,243.88044,0,52.54843674,47.11105803,37.72786994,47.45156326,52.88894197,62.27213006
52,0.649472236,0.532904167,4.067035694,-0.578413333,-0.598291375,6.684668986,355.950651,219.616743,0,878.564265,244.889447,0,52.89354743,47.10981851,37.82689178,47.10645257,52.89018149,62.17310822
53,0.654201403,0.545802069,4.147780139,-0.5822,-0.601455264,6.720528292,357.096606,216.234858,0,878.009098,244.470427,0,52.91173249,47.57451128,38.16398997,47.08826751,52.42548872,61.83601003
54,0.671226403,0.565306236,4.286909028,-0.58504,-0.591963597,6.849127181,358.060664,212.857685,0,878.37655,243.418934,0,53.4302598,48.8482651,38.49582515,46.5697402,51.1517349,61.50417485
55,0.698970847,0.557756236,4.413615708,-0.601133333,-0.569499986,6.981435639,358.586276,210.790698,0,878.674234,241.412519,0,53.76267977,49.47910024,38.73274085,46.23732023,50.52089976,61.26725915
56,0.727976403,0.547060403,4.520446819,-0.622906667,-0.535962764,7.076648278,358.614912,210.519975,0,878.162445,239.568269,0,53.88892786,50.51234541,38.97913039,46.11107214,49.48765459,61.02086961
57,0.744686125,0.5190625,4.557713486,-0.641208889,-0.488504431,7.168151333,357.831452,211.418452,0,878.142169,237.818336,0,53.73322781,51.51642876,38.8688899,46.26677219,48.48357124,61.1311101
58,0.748154181,0.475020833,4.526657931,-0.655093333,-0.442628042,7.199064528,357.332292,214.389844,0,878.533123,236.219204,0,53.31590993,51.76498836,38.60451197,46.68409007,48.23501164,61.39548803
59,0.742479181,0.425002083,4.432249042,-0.659511111,-0.405610542,7.149603417,357.550115,216.462485,0,878.676112,235.60031,0,52.9589388,51.16730357,38.26891301,47.0410612,48.83269643,61.73108699
60,0.738695847,0.3775,4.315480153,-0.674657778,-0.367643875,7.089013556,357.156854,219.815711,0,879.100116,235.314029,0,52.26546521,50.66135718,37.84017303,47.73453479,49.33864282,62.15982697
61,0.722301403,0.332514583,4.214860139,-0.67592,-0.346445819,6.96412425,356.807048,221.891343,0,879.448857,236.023582,0,51.65858578,48.97407595,37.70342629,48.34141422,51.02592405,62.29657371
62,0.709059736,0.283125,4.12045125,-0.672133333,-0.329044431,6.839234958,356.551995,223.007593,0,879.901332,236.635393,0,51.33675746,46.24945087,37.59643453,48.66324254,53.75054913,62.40356547
63,0.704015292,0.242858333,4.045917917,-0.659826667,-0.319236375,6.737839681,356.684418,222.589614,0,879.890204,237.938513,0,51.62000534,43.2059455,37.51862818,48.37999466,56.7940545,62.48137182
64,0.693611125,0.209197917,4.002440139,-0.646573333,-0.319552764,6.667357597,357.544979,221.653028,0,879.868656,238.748559,0,51.75489991,39.56456689,37.51186515,48.24510009,60.43543311,62.48813485
65,0.687620847,0.202277083,3.977595694,-0.64468,-0.322400264,6.673540236,359.465717,217.227073,0,880.269293,238.208373,0,51.61152968,38.55266182,37.34433323,48.38847032,61.44733818,62.65566677
66,0.679423625,0.210770833,4.073246806,-0.65036,-0.332524708,6.742785792,360.312312,212.430323,0,879.998954,237.566229,0,51.09279527,38.7948763,37.65934291,48.90720473,61.2051237,62.34065709
67,0.678477792,0.246947917,4.23225125,-0.664244444,-0.330626375,6.855309819,361.960675,207.684916,0,879.944915,235.48904,0,50.5300183,42.75604372,38.17116518,49.4699817,57.24395628,61.82883482
68,0.697079181,0.292247917,4.398709042,-0.698324444,-0.305315264,6.991327861,362.312717,202.489422,0,879.674624,233.315508,0,49.9553798,48.90661376,38.61891826,50.0446202,51.09338624,61.38108174
69,0.729552792,0.30955,4.514235708,-0.724515542,-0.278422208,7.129818972,363.170454,200.348429,0,880.38269,230.732167,0,50.17321229,52.64704617,38.76858905,49.82678771,47.35295383,61.23141095
70,0.758243069,0.307347917,4.534111264,-0.758911097,-0.239189986,7.206483694,363.509019,200.1642,0,880.578579,228.46275,0,49.97798418,56.23542578,38.61909281,50.02201582,43.76457422,61.38090719
71,0.764863903,0.27651875,4.498086819,-0.776266653,-0.198375833,7.213902861,362.891809,201.741735,0,880.463159,226.677369,0,49.63005243,58.22739608,38.40582977,50.36994757,41.77260392,61.59417023
72,0.751622236,0.2265,4.401193486,-0.793622208,-0.174963056,7.196591472,362.626917,204.005862,0,881.222496,224.849468,0,48.64099262,56.41864098,37.94856951,51.35900738,43.58135902,62.05143049
73,0.727345847,0.173335417,4.250884583,-0.787626653,-0.144589722,7.114980639,362.626437,207.145274,0,881.652963,224.350922,0,48.01049836,54.52082754,37.40044863,51.98950164,45.47917246,62.59955137
74,0.710636125,0.137472917,4.134115694,-0.782262208,-0.122126111,6.987618278,362.854659,209.347634,0,881.657688,223.704714,0,47.60110646,52.9558673,37.17150316,52.39889354,47.0441327,62.82849684
75,0.686990292,0.100666667,4.022315694,-0.763328875,-0.107255833,6.860255931,363.364843,210.674928,0,882.125949,223.530475,0,47.36821435,48.41547532,36.96107715,52.63178565,51.58452468,63.03892285
