Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.837062514,0.196929167,6.862035792,-0.590088889,0.004745833,5.380132222,377.099586,211.395022,0,882.855356,256.479812,0,58.65267779,97.64679145,56.05245561,41.34732221,2.353208545,43.94754439
1,0.834855569,0.207310417,6.838433569,-0.596715556,0.004429444,5.377659167,377.308283,210.751265,0,882.658717,255.925675,0,58.31743564,97.90807247,55.97889372,41.68256436,2.091927529,44.02110628
2,0.831072236,0.212029167,6.829738014,-0.602395556,0.003163889,5.381368736,376.819355,210.19467,0,882.308728,255.285062,0,57.97634526,98.52974396,55.93054056,42.02365474,1.470256036,44.06945944
3,0.832333347,0.207625,6.802409125,-0.609337778,-0.001581944,5.438249014,377.358468,209.719355,0,883.217401,254.923578,0,57.73392647,99.24383751,55.57224986,42.26607353,0.756162492,44.42775014
4,0.829180569,0.2170625,6.777564681,-0.614071111,-0.001265556,5.441958597,377.424862,209.31574,0,883.00466,254.40402,0,57.4522504,99.42034222,55.46504988,42.5477496,0.579657778,44.53495012
5,0.826973625,0.224297917,6.753962458,-0.620697778,-0.006644167,5.487710125,377.414329,209.364115,0,883.070487,253.419358,0,57.12440153,97.12301605,55.17189267,42.87559847,2.876983948,44.82810733
6,0.824451403,0.229645833,6.719180222,-0.620066667,-0.004113056,5.544590403,377.646758,208.774694,0,883.017075,252.443104,0,57.07449565,98.24047095,54.78886085,42.92550435,1.759529049,45.21113915
7,0.822875014,0.232791667,6.664522444,-0.626693333,-0.001265556,5.540880819,377.947132,208.320017,0,883.215475,251.708222,0,56.76689999,99.45929652,54.60304998,43.23310001,0.540703484,45.39695002
8,0.820037514,0.237510417,6.674460222,-0.62764,0.001265556,5.573030542,377.376099,208.303346,0,882.932113,251.091373,0,56.64504049,99.46998203,54.4965524,43.35495951,0.530017968,45.5034476
9,0.818461125,0.241285417,6.645889111,-0.631111111,-0.003480278,5.587868875,377.605262,207.898434,0,883.253847,250.8069,0,56.46225173,98.57811864,54.32418329,43.53774827,1.421881357,45.67581671
10,0.815308347,0.2472625,6.657069111,-0.629217778,-0.001265556,5.598997625,377.049402,207.382403,0,883.342851,250.342211,0,56.4412324,99.4907796,54.3165214,43.5587676,0.509220399,45.6834786
11,0.814047236,0.249779167,6.607380222,-0.633004444,-0.002214722,5.638566514,378.251979,206.327555,0,883.139552,249.909617,0,56.25557449,99.12112066,53.95565051,43.74442551,0.878879338,46.04434949
12,0.824136125,0.2585875,6.606138,-0.637737778,-0.016452222,5.683081514,378.195535,206.255915,0,883.328758,249.443122,0,56.37532235,94.01823777,53.75555374,43.62467765,5.98176223,46.24444626
13,0.823505569,0.26708125,6.604895778,-0.642786667,-0.028475,5.706575542,378.069593,205.603694,0,883.422979,249.354077,0,56.16244492,90.36562414,53.64830577,43.83755508,9.634375859,46.35169423
14,0.820037514,0.265822917,6.589989111,-0.641208889,-0.030056944,5.746144431,377.973128,204.749531,0,883.621101,249.554754,0,56.11904415,89.8415038,53.42021541,43.88095585,10.1584962,46.57978459
15,0.822244458,0.27840625,6.568871333,-0.643733333,-0.039865,5.772111514,378.321531,204.911014,0,883.794909,249.617513,0,56.08846621,87.47452055,53.22810521,43.91153379,12.52547945,46.77189479
16,0.820352792,0.275889583,6.555206889,-0.653515556,-0.044610833,5.790659431,377.898704,204.901141,0,883.867793,249.953278,0,55.65984189,86.08088133,53.09637023,44.34015811,13.91911867,46.90362977
