Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,1.239041694,0.212029167,5.362673514,-1.134422208,-0.354355542,4.791545014,372.070676,199.648049,0,944.996604,229.211341,0,52.20394096,37.4355387,52.81227205,47.79605904,62.5644613,47.18772795
1,1.24818475,0.213602083,5.404909069,-1.124955542,-0.371756931,4.721062931,372.314519,200.567617,0,944.446493,229.287718,0,52.59633214,36.49078228,53.37669381,47.40366786,63.50921772,46.62330619
2,1.266155583,0.218635417,5.448386847,-1.111071097,-0.386943597,4.667892236,371.717579,201.156354,0,944.158522,229.570734,0,53.26187838,36.10353259,53.85761704,46.73812162,63.89646741,46.14238296
3,1.292008361,0.233420833,5.519193514,-1.087404431,-0.402446653,4.612248486,371.135248,201.613742,0,944.441789,229.946128,0,54.29946269,36.70903741,54.4758931,45.70053731,63.29096259,45.5241069
4,1.32195975,0.242858333,5.549006861,-1.069102208,-0.438198597,4.566496958,371.406481,201.233505,0,943.968411,229.666962,0,55.28755729,35.6590356,54.8564556,44.71244271,64.3409644,45.1435444
5,1.35033475,0.263935417,5.64341575,-1.049537764,-0.465724431,4.546712514,371.050855,201.879283,0,943.338149,229.680851,0,56.26693677,36.17239152,55.38120428,43.73306323,63.82760848,44.61879572
6,1.370827806,0.296966667,5.722917972,-1.032182208,-0.481543875,4.508380153,370.567579,201.324849,0,943.321236,228.604347,0,57.04627936,38.14549075,55.93540431,42.95372064,61.85450925,44.06459569
7,1.385645861,0.326222917,5.79993575,-1.024293319,-0.509069708,4.481176542,371.096524,200.838608,0,943.499078,228.301827,0,57.4971299,39.05492601,56.41350455,42.5028701,60.94507399,43.58649545
8,1.402986139,0.359254167,5.868257972,-1.016088875,-0.535013597,4.440371125,371.103458,201.043828,0,943.131314,228.402874,0,57.9968017,40.17299753,56.92568737,42.0031983,59.82700247,43.07431263
9,1.413075028,0.397004167,5.962666875,-0.992737764,-0.565386931,4.383490847,370.778149,200.587631,0,942.885536,228.861434,0,58.73586809,41.25185362,57.63170285,41.26413191,58.74814638,42.36829715
10,1.441450042,0.435383333,6.033473542,-0.957711097,-0.606517486,4.275912944,370.297067,200.863457,0,943.228605,229.717911,0,60.08141839,41.78740675,58.52407949,39.91858161,58.21259325,41.47592051
11,1.475500042,0.468414583,6.095584653,-0.927102208,-0.647015264,4.188119472,369.829203,200.200959,0,942.978545,230.924599,0,61.41258053,41.99408726,59.27421266,38.58741947,58.00591274,40.72578734
12,1.509550042,0.519377083,6.139062431,-0.887657764,-0.700484972,4.104035583,369.875164,199.823734,0,942.586029,231.682302,0,62.97117998,42.57670619,59.9336492,37.02882002,57.42329381,40.0663508
13,1.542338931,0.557127069,6.185024653,-0.866515542,-0.745728583,3.986565444,369.57768,199.792542,0,942.198873,232.6349,0,64.02789991,42.76199503,60.80686101,35.97210009,57.23800497,39.19313899
14,1.564723653,0.600539569,6.197446875,-0.835906653,-0.78939025,3.903718083,369.369344,199.561889,0,941.6689,232.902004,0,65.1797009,43.20646705,61.35378346,34.8202991,56.79353295,38.64621654
15,1.580487542,0.641120819,6.223533542,-0.808137764,-0.821345528,3.825816847,369.128797,199.866204,0,941.311109,232.513588,0,66.16724431,43.83832973,61.92970989,33.83275569,56.16167027,38.07029011
16,1.595305597,0.682960403,6.199931319,-0.797093319,-0.841594417,3.782538375,368.452511,199.7917,0,941.446279,232.595155,0,66.68225713,44.79736603,62.10819075,33.31774287,55.20263397,37.89180925
