Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,1.010465306,0.070152083,5.591242417,-0.960866653,-0.315756097,5.325725,391.74373,198.53065,0,931.397843,206.935663,0,51.2579985,18.17843903,51.2160768,48.7420015,81.82156097,48.7839232
1,1.01550975,0.072354167,5.58751575,-0.964022208,-0.315439708,5.326961528,391.212273,198.671922,0,931.060664,206.917969,0,51.30049786,18.65789311,51.1936175,48.69950214,81.34210689,48.8063825
2,1.018977806,0.063860417,5.567640194,-0.964022208,-0.308479153,5.340563333,391.652767,198.929813,0,931.06078,206.647769,0,51.3856681,17.15112277,51.04085361,48.6143319,82.84887723,48.95914639
3,1.022445861,0.06795,5.555217972,-0.967177764,-0.312592208,5.351692083,391.887329,199.281039,0,931.401357,206.590305,0,51.38890835,17.85610072,50.93301351,48.61109165,82.14389928,49.06698649
4,1.026229194,0.067635417,5.555217972,-0.966546653,-0.314806931,5.3479825,391.546814,199.76992,0,931.59372,206.144022,0,51.49747253,17.68512749,50.95034239,48.50252747,82.31487251,49.04965761
5,1.031588917,0.068579167,5.541553528,-0.968755542,-0.320185542,5.362820833,391.505853,199.501411,0,931.085084,206.737227,0,51.57056388,17.64027578,50.81954585,48.42943612,82.35972422,49.18045415
6,1.029066694,0.069208333,5.544037972,-0.970964431,-0.322716653,5.334380694,390.857067,199.693013,0,931.509011,205.966446,0,51.45253399,17.65856625,50.96363858,48.54746601,82.34143375,49.03636142
7,1.032219472,0.076129167,5.537826861,-0.972542208,-0.322400264,5.360347778,391.627564,199.267024,0,931.394437,206.400507,0,51.48838798,19.10252062,50.8142606,48.51161202,80.89747938,49.1857394
8,1.033165306,0.076129167,5.552733528,-0.971595542,-0.323982208,5.381368736,390.699981,199.034666,0,931.437823,206.127985,0,51.53558875,19.02699384,50.78362534,48.46441125,80.97300616,49.21637466
9,1.040101417,0.087454167,5.549006861,-0.969386653,-0.332841097,5.378895694,391.437012,198.214742,0,931.434048,206.406416,0,51.75952186,20.80779256,50.77833402,48.24047814,79.19220744,49.22166598
10,1.041993083,0.097835417,5.534100194,-0.972542208,-0.335055819,5.357874722,392.141767,197.662287,0,931.34784,206.445228,0,51.72374431,22.60046139,50.80896933,48.27625569,77.39953861,49.19103067
11,1.047352806,0.11230625,5.549006861,-0.970648875,-0.339168875,5.385078319,392.23312,197.053866,0,931.284474,207.051161,0,51.90049224,24.8754015,50.74962166,48.09950776,75.1245985,49.25037834
12,1.05239725,0.120485417,5.570124639,-0.967808875,-0.348344153,5.364057361,392.708746,196.268189,0,931.295446,206.807688,0,52.09355803,25.69919317,50.9423077,47.90644197,74.30080683,49.0576923
