Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,1.141620861,0.156347917,6.291855764,-0.480906667,-0.280636931,4.054574472,377.432579,302.431828,0,884.276844,318.418276,0,70.36064668,35.77879591,60.81185124,29.63935332,64.22120409,39.18814876
1,1.122704194,0.182458333,6.250862431,-0.478697778,-0.277789431,4.069412806,377.801785,301.305997,0,884.974609,318.874412,0,70.1075816,39.6435024,60.56875701,29.8924184,60.3564976,39.43124299
2,1.118605583,0.2057375,6.186266875,-0.485324444,-0.291077764,4.092906833,378.572743,299.965644,0,885.114199,318.809809,0,69.74154508,41.41126792,60.18253072,30.25845492,58.58873208,39.81746928
3,1.100319472,0.240027083,6.095584653,-0.489111111,-0.301518597,4.148550583,379.255117,299.430656,0,885.424684,319.192942,0,69.22727446,44.32259216,59.50316461,30.77272554,55.67740784,40.49683539
4,1.08360975,0.26141875,6.019809097,-0.489426667,-0.314174153,4.20048475,379.909118,297.964084,0,885.959547,319.228605,0,68.8865012,45.41729906,58.90054814,31.1134988,54.58270094,41.09945186
5,1.071313917,0.282810417,5.939064653,-0.493213333,-0.330626375,4.279622528,380.255953,296.169616,0,885.959135,319.343947,0,68.47524814,46.10261734,58.11964441,31.52475186,53.89738266,41.88035559
6,1.058387528,0.305460417,5.840929083,-0.503942222,-0.350242486,4.350104611,381.381317,295.782936,0,885.696289,319.346899,0,67.74418318,46.58518597,57.31439281,32.25581682,53.41481403,42.68560719
7,1.039470861,0.322447917,5.747762417,-0.514355556,-0.375237208,4.441607653,381.889741,294.312398,0,886.667101,319.069506,0,66.89748932,46.21682549,56.40939899,33.10251068,53.78317451,43.59060101
8,1.018662528,0.341952083,5.664533528,-0.526977778,-0.386943597,4.552895153,382.708148,292.657099,0,887.481711,318.514411,0,65.90553599,46.91372064,55.43991257,34.09446401,53.08627936,44.56008743
9,0.99564725,0.360827083,5.537826861,-0.537706667,-0.402446653,4.681494042,383.779733,292.003992,0,887.189199,317.720397,0,64.93264465,47.27361447,54.1897736,35.06735535,52.72638553,45.8102264
10,0.984927806,0.390083333,5.447144625,-0.562004444,-0.418266097,4.798964181,383.910346,290.732166,0,887.404824,317.135753,0,63.66974414,48.25677097,53.16305661,36.33025586,51.74322903,46.83694339
11,0.964119472,0.410216667,5.357704625,-0.578728889,-0.435667486,4.923853472,384.573594,289.560248,0,888.115714,316.661131,0,62.48958073,48.49560845,52.1098512,37.51041927,51.50439155,47.8901488
12,0.946148639,0.430979167,5.258326847,-0.591982222,-0.460345819,5.051215833,384.774304,288.616388,0,888.290431,316.599376,0,61.51288312,48.35264055,51.00446266,38.48711688,51.64735945,48.99553734
13,0.933537528,0.450483333,5.145284625,-0.612808889,-0.480911097,5.164976389,385.559792,287.906795,0,888.870027,317.464131,0,60.37053003,48.36654789,49.90450405,39.62946997,51.63345211,50.09549595
14,0.916827806,0.466527083,5.070751278,-0.622591111,-0.510968042,5.2589525,385.939351,287.387876,0,888.843066,317.993797,0,59.55674545,47.72679386,49.08902895,40.44325455,52.27320614,50.91097105
15,0.904531972,0.471245833,4.970131278,-0.633004444,-0.534380819,5.352928611,386.205616,287.484604,0,889.223775,318.504867,0,58.82995436,46.86091325,48.1459115,41.17004564,53.13908675,51.8540885
16,0.890344472,0.475964583,4.864542389,-0.640577778,-0.559375542,5.423410681,386.685356,286.492212,0,889.680194,318.933961,0,58.15739318,45.97180886,47.28387033,41.84260682,54.02819114,52.71612967
17,0.868590306,0.483829167,4.755226833,-0.651622222,-0.571398319,5.511204153,386.790297,286.588037,0,889.371166,319.548162,0,57.13611023,45.85069789,46.31820776,42.86388977,54.14930211,53.68179224
18,0.838954181,0.486660417,4.638457931,-0.672448889,-0.587534153,5.631147347,387.394168,286.906762,0,889.989017,319.166353,0,55.50830202,45.30468041,45.166857,44.49169798,54.69531959,54.833143
19,0.820983347,0.4983,4.550260153,-0.68444,-0.607150264,5.747380958,387.090707,286.436385,0,890.026188,319.286878,0,54.53504815,45.07665485,44.18740276,45.46495185,54.92334515,55.81259724
20,0.796076403,0.50585,4.422311264,-0.708106653,-0.614427208,5.871033736,387.865027,286.765529,0,889.901266,319.73031,0,52.92417036,45.15400262,42.9628198,47.07582964,54.84599738,57.0371802
21,0.773691681,0.515916667,4.332871264,-0.720413319,-0.626766375,5.992213444,387.582114,286.615367,0,889.709302,320.547626,0,51.78295237,45.14958636,41.96451057,48.21704763,54.85041364,58.03548943
22,0.752252792,0.5303875,4.235977917,-0.735244431,-0.644167764,6.092372194,387.30402,286.792986,0,889.91911,321.608256,0,50.57171068,45.15645337,41.01311314,49.42828932,54.84354663,58.98688686
23,0.733020847,0.536364583,4.104302361,-0.737768875,-0.655557764,6.207369278,387.79094,287.657836,0,889.257581,322.722868,0,49.83858917,44.99996032,39.80249279,50.16141083,55.00003968,60.19750721
24,0.712527792,0.551779153,4.006166806,-0.749444431,-0.668529708,6.296399278,387.655864,287.455455,0,889.32312,323.839423,0,48.73743706,45.21635222,38.88513573,51.26256294,54.78364778,61.11486427
25,0.697394458,0.561845819,3.91921125,-0.757017764,-0.683716361,6.360698722,386.704413,287.443959,0,889.398965,325.230583,0,47.95026112,45.10780981,38.12495694,52.04973888,54.89219019,61.87504306
26,0.674379181,0.567508319,3.838466792,-0.770586653,-0.68688025,6.470749681,387.228782,287.186025,0,889.402298,325.764101,0,46.67094301,45.24182803,37.23335136,53.32905699,54.75817197,62.76664864
27,0.662713903,0.585439569,3.760206792,-0.782893319,-0.693840806,6.561016208,387.816923,286.657292,0,889.633104,325.597524,0,45.84328942,45.76319475,36.43179487,54.15671058,54.23680525,63.56820513
28,0.651048625,0.593304153,3.703064569,-0.804035542,-0.699219417,6.674776764,387.962768,286.084954,0,889.644137,325.588842,0,44.74302174,45.90277244,35.68241651,55.25697826,54.09722756,64.31758349
29,0.629925014,0.609662486,3.624804569,-0.820759986,-0.693208028,6.786064264,388.061563,285.418828,0,889.670363,325.846617,0,43.42259098,46.79378953,34.81750301,56.57740902,53.20621047,65.18249699
30,0.620151403,0.620672903,3.566420125,-0.849475542,-0.694157194,6.924555361,388.708363,283.789789,0,889.945754,325.245168,0,42.1978792,47.20555942,33.995124,57.8021208,52.79444058,66.004876
31,0.607855569,0.625077069,3.491886792,-0.870933319,-0.706496361,7.051917722,389.420063,282.532106,0,889.970107,325.547911,0,41.1049592,46.9427412,33.11790148,58.8950408,53.0572588,66.88209852
32,0.595244458,0.636087486,3.427291222,-0.892075542,-0.715671639,7.204010639,388.327808,283.029971,0,890.06356,325.820714,0,40.02127708,47.05627462,32.23773783,59.97872292,52.94372538,67.76226217
33,0.581687514,0.642379153,3.321702333,-0.907537764,-0.72105025,7.322717306,389.270824,282.605632,0,890.232791,326.196799,0,39.05973949,47.11495523,31.20604454,60.94026051,52.88504477,68.79395546
34,0.576012514,0.641435403,3.265802333,-0.925839986,-0.722315806,7.426585639,388.357068,282.335964,0,889.837563,327.014873,0,38.35346773,47.03463497,30.54324574,61.64653227,52.96536503,69.45675426
35,0.558041681,0.647412486,3.186300111,-0.930888875,-0.727061639,7.552711458,388.573639,283.679099,0,889.728271,327.653116,0,37.47936252,47.10255903,29.67032944,62.52063748,52.89744097,70.32967056
36,0.554258347,0.634514569,3.111766778,-0.938146653,-0.722948583,7.646687569,388.606229,283.912859,0,889.784899,328.20339,0,37.1386016,46.7426735,28.92392046,62.8613984,53.2573265,71.07607954
37,0.546376403,0.633256236,3.070773444,-0.949822208,-0.716937194,7.688729514,388.412436,284.592013,0,889.623899,329.121247,0,36.51763868,46.90114926,28.54010502,63.48236132,53.09885074,71.45989498
38,0.545430569,0.624133319,3.037233431,-0.952031097,-0.698586639,7.749319375,388.163637,284.732734,0,889.963887,330.28552,0,36.42367492,47.18559779,28.15759108,63.57632508,52.81440221,71.84240892
39,0.541331958,0.621931236,2.993755653,-0.955186653,-0.68688025,7.840822431,388.626754,285.926916,0,889.782308,330.528322,0,36.1727515,47.51877889,27.63149271,63.8272485,52.48122111,72.36850729
40,0.524937514,0.610606236,2.961457875,-0.961813319,-0.673275542,7.908831458,388.140725,285.432742,0,889.650227,331.366441,0,35.30769932,47.55938177,27.24359752,64.69230068,52.44061823,72.75640248
41,0.511695847,0.597708319,2.895620097,-0.969071097,-0.668529708,7.992915333,388.002068,286.934522,0,889.787142,331.64891,0,34.55613654,47.20347252,26.59329269,65.44386346,52.79652748,73.40670731
42,0.495301403,0.586697903,2.826055653,-0.975697764,-0.675173875,8.063397417,388.663114,287.692174,0,889.684197,332.258412,0,33.67108656,46.49425664,25.95222767,66.32891344,53.50574336,74.04777233
43,0.471655569,0.568452069,2.731646764,-0.973173319,-0.68118525,8.177157972,387.813009,289.840138,0,889.829278,332.256469,0,32.64438945,45.48936404,25.04075222,67.35561055,54.51063596,74.95924778
44,0.456206958,0.551149986,2.654628972,-0.982008875,-0.679919694,8.237747833,387.147522,291.607076,0,889.428881,332.707906,0,31.72034042,44.77000732,24.37143903,68.27965958,55.22999268,75.62856097
45,0.439181958,0.533847917,2.580095639,-0.971595542,-0.681501639,8.318122139,387.032055,293.102789,0,889.487656,333.09526,0,31.13049069,43.92546278,23.67447312,68.86950931,56.07453722,76.32552688
46,0.433191681,0.51623125,2.550282306,-0.975066653,-0.68688025,8.331723944,387.08363,294.541302,0,889.141662,333.860932,0,30.76081073,42.90801393,23.43577321,69.23918927,57.09198607,76.56422679
47,0.430038903,0.497670833,2.513015639,-0.965915542,-0.684349139,8.362637139,387.141947,296.24275,0,889.419981,334.285086,0,30.80608429,42.10342,23.10680278,69.19391571,57.89658,76.89319722
48,0.433506958,0.490120833,2.488171194,-0.962444431,-0.681501639,8.382421583,387.424352,296.647385,0,889.232359,335.009013,0,31.05458842,41.83265898,22.88901116,68.94541158,58.16734102,77.11098884
49,0.432561125,0.46338125,2.48568675,-0.941302208,-0.665998597,8.405915611,385.833384,297.953687,0,889.064926,334.861497,0,31.48501852,41.02970769,22.82204829,68.51498148,58.97029231,77.17795171
50,0.428777792,0.452370833,2.423575639,-0.920159986,-0.645749708,8.392313806,387.547474,299.963302,0,888.986332,335.243937,0,31.78632838,41.19500694,22.40754818,68.21367162,58.80499306,77.59245182
51,0.420895847,0.438214583,2.414880083,-0.904382208,-0.618223875,8.41209825,385.108441,300.297137,0,889.024723,335.020855,0,31.75905958,41.48037019,22.30428481,68.24094042,58.51962981,77.69571519
52,0.413329181,0.4209125,2.356495639,-0.883555542,-0.595127486,8.417044361,385.066604,301.913434,0,888.966081,334.28861,0,31.8709268,41.42676526,21.8729929,68.1290732,58.57323474,78.1270071
53,0.404501403,0.399520833,2.308048972,-0.873773319,-0.573613042,8.417044361,385.268228,302.63522,0,889.194211,333.674866,0,31.64432463,41.05507409,21.52008286,68.35567537,58.94492591,78.47991714
54,0.396619458,0.380645833,2.270782306,-0.878191097,-0.547985542,8.408388667,384.490337,303.563338,0,889.352619,332.891287,0,31.11203124,40.98998199,21.26365718,68.88796876,59.01001801,78.73634282
55,0.377072236,0.352647917,2.219851181,-0.889866653,-0.526471097,8.435592278,385.736151,304.179865,0,889.609478,331.919096,0,29.76246443,40.11378563,20.83302482,70.23753557,59.88621437,79.16697518
56,0.375811125,0.328110417,2.207428958,-0.907853319,-0.517612208,8.438065333,385.581234,305.657284,0,889.824087,331.394747,0,29.27643019,38.79645725,20.73580519,70.72356981,61.20354275,79.26419481
57,0.368875014,0.314583333,2.211155625,-0.914164431,-0.504640264,8.472688097,386.650307,302.925555,0,890.018059,330.659784,0,28.75009147,38.40017968,20.69625579,71.24990853,61.59982032,79.30374421
58,0.367298625,0.296966667,2.182584514,-0.922053319,-0.492617486,8.446721028,387.030419,303.449571,0,890.259131,330.534824,0,28.48707264,37.61051506,20.5336511,71.51292736,62.38948494,79.4663489
59,0.361938903,0.294135417,2.188795625,-0.919844431,-0.484391375,8.461559347,387.925938,302.442496,0,890.649314,330.515236,0,28.23713598,37.78102691,20.5513866,71.76286402,62.21897309,79.4486134
60,0.366037514,0.290360417,2.187553403,-0.907537764,-0.482493042,8.452903667,387.64375,301.535424,0,890.515681,330.202534,0,28.74094058,37.56991879,20.55882927,71.25905942,62.43008121,79.44117073
61,0.359731958,0.28218125,2.142833403,-0.893968875,-0.487871653,8.41209825,388.185467,301.810007,0,890.696664,330.720562,0,28.69360447,36.64439793,20.30172694,71.30639553,63.35560207,79.69827306
62,0.355948625,0.2699125,2.141591181,-0.883871097,-0.485024153,8.377475472,385.822002,300.904485,0,890.884457,330.964178,0,28.70970824,35.75299981,20.3591369,71.29029176,64.24700019,79.6408631
63,0.347436125,0.260475,2.106808958,-0.875666653,-0.482176653,8.321831722,388.204939,301.207121,0,890.972284,330.882809,0,28.40612672,35.07364442,20.20214353,71.59387328,64.92635558,79.79785647
64,0.350273625,0.260789583,2.116746736,-0.868093319,-0.481543875,8.243930472,387.182439,300.564924,0,890.977338,330.472973,0,28.74943601,35.13105605,20.4305828,71.25056399,64.86894395,79.5694172
65,0.343968069,0.246633333,2.111777847,-0.860204431,-0.483442208,8.169738806,387.366521,300.504562,0,891.216836,330.081959,0,28.564684,33.78189232,20.53955577,71.435316,66.21810768,79.46044423
66,0.346490292,0.2265,2.142833403,-0.862728875,-0.469837486,8.148717833,386.834799,300.18817,0,891.532794,328.733018,0,28.65405224,32.52733115,20.82128684,71.34594776,67.47266885,79.17871316
67,0.344283347,0.2208375,2.165193403,-0.857048875,-0.458447486,8.126460333,386.753663,299.810375,0,891.904739,327.126287,0,28.65846273,32.51028722,21.0383429,71.34153727,67.48971278,78.9616571
68,0.351219458,0.217691667,2.134137847,-0.857364431,-0.437882208,8.07823575,388.815517,300.418333,0,891.456792,325.025107,0,29.06041207,33.20627544,20.89756928,70.93958793,66.79372456,79.10243072
69,0.349327792,0.211714583,2.160224514,-0.849159986,-0.424277486,8.046086028,388.171562,299.154482,0,891.757601,323.107882,0,29.1473804,33.28887159,21.16557697,70.8526196,66.71112841,78.83442303
70,0.349958347,0.20101875,2.154013403,-0.834644431,-0.405294153,8.022592,388.823413,298.692876,0,891.661178,320.917481,0,29.54225279,33.15429196,21.16632529,70.45774721,66.84570804,78.83367471
71,0.355318069,0.197872917,2.129168958,-0.816026653,-0.373971653,8.018882417,388.503784,299.411061,0,891.589279,319.266569,0,30.3342016,34.60256987,20.98106207,69.6657984,65.39743013,79.01893793
72,0.360362514,0.18403125,2.137864514,-0.795199986,-0.361316097,8.058451306,388.252366,297.709602,0,891.276791,317.824124,0,31.18503014,33.74569454,20.96702919,68.81496986,66.25430546,79.03297081
73,0.366668069,0.17365,2.144075625,-0.785417764,-0.352140819,8.043612972,387.352624,298.011306,0,891.323753,317.465933,0,31.82645414,33.026442,21.04575149,68.17354586,66.973558,78.95424851
74,0.371712514,0.165470833,2.131653403,-0.779106653,-0.353089986,8.034957278,389.126559,299.001564,0,891.358633,317.159624,0,32.29981952,31.90962894,20.96719811,67.70018048,68.09037106,79.03280189
75,0.372658347,0.158235417,2.152771181,-0.780999986,-0.370174986,8.065870472,388.970669,297.437036,0,891.445366,317.272442,0,32.30231486,29.9455529,21.06709731,67.69768514,70.0544471,78.93290269
76,0.378648625,0.146910417,2.144075625,-0.803088875,-0.396751653,8.10049325,388.613476,298.495794,0,891.849597,317.551414,0,32.0416865,27.02237749,20.92890049,67.9583135,72.97762251,79.07109951
77,0.363830569,0.141877083,2.145317847,-0.837799986,-0.432819986,8.149954361,388.814556,297.911419,0,892.491962,317.470436,0,30.27807239,24.6872815,20.83789339,69.72192761,75.3127185,79.16210661
78,0.355948625,0.145966667,2.150286736,-0.883239986,-0.464775264,8.201888528,391.785671,297.459105,0,893.685192,317.418874,0,28.72432992,23.8998928,20.77135173,71.27567008,76.1001072,79.22864827
79,0.338608347,0.152572917,2.161466736,-0.936568875,-0.485973319,8.221672972,391.492863,294.408833,0,894.587513,317.188855,0,26.55382651,23.89379313,20.81708228,73.44617349,76.10620687,79.18291772
80,0.321268069,0.149741667,2.151528958,-0.978537764,-0.503374708,8.217963389,394.770748,293.24664,0,895.084493,316.402698,0,24.71662007,22.92725652,20.7486431,75.28337993,77.07274348,79.2513569
81,0.293523625,0.1604375,2.162708958,-1.021453319,-0.504323875,8.205598111,395.522802,290.490142,0,896.154502,315.536048,0,22.32157957,24.13460018,20.85884363,77.67842043,75.86539982,79.14115637
82,0.272084722,0.16138125,2.147802292,-1.057742208,-0.507487764,8.157373528,397.220765,289.074234,0,896.616783,314.29567,0,20.46016034,24.12748186,20.8419762,79.53983966,75.87251814,79.1580238
83,0.261365278,0.16515625,2.140348958,-1.081093319,-0.503374708,8.126460333,398.398438,286.926624,0,897.235341,312.819121,0,19.46914998,24.70435332,20.84726518,80.53085002,75.29564668,79.15273482
84,0.251276389,0.164527083,2.099355625,-1.082986653,-0.489453597,8.068343528,401.000145,287.406684,0,897.464189,311.412146,0,18.83259755,25.15778955,20.64730273,81.16740245,74.84221045,79.35269727
85,0.242763889,0.164527083,2.078237847,-1.060897764,-0.469204708,7.985496167,401.258169,285.542929,0,897.386568,310.260833,0,18.62169439,25.96162691,20.65076287,81.37830561,74.03837309,79.34923713
86,0.247493056,0.157291667,2.078237847,-1.029026653,-0.442944431,7.895229653,399.708679,285.590885,0,897.23177,308.823713,0,19.38811081,26.20496624,20.83766601,80.61188919,73.79503376,79.16233399
87,0.248754167,0.154460417,2.054635625,-0.982008875,-0.422379153,7.753028958,401.468218,285.685753,0,897.011965,306.97906,0,20.21137768,26.77701476,20.9492852,79.78862232,73.22298524,79.0507148
88,0.254429167,0.1642125,2.062088958,-0.934675542,-0.376819153,7.591043819,400.19217,283.972525,0,896.66818,304.360063,0,21.39669996,30.3517362,21.36186258,78.60330004,69.6482638,78.63813742
89,0.267040278,0.179627083,2.049666736,-0.884186653,-0.316388875,7.396908972,403.208032,283.878749,0,896.182613,301.047392,0,23.19614584,36.21397262,21.69745736,76.80385416,63.78602738,78.30254264
90,0.276498611,0.194097917,2.096871181,-0.849159986,-0.243303042,7.228741194,402.014946,281.503223,0,895.901746,296.57228,0,24.56327449,44.37528381,22.48507761,75.43672551,55.62471619,77.51492239
91,0.288163903,0.21045625,2.158982292,-0.824546653,-0.174963056,7.205247167,402.635103,282.102112,0,895.50285,292.228993,0,25.89747184,54.604491,23.05563209,74.10252816,45.395509,76.94436791
92,0.293838903,0.227129167,2.236000069,-0.823599986,-0.154714167,7.216375917,402.42139,279.404416,0,895.452166,289.408978,0,26.29574697,59.48229204,23.65542878,73.70425303,40.51770796,76.34457122
93,0.308026403,0.2283875,2.275751194,-0.849475542,-0.129086667,7.227504667,404.197442,279.134925,0,895.571742,288.53331,0,26.61130759,63.88923209,23.94706854,73.38869241,36.11076791,76.05293146
94,0.315908347,0.245689583,2.346557861,-0.883239986,-0.164522222,7.246052583,402.219979,280.171711,0,896.108827,290.217448,0,26.3443928,59.89334778,24.46214067,73.6556072,40.10665222,75.53785933
95,0.319376403,0.23499375,2.354011194,-0.898386653,-0.218308333,7.20895675,402.339152,282.084696,0,896.715153,293.285336,0,26.22648152,51.84043018,24.61590594,73.77351848,48.15956982,75.38409406
