Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,1.144458361,0.184660417,4.411131264,-1.157773319,-0.280636931,4.791545014,233.390626,231.907383,0,837.481185,261.368053,0,49.71082497,39.68653975,47.93313522,50.28917503,60.31346025,52.06686478
1,1.14603475,0.186233333,4.414857931,-1.159351097,-0.287597486,4.789071958,233.330804,231.180628,0,838.315798,261.581994,0,49.71119049,39.30376111,47.96709649,50.28880951,60.69623889,52.03290351
2,1.15738475,0.1868625,4.392497931,-1.157142208,-0.288546653,4.787835431,233.675878,231.215062,0,838.140997,261.89786,0,50.00523955,39.30561684,47.84682383,49.99476045,60.69438316,52.15317617
3,1.150448639,0.181829167,4.403677931,-1.154617764,-0.292026931,4.801437236,233.661633,230.857534,0,838.196701,261.838892,0,49.90956605,38.3722332,47.83946589,50.09043395,61.6277668,52.16053411
4,1.158961139,0.182772917,4.381317931,-1.151146653,-0.288863042,4.806383347,233.45034,229.896773,0,838.311823,261.720319,0,50.16913683,38.75296475,47.6867695,49.83086317,61.24703525,52.3132305
5,1.15170975,0.190008333,4.377591264,-1.147675542,-0.292659708,4.791545014,233.767968,228.781375,0,837.913397,261.46519,0,50.08772363,39.36625526,47.7426786,49.91227637,60.63374474,52.2573214
6,1.153601417,0.195985417,4.398709042,-1.150831097,-0.279687764,4.789071958,233.606389,227.953977,0,838.217001,261.966658,0,50.0601085,41.20169576,47.87564094,49.9398915,58.79830424,52.12435906
7,1.155808361,0.200389583,4.393740153,-1.147991097,-0.280636931,4.769287514,234.320788,227.464621,0,838.187082,261.767504,0,50.16966025,41.65873971,47.95074633,49.83033975,58.34126029,52.04925367
8,1.151394472,0.204164583,4.396224597,-1.147044431,-0.285382764,4.750739597,234.226998,226.32421,0,837.872091,261.844497,0,50.09463035,41.70476758,48.06211661,49.90536965,58.29523242,51.93788339
9,1.163375028,0.212972917,4.390013486,-1.150515542,-0.281269708,4.759395292,234.502082,225.252304,0,837.530075,262.14321,0,50.27787585,43.09076269,47.98138976,49.72212415,56.90923731,52.01861024
10,1.161168083,0.215175,4.371380153,-1.148937764,-0.281902486,4.751976125,234.582611,224.184874,0,837.819247,262.098709,0,50.2647134,43.28801968,47.91416689,49.7352866,56.71198032,52.08583311
11,1.160852806,0.218320833,4.367653486,-1.147991097,-0.282535264,4.770524042,234.84453,222.834514,0,838.468338,262.176033,0,50.27853135,43.58953291,47.7956734,49.72146865,56.41046709,52.2043266
12,1.162744472,0.222725,4.392497931,-1.141364431,-0.289495819,4.726009042,235.535869,221.063646,0,838.157172,262.520996,0,50.46395467,43.4822232,48.17124058,49.53604533,56.5177768,51.82875942
13,1.164636139,0.226185417,4.363926819,-1.141995542,-0.292659708,4.729718625,235.209848,218.682454,0,838.711562,262.352467,0,50.49077183,43.59401405,47.98875045,49.50922817,56.40598595,52.01124955
14,1.15738475,0.24820625,4.351504597,-1.136315542,-0.290761375,4.740847375,236.058405,216.792066,0,838.867197,262.761134,0,50.45928425,46.05216315,47.85895454,49.54071575,53.94783685,52.14104546
15,1.15738475,0.26330625,4.325417931,-1.137893319,-0.294558042,4.743320431,236.452861,212.97085,0,838.663971,262.015053,0,50.42459846,47.19897902,47.6959171,49.57540154,52.80102098,52.3040829
16,1.150133361,0.285327083,4.312995708,-1.143257764,-0.295823597,4.759395292,237.598259,210.287761,0,838.663819,262.218963,0,50.14990023,49.09691976,47.53979087,49.85009977,50.90308024,52.46020913
17,1.145404194,0.311752083,4.353989042,-1.141679986,-0.295190819,4.754449181,238.120831,206.80023,0,838.128515,262.430233,0,50.08141826,51.36431811,47.80170799,49.91858174,48.63568189,52.19829201
18,1.153601417,0.326852083,4.360200153,-1.144519986,-0.296456375,4.748266542,238.476014,204.16717,0,838.08285,262.749475,0,50.19758379,52.43825572,47.86974909,49.80241621,47.56174428,52.13025091
19,1.158645861,0.341322917,4.376349042,-1.149568875,-0.300885819,4.740847375,239.398309,202.071722,0,838.606106,262.701669,0,50.19662352,53.14828302,48.00103937,49.80337648,46.85171698,51.99896063
20,1.164951417,0.3416375,4.380075708,-1.152093319,-0.305315264,4.737137792,239.816713,200.106044,0,838.664862,262.542085,0,50.27746761,52.80717837,48.04182449,49.72253239,47.19282163,51.95817551
21,1.161483361,0.344783333,4.403677931,-1.153986653,-0.309111931,4.713643764,239.458204,199.097518,0,838.354783,263.598333,0,50.16188308,52.72760828,48.30012671,49.83811692,47.27239172,51.69987329
22,1.164320861,0.344154167,4.401193486,-1.145782208,-0.308795542,4.734664736,240.254908,197.553664,0,839.491481,263.371107,0,50.40125164,52.70760708,48.174932,49.59874836,47.29239292,51.825068
23,1.169995861,0.344783333,4.411131264,-1.147991097,-0.318919986,4.712407236,240.031989,196.151795,0,838.765718,263.841874,0,50.47465245,51.94841177,48.34890831,49.52534755,48.05158823,51.65109169
24,1.179454194,0.342266667,4.428522375,-1.147044431,-0.311010264,4.706224597,240.582614,195.496784,0,838.636785,263.427537,0,50.6965352,52.39227817,48.47996763,49.3034648,47.60772183,51.52003237
25,1.186075028,0.3454125,4.462062375,-1.145782208,-0.314806931,4.763104875,240.997137,194.790019,0,839.110721,263.388295,0,50.86396411,52.31783313,48.36836292,49.13603589,47.68216687,51.63163708
26,1.195533361,0.3473,4.462062375,-1.145151097,-0.319236375,4.756922236,240.842422,193.982374,0,839.2414,263.391225,0,51.0762293,52.10518331,48.40080077,48.9237707,47.89481669,51.59919923
27,1.207198639,0.343525,4.503055708,-1.148937764,-0.324614986,4.753212653,241.109183,193.380913,0,839.289447,263.745792,0,51.23636465,51.41512365,48.64871601,48.76363535,48.58487635,51.35128399
