Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.867644472,-0.011010417,5.785029083,-0.523506667,-0.151550278,4.900359444,332.609347,304.981996,0,824.129231,343.829985,0,62.36881443,6.77311124,54.13962317,37.63118557,93.22688876,45.86037683
1,0.866068083,0.002202083,5.77757575,-0.511831111,-0.171166389,4.926326528,332.295437,304.631144,0,824.318672,343.687374,0,62.85424121,1.270175197,53.97634993,37.14575879,98.7298248,46.02365007
2,0.865752806,0.018245833,5.760184639,-0.510884444,-0.176228611,4.952293611,332.812811,304.212383,0,824.11047,343.918247,0,62.88895681,9.382123901,53.77079425,37.11104319,90.6178761,46.22920575
3,0.857870861,0.03869375,5.717949083,-0.507413333,-0.184138333,5.005464306,333.379228,304.519048,0,824.507959,343.895674,0,62.8345999,17.36453271,53.32209881,37.1654001,82.63546729,46.67790119
4,0.858186139,0.05001875,5.703042417,-0.508675556,-0.198059444,5.052452361,332.723236,304.076474,0,824.004791,343.58037,0,62.78514808,20.16249357,53.02445433,37.21485192,79.83750643,46.97554567
5,0.854718083,0.063860417,5.68813575,-0.507413333,-0.214195278,5.106859583,332.998081,303.290652,0,824.401044,344.114848,0,62.74857718,22.96677174,52.69234098,37.25142282,77.03322826,47.30765902
6,0.85377225,0.0849375,5.663291306,-0.509306667,-0.231596653,5.157557222,333.576497,302.992844,0,824.427399,343.694968,0,62.63557007,26.83359734,52.3368504,37.36442993,73.16640266,47.6631496
7,0.842737514,0.109160417,5.626024639,-0.513408889,-0.245517764,5.183524306,333.139471,302.897303,0,824.134441,344.322745,0,62.14207494,30.77731382,52.04680295,37.85792506,69.22268618,47.95319705
8,0.837062514,0.13118125,5.59869575,-0.514355556,-0.264817486,5.246587222,333.650509,302.34062,0,824.844853,343.915589,0,61.93956799,33.12668401,51.62332568,38.06043201,66.87331599,48.37667432
9,0.832333347,0.155404167,5.500560181,-0.521928889,-0.286015542,5.283683056,334.550716,302.474114,0,824.887035,344.887806,0,61.46027889,35.20553426,51.00552779,38.53972111,64.79446574,48.99447221
10,0.827604181,0.184345833,5.459566847,-0.524768889,-0.322716653,5.355401667,333.784717,301.407596,0,825.097686,345.346773,0,61.19644048,36.3556442,50.48157875,38.80355952,63.6443558,49.51842125
11,0.821298625,0.2208375,5.365157958,-0.529502222,-0.356570264,5.427120264,334.387357,301.119045,0,825.034573,346.424167,0,60.80086688,38.24636831,49.71293223,39.19913312,61.75363169,50.28706777
12,0.811525014,0.2510375,5.263295736,-0.53108,-0.393904153,5.521096375,334.576985,300.529769,0,824.984768,346.730219,0,60.44406251,38.92406374,48.80475118,39.55593749,61.07593626,51.19524882
13,0.799229181,0.2869,5.144042403,-0.535813333,-0.437565819,5.587868875,334.83778,300.088793,0,824.938524,347.320055,0,59.8654479,39.60159228,47.93221142,40.1345521,60.39840772,52.06778858
14,0.771800014,0.323391667,5.0272735,-0.538653333,-0.477430819,5.670716236,335.949921,298.64861,0,825.398147,348.079149,0,58.89564978,40.38244084,46.99269324,41.10435022,59.61755916,53.00730676
15,0.744686125,0.368377083,4.947771278,-0.534235556,-0.511284431,5.757273181,335.804603,297.106846,0,825.264433,348.664463,0,58.22765665,41.87713996,46.21906333,41.77234335,58.12286004,53.78093667
16,0.717572236,0.408958333,4.844666833,-0.540546667,-0.546403597,5.838884014,336.501449,295.504903,0,824.765078,348.828091,0,57.03532747,42.80663906,45.34697221,42.96467253,57.19336094,54.65302779
17,0.693926403,0.448910417,4.783797944,-0.541808889,-0.575511375,5.91678525,337.274417,294.306264,0,825.487742,348.823794,0,56.15493929,43.82085781,44.70595534,43.84506071,56.17914219,55.29404466
18,0.683837514,0.4699875,4.729140167,-0.555693333,-0.600822486,6.029309278,337.067204,293.286991,0,826.055362,348.788189,0,55.16905976,43.89084021,43.95745122,44.83094024,56.10915979,56.04254878
19,0.680369458,0.49169375,4.663302375,-0.574311111,-0.623286097,6.160381222,336.93692,293.038551,0,826.16154,348.375144,0,54.22650792,44.09889122,43.08424515,45.77349208,55.90110878,56.91575485
20,0.670911125,0.5134,4.555229042,-0.585355556,-0.649546375,6.240755528,336.847358,293.079506,0,825.654454,349.121397,0,53.40515158,44.14648956,42.19373428,46.59484842,55.85351044,57.80626572
21,0.664605569,0.5266125,4.464546819,-0.582831111,-0.684981917,6.356989139,336.7704,293.504866,0,825.464312,349.575727,0,53.27769977,43.46442116,41.25612886,46.72230023,56.53557884,58.74387114
22,0.654201403,0.542341653,4.391255708,-0.583462222,-0.709976639,6.506608986,336.637051,292.576131,0,826.323386,349.175621,0,52.85777085,43.30701359,40.29464332,47.14222915,56.69298641,59.70535668
23,0.648211125,0.563418736,4.301815708,-0.586302222,-0.755536639,6.585746764,335.927524,292.401485,0,825.937475,350.066329,0,52.50742136,42.71704311,39.51128381,47.49257864,57.28295689,60.48871619
24,0.646319458,0.581035403,4.223555694,-0.577151111,-0.794452472,6.654992319,336.24792,292.185765,0,825.762562,350.927323,0,52.82672706,42.24213193,38.82462705,47.17327294,57.75786807,61.17537295
25,0.656408347,0.613752069,4.219829028,-0.580937778,-0.824509417,6.704453431,335.157055,291.148143,0,825.599499,351.646533,0,53.04969515,42.67319089,38.62797437,46.95030485,57.32680911,61.37202563
26,0.662398625,0.635772903,4.150264583,-0.573048889,-0.848554972,6.748968431,335.776997,290.201162,0,825.501711,352.256348,0,53.6160879,42.83237642,38.07850129,46.3839121,57.16762358,61.92149871
27,0.662398625,0.652131236,4.147780139,-0.568631111,-0.864374417,6.786064264,335.462528,289.352196,0,825.583901,352.290521,0,53.80849914,43.00222917,37.93524021,46.19150086,56.99777083,62.06475979
28,0.665866681,0.669433319,4.065793472,-0.564528889,-0.884306917,6.812031347,335.546534,288.313378,0,825.386269,353.123291,0,54.11809804,43.08527924,37.37689786,45.88190196,56.91472076,62.62310214
