Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.767701403,0.226185417,4.197469028,-0.579675556,-0.20502,3.704637125,225.075232,306.07598,0,738.824921,361.854397,0,56.97747746,52.45421507,53.1183579,43.02252254,47.54578493,46.8816421
1,0.771800014,0.229016667,4.17635125,-0.580622222,-0.206918333,3.715765875,224.640018,306.873072,0,739.137564,361.553792,0,57.06797724,52.5345904,52.91800899,42.93202276,47.4654096,47.08199101
2,0.771800014,0.225870833,4.186289028,-0.582515556,-0.210715,3.717002403,225.070934,306.369124,0,739.176948,361.875598,0,56.9881962,51.73572207,52.96893155,43.0118038,48.26427793,47.03106845
3,0.778736125,0.2265,4.192500139,-0.584093333,-0.214828056,3.717002403,225.381471,306.004564,0,738.974117,362.01493,0,57.14112798,51.32236602,53.00586373,42.85887202,48.67763398,46.99413627
4,0.774322236,0.2265,4.190015694,-0.5822,-0.211031389,3.725658097,225.286361,306.081177,0,739.676763,361.864666,0,57.08142598,51.76771444,52.93315269,42.91857402,48.23228556,47.06684731
5,0.779366681,0.227758333,4.201195694,-0.584093333,-0.217042778,3.699691014,225.318072,305.993572,0,738.271361,362.377817,0,57.16094881,51.20453336,53.17372403,42.83905119,48.79546664,46.82627597
6,0.781258347,0.2359375,4.218586806,-0.582831111,-0.2192575,3.700927542,225.750159,305.252818,0,738.793046,362.495265,0,57.27324865,51.83218181,53.26825132,42.72675135,48.16781819,46.73174868
7,0.784095847,0.236566667,4.190015694,-0.57936,-0.218308333,3.723185042,225.386217,305.011537,0,739.920823,361.352622,0,57.50797496,52.00696162,52.9496955,42.49202504,47.99303838,47.0503045
8,0.787563903,0.239397917,4.190015694,-0.577782222,-0.217042778,3.692271847,225.094906,304.812479,0,738.459911,362.566342,0,57.68236262,52.44885471,53.15735657,42.31763738,47.55114529,46.84264343
9,0.789140292,0.24254375,4.216102361,-0.575257778,-0.224319722,3.674960458,225.553398,304.295091,0,737.778472,362.053019,0,57.83798067,51.9517513,53.42882775,42.16201933,48.0482487,46.57117225
10,0.787879181,0.24443125,4.197469028,-0.576835556,-0.229698319,3.694744903,225.37887,304.278873,0,740.046268,361.069736,0,57.73215161,51.55368189,53.18493726,42.26784839,48.44631811,46.81506274
11,0.786618069,0.24631875,4.183804583,-0.572102222,-0.2249525,3.687325736,225.074113,304.274212,0,739.922142,361.607912,0,57.89404002,52.26687391,53.15379639,42.10595998,47.73312609,46.84620361
12,0.791977792,0.25198125,4.203680139,-0.570208889,-0.221788611,3.689798792,225.333547,303.534364,0,739.728873,361.07116,0,58.14018027,53.18642461,53.25510052,41.85981973,46.81357539,46.74489948
13,0.793869458,0.250722917,4.182562361,-0.573048889,-0.226218056,3.694744903,225.56508,302.905238,0,739.604219,361.034251,0,58.07731383,52.56896163,53.09634652,41.92268617,47.43103837,46.90365348
14,0.794500014,0.257014583,4.202437917,-0.571786667,-0.219890278,3.695981431,225.220271,302.56773,0,739.120177,361.210843,0,58.15031539,53.89221295,53.20606228,41.84968461,46.10778705,46.79393772
15,0.797337514,0.26141875,4.188773472,-0.580306667,-0.228749153,3.688562264,225.414823,302.290003,0,739.293322,361.073733,0,57.87688324,53.33249046,53.17500247,42.12311676,46.66750954,46.82499753
16,0.790716681,0.259216667,4.193742361,-0.573048889,-0.224003333,3.672487403,225.577719,302.346617,0,738.279979,361.319824,0,57.98039621,53.64361299,53.31324519,42.01960379,46.35638701,46.68675481
17,0.799544458,0.268654167,4.207406806,-0.578413333,-0.226850819,3.700927542,225.338861,301.986237,0,740.070404,361.294262,0,58.0238715,54.21825697,53.20218672,41.9761285,45.78174303,46.79781328
18,0.805850014,0.272429167,4.222313472,-0.575888889,-0.226534431,3.686089208,225.149512,301.323973,0,739.146377,361.409698,0,58.32143919,54.59900646,53.39021852,41.67856081,45.40099354,46.60978148
19,0.806165292,0.271170833,4.193742361,-0.573048889,-0.229381931,3.667541292,225.70277,301.785298,0,739.084912,362.372643,0,58.4510588,54.1742755,53.34678847,41.5489412,45.8257245,46.65321153
20,0.803958347,0.278091667,4.182562361,-0.571786667,-0.235076931,3.684852681,224.980955,301.325609,0,740.289998,361.020982,0,58.4380346,54.19109201,53.16310807,41.5619654,45.80890799,46.83689193
21,0.810263903,0.280922917,4.208649028,-0.569893333,-0.235076931,3.663831708,225.228831,300.533892,0,739.800903,361.6517,0,58.70808641,54.44244183,53.46026454,41.29191359,45.55755817,46.53973546
22,0.810579181,0.283439583,4.191257917,-0.566422222,-0.239506375,3.658885597,225.306068,300.877675,0,739.482388,362.605329,0,58.86553049,54.20054956,53.3908445,41.13446951,45.79945044,46.6091555
23,0.809948625,0.2850125,4.183804583,-0.577466667,-0.235393319,3.686089208,225.640062,300.429849,0,739.651657,361.384794,0,58.37823973,54.76735451,53.16214798,41.62176027,45.23264549,46.83785202
24,0.817830569,0.28784375,4.177593472,-0.567053333,-0.240139153,3.681143097,225.153393,300.169019,0,739.450433,361.917348,0,59.05408878,54.51762708,53.15858898,40.94591122,45.48237292,46.84141102
25,0.818461125,0.2887875,4.175109028,-0.569577778,-0.242037486,3.670014347,225.896516,300.415537,0,738.421194,362.291555,0,58.96528717,54.40352424,53.2191634,41.03471283,45.59647576,46.7808366
26,0.821929181,0.296652083,4.161444583,-0.573364444,-0.243303042,3.703400597,225.179889,299.902175,0,740.061793,361.432358,0,58.90725549,54.94013661,52.91197077,41.09274451,45.05986339,47.08802923
27,0.826027792,0.2963375,4.166413472,-0.577151111,-0.242986653,3.709583236,225.125678,299.195313,0,740.321023,361.145019,0,58.86831608,54.94608363,52.90014238,41.13168392,45.05391637,47.09985762
28,0.825081958,0.30105625,4.15399125,-0.571155556,-0.250896375,3.709583236,224.862929,299.938485,0,740.907711,360.833979,0,59.09323809,54.54385691,52.82573793,40.90676191,45.45614309,47.17426207
29,0.829180569,0.30860625,4.175109028,-0.575573333,-0.253743875,3.709583236,225.252232,298.036594,0,739.967431,361.433076,0,59.02674965,54.87795526,52.95208599,40.97325035,45.12204474,47.04791401
30,0.832333347,0.311122917,4.162686806,-0.579675556,-0.254060264,3.710819764,225.164116,298.522628,0,739.981934,361.460427,0,58.94674924,55.0481556,52.86954128,41.05325076,44.9518444,47.13045872
31,0.834540292,0.313325,4.160202361,-0.571471111,-0.255325819,3.688562264,225.202141,298.158746,0,738.720592,362.977233,0,59.35515815,55.09971837,53.00454989,40.64484185,44.90028163,46.99545011
32,0.843368069,0.316785417,4.158960139,-0.57936,-0.260071653,3.682379625,225.152545,297.984521,0,739.223302,362.770801,0,59.27823367,54.9157553,53.03889723,40.72176633,45.0842447,46.96110277
33,0.845575014,0.325908333,4.155233472,-0.574942222,-0.261653597,3.700927542,225.445382,297.908043,0,739.774395,361.76012,0,59.52585385,55.46791179,52.89139905,40.47414615,44.53208821,47.10860095
34,0.843368069,0.328110417,4.144053472,-0.573364444,-0.266399431,3.697217958,225.277791,297.417806,0,739.684759,363.178186,0,59.52909679,55.19007266,52.84925422,40.47090321,44.80992734,47.15074578
35,0.850934736,0.333772917,4.136600139,-0.572102222,-0.271461653,3.684852681,224.906065,297.264876,0,738.716865,363.563316,0,59.79709319,55.14769538,52.88787434,40.20290681,44.85230462,47.11212566
36,0.851250014,0.335345833,4.124177917,-0.575573333,-0.277473042,3.709583236,224.554258,296.287407,0,739.002261,362.949366,0,59.66050496,54.72185127,52.6462045,40.33949504,45.27814873,47.3537955
37,0.861338917,0.3454125,4.13163125,-0.578728889,-0.278738597,3.731840736,225.176942,295.812829,0,740.310888,362.077198,0,59.81238615,55.34116683,52.54207375,40.18761385,44.65883317,47.45792625
38,0.863545861,0.343210417,4.150264583,-0.57368,-0.284749986,3.725658097,224.903078,295.074922,0,739.069263,362.929204,0,60.08421393,54.65478638,52.69559837,39.91578607,45.34521362,47.30440163
