Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.91052225,0.108216667,4.704295722,-0.638368889,-0.059164722,4.146077528,341.777214,189.079712,0,844.520022,200.568513,0,58.78542572,64.65274747,53.1536421,41.21457428,35.34725253,46.8463579
1,0.912098639,0.114822917,4.742804611,-0.628586667,-0.055051667,4.112691278,341.257004,188.795033,0,843.629571,200.292375,0,59.20083976,67.59275838,53.55775295,40.79916024,32.40724162,46.44224705
2,0.922502806,0.107902083,4.750257944,-0.620382222,-0.049989444,4.107745167,341.762431,188.627652,0,843.686253,199.970789,0,59.79076788,68.33937505,53.62673601,40.20923212,31.66062495,46.37326399
3,0.923133361,0.1038125,4.768891278,-0.610915556,-0.049356667,4.085487667,341.743408,188.473172,0,843.563418,199.704657,0,60.17626629,67.77636926,53.85912787,39.82373371,32.22363074,46.14087213
4,0.925025028,0.1113625,4.7813135,-0.609968889,-0.051255,4.068176278,341.333567,187.996687,0,843.175921,199.279533,0,60.26245562,68.48125202,54.02925615,39.73754438,31.51874798,45.97074385
5,0.931015306,0.113879167,4.802431278,-0.599555556,-0.043978056,4.034790028,341.746875,187.870412,0,842.809717,198.303355,0,60.82797793,72.1406123,54.34322749,39.17202207,27.8593877,45.65677251
6,0.929123639,0.107272917,4.804915722,-0.597031111,-0.039232222,4.026134333,342.425791,187.124199,0,842.838657,198.246766,0,60.88004109,73.22126547,54.40933628,39.11995891,26.77873453,45.59066372
7,0.934483361,0.1075875,4.850877944,-0.597031111,-0.037333889,4.034790028,341.697611,186.705597,0,843.211075,198.269237,0,61.01694617,74.23852395,54.59215851,38.98305383,25.76147605,45.40784149
8,0.931961139,0.109789583,4.857089056,-0.597977778,-0.043028889,4.028607389,341.902277,186.613997,0,842.671796,198.05722,0,60.91492469,71.84313633,54.66188369,39.08507531,28.15686367,45.33811631
9,0.944887528,0.102554167,4.863300167,-0.591351111,-0.047141944,4.021188222,342.186103,186.271196,0,842.492871,197.987469,0,61.50655919,68.50823706,54.73922587,38.49344081,31.49176294,45.26077413
10,0.947094472,0.1075875,4.865784611,-0.591351111,-0.051571389,4.001403778,342.610995,186.759376,0,842.345694,199.358839,0,61.56177914,67.59754403,54.87404121,38.43822086,32.40245597,45.12595879
11,0.951193083,0.105070833,4.898082389,-0.580622222,-0.05695,3.996457667,342.122536,186.699544,0,842.738659,199.780079,0,62.0958075,64.85019931,55.06841678,37.9041925,35.14980069,44.93158322
12,0.957813917,0.102554167,4.898082389,-0.572417778,-0.064859722,3.971727111,341.984745,186.705409,0,842.129044,200.262972,0,62.59273809,61.25786059,55.22195701,37.40726191,38.74213941,44.77804299
