Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.955606972,-0.036491667,5.874469083,-0.921106653,-0.226850819,5.607653319,328.916797,217.241158,0,959.654075,222.204897,0,50.91916846,13.8571133,51.16187476,49.08083154,86.1428867,48.83812524
1,0.959075028,-0.035547917,5.879437972,-0.916057764,-0.225268889,5.612599431,329.298403,216.958531,0,959.191105,222.028487,0,51.1470458,13.62945788,51.16097143,48.8529542,86.37054212,48.83902857
2,0.968218083,-0.035233333,5.912977972,-0.905644431,-0.2192575,5.594051514,328.663181,217.229194,0,959.050306,221.894145,0,51.66964365,13.8446375,51.3857897,48.33035635,86.1553625,48.6142103
3,0.975469472,-0.032716667,5.91173575,-0.900595542,-0.210398611,5.544590403,329.171258,217.10587,0,959.328291,221.80069,0,51.99550469,13.45726479,51.60236948,48.00449531,86.54273521,48.39763052
4,0.983351417,-0.028627083,5.940306875,-0.894599986,-0.207551111,5.521096375,328.754274,217.228623,0,958.987749,221.781033,0,52.36298528,12.12096798,51.82879221,47.63701472,87.87903202,48.17120779
5,0.991548639,-0.02736875,5.941549097,-0.887657764,-0.202488889,5.485237069,328.705668,217.654144,0,959.188239,221.379638,0,52.76422204,11.90682639,51.99667702,47.23577796,88.09317361,48.00332298
6,1.001006972,-0.017302083,5.957697986,-0.885133319,-0.196793889,5.460506514,328.366008,217.58137,0,959.203904,221.377284,0,53.07171352,8.08146139,52.17718763,46.92828648,91.91853861,47.82281237
7,1.002583361,-0.0151,5.956455764,-0.879768875,-0.200274167,5.432066375,328.622562,217.571336,0,959.166087,221.424753,0,53.26226101,7.011054405,52.30227146,46.73773899,92.98894559,47.69772854
8,1.011726417,-0.014785417,5.962666875,-0.874404431,-0.19363,5.406099292,328.863689,217.428131,0,958.881171,221.300237,0,53.64030911,7.094204883,52.44779238,46.35969089,92.90579512,47.55220762
9,1.016770861,-0.011954167,5.962666875,-0.864937764,-0.194579167,5.373949583,328.624379,217.860417,0,959.180908,221.590893,0,54.03444761,5.788008393,52.59652999,45.96555239,94.21199161,47.40347001
10,1.019923639,-0.010695833,5.978815764,-0.858626653,-0.191731667,5.319542361,328.607367,218.545968,0,958.766497,221.486431,0,54.29312398,5.28378473,52.91756287,45.70687602,94.71621527,47.08243713
11,1.02402225,-0.0151,5.975089097,-0.853893319,-0.192680833,5.338090278,328.751613,218.688907,0,958.362394,221.565238,0,54.52972789,7.267272807,52.81529532,45.47027211,92.73272719,47.18470468
12,1.025913917,-0.017616667,5.988753542,-0.848528875,-0.19363,5.318305833,328.275952,219.019677,0,958.543254,221.210461,0,54.73167393,8.339382081,52.96473064,45.26832607,91.66061792,47.03526936
13,1.025283361,-0.017616667,5.983784653,-0.845688875,-0.195528333,5.319542361,328.515637,218.872292,0,958.556648,221.19805,0,54.79949629,8.265109042,52.93826008,45.20050371,91.73489096,47.06173992
14,1.037263917,-0.017302083,5.986269097,-0.840639986,-0.199325,5.300994444,328.273335,218.993857,0,958.285974,221.08058,0,55.23519681,7.987036093,53.03561023,44.76480319,92.01296391,46.96438977
15,1.037263917,-0.016672917,5.987511319,-0.839062208,-0.200906944,5.272554306,328.532439,219.365663,0,958.760769,220.777252,0,55.28164336,7.662895169,53.17474621,44.71835664,92.33710483,46.82525379
16,1.040101417,-0.0151,5.987511319,-0.838746653,-0.205969167,5.278736944,328.621322,219.399701,0,958.223345,221.193367,0,55.35846318,6.830441453,53.14556522,44.64153682,93.16955855,46.85443478
17,1.044830583,-0.01415625,6.022293542,-0.827702208,-0.217042778,5.257715972,328.091162,219.50025,0,958.328339,220.567594,0,55.7977189,6.12297125,53.38908211,44.2022811,93.87702875,46.61091789
18,1.048298639,-0.018875,6.017324653,-0.833382208,-0.220523056,5.240404583,328.381269,219.592658,0,957.986345,220.530416,0,55.71075671,7.884358107,53.45060737,44.28924329,92.11564189,46.54939263
19,1.059963917,-0.013527083,6.017324653,-0.832119986,-0.225585278,5.232985417,328.23674,219.199808,0,958.259326,220.948404,0,56.02097852,5.657207879,53.48585608,43.97902148,94.34279212,46.51414392
20,1.069106972,-0.01415625,6.035957986,-0.823284431,-0.233811375,5.220620139,328.119702,219.2114,0,958.444136,220.673651,0,56.49502374,5.708910589,53.62160613,43.50497626,94.29108941,46.37839387
21,1.073205583,-0.00660625,6.048380208,-0.822653319,-0.241721097,5.20330875,328.133576,218.703915,0,958.282681,220.94524,0,56.60788267,2.660299026,53.75530936,43.39211733,97.33970097,46.24469064
22,1.076358361,-0.002516667,6.078193542,-0.815079986,-0.244884986,5.198362639,327.750171,218.953743,0,958.193116,221.068929,0,56.90686999,1.01723923,53.90115071,43.09313001,98.98276077,46.09884929
23,1.091176417,0.005347917,6.073224653,-0.811293319,-0.257540542,5.150138056,327.91445,218.639211,0,958.251161,221.083802,0,57.35578317,2.034291159,54.11234414,42.64421683,97.96570884,45.88765586
24,1.101895861,0.012583333,6.104280208,-0.804351097,-0.262602764,5.134063194,327.93075,218.063495,0,958.558001,221.359102,0,57.80446528,4.572663176,54.31654817,42.19553472,95.42733682,45.68345183
25,1.116398639,0.01604375,6.139062431,-0.804351097,-0.275258319,5.10315,327.571943,217.653754,0,958.191961,221.060353,0,58.12306611,5.507599047,54.60724451,41.87693389,94.49240095,45.39275549
26,1.129325028,0.026739583,6.142789097,-0.789519986,-0.280953319,5.0808925,327.79607,217.470242,0,958.259113,221.970965,0,58.85441605,8.690347776,54.73060728,41.14558395,91.30965222,45.26939272
27,1.143512528,0.0245375,6.183782431,-0.779106653,-0.290444986,5.017829583,327.27638,217.240533,0,958.566617,221.938147,0,59.47680848,7.790115667,55.20439757,40.52319152,92.20988433,44.79560243
28,1.159906972,0.0358625,6.183782431,-0.769955542,-0.299303875,4.993099028,327.876945,216.987909,0,958.332297,222.120836,0,60.10308837,10.69990986,55.32654572,39.89691163,89.30009014,44.67345428
29,1.172202806,0.047502083,6.219806875,-0.756386653,-0.311326653,4.957239722,327.537301,216.846204,0,957.688096,222.452782,0,60.78031799,13.23809343,55.64803565,39.21968201,86.76190657,44.35196435
30,1.183868083,0.056310417,6.223533542,-0.748497764,-0.316705264,4.962185833,327.57388,216.257882,0,957.911653,222.056149,0,61.26521461,15.09599183,55.63820558,38.73478539,84.90400817,44.36179442
