Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.763918069,0.039952083,3.762691236,-0.712524431,-0.166736944,4.007586417,373.125788,245.416377,0,914.232195,233.944123,0,51.74045514,19.32956179,48.42415425,48.25954486,80.67043821,51.57584575
1,0.768647236,0.044670833,3.782566792,-0.709368875,-0.164205833,4.013769056,372.230894,244.351588,0,914.343791,233.794906,0,52.00533542,21.38622473,48.51723766,47.99466458,78.61377527,51.48276234
2,0.773061125,0.054422917,3.785051236,-0.705266653,-0.1680025,4.011296,372.348301,243.804627,0,914.48507,233.516885,0,52.29294454,24.46793963,48.54903356,47.70705546,75.53206037,51.45096644
3,0.778736125,0.056625,3.778840125,-0.702111111,-0.174330278,4.005113361,372.424941,242.838265,0,914.301396,233.351488,0,52.58720184,24.51773371,48.54654041,47.41279816,75.48226629,51.45345959
4,0.778736125,0.060085417,3.791262347,-0.696431111,-0.1736975,3.998930722,372.688959,242.301001,0,914.177753,233.533131,0,52.78968418,25.70137182,48.66711664,47.21031582,74.29862818,51.33288336
5,0.779051403,0.065747917,3.790020125,-0.6958,-0.171799167,4.02242475,372.984077,241.540277,0,914.395171,233.300901,0,52.82236579,27.67784632,48.5125999,47.17763421,72.32215368,51.4874001
6,0.774952792,0.0736125,3.782566792,-0.692328889,-0.180025278,4.010059472,372.736585,241.937246,0,914.06733,233.221615,0,52.81554332,29.02268765,48.54033369,47.18445668,70.97731235,51.45966631
7,0.775583347,0.070152083,3.781324569,-0.689488889,-0.181607222,4.001403778,372.818732,241.432264,0,914.150616,233.449918,0,52.93823254,27.86474295,48.58610504,47.06176746,72.13525705,51.41389496
8,0.771484736,0.07833125,3.785051236,-0.682546667,-0.189833333,3.992748083,373.017707,240.25333,0,914.587245,232.920641,0,53.05832698,29.21013992,48.66480968,46.94167302,70.78986008,51.33519032
9,0.775898625,0.077072917,3.768902347,-0.676866667,-0.192048056,3.979146278,374.120011,239.660043,0,914.416901,233.352402,0,53.40839497,28.63876272,48.64324593,46.59160503,71.36123728,51.35675407
10,0.780943069,0.08305,3.762691236,-0.673711111,-0.194262778,3.991511556,374.665737,238.870713,0,914.090503,233.25451,0,53.68582306,29.94813317,48.52454001,46.31417694,70.05186683,51.47545999
11,0.789455569,0.089341667,3.796231236,-0.668031111,-0.197743056,3.954415722,374.097853,237.907935,0,913.911265,232.991327,0,54.16554264,31.12031388,48.97954011,45.83445736,68.87968612,51.02045989
12,0.790716681,0.10098125,3.816106792,-0.662035556,-0.205652778,3.961834889,373.346237,236.575885,0,914.404323,232.314949,0,54.42887375,32.93217349,49.06319626,45.57112625,67.06782651,50.93680374
13,0.800490292,0.110104167,3.808653458,-0.662351111,-0.208500278,3.948233083,373.940048,235.899652,0,914.169082,232.776231,0,54.72160483,34.55826451,49.10028576,45.27839517,65.44173549,50.89971424
14,0.803958347,0.12551875,3.838466792,-0.645311111,-0.213878889,3.925975583,373.694003,234.403738,0,914.205106,233.323146,0,55.47335194,36.9828,49.43647729,44.52664806,63.0172,50.56352271
15,0.808056958,0.130866667,3.829771236,-0.642786667,-0.217359167,3.939577389,374.153159,233.329352,0,914.115241,232.581131,0,55.69566178,37.58097595,49.29333746,44.30433822,62.41902405,50.70666254
16,0.812786125,0.142820833,3.837224569,-0.629848889,-0.223054167,3.927212111,374.294855,232.214873,0,913.598984,232.664839,0,56.34038528,39.03541738,49.42051468,43.65961472,60.96458262,50.57948532
17,0.813731958,0.147854167,3.826044569,-0.623853333,-0.236026097,3.928448639,375.084517,230.738922,0,913.559396,233.578947,0,56.60408207,38.51569892,49.3397114,43.39591793,61.48430108,50.6602886
18,0.815308347,0.159808333,3.829771236,-0.616595556,-0.241404708,3.924739056,375.020669,230.018317,0,913.699192,233.804793,0,56.93876144,39.83129079,49.38766076,43.06123856,60.16870921,50.61233924
19,0.822559736,0.167358333,3.840951236,-0.615648889,-0.252794708,3.897535444,374.679758,229.219203,0,913.446436,234.15936,0,57.19335302,39.83270778,49.63439746,42.80664698,60.16729222,50.36560254
20,0.823505569,0.173020833,3.839709014,-0.612808889,-0.264184708,3.917319889,374.800454,227.930982,0,913.62,234.657737,0,57.33462924,39.57425441,49.49973839,42.66537076,60.42574559,50.50026161
21,0.828865292,0.19158125,3.803684569,-0.612808889,-0.267981375,3.927212111,376.610841,226.920003,0,913.708674,234.294073,0,57.49324659,41.68773516,49.20107882,42.50675341,58.31226484,50.79892118
22,0.823505569,0.189379167,3.803684569,-0.618173333,-0.278738597,3.938340861,376.298568,224.957852,0,914.407056,234.732125,0,57.12128879,40.45545401,49.13035489,42.87871121,59.54454599,50.86964511
23,0.825712514,0.20668125,3.792504569,-0.625115556,-0.283168042,3.945760028,375.310398,223.190131,0,914.241803,234.888762,0,56.91318849,42.1928241,49.00975563,43.08681151,57.8071759,50.99024437
24,0.826027792,0.226185417,3.786293458,-0.628902222,-0.295823597,3.969254056,375.692731,221.378302,0,914.623789,235.638024,0,56.7744004,43.32979137,48.82045338,43.2255996,56.67020863,51.17954662
25,0.820352792,0.237195833,3.739089014,-0.626693333,-0.301518597,3.979146278,377.449119,220.242345,0,914.07428,235.948861,0,56.69154407,44.02997579,48.44486949,43.30845593,55.97002421,51.55513051
26,0.819406958,0.257014583,3.716729014,-0.62196,-0.309111931,4.006349889,377.440443,217.794667,0,913.963915,236.08026,0,56.84929529,45.39878932,48.12496494,43.15070471,54.60121068,51.87503506
27,0.811209736,0.275575,3.670766792,-0.614386667,-0.320501931,4.034790028,378.285907,214.974137,0,913.920523,235.487009,0,56.90318343,46.23144864,47.63791738,43.09681657,53.76855136,52.36208262
28,0.806480569,0.292877083,3.664555681,-0.612808889,-0.325247764,4.079305028,377.655707,213.844494,0,913.912338,235.360916,0,56.82283939,47.38154188,47.3220764,43.17716061,52.61845812,52.6779236
29,0.793869458,0.3114375,3.601202347,-0.614702222,-0.330942764,4.151023639,378.415646,210.756931,0,913.61749,235.501692,0,56.35989061,48.4817977,46.45378442,43.64010939,51.5182023,53.54621558
30,0.791031958,0.320875,3.556482347,-0.621644444,-0.338852486,4.226451833,378.70624,209.417386,0,913.778595,235.514566,0,55.99526946,48.63750666,45.69590677,44.00473054,51.36249334,54.30409323
