Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.771800014,0.13495625,5.249631292,-0.444933333,-0.291710542,4.995572083,390.24459,164.924961,0,898.242907,200.279336,0,63.43214112,31.63036183,51.23989344,36.56785888,68.36963817,48.76010656
1,0.777475014,0.14439375,5.289382403,-0.438306667,-0.308479153,4.981970278,390.047792,164.213361,0,898.125385,200.469269,0,63.94857122,31.88394561,51.49645395,36.05142878,68.11605439,48.50354605
2,0.793238903,0.159808333,5.332860181,-0.428524444,-0.316388875,4.939928333,389.609367,163.403308,0,898.570453,201.309805,0,64.9257407,33.55927556,51.91248874,35.0742593,66.44072444,48.08751126
3,0.816884736,0.170504167,5.380064625,-0.422213333,-0.328095264,4.905305556,389.580145,163.123986,0,898.605953,201.559531,0,65.92575328,34.19662282,52.3079338,34.07424672,65.80337718,47.6920662
4,0.835801403,0.185604167,5.448386847,-0.415586667,-0.330626375,4.880575,388.915915,161.94883,0,898.323118,201.922566,0,66.78994496,35.95373611,52.74863948,33.21005504,64.04626389,47.25136052
5,0.850304181,0.205108333,5.463293514,-0.416217778,-0.341699986,4.880575,389.765747,160.593498,0,898.769203,201.997783,0,67.13694737,37.51009742,52.81673396,32.86305263,62.48990258,47.18326604
6,0.869220861,0.22555625,5.478200181,-0.413377778,-0.345813042,4.876865417,389.595819,160.074967,0,898.832914,202.053351,0,67.77029343,39.47643902,52.90357776,32.22970657,60.52356098,47.09642224
7,0.882462528,0.242229167,5.475715736,-0.415902222,-0.356886653,4.879338472,390.085613,159.450071,0,899.217813,202.736001,0,67.96722784,40.43110844,52.87964337,32.03277216,59.56889156,47.12035663
8,0.887191694,0.255127083,5.473231292,-0.42032,-0.364796375,4.875628889,389.408665,158.969613,0,899.276678,202.703399,0,67.8534424,41.15461028,52.8872861,32.1465576,58.84538972,47.1127139
9,0.884354194,0.272429167,5.440933514,-0.418111111,-0.376186375,4.852134875,389.708348,158.297651,0,899.616158,203.488397,0,67.8984838,42.00164029,52.86017063,32.1015162,57.99835971,47.13982937
10,0.886876417,0.284383333,5.402424625,-0.418742222,-0.382197764,4.880575,389.702902,157.641648,0,899.622441,203.854121,0,67.92767737,42.66297597,52.5374387,32.07232263,57.33702403,47.4625613
11,0.884669472,0.30483125,5.377580181,-0.418111111,-0.397700819,4.879338472,389.749307,157.056138,0,899.650611,204.844058,0,67.90625248,43.39036796,52.42880794,32.09374752,56.60963204,47.57119206
12,0.891605583,0.32181875,5.346524625,-0.418426667,-0.415418597,4.874392361,389.744708,156.324532,0,899.937044,205.796178,0,68.05981939,43.65198687,52.3096375,31.94018061,56.34801313,47.6903625
13,0.890029194,0.33880625,5.322922403,-0.420951111,-0.433136375,4.873155833,389.919643,155.562805,0,899.966752,206.373516,0,67.89035584,43.89008186,52.2055861,32.10964416,56.10991814,47.7944139
14,0.892236139,0.361770833,5.298077958,-0.417164444,-0.444842764,4.876865417,389.951744,154.41243,0,899.845495,207.281135,0,68.14080811,44.85057462,52.06985202,31.85919189,55.14942538,47.93014798
15,0.898541694,0.37844375,5.280686847,-0.413377778,-0.467306375,4.881811528,390.39669,153.388496,0,900.265762,208.130146,0,68.49061345,44.74652014,51.96248651,31.50938655,55.25347986,48.03751349
16,0.906738917,0.405183333,5.262053514,-0.40328,-0.479012764,4.886757639,390.736018,152.317221,0,899.949672,209.547594,0,69.21571171,45.82505336,51.84896472,30.78428829,54.17494664,48.15103528
17,0.90484725,0.42185625,5.270749069,-0.404542222,-0.502741931,4.876865417,390.677923,151.392651,0,899.642153,209.753205,0,69.10451544,45.62590095,51.94076969,30.89548456,54.37409905,48.05923031
18,0.906108361,0.4473375,5.242177958,-0.402017778,-0.520459708,4.901595972,391.168585,149.965432,0,900.276863,210.555445,0,69.26765961,46.222235,51.67877354,30.73234039,53.777765,48.32122646
19,0.904216694,0.466841667,5.264537958,-0.407382222,-0.534064431,4.942401389,391.067361,149.123359,0,900.179928,211.11521,0,68.9400306,46.64190457,51.57802725,31.0599694,53.35809543,48.42197275
20,0.904531972,0.481941667,5.232240181,-0.419373333,-0.564437764,4.95847625,391.781354,148.345798,0,900.0916,211.787959,0,68.32301135,46.05802184,51.34320257,31.67698865,53.94197816,48.65679743
21,0.911152806,0.496727083,5.212364625,-0.423791111,-0.584686653,5.007937361,391.203043,147.311501,0,900.398854,212.611741,0,68.25401383,45.93312132,51.00010383,31.74598617,54.06687868,48.99989617
22,0.909891694,0.509625,5.177582403,-0.446826667,-0.608732208,5.071000278,391.739944,146.534789,0,900.846747,213.355279,0,67.0656284,45.56907187,50.51998471,32.9343716,54.43092813,49.48001529
23,0.903586139,0.524725,5.124166847,-0.463551111,-0.630246653,5.147665,391.700554,145.82617,0,900.878222,214.334017,0,66.09330109,45.43185097,49.88561849,33.90669891,54.56814903,50.11438151
24,0.898856972,0.540768736,5.057086833,-0.481222222,-0.649862764,5.242877639,391.150574,145.362286,0,901.497613,214.883545,0,65.13082552,45.41864852,49.09809977,34.86917448,54.58135148,50.90190023
