Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.425625014,0.021391667,4.457093486,-0.295675556,-0.0711875,4.019951694,380.687165,207.864042,0,810.575991,202.900576,0,59.00799638,23.10635042,52.57838541,40.99200362,76.89364958,47.42161459
1,0.432561125,0.0207625,4.443429042,-0.291573333,-0.067707222,4.02242475,380.987604,207.569624,0,810.549197,202.817078,0,59.73491801,23.46848106,52.48648454,40.26508199,76.53151894,47.51351546
2,0.430038903,0.025166667,4.442186819,-0.292835556,-0.076566111,4.027370861,381.368469,207.820355,0,810.535062,202.145763,0,59.49012278,24.73801189,52.44886436,40.50987722,75.26198811,47.55113564
3,0.428147236,0.02925625,4.431006819,-0.290626667,-0.083526667,4.017478639,381.577294,207.98434,0,810.45728,202.104626,0,59.56633017,25.94032045,52.44735096,40.43366983,74.05967955,47.55264904
4,0.428777792,0.0283125,4.449640153,-0.291573333,-0.080046389,4.039736139,380.774818,207.675978,0,810.715639,202.779083,0,59.52344305,26.12845175,52.41421749,40.47655695,73.87154825,47.58578251
5,0.434452792,0.035233333,4.432249042,-0.287155556,-0.084792222,4.011296,381.170174,207.432939,0,809.876502,202.458182,0,60.20617601,29.35485961,52.49275061,39.79382399,70.64514039,47.50724939
6,0.436029181,0.03775,4.434733486,-0.286208889,-0.082261111,4.023661278,380.929268,207.347754,0,809.988126,202.539111,0,60.37194645,31.45542079,52.42996585,39.62805355,68.54457921,47.57003415
7,0.435083347,0.04435625,4.421069042,-0.28684,-0.093334722,4.036026556,381.155655,206.873375,0,810.867611,202.616289,0,60.26724983,32.21434876,52.27644634,39.73275017,67.78565124,47.72355366
8,0.442019458,0.0453,4.435975708,-0.28116,-0.088588889,4.034790028,380.612217,206.473777,0,810.346128,202.758564,0,61.12168332,33.8340249,52.3680603,38.87831668,66.1659751,47.6319397
9,0.444856958,0.05285,4.428522375,-0.277373333,-0.097764167,4.052101417,380.697115,206.165297,0,810.857515,202.92317,0,61.59489064,35.08966067,52.21929995,38.40510936,64.91033933,47.78070005
10,0.442334736,0.053479167,4.432249042,-0.272324444,-0.099029722,4.032316972,380.659417,206.162075,0,810.130028,203.282361,0,61.89450134,35.06626208,52.36238969,38.10549866,64.93373792,47.63761031
11,0.450847236,0.0622875,4.429764597,-0.271693333,-0.105990278,4.0335535,380.812369,205.955603,0,810.477758,203.253609,0,62.39749783,37.01469132,52.34075508,37.60250217,62.98530868,47.65924492
12,0.452423625,0.064489583,4.427280153,-0.260964444,-0.107572222,4.039736139,380.805654,206.424792,0,810.211537,203.314601,0,63.41900634,37.48047577,52.28855125,36.58099366,62.51952423,47.71144875
13,0.451793069,0.071095833,4.447155708,-0.261595556,-0.112634444,4.050864889,380.020148,205.987734,0,811.019311,203.442044,0,63.33056817,38.69576326,52.33166544,36.66943183,61.30423674,47.66833456
14,0.451477792,0.075814583,4.419826819,-0.254337778,-0.114849167,4.027370861,380.79245,205.442044,0,810.042206,203.495195,0,63.96540558,39.76350163,52.32299499,36.03459442,60.23649837,47.67700501
15,0.455891681,0.080847917,4.427280153,-0.255915556,-0.125606389,4.06693975,380.220721,205.565783,0,811.444107,204.063707,0,64.04707025,39.16019889,52.12109179,35.95292975,60.83980111,47.87890821
16,0.461566681,0.089970833,4.431006819,-0.253391111,-0.131934167,4.048391833,380.509787,205.429539,0,811.036126,204.179548,0,64.55859156,40.54475263,52.25614458,35.44140844,59.45524737,47.74385542
17,0.465980569,0.089027083,4.401193486,-0.252128889,-0.135730833,4.058284056,381.1255,204.777146,0,811.215216,204.003692,0,64.88990836,39.61021024,52.02677665,35.11009164,60.38978976,47.97322335
18,0.471025014,0.093745833,4.409889042,-0.251182222,-0.144273333,4.060757111,380.92503,205.185541,0,811.969959,204.509568,0,65.2202014,39.38583377,52.06083411,34.7797986,60.61416623,47.93916589
