Frame,FP1,,,FP2,,,COP1,,,COP2,,,F_left,,,F_right,,
Index,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.847151403,0.0358625,5.449629069,-0.302302222,-0.0996625,3.848074333,369.580183,204.009619,0,891.960416,224.216075,0,73.70035505,26.4619074,58.61263619,26.29964495,73.5380926,41.38736381
1,0.841791681,0.044670833,5.409877958,-0.30672,-0.1053575,3.869095306,370.078775,203.623426,0,891.963997,224.194339,0,73.29413316,29.7749314,58.30254926,26.70586684,70.2250686,41.69745074
2,0.836747236,0.049075,5.401182403,-0.312715556,-0.110103333,3.908664194,369.667024,203.714156,0,892.194187,224.252622,0,72.79463434,30.83020093,58.01580452,27.20536566,69.16979907,41.98419548
3,0.833594458,0.05285,5.358946847,-0.30956,-0.1167475,3.929685167,370.139773,203.549022,0,891.645563,224.291082,0,72.92054475,31.16201595,57.69360697,27.07945525,68.83798405,42.30639303
4,0.831072236,0.064489583,5.349009069,-0.314608889,-0.134465278,3.9890385,369.489576,203.258171,0,892.305779,224.213423,0,72.5395765,32.41417826,57.28187857,27.4604235,67.58582174,42.71812143
5,0.825397236,0.064489583,5.306773514,-0.321235556,-0.140793056,4.040972667,370.151602,203.108763,0,892.129275,224.105165,0,71.98444368,31.41502062,56.77062055,28.01555632,68.58497938,43.22937945
6,0.812155569,0.073927083,5.259569069,-0.331333333,-0.147437222,4.069412806,370.377872,202.695241,0,891.652813,223.885799,0,71.02435078,33.39611739,56.37881111,28.97564922,66.60388261,43.62118889
7,0.810894458,0.080847917,5.211122403,-0.328493333,-0.1566125,4.117637389,370.918212,202.456034,0,892.125221,224.049132,0,71.16931253,34.04690255,55.86082737,28.83068747,65.95309745,44.13917263
8,0.792923625,0.089341667,5.178824625,-0.333857778,-0.160725556,4.152260167,370.648987,202.528169,0,892.411789,223.970266,0,70.37067022,35.72706006,55.50077768,29.62932978,64.27293994,44.49922232
9,0.778105569,0.084308333,5.135346847,-0.341431111,-0.168318889,4.216559611,370.628006,202.478192,0,892.152515,223.585136,0,69.5024632,33.37262413,54.91229911,30.4975368,66.62737587,45.08770089
10,0.772430569,0.095004167,5.078204611,-0.354684444,-0.177177778,4.238817111,371.265425,202.131779,0,892.239291,222.532945,0,68.5316547,34.90465426,54.5045913,31.4683453,65.09534574,45.4954087
11,0.756351403,0.104127083,5.037211278,-0.354053333,-0.177177778,4.264784194,370.963677,201.805937,0,892.581877,222.296667,0,68.11492946,37.01574261,54.15194291,31.88507054,62.98425739,45.84805709
12,0.748154181,0.103183333,4.988764611,-0.362888889,-0.180974444,4.296933917,371.666371,201.261109,0,892.645055,221.94401,0,67.33799986,36.3119863,53.72524852,32.66200014,63.6880137,46.27475148
13,0.741533347,0.112935417,4.952740167,-0.368884444,-0.188251389,4.3451585,371.520622,201.041164,0,892.553755,221.282985,0,66.77967093,37.49680085,53.26730635,33.22032907,62.50319915,46.73269365
14,0.741848625,0.123002083,4.922926833,-0.370462222,-0.195211944,4.366179458,371.619473,200.859726,0,893.306435,221.171238,0,66.69436218,38.65388468,52.99677578,33.30563782,61.34611532,47.00322422
