"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0","  1.284205","  1.593430","  0.640933"
"1","  1.115589","  1.563746","  0.469494"
"2","  0.946248","  1.532924","  0.296919"
"3","  0.777127","  1.500976","  0.124656"
"4","  0.609072","  1.467891"," -0.045941"
"5","  0.442826","  1.433641"," -0.213640"
"6","  0.279013","  1.398190"," -0.377350"
"7","  0.118146","  1.361496"," -0.536132"
"8"," -0.039373","  1.323522"," -0.689209"
"9"," -0.193243","  1.284237"," -0.835957"
"10"," -0.343248","  1.243626"," -0.975897"
"11"," -0.489245","  1.201688"," -1.108681"
"12"," -0.631143","  1.158439"," -1.234068"
"13"," -0.768882","  1.113906"," -1.351912"
"14"," -0.902419","  1.068122"," -1.462138"
"15"," -1.031712","  1.021123"," -1.564728"
"16"," -1.156711","  0.972945"," -1.659712"
"17"," -1.277348","  0.923626"," -1.747154"
"18"," -1.393533","  0.873205"," -1.827144"
"19"," -1.505149","  0.821737"," -1.899792"
"20"," -1.612058","  0.769291"," -1.965220"
"21"," -1.714105","  0.715970"," -2.023563"
"22"," -1.811124","  0.661914"," -2.074965"
"23"," -1.902954","  0.607307"," -2.119586"
"24"," -1.989450","  0.552371"," -2.157609"
"25"," -2.070495","  0.497359"," -2.189254"
"26"," -2.146012","  0.442537"," -2.214786"
"27"," -2.215971","  0.388163"," -2.234529"
"28"," -2.280397","  0.334468"," -2.248869"
"29"," -2.339376","  0.281637"," -2.258260"
"30"," -2.393054","  0.229793"," -2.263222"
"31"," -2.441638","  0.178990"," -2.264333"
"32"," -2.485389","  0.129211"," -2.262215"
"33"," -2.524612","  0.080371"," -2.257515"
"34"," -2.559644","  0.032326"," -2.250883"
"35"," -2.590834"," -0.015116"," -2.242948"
"36"," -2.618530"," -0.062177"," -2.234295"
"37"," -2.643061"," -0.109096"," -2.225443"
"38"," -2.664722"," -0.156110"," -2.216830"
"39"," -2.683762"," -0.203444"," -2.208795"
"40"," -2.700375"," -0.251292"," -2.201573"
"41"," -2.714696"," -0.299812"," -2.195287"
"42"," -2.726804"," -0.349112"," -2.189958"
"43"," -2.736732"," -0.399248"," -2.185509"
"44"," -2.744471"," -0.450218"," -2.181778"
"45"," -2.749995"," -0.501962"," -2.178540"
"46"," -2.753264"," -0.554363"," -2.175520"
"47"," -2.754246"," -0.607259"," -2.172419"
"48"," -2.752921"," -0.660447"," -2.168929"
"49"," -2.749293"," -0.713698"," -2.164753"
"50"," -2.743394"," -0.766771"," -2.159625"
"51"," -2.735285"," -0.819425"," -2.153316"
"52"," -2.725057"," -0.871432"," -2.145649"
"53"," -2.712829"," -0.922588"," -2.136505"
"54"," -2.698741"," -0.972723"," -2.125823"
"55"," -2.682950"," -1.021704"," -2.113604"
"56"," -2.665626"," -1.069446"," -2.099906"
"57"," -2.646945"," -1.115912"," -2.084842"
"58"," -2.627086"," -1.161117"," -2.068577"
"59"," -2.606231"," -1.205129"," -2.051325"
"60"," -2.584560"," -1.248065"," -2.033336"
"61"," -2.562253"," -1.290083"," -2.014893"
"62"," -2.539485"," -1.331377"," -1.996301"
"63"," -2.516428"," -1.372167"," -1.977876"
"64"," -2.493252"," -1.412696"," -1.959943"
"65"," -2.470123"," -1.453223"," -1.942819"
"66"," -2.447207"," -1.494012"," -1.926814"
"67"," -2.424669"," -1.535330"," -1.912217"
"68"," -2.402668"," -1.577435"," -1.899296"
"69"," -2.381367"," -1.620572"," -1.888285"
"70"," -2.360924"," -1.664964"," -1.879386"
"71"," -2.341498"," -1.710811"," -1.872767"
"72"," -2.323252"," -1.758287"," -1.868563"
"73"," -2.306352"," -1.807533"," -1.866875"
"74"," -2.290969"," -1.858661"," -1.867774"
"75"," -2.277282"," -1.911748"," -1.871302"
"76"," -2.265476"," -1.966838"," -1.877477"
"77"," -2.255744"," -2.023940"," -1.886290"
"78"," -2.248279"," -2.083023"," -1.897712"
"79"," -2.243274"," -2.144015"," -1.911691"
"80"," -2.240910"," -2.206796"," -1.928152"
"81"," -2.241353"," -2.271192"," -1.946998"
"82"," -2.244740"," -2.336968"," -1.968106"
"83"," -2.251175"," -2.403822"," -1.991323"
"84"," -2.260718"," -2.471383"," -2.016470"
"85"," -2.273384"," -2.539214"," -2.043333"
"86"," -2.289130"," -2.606815"," -2.071662"
"87"," -2.307860"," -2.673638"," -2.101164"
"88"," -2.329414"," -2.739094"," -2.131506"
"89"," -2.353578"," -2.802574"," -2.162301"
"90"," -2.380080"," -2.863465"," -2.193115"
"91"," -2.408604"," -2.921160"," -2.223464"
"92"," -2.438797"," -2.975079"," -2.252814"
"93"," -2.470283"," -3.024673"," -2.280595"
"94"," -2.502682"," -3.069430"," -2.306199"
"95"," -2.535620"," -3.108876"," -2.329001"
"96"," -2.568749"," -3.142569"," -2.348367"
"97"," -2.601757"," -3.170091"," -2.363676"
"98"," -2.634378"," -3.191045"," -2.374333"
"99"," -2.666402"," -3.205047"," -2.379794"
"100"," -2.697672"," -3.211726"," -2.379587"
"101"," -2.728089"," -3.210727"," -2.373325"
"102"," -2.757602"," -3.201726"," -2.360727"
"103"," -2.786205"," -3.184437"," -2.341627"
"104"," -2.813922"," -3.158638"," -2.315978"
"105"," -2.840805"," -3.124184"," -2.283850"
"106"," -2.866915"," -3.081026"," -2.245423"
"107"," -2.892316"," -3.029228"," -2.200974"
"108"," -2.917064"," -2.968968"," -2.150861"
"109"," -2.941199"," -2.900533"," -2.095503"
"110"," -2.964739"," -2.824305"," -2.035372"
"111"," -2.987671"," -2.740718"," -1.970976"
"112"," -3.009945"," -2.650215"," -1.902849"
"113"," -3.031462"," -2.553169"," -1.831535"
"114"," -3.052053"," -2.449812"," -1.757572"
"115"," -3.071455"," -2.340141"," -1.681471"
"116"," -3.089283"," -2.223836"," -1.603683"
"117"," -3.104998"," -2.100194"," -1.524569"
"118"," -3.117864"," -1.968081"," -1.444360"
"119"," -3.126905"," -1.825914"," -1.363110"
"120"," -3.130836"," -1.671680"," -1.280642"
