"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0","  0.867527","  2.522081","  0.665159"
"1","  0.844847","  2.521391","  0.644555"
"2","  0.821386","  2.520442","  0.623213"
"3","  0.797057","  2.519233","  0.601198"
"4","  0.771758","  2.517774","  0.578568"
"5","  0.745383","  2.516094","  0.555371"
"6","  0.717818","  2.514241","  0.531641"
"7","  0.688943","  2.512280","  0.507395"
"8","  0.658638","  2.510293","  0.482633"
"9","  0.626782","  2.508375","  0.457339"
"10","  0.593255","  2.506630","  0.431477"
"11","  0.557943","  2.505162","  0.404995"
"12","  0.520742","  2.504074","  0.377833"
"13","  0.481560","  2.503460","  0.349920"
"14","  0.440321","  2.503396","  0.321184"
"15","  0.396966","  2.503943","  0.291555"
"16","  0.351458","  2.505137","  0.260963"
"17","  0.303777","  2.506990","  0.229345"
"18","  0.253921","  2.509489","  0.196639"
"19","  0.201907","  2.512595","  0.162793"
"20","  0.147769","  2.516250","  0.127760"
"21","  0.091553","  2.520378","  0.091503"
"22","  0.033319","  2.524890","  0.053990"
"23"," -0.026862","  2.529688","  0.015203"
"24"," -0.088911","  2.534670"," -0.024870"
"25"," -0.152742","  2.539730"," -0.066227"
"26"," -0.218258","  2.544766"," -0.108851"
"27"," -0.285357","  2.549677"," -0.152712"
"28"," -0.353926","  2.554368"," -0.197764"
"29"," -0.423844","  2.558754"," -0.243944"
"30"," -0.494980","  2.562759"," -0.291173"
"31"," -0.567197","  2.566318"," -0.339354"
"32"," -0.640349","  2.569375"," -0.388376"
"33"," -0.714285","  2.571885"," -0.438113"
"34"," -0.788848","  2.573810"," -0.488424"
"35"," -0.863875","  2.575115"," -0.539154"
"36"," -0.939196","  2.575765"," -0.590132"
"37"," -1.014635","  2.575725"," -0.641173"
"38"," -1.090008","  2.574950"," -0.692083"
"39"," -1.165128","  2.573387"," -0.742656"
"40"," -1.239799","  2.570968"," -0.792684"
"41"," -1.313828","  2.567610"," -0.841958"
"42"," -1.387019","  2.563217"," -0.890273"
"43"," -1.459181","  2.557684"," -0.937434"
"44"," -1.530132","  2.550900"," -0.983255"
"45"," -1.599695","  2.542758"," -1.027568"
"46"," -1.667705","  2.533161"," -1.070219"
"47"," -1.734007","  2.522026"," -1.111072"
"48"," -1.798457","  2.509293"," -1.150008"
"49"," -1.860925","  2.494924"," -1.186930"
"50"," -1.921297","  2.478909"," -1.221765"
"51"," -1.979480","  2.461264"," -1.254470"
"52"," -2.035403","  2.442030"," -1.285028"
"53"," -2.089023","  2.421274"," -1.313454"
"54"," -2.140321","  2.399079"," -1.339794"
"55"," -2.189305","  2.375544"," -1.364117"
"56"," -2.236005","  2.350774"," -1.386521"
"57"," -2.280476","  2.324873"," -1.407122"
"58"," -2.322785","  2.297939"," -1.426056"
"59"," -2.363005","  2.270058"," -1.443467"
"60"," -2.401213","  2.241305"," -1.459501"
"61"," -2.437472","  2.211747"," -1.474299"
"62"," -2.471833","  2.181444"," -1.487988"
"63"," -2.504320","  2.150460"," -1.500673"
"64"," -2.534937","  2.118869"," -1.512435"
"65"," -2.563656","  2.086751"," -1.523324"
"66"," -2.590426","  2.054202"," -1.533360"
"67"," -2.615171","  2.021325"," -1.542532"
"68"," -2.637793","  1.988233"," -1.550798"
"69"," -2.658175","  1.955049"," -1.558094"
"70"," -2.676189","  1.921906"," -1.564329"
"71"," -2.691701","  1.888945"," -1.569396"
"72"," -2.704580","  1.856313"," -1.573175"
"73"," -2.714708","  1.824160"," -1.575545"
"74"," -2.721995","  1.792633"," -1.576395"
"75"," -2.726387","  1.761868"," -1.575637"
"76"," -2.727884","  1.731985"," -1.573219"
"77"," -2.726543","  1.703079"," -1.569135"
"78"," -2.722488","  1.675219"," -1.563433"
"79"," -2.715910","  1.648440"," -1.556214"
"80"," -2.707063","  1.622746"," -1.547633"
"81"," -2.696254","  1.598109"," -1.537894"
"82"," -2.683836","  1.574468"," -1.527236"
"83"," -2.670187","  1.551736"," -1.515926"
"84"," -2.655695","  1.529802"," -1.504244"
"85"," -2.640744","  1.508538"," -1.492470"
"86"," -2.625697","  1.487810"," -1.480876"
"87"," -2.610887","  1.467482"," -1.469710"
"88"," -2.596609","  1.447422"," -1.459199"
"89"," -2.583119","  1.427506"," -1.449537"
"90"," -2.570631","  1.407612"," -1.440894"
"91"," -2.559321","  1.387627"," -1.433407"
"92"," -2.549328","  1.367440"," -1.427192"
"93"," -2.540760","  1.346948"," -1.422338"
"94"," -2.533692","  1.326056"," -1.418908"
"95"," -2.528167","  1.304684"," -1.416941"
"96"," -2.524200","  1.282767"," -1.416444"
"97"," -2.521776","  1.260268"," -1.417399"
"98"," -2.520854","  1.237174"," -1.419757"
"99"," -2.521371","  1.213500"," -1.423446"
"100"," -2.523246","  1.189288"," -1.428370"
"101"," -2.526382","  1.164600"," -1.434418"
"102"," -2.530676","  1.139517"," -1.441462"
"103"," -2.536017","  1.114126"," -1.449372"
"104"," -2.542298","  1.088517"," -1.458015"
"105"," -2.549421","  1.062771"," -1.467267"
"106"," -2.557303","  1.036958"," -1.477016"
"107"," -2.565882","  1.011129"," -1.487176"
"108"," -2.575119","  0.985310"," -1.497681"
"109"," -2.585004","  0.959501"," -1.508501"
"110"," -2.595554","  0.933677"," -1.519634"
"111"," -2.606809","  0.907786"," -1.531112"
"112"," -2.618837","  0.881754"," -1.543000"
"113"," -2.631718","  0.855489"," -1.555383"
"114"," -2.645541","  0.828888"," -1.568361"
"115"," -2.660386","  0.801851"," -1.582033"
"116"," -2.676306","  0.774287"," -1.596468"
"117"," -2.693311","  0.746129"," -1.611694"
"118"," -2.711350","  0.717350"," -1.627673"
"119"," -2.730305","  0.687971"," -1.644293"
"120"," -2.749984","  0.658070"," -1.661361"
"121"," -2.770126","  0.627787"," -1.678607"
"122"," -2.790421","  0.597324"," -1.695704"
"123"," -2.810524","  0.566934"," -1.712285"
"124"," -2.830086","  0.536907"," -1.727975"
"125"," -2.848781","  0.507555"," -1.742421"
"126"," -2.866340","  0.479177"," -1.755329"
"127"," -2.882577","  0.452041"," -1.766492"
"128"," -2.897409","  0.426357"," -1.775807"
"129"," -2.910859","  0.402259"," -1.783289"
"130"," -2.923056","  0.379798"," -1.789057"
"131"," -2.934215","  0.358938"," -1.793329"
"132"," -2.944626","  0.339557"," -1.796397"
"133"," -2.954629","  0.321458"," -1.798616"
"134"," -2.964598","  0.304374"," -1.800384"
"135"," -2.974921","  0.287983"," -1.802125"
"136"," -2.985982","  0.271920"," -1.804277"
"137"," -2.998145","  0.255788"," -1.807273"
"138"," -3.011735","  0.239174"," -1.811529"
"139"," -3.027023","  0.221660"," -1.817427"
"140"," -3.044214","  0.202838"," -1.825300"
"141"," -3.063435","  0.182324"," -1.835427"
"142"," -3.084726","  0.159773"," -1.848011"
"143"," -3.108029","  0.134894"," -1.863177"
"144"," -3.133188","  0.107469"," -1.880956"
"145"," -3.159940","  0.077370"," -1.901277"
"146"," -3.187918","  0.044570"," -1.923957"
"147"," -3.216651","  0.009163"," -1.948700"
"148"," -3.245570"," -0.028622"," -1.975086"
"149"," -3.274015"," -0.068414"," -2.002575"
"150"," -3.301246"," -0.109682"," -2.030504"
"151"," -3.326458"," -0.151732"," -2.058097"
"152"," -3.348793"," -0.193701"," -2.084472"
"153"," -3.367361"," -0.234555"," -2.108656"
"154"," -3.381255"," -0.273097"," -2.129601"
"155"," -3.389576"," -0.307976"," -2.146204"
"156"," -3.391447"," -0.337703"," -2.157335"
"157"," -3.386042"," -0.360678"," -2.161853"
"158"," -3.372597"," -0.375213"," -2.158639"
"159"," -3.350432"," -0.379575"," -2.146609"
"160"," -3.318964"," -0.372023"," -2.124742"
"161"," -3.277709"," -0.350862"," -2.092090"
"162"," -3.226285"," -0.314493"," -2.047798"
"163"," -3.164403"," -0.261474"," -1.991108"
"164"," -3.091854"," -0.190579"," -1.921367"
"165"," -3.008486"," -0.100859"," -1.838034"
"166"," -2.914179","  0.008305"," -1.740675"
"167"," -2.808822","  0.137143"," -1.628972"
"168"," -2.692281","  0.285450"," -1.502729"
"169"," -2.564386","  0.452553"," -1.361885"
"170"," -2.424916","  0.637281"," -1.206543"
"171"," -2.273593","  0.837950"," -1.037000"
"172"," -2.110090","  1.052373"," -0.853795"
"173"," -1.934047","  1.277870"," -0.657759"
"174"," -1.745089","  1.511309"," -0.450065"
"175"," -1.542864","  1.749158"," -0.232283"
"176"," -1.327080","  1.987550"," -0.006415"
"177"," -1.097570","  2.222367","  0.225076"
"178"," -0.854361","  2.449345","  0.459258"
"179"," -0.597775","  2.664183","  0.692745"
"180"," -0.328538","  2.862686","  0.921728"
"181"," -0.047909","  3.040903","  1.142031"
"182","  0.242200","  3.195290","  1.349189"
"183","  0.539118","  3.322849","  1.538548"
"184","  0.839347","  3.421260","  1.705398"
"185","  1.138559","  3.488964","  1.845144"
"186","  1.431674","  3.525204","  1.953540"
"187","  1.713025","  3.530016","  2.026983"
"188","  1.976620","  3.504171","  2.062853"
"189","  2.216468","  3.449090","  2.059877"
"190","  2.426965","  3.366743","  2.018429"
"191","  2.603299","  3.259512","  1.940730"
"192","  2.741868","  3.130045","  1.830889"
"193","  2.840696","  2.981080","  1.694776"
"194","  2.899847","  2.815306","  1.539710"
"195","  2.921786","  2.635324","  1.373951"
"196","  2.911574","  2.443783","  1.205929"
"197","  2.876666","  2.243696","  1.043218"
"198","  2.826036","  2.038778","  0.891373"
"199","  2.768504","  1.833518","  0.753021"
"200","  2.710606","  1.632609","  0.627787"
"201","  2.654957","  1.439657","  0.513411"
"202","  2.600244","  1.255596","  0.407765"
"203","  2.543345","  1.077758","  0.310677"
"204","  2.482647","  0.900510","  0.224344"
"205","  2.420554","  0.717542","  0.151970"
"206","  2.363503","  0.524755","  0.095610"
"207","  2.319455","  0.322206","  0.054808"
"208","  2.294451","  0.114111","  0.026946"
"209","  2.290199"," -0.092892","  0.008967"
"210","  2.303727"," -0.292181"," -0.000766"
"211","  2.328886"," -0.479066"," -0.001661"
"212","  2.358702"," -0.651462","  0.008499"
"213","  2.387395"," -0.809252","  0.032057"
"214","  2.411206"," -0.952959","  0.070071"
"215","  2.427824"," -1.082672","  0.121769"
"216","  2.435094"," -1.197993","  0.184962"
"217","  2.430291"," -1.298936","  0.256926"
"218","  2.410856"," -1.386931","  0.335136"
"219","  2.376250"," -1.464893","  0.417512"
"220","  2.329398"," -1.536100","  0.502198"
"221","  2.276321"," -1.602625","  0.587136"
"222","  2.223871"," -1.664520","  0.669772"
"223","  2.176936"," -1.720380","  0.747095"
"224","  2.136831"," -1.768854","  0.816023"
"225","  2.101616"," -1.810029","  0.873869"
"226","  2.067796"," -1.845854","  0.918601"
"227","  2.032164"," -1.879519","  0.948825"
"228","  1.992875"," -1.914383","  0.963677"
"229","  1.949557"," -1.953157","  0.962834"
"230","  1.902851"," -1.997644","  0.946615"
"231","  1.853859"," -2.048921","  0.916038"
"232","  1.803733"," -2.107632","  0.872757"
"233","  1.753460"," -2.174201","  0.818890"
"234","  1.703764"," -2.248884","  0.756831"
"235","  1.655080"," -2.331735","  0.689082"
"236","  1.607553"," -2.422549","  0.618130"
"237","  1.561075"," -2.520829","  0.546349"
"238","  1.515337"," -2.625780","  0.475934"
"239","  1.469879"," -2.736341","  0.408839"
"240","  1.424157"," -2.851238","  0.346745"
"241","  1.377587"," -2.969039","  0.291029"
"242","  1.329592"," -3.088221","  0.242761"
"243","  1.279651"," -3.207221","  0.202706"
"244","  1.227348"," -3.324479","  0.171347"
"245","  1.172433"," -3.438466","  0.148903"
"246","  1.114884"," -3.547690","  0.135356"
"247","  1.054953"," -3.650673","  0.130450"
"248","  0.993168"," -3.745931","  0.133665"
"249","  0.930280"," -3.831966","  0.144168"
"250","  0.867154"," -3.907333","  0.160756"
"251","  0.804643"," -3.970794","  0.181852"
"252","  0.743510"," -4.021530","  0.205576"
