"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0","  1.692006","  0.078241","  1.723159"
"1","  1.606759","  0.077282","  1.617974"
"2","  1.517718","  0.075597","  1.507233"
"3","  1.424140","  0.072962","  1.390278"
"4","  1.325286","  0.069175","  1.266489"
"5","  1.220458","  0.064067","  1.135323"
"6","  1.109041","  0.057506","  0.996360"
"7","  0.990536","  0.049408","  0.849339"
"8","  0.864603","  0.039731","  0.694194"
"9","  0.731081","  0.028469","  0.531081"
"10","  0.590014","  0.015646","  0.360391"
"11","  0.441665","  0.001297","  0.182762"
"12","  0.286521"," -0.014544"," -0.000925"
"13","  0.125290"," -0.031868"," -0.189565"
"14"," -0.041111"," -0.050705"," -0.381851"
"15"," -0.211577"," -0.071142"," -0.576305"
"16"," -0.384838"," -0.093329"," -0.771327"
"17"," -0.559505"," -0.117480"," -0.965238"
"18"," -0.734101"," -0.143868"," -1.156335"
"19"," -0.907110"," -0.172801"," -1.342940"
"20"," -1.077021"," -0.204602"," -1.523455"
"21"," -1.242374"," -0.239569"," -1.696406"
"22"," -1.401799"," -0.277944"," -1.860483"
"23"," -1.554054"," -0.319883"," -2.014576"
"24"," -1.698050"," -0.365425"," -2.157793"
"25"," -1.832878"," -0.414484"," -2.289478"
"26"," -1.957819"," -0.466836"," -2.409220"
"27"," -2.072361"," -0.522130"," -2.516843"
"28"," -2.176196"," -0.579895"," -2.612405"
"29"," -2.269223"," -0.639567"," -2.696173"
"30"," -2.351533"," -0.700518"," -2.768605"
"31"," -2.423403"," -0.762080"," -2.830318"
"32"," -2.485268"," -0.823583"," -2.882059"
"33"," -2.537703"," -0.884379"," -2.924669"
"34"," -2.581392"," -0.943871"," -2.959048"
"35"," -2.617099"," -1.001530"," -2.986117"
"36"," -2.645640"," -1.056915"," -3.006792"
"37"," -2.667848"," -1.109681"," -3.021947"
"38"," -2.684548"," -1.159585"," -3.032395"
"39"," -2.696529"," -1.206492"," -3.038862"
"40"," -2.704517"," -1.250373"," -3.041977"
"41"," -2.709161"," -1.291296"," -3.042263"
"42"," -2.711012"," -1.329426"," -3.040132"
"43"," -2.710518"," -1.365007"," -3.035892"
"44"," -2.708015"," -1.398351"," -3.029754"
"45"," -2.703728"," -1.429823"," -3.021840"
"46"," -2.697778"," -1.459819"," -3.012205"
"47"," -2.690194"," -1.488749"," -3.000844"
"48"," -2.680923"," -1.517014"," -2.987715"
"49"," -2.669847"," -1.544987"," -2.972744"
"50"," -2.656800"," -1.572994"," -2.955839"
"51"," -2.641583"," -1.601301"," -2.936897"
"52"," -2.623974"," -1.630099"," -2.915808"
"53"," -2.603749"," -1.659503"," -2.892456"
"54"," -2.580687"," -1.689550"," -2.866729"
"55"," -2.554583"," -1.720200"," -2.838521"
"56"," -2.525255"," -1.751348"," -2.807733"
"57"," -2.492552"," -1.782828"," -2.774284"
"58"," -2.456360"," -1.814424"," -2.738107"
"59"," -2.416604"," -1.845886"," -2.699157"
"60"," -2.373254"," -1.876932"," -2.657418"
"61"," -2.326322"," -1.907273"," -2.612895"
"62"," -2.275864"," -1.936618"," -2.565627"
"63"," -2.221975"," -1.964689"," -2.515681"
"64"," -2.164788"," -1.991231"," -2.463147"
"65"," -2.104470"," -2.016020"," -2.408139"
"66"," -2.041218"," -2.038857"," -2.350786"
"67"," -1.975260"," -2.059567"," -2.291225"
"68"," -1.906858"," -2.077987"," -2.229607"
"69"," -1.836315"," -2.093955"," -2.166092"
"70"," -1.763987"," -2.107302"," -2.100861"
"71"," -1.690284"," -2.117856"," -2.034129"
"72"," -1.615686"," -2.125444"," -1.966152"
"73"," -1.540741"," -2.129911"," -1.897246"
"74"," -1.466063"," -2.131133"," -1.827789"
"75"," -1.392327"," -2.129036"," -1.758230"
"76"," -1.320254"," -2.123610"," -1.689087"
"77"," -1.250600"," -2.114921"," -1.620940"
"78"," -1.184139"," -2.103114"," -1.554414"
"79"," -1.121643"," -2.088404"," -1.490158"
"80"," -1.063870"," -2.071063"," -1.428821"
"81"," -1.011548"," -2.051395"," -1.371017"
"82"," -0.965360"," -2.029696"," -1.317297"
"83"," -0.925936"," -2.006220"," -1.268110"
"84"," -0.893844"," -1.981134"," -1.223772"
"85"," -0.869574"," -1.954480"," -1.184442"
"86"," -0.853535"," -1.926137"," -1.150094"
"87"," -0.846038"," -1.895798"," -1.120498"
"88"," -0.847280"," -1.862945"," -1.095211"
"89"," -0.857320"," -1.826854"," -1.073574"
"90"," -0.876057"," -1.786603"," -1.054704"
"91"," -0.903192"," -1.741096"," -1.037514"
"92"," -0.938198"," -1.689111"," -1.020716"
"93"," -0.980286"," -1.629345"," -1.002849"
"94"," -1.028371"," -1.560480"," -0.982299"
"95"," -1.081055"," -1.481249"," -0.957336"
"96"," -1.136612"," -1.390506"," -0.926144"
"97"," -1.192994"," -1.287295"," -0.886875"
"98"," -1.247851"," -1.170908"," -0.837691"
"99"," -1.298580"," -1.040945"," -0.776828"
"100"," -1.342378"," -0.897364"," -0.702661"
"101"," -1.376328"," -0.740521"," -0.613776"
"102"," -1.397494"," -0.571219"," -0.509052"
"103"," -1.403015"," -0.390735"," -0.387740"
"104"," -1.390215"," -0.200854"," -0.249542"
"105"," -1.356693"," -0.003876"," -0.094685"
"106"," -1.300415","  0.197386","  0.076016"
"107"," -1.219787","  0.399651","  0.261107"
"108"," -1.113722","  0.599230","  0.458461"
"109"," -0.981706","  0.792134","  0.665260"
"110"," -0.823851","  0.974196","  0.878001"
"111"," -0.640965","  1.141220","  1.092516"
"112"," -0.434612","  1.289139","  1.304032"
"113"," -0.207190","  1.414175","  1.507261"
"114","  0.038003","  1.512988","  1.696539"
"115","  0.296712","  1.582809","  1.866026"
"116","  0.563705","  1.621515","  2.009988"
"117","  0.832794","  1.627648","  2.123155"
"118","  1.096962","  1.600343","  2.201184"
"119","  1.348595","  1.539179","  2.241215"
"120","  1.579927","  1.443992","  2.242514"
"121","  1.783720","  1.314786","  2.207126"
"122","  1.954261","  1.151903","  2.140375"
"123","  2.088551","  0.956685","  2.050879"
"124","  2.187381","  0.732682","  1.949669"
"125","  2.255666","  0.487111","  1.848115"
"126","  2.301415","  0.231774","  1.754974"
"127","  2.333222"," -0.017542","  1.673654"
"128","  2.357110"," -0.243639","  1.601155"
"129","  2.374169"," -0.431813","  1.529534"
"130","  2.380181"," -0.573584","  1.449381"
"131","  2.367460"," -0.668761","  1.353776"
"132","  2.328241"," -0.725109","  1.241049"
"133","  2.258301"," -0.755781","  1.115228"
"134","  2.159257"," -0.775476","  0.984100"
"135","  2.038449"," -0.796679","  0.855931"
"136","  1.906484"," -0.827275","  0.736509"
"137","  1.773759"," -0.870071","  0.627796"
"138","  1.647678"," -0.923888","  0.528390"
"139","  1.531545"," -0.985307","  0.435038"
"140","  1.425087"," -1.050203","  0.344214"
"141","  1.325850"," -1.114653","  0.253160"
"142","  1.230684"," -1.175260","  0.160313"
"143","  1.136853"," -1.229156","  0.065320"
"144","  1.042668"," -1.273935"," -0.031122"
"145","  0.947703"," -1.307641"," -0.127463"
"146","  0.852735"," -1.328821"," -0.221480"
"147","  0.759508"," -1.336601"," -0.310426"
"148","  0.670374"," -1.330743"," -0.391139"
"149","  0.587852"," -1.311668"," -0.460125"
"150","  0.514120"," -1.280461"," -0.513643"
"151","  0.450498"," -1.238823"," -0.547903"
"152","  0.397020"," -1.188937"," -0.559450"
"153","  0.352198"," -1.133239"," -0.545770"
"154","  0.313101"," -1.074156"," -0.505923"
"155","  0.275821"," -1.013995"," -0.440936"
"156","  0.236330"," -0.955099"," -0.353710"
"157","  0.191624"," -0.900137"," -0.248497"
"158","  0.140815"," -0.852152"," -0.130198"
"159","  0.085607"," -0.814103"," -0.003816"
"160","  0.029704"," -0.788040","  0.125833"
"161"," -0.022750"," -0.774479","  0.254182"
"162"," -0.068867"," -0.772442","  0.376942"
"163"," -0.107901"," -0.780125","  0.490243"
"164"," -0.140965"," -0.795692","  0.590851"
"165"," -0.170049"," -0.817751","  0.676354"
"166"," -0.197111"," -0.845375","  0.745179"
"167"," -0.223659"," -0.877933","  0.796458"
"168"," -0.250752"," -0.914964","  0.829888"
"169"," -0.279077"," -0.956177","  0.845673"
"170"," -0.308928"," -1.001468","  0.844576"
"171"," -0.340138"," -1.050854","  0.827969"
"172"," -0.372107"," -1.104312","  0.797813"
"173"," -0.403972"," -1.161626","  0.756517"
"174"," -0.434844"," -1.222297","  0.706734"
"175"," -0.464011"," -1.285546","  0.651160"
"176"," -0.491039"," -1.350387","  0.592376"
"177"," -0.515765"," -1.415718","  0.532746"
"178"," -0.538248"," -1.480412","  0.474363"
"179"," -0.558683"," -1.543394","  0.419021"
"180"," -0.577337"," -1.603704","  0.368201"
"181"," -0.594497"," -1.660544","  0.323067"
"182"," -0.610437"," -1.713311","  0.284473"
"183"," -0.625403"," -1.761617","  0.252972"
"184"," -0.639603"," -1.805298","  0.228831"
"185"," -0.653213"," -1.844409","  0.212055"
"186"," -0.666378"," -1.879204","  0.202410"
"187"," -0.679216"," -1.910116","  0.199451"
"188"," -0.691822"," -1.937715","  0.202553"
"189"," -0.704262"," -1.962668","  0.210948"
"190"," -0.716573"," -1.985702","  0.223754"
"191"," -0.728750"," -2.007550","  0.240013"
"192"," -0.740748"," -2.028914","  0.258726"
"193"," -0.752473"," -2.050426","  0.278883"
"194"," -0.763789"," -2.072614","  0.299498"
"195"," -0.774518"," -2.095879","  0.319636"
"196"," -0.784453"," -2.120478","  0.338443"
"197"," -0.793373"," -2.146521","  0.355167"
"198"," -0.801058"," -2.173975","  0.369182"
"199"," -0.807310"," -2.202675","  0.380007"
"200"," -0.811970"," -2.232343","  0.387318"
"201"," -0.814939"," -2.262610","  0.390960"
"202"," -0.816187"," -2.293035","  0.390954"
"203"," -0.815767"," -2.323138","  0.387499"
"204"," -0.813816"," -2.352429","  0.380964"
