"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0","  0.510438","  0.579115","  0.340154"
"1","  0.526380","  0.588372","  0.340874"
"2","  0.541910","  0.597435","  0.340683"
"3","  0.556885","  0.606247","  0.339486"
"4","  0.571194","  0.614775","  0.337223"
"5","  0.584764","  0.623012","  0.333874"
"6","  0.597556","  0.630974","  0.329458"
"7","  0.609568","  0.638695","  0.324032"
"8","  0.620822","  0.646221","  0.317691"
"9","  0.631364","  0.653604","  0.310562"
"10","  0.641252","  0.660895","  0.302795"
"11","  0.650549","  0.668146","  0.294556"
"12","  0.659313","  0.675400","  0.286018"
"13","  0.667590","  0.682694","  0.277352"
"14","  0.675404","  0.690061","  0.268720"
"15","  0.682753","  0.697527","  0.260266"
"16","  0.689599","  0.705115","  0.252110"
"17","  0.695867","  0.712845","  0.244346"
"18","  0.701438","  0.720735","  0.237036"
"19","  0.706150","  0.728799","  0.230209"
"20","  0.709801","  0.737040","  0.223860"
"21","  0.712147","  0.745449","  0.217950"
"22","  0.712910","  0.753999","  0.212407"
"23","  0.711787","  0.762640","  0.207125"
"24","  0.708458","  0.771298","  0.201969"
"25","  0.702595","  0.779872","  0.196778"
"26","  0.693874","  0.788237","  0.191369"
"27","  0.681993","  0.796243","  0.185542"
"28","  0.666677","  0.803720","  0.179086"
"29","  0.647694","  0.810483","  0.171785"
"30","  0.624866","  0.816337","  0.163424"
"31","  0.598070","  0.821096","  0.153793"
"32","  0.567250","  0.824590","  0.142691"
"33","  0.532413","  0.826683","  0.129931"
"34","  0.493635","  0.827288","  0.115345"
"35","  0.451053","  0.826377","  0.098789"
"36","  0.404871","  0.823988","  0.080147"
"37","  0.355352","  0.820223","  0.059336"
"38","  0.302818","  0.815242","  0.036315"
"39","  0.247643","  0.809253","  0.011079"
"40","  0.190249","  0.802497"," -0.016329"
"41","  0.131101","  0.795233"," -0.045823"
"42","  0.070692","  0.787723"," -0.077276"
"43","  0.009541","  0.780207"," -0.110519"
"44"," -0.051828","  0.772891"," -0.145348"
"45"," -0.112888","  0.765927"," -0.181529"
"46"," -0.173129","  0.759402"," -0.218803"
"47"," -0.232063","  0.753336"," -0.256893"
"48"," -0.289239","  0.747685"," -0.295510"
"49"," -0.344249","  0.742350"," -0.334362"
"50"," -0.396739","  0.737195"," -0.373160"
"51"," -0.446417","  0.732063"," -0.411623"
"52"," -0.493061","  0.726787"," -0.449488"
"53"," -0.536518","  0.721208"," -0.486515"
"54"," -0.576718","  0.715181"," -0.522496"
"55"," -0.613669","  0.708584"," -0.557260"
"56"," -0.647459","  0.701318"," -0.590683"
"57"," -0.678258","  0.693310"," -0.622689"
"58"," -0.706306","  0.684515"," -0.653253"
"59"," -0.731907","  0.674906"," -0.682399"
"60"," -0.755414","  0.664476"," -0.710197"
"61"," -0.777214","  0.653234"," -0.736755"
"62"," -0.797715","  0.641199"," -0.762215"
"63"," -0.817328","  0.628397"," -0.786743"
"64"," -0.836456","  0.614855"," -0.810526"
"65"," -0.855477","  0.600598"," -0.833761"
"66"," -0.874740","  0.585638"," -0.856648"
"67"," -0.894553","  0.569978"," -0.879388"
"68"," -0.915179","  0.553602"," -0.902166"
"69"," -0.936834","  0.536480"," -0.925148"
"70"," -0.959679","  0.518564"," -0.948472"
"71"," -0.983826","  0.499791"," -0.972237"
"72"," -1.009327","  0.480084"," -0.996501"
"73"," -1.036180","  0.459353"," -1.021280"
"74"," -1.064323","  0.437498"," -1.046544"
"75"," -1.093642","  0.414421"," -1.072220"
"76"," -1.123965","  0.390029"," -1.098201"
"77"," -1.155074","  0.364249"," -1.124349"
"78"," -1.186709","  0.337034"," -1.150506"
"79"," -1.218578","  0.308364"," -1.176505"
"80"," -1.250369","  0.278254"," -1.202176"
"81"," -1.281764","  0.246748"," -1.227361"
"82"," -1.312447","  0.213918"," -1.251920"
"83"," -1.342123","  0.179855"," -1.275740"
"84"," -1.370524","  0.144665"," -1.298739"
"85"," -1.397423","  0.108463"," -1.320874"
"86"," -1.422643","  0.071367"," -1.342139"
"87"," -1.446062","  0.033493"," -1.362571"
"88"," -1.467617"," -0.005056"," -1.382245"
"89"," -1.487309"," -0.044189"," -1.401273"
"90"," -1.505191"," -0.083841"," -1.419796"
"91"," -1.521369"," -0.123969"," -1.437972"
"92"," -1.535993"," -0.164557"," -1.455967"
"93"," -1.549241"," -0.205610"," -1.473936"
"94"," -1.561311"," -0.247149"," -1.492009"
"95"," -1.572400"," -0.289213"," -1.510269"
"96"," -1.582698"," -0.331851"," -1.528740"
"97"," -1.592363"," -0.375123"," -1.547368"
"98"," -1.601512"," -0.419100"," -1.566013"
"99"," -1.610210"," -0.463864"," -1.584444"
"100"," -1.618459"," -0.509497"," -1.602338"
"101"," -1.626200"," -0.556074"," -1.619290"
"102"," -1.633316"," -0.603646"," -1.634828"
"103"," -1.639639"," -0.652224"," -1.648431"
"104"," -1.644962"," -0.701754"," -1.659556"
"105"," -1.649059"," -0.752102"," -1.667663"
"106"," -1.651700"," -0.803041"," -1.672241"
"107"," -1.652668"," -0.854248"," -1.672833"
"108"," -1.651776"," -0.905305"," -1.669059"
"109"," -1.648880"," -0.955719"," -1.660635"
"110"," -1.643894"," -1.004936"," -1.647390"
"111"," -1.636799"," -1.052378"," -1.629279"
"112"," -1.627647"," -1.097465"," -1.606394"
"113"," -1.616571"," -1.139653"," -1.578962"
"114"," -1.603778"," -1.178470"," -1.547347"
"115"," -1.589545"," -1.213536"," -1.512041"
"116"," -1.574216"," -1.244593"," -1.473649"
"117"," -1.558187"," -1.271520"," -1.432874"
"118"," -1.541898"," -1.294338"," -1.390492"
"119"," -1.525817"," -1.313217"," -1.347331"
"120"," -1.510426"," -1.328469"," -1.304242"
"121"," -1.496209"," -1.340539"," -1.262078"
"122"," -1.483640"," -1.349995"," -1.221671"
"123"," -1.473166"," -1.357509"," -1.183808"
"124"," -1.465199"," -1.363845"," -1.149213"
"125"," -1.460104"," -1.369841"," -1.118533"
"126"," -1.458198"," -1.376385"," -1.092328"
"127"," -1.459744"," -1.384392"," -1.071060"
"128"," -1.464959"," -1.394771"," -1.055094"
"129"," -1.474016"," -1.408389"," -1.044698"
"130"," -1.487056"," -1.426030"," -1.040044"
"131"," -1.504190"," -1.448358"," -1.041222"
"132"," -1.525509"," -1.475873"," -1.048234"
"133"," -1.551085"," -1.508884"," -1.061007"
"134"," -1.580972"," -1.547480"," -1.079395"
"135"," -1.615207"," -1.591515"," -1.103181"
"136"," -1.653805"," -1.640606"," -1.132080"
"137"," -1.696757"," -1.694136"," -1.165745"
"138"," -1.744027"," -1.751271"," -1.203770"
"139"," -1.795541"," -1.810986"," -1.245695"
