"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0"," -0.180517"," -0.735247"," -0.021886"
"1"," -0.178464"," -0.732856"," -0.022687"
"2"," -0.176272"," -0.730282"," -0.023398"
"3"," -0.173926"," -0.727546"," -0.023994"
"4"," -0.171407"," -0.724666"," -0.024449"
"5"," -0.168699"," -0.721667"," -0.024742"
"6"," -0.165793"," -0.718575"," -0.024856"
"7"," -0.162687"," -0.715427"," -0.024782"
"8"," -0.159388"," -0.712267"," -0.024518"
"9"," -0.155917"," -0.709148"," -0.024070"
"10"," -0.152299"," -0.706130"," -0.023451"
"11"," -0.148567"," -0.703275"," -0.022681"
"12"," -0.144759"," -0.700643"," -0.021783"
"13"," -0.140912"," -0.698292"," -0.020786"
"14"," -0.137066"," -0.696267"," -0.019721"
"15"," -0.133252"," -0.694606"," -0.018620"
"16"," -0.129503"," -0.693327"," -0.017516"
"17"," -0.125842"," -0.692439"," -0.016442"
"18"," -0.122290"," -0.691930"," -0.015432"
"19"," -0.118869"," -0.691780"," -0.014519"
"20"," -0.115597"," -0.691959"," -0.013736"
"21"," -0.112497"," -0.692427"," -0.013117"
"22"," -0.109595"," -0.693144"," -0.012690"
"23"," -0.106919"," -0.694062"," -0.012481"
"24"," -0.104496"," -0.695133"," -0.012511"
"25"," -0.102354"," -0.696306"," -0.012789"
"26"," -0.100515"," -0.697524"," -0.013316"
"27"," -0.098990"," -0.698730"," -0.014076"
"28"," -0.097777"," -0.699862"," -0.015040"
"29"," -0.096856"," -0.700858"," -0.016162"
"30"," -0.096183"," -0.701652"," -0.017379"
"31"," -0.095697"," -0.702185"," -0.018617"
"32"," -0.095314"," -0.702400"," -0.019793"
"33"," -0.094940"," -0.702250"," -0.020818"
"34"," -0.094467"," -0.701698"," -0.021606"
"35"," -0.093789"," -0.700725"," -0.022079"
"36"," -0.092804"," -0.699329"," -0.022170"
"37"," -0.091431"," -0.697538"," -0.021838"
"38"," -0.089613"," -0.695411"," -0.021063"
"39"," -0.087332"," -0.693041"," -0.019859"
"40"," -0.084610"," -0.690557"," -0.018269"
"41"," -0.081509"," -0.688112"," -0.016366"
"42"," -0.078132"," -0.685872"," -0.014245"
"43"," -0.074609"," -0.683998"," -0.012018"
"44"," -0.071089"," -0.682629"," -0.009799"
"45"," -0.067725"," -0.681868"," -0.007696"
