"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0"," -0.828295","  1.157087"," -0.760516"
"1"," -0.806443","  1.154557"," -0.743197"
"2"," -0.784636","  1.151605"," -0.725819"
"3"," -0.763026","  1.148227"," -0.708517"
"4"," -0.741735","  1.144448"," -0.691412"
"5"," -0.720854","  1.140327"," -0.674614"
"6"," -0.700439","  1.135956"," -0.658212"
"7"," -0.680506","  1.131456"," -0.642278"
"8"," -0.661038","  1.126970"," -0.626862"
"9"," -0.641981","  1.122651"," -0.611989"
"10"," -0.623256","  1.118656"," -0.597664"
"11"," -0.604761","  1.115129"," -0.583869"
"12"," -0.586379","  1.112190"," -0.570566"
"13"," -0.567988","  1.109930"," -0.557699"
"14"," -0.549461","  1.108405"," -0.545197"
"15"," -0.530678","  1.107632"," -0.532976"
"16"," -0.511530","  1.107593"," -0.520946"
"17"," -0.491921","  1.108241"," -0.509013"
"18"," -0.471773","  1.109503"," -0.497083"
"19"," -0.451029","  1.111292"," -0.485071"
"20"," -0.429654","  1.113507"," -0.472902"
"21"," -0.407642","  1.116042"," -0.460518"
"22"," -0.385010","  1.118789"," -0.447879"
"23"," -0.361800","  1.121637"," -0.434962"
"24"," -0.338074","  1.124483"," -0.421759"
"25"," -0.313907","  1.127226"," -0.408271"
"26"," -0.289384","  1.129777"," -0.394504"
"27"," -0.264587","  1.132062"," -0.380464"
"28"," -0.239596","  1.134016"," -0.366153"
"29"," -0.214479","  1.135595"," -0.351565"
"30"," -0.189291","  1.136769"," -0.336688"
"31"," -0.164074","  1.137526"," -0.321502"
"32"," -0.138853","  1.137871"," -0.305981"
"33"," -0.113639","  1.137829"," -0.290095"
"34"," -0.088428","  1.137435"," -0.273806"
"35"," -0.063201","  1.136740"," -0.257075"
"36"," -0.037928","  1.135795"," -0.239861"
"37"," -0.012566","  1.134654"," -0.222121"
"38","  0.012939","  1.133368"," -0.203813"
"39","  0.038652","  1.131975"," -0.184895"
"40","  0.064646","  1.130501"," -0.165326"
"41","  0.090999","  1.128954"," -0.145067"
"42","  0.117798","  1.127319"," -0.124080"
"43","  0.145130","  1.125567"," -0.102333"
"44","  0.173083","  1.123649"," -0.079796"
