"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0","  0.703834","  0.454763"," -0.021669"
"1","  0.709982","  0.472253"," -0.034480"
"2","  0.714964","  0.489430"," -0.048252"
"3","  0.718443","  0.505890"," -0.062862"
"4","  0.720049","  0.521313"," -0.078189"
"5","  0.719386","  0.535470"," -0.094121"
"6","  0.716031","  0.548238"," -0.110563"
"7","  0.709541","  0.559584"," -0.127440"
"8","  0.699465","  0.569557"," -0.144701"
"9","  0.685357","  0.578262"," -0.162311"
"10","  0.666791","  0.585835"," -0.180256"
"11","  0.643377","  0.592403"," -0.198532"
"12","  0.614782","  0.598062"," -0.217144"
"13","  0.580740","  0.602846"," -0.236094"
"14","  0.541066","  0.606710"," -0.255383"
"15","  0.495666","  0.609522"," -0.275001"
"16","  0.444535","  0.611063"," -0.294931"
"17","  0.387768","  0.611034"," -0.315137"
"18","  0.325555","  0.609074"," -0.335573"
"19","  0.258177","  0.604778"," -0.356180"
"20","  0.186008","  0.597726"," -0.376887"
"21","  0.109496","  0.587506"," -0.397614"
"22","  0.029159","  0.573735"," -0.418277"
"23"," -0.054434","  0.556076"," -0.438791"
"24"," -0.140679","  0.534249"," -0.459077"
"25"," -0.228954","  0.508034"," -0.479059"
"26"," -0.318635","  0.477279"," -0.498673"
"27"," -0.409105","  0.441894"," -0.517864"
"28"," -0.499768","  0.401854"," -0.536581"
"29"," -0.590046","  0.357187"," -0.554781"
"30"," -0.679393","  0.307965"," -0.572416"
"31"," -0.767292","  0.254291"," -0.589440"
"32"," -0.853259","  0.196287"," -0.605795"
"33"," -0.936850","  0.134083"," -0.621424"
"34"," -1.017664","  0.067809"," -0.636262"
"35"," -1.095347"," -0.002406"," -0.650244"
"36"," -1.169597"," -0.076427"," -0.663311"
"37"," -1.240163"," -0.154113"," -0.675404"
"38"," -1.306849"," -0.235303"," -0.686477"
"39"," -1.369506"," -0.319802"," -0.696486"
"40"," -1.428030"," -0.407368"," -0.705398"
"41"," -1.482353"," -0.497696"," -0.713186"
"42"," -1.532439"," -0.590402"," -0.719829"
"43"," -1.578279"," -0.685015"," -0.725312"
"44"," -1.619877"," -0.780973"," -0.729623"
"45"," -1.657253"," -0.877623"," -0.732755"
"46"," -1.690424"," -0.974234"," -0.734703"
"47"," -1.719404"," -1.070007"," -0.735457"
"48"," -1.744196"," -1.164095"," -0.735006"
"49"," -1.764786"," -1.255625"," -0.733337"
"50"," -1.781142"," -1.343720"," -0.730430"
"51"," -1.793218"," -1.427526"," -0.726267"
"52"," -1.800959"," -1.506233"," -0.720832"
"53"," -1.804314"," -1.579104"," -0.714113"
"54"," -1.803243"," -1.645494"," -0.706107"
"55"," -1.797733"," -1.704879"," -0.696827"
"56"," -1.787816"," -1.756870"," -0.686301"
"57"," -1.773572"," -1.801227"," -0.674575"
"58"," -1.755147"," -1.837867"," -0.661718"
"59"," -1.732756"," -1.866867"," -0.647821"
"60"," -1.706685"," -1.888458"," -0.633000"
"61"," -1.677292"," -1.903021"," -0.617392"
"62"," -1.645005"," -1.911070"," -0.601161"
"63"," -1.610315"," -1.913230"," -0.584492"
"64"," -1.573765"," -1.910218"," -0.567588"
"65"," -1.535937"," -1.902807"," -0.550669"
"66"," -1.497438"," -1.891800"," -0.533962"
"67"," -1.458886"," -1.877997"," -0.517699"
"68"," -1.420891"," -1.862170"," -0.502106"
"69"," -1.384046"," -1.845041"," -0.487404"
"70"," -1.348909"," -1.827273"," -0.473798"
"71"," -1.315996"," -1.809457"," -0.461480"
"72"," -1.285767"," -1.792114"," -0.450623"
"73"," -1.258619"," -1.775690"," -0.441381"
"74"," -1.234876"," -1.760559"," -0.433885"
"75"," -1.214788"," -1.747025"," -0.428246"
"76"," -1.198524"," -1.735320"," -0.424548"
"77"," -1.186170"," -1.725609"," -0.422848"
"78"," -1.177734"," -1.717990"," -0.423178"
"79"," -1.173146"," -1.712496"," -0.425536"
"80"," -1.172269"," -1.709103"," -0.429893"
"81"," -1.174899"," -1.707728"," -0.436185"
"82"," -1.180781"," -1.708234"," -0.444317"
"83"," -1.189616"," -1.710439"," -0.454164"
"84"," -1.201073"," -1.714122"," -0.465570"
"85"," -1.214798"," -1.719026"," -0.478356"
"86"," -1.230429"," -1.724872"," -0.492318"
"87"," -1.247601"," -1.731371"," -0.507240"
"88"," -1.265962"," -1.738234"," -0.522889"
"89"," -1.285176"," -1.745193"," -0.539030"
"90"," -1.304936"," -1.752010"," -0.555427"
"91"," -1.324961"," -1.758496"," -0.571845"
"92"," -1.345010"," -1.764520"," -0.588060"
"93"," -1.364877"," -1.770014"," -0.603854"
"94"," -1.384393"," -1.774968"," -0.619023"
"95"," -1.403429"," -1.779424"," -0.633369"
"96"," -1.421888"," -1.783463"," -0.646705"
"97"," -1.439705"," -1.787181"," -0.658847"
"98"," -1.456839"," -1.790680"," -0.669609"
"99"," -1.473269"," -1.794034"," -0.678808"
"100"," -1.488987"," -1.797279"," -0.686252"
"101"," -1.503990"," -1.800382"," -0.691742"
"102"," -1.518279"," -1.803229"," -0.695072"
"103"," -1.531850"," -1.805609"," -0.696025"
"104"," -1.544696"," -1.807197"," -0.694383"
"105"," -1.556798"," -1.807557"," -0.689920"
"106"," -1.568129"," -1.806137"," -0.682417"
"107"," -1.578646"," -1.802275"," -0.671662"
"108"," -1.588292"," -1.795217"," -0.657460"
"109"," -1.596991"," -1.784133"," -0.639646"
"110"," -1.604640"," -1.768151"," -0.618089"
"111"," -1.611110"," -1.746392"," -0.592710"
"112"," -1.616233"," -1.718017"," -0.563487"
"113"," -1.619803"," -1.682276"," -0.530473"
"114"," -1.621576"," -1.638566"," -0.493797"
"115"," -1.621266"," -1.586483"," -0.453675"
"116"," -1.618559"," -1.525874"," -0.410415"
"117"," -1.613126"," -1.456874"," -0.364415"
"118"," -1.604647"," -1.379932"," -0.316167"
"119"," -1.592834"," -1.295826"," -0.266247"
"120"," -1.577467"," -1.205651"," -0.215309"
