"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0"," -0.512800","  1.748429"," -0.042225"
"1"," -0.510545","  1.770050"," -0.043373"
"2"," -0.508411","  1.791626"," -0.044607"
"3"," -0.506432","  1.812940"," -0.045929"
"4"," -0.504638","  1.833797"," -0.047337"
"5"," -0.503056","  1.854031"," -0.048833"
"6"," -0.501708","  1.873500"," -0.050417"
"7"," -0.500612","  1.892092"," -0.052095"
"8"," -0.499783","  1.909723"," -0.053875"
"9"," -0.499233","  1.926337"," -0.055772"
"10"," -0.498970","  1.941900"," -0.057800"
"11"," -0.499001","  1.956395"," -0.059982"
"12"," -0.499327","  1.969821"," -0.062341"
"13"," -0.499951","  1.982185"," -0.064901"
"14"," -0.500873","  1.993500"," -0.067691"
"15"," -0.502099","  2.003778"," -0.070741"
"16"," -0.503634","  2.013032"," -0.074084"
"17"," -0.505493","  2.021271"," -0.077752"
"18"," -0.507703","  2.028500"," -0.081779"
"19"," -0.510301","  2.034716"," -0.086199"
"20"," -0.513345","  2.039913"," -0.091043"
"21"," -0.516909","  2.044075"," -0.096343"
"22"," -0.521087","  2.047179"," -0.102121"
"23"," -0.525991","  2.049203"," -0.108399"
"24"," -0.531748","  2.050120"," -0.115189"
"25"," -0.538497","  2.049908"," -0.122498"
"26"," -0.546385","  2.048550"," -0.130322"
"27"," -0.555562","  2.046041"," -0.138652"
"28"," -0.566174","  2.042390"," -0.147469"
"29"," -0.578357","  2.037620"," -0.156749"
"30"," -0.592230","  2.031778"," -0.166458"
"31"," -0.607888","  2.024924"," -0.176556"
"32"," -0.625392","  2.017135"," -0.186999"
"33"," -0.644764","  2.008500"," -0.197738"
"34"," -0.665980","  1.999115"," -0.208725"
"35"," -0.688969","  1.989077"," -0.219913"
"36"," -0.713617","  1.978484"," -0.231259"
"37"," -0.739765","  1.967434"," -0.242727"
"38"," -0.767220","  1.956022"," -0.254291"
"39"," -0.795763","  1.944341"," -0.265930"
"40"," -0.825157","  1.932487"," -0.277631"
"41"," -0.855160","  1.920559"," -0.289387"
"42"," -0.885535","  1.908666"," -0.301190"
"43"," -0.916062","  1.896923"," -0.313038"
"44"," -0.946549","  1.885455"," -0.324923"
"45"," -0.976834","  1.874395"," -0.336837"
"46"," -1.006790","  1.863875"," -0.348770"
"47"," -1.036330","  1.854021"," -0.360708"
"48"," -1.065395","  1.844939"," -0.372640"
"49"," -1.093957","  1.836703"," -0.384553"
"50"," -1.122012","  1.829344"," -0.396439"
"51"," -1.149569","  1.822838"," -0.408290"
"52"," -1.176652","  1.817109"," -0.420102"
"53"," -1.203290","  1.812025"," -0.431870"
"54"," -1.229517","  1.807411"," -0.443588"
"55"," -1.255365","  1.803056"," -0.455240"
"56"," -1.280866","  1.798729"," -0.466804"
"57"," -1.306045","  1.794189"," -0.478247"
"58"," -1.330923","  1.789196"," -0.489527"
"59"," -1.355508","  1.783517"," -0.500589"
"60"," -1.379798","  1.776936"," -0.511373"
"61"," -1.403775","  1.769257"," -0.521808"
"62"," -1.427406","  1.760310"," -0.531816"
"63"," -1.450646","  1.749956"," -0.541312"
"64"," -1.473437","  1.738084"," -0.550211"
"65"," -1.495719","  1.724611"," -0.558425"
"66"," -1.517429","  1.709478"," -0.565874"
"67"," -1.538512","  1.692648"," -0.572488"
"68"," -1.558923","  1.674103"," -0.578209"
"69"," -1.578632","  1.653840"," -0.582998"
"70"," -1.597625","  1.631873"," -0.586833"
"71"," -1.615902","  1.608233"," -0.589710"
"72"," -1.633472","  1.582964"," -0.591645"
"73"," -1.650348","  1.556123"," -0.592667"
"74"," -1.666536","  1.527778"," -0.592822"
"75"," -1.682038","  1.498002"," -0.592167"
"76"," -1.696836","  1.466869"," -0.590771"
"77"," -1.710903","  1.434453"," -0.588714"
"78"," -1.724193","  1.400824"," -0.586082"
"79"," -1.736652","  1.366048"," -0.582968"
"80"," -1.748218","  1.330186"," -0.579468"
"81"," -1.758828","  1.293298"," -0.575677"
"82"," -1.768423","  1.255438"," -0.571690"
"83"," -1.776952","  1.216657"," -0.567597"
"84"," -1.784376","  1.177001"," -0.563478"
"85"," -1.790665","  1.136507"," -0.559405"
"86"," -1.795803","  1.095200"," -0.555435"
