"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0","  0.619205","  1.073879","  0.466562"
"1","  0.623562","  1.077655","  0.465523"
"2","  0.628060","  1.081754","  0.464544"
"3","  0.632730","  1.086196","  0.463680"
"4","  0.637601","  1.090984","  0.462980"
"5","  0.642701","  1.096094","  0.462484"
"6","  0.648055","  1.101477","  0.462227"
"7","  0.653680","  1.107057","  0.462229"
"8","  0.659590","  1.112736","  0.462502"
"9","  0.665790","  1.118397","  0.463044"
"10","  0.672270","  1.123918","  0.463841"
"11","  0.679005","  1.129184","  0.464865"
"12","  0.685947","  1.134095","  0.466070"
"13","  0.693026","  1.138576","  0.467395"
"14","  0.700140","  1.142589","  0.468762"
"15","  0.707163","  1.146133","  0.470076"
"16","  0.713942","  1.149247","  0.471230"
"17","  0.720305","  1.152007","  0.472109"
"18","  0.726068","  1.154519","  0.472592"
"19","  0.731044","  1.156911","  0.472561"
"20","  0.735050","  1.159318","  0.471900"
"21","  0.737919","  1.161870","  0.470506"
"22","  0.739502","  1.164681","  0.468285"
"23","  0.739682","  1.167839","  0.465160"
"24","  0.738369","  1.171396","  0.461072"
"25","  0.735507","  1.175373","  0.455981"
"26","  0.731069","  1.179754","  0.449868"
"27","  0.725058","  1.184495","  0.442734"
"28","  0.717504","  1.189526","  0.434602"
"29","  0.708457","  1.194763","  0.425517"
"30","  0.697987","  1.200114","  0.415541"
"31","  0.686181","  1.205485","  0.404758"
"32","  0.673139","  1.210793","  0.393268"
"33","  0.658967","  1.215961","  0.381184"
"34","  0.643779","  1.220928","  0.368628"
"35","  0.627690","  1.225642","  0.355732"
"36","  0.610817","  1.230061","  0.342626"
"37","  0.593275","  1.234148","  0.329440"
"38","  0.575175","  1.237872","  0.316300"
"39","  0.556626","  1.241211","  0.303324"
"40","  0.537731","  1.244152","  0.290622"
"41","  0.518586","  1.246695","  0.278292"
"42","  0.499276","  1.248855","  0.266423"
"43","  0.479878","  1.250662","  0.255087"
"44","  0.460456","  1.252156","  0.244343"
"45","  0.441065","  1.253388","  0.234233"
"46","  0.421745","  1.254412","  0.224782"
"47","  0.402526","  1.255278","  0.215996"
"48","  0.383427","  1.256031","  0.207865"
"49","  0.364461","  1.256700","  0.200366"
"50","  0.345634","  1.257299","  0.193457"
"51","  0.326948","  1.257817","  0.187088"
"52","  0.308406","  1.258225","  0.181198"
"53","  0.290012","  1.258468","  0.175717"
"54","  0.271770","  1.258475","  0.170567"
"55","  0.253687","  1.258159","  0.165668"
"56","  0.235771","  1.257420","  0.160934"
"57","  0.218028","  1.256150","  0.156277"
"58","  0.200460","  1.254238","  0.151606"
"59","  0.183063","  1.251576","  0.146827"
"60","  0.165823","  1.248063","  0.141847"
"61","  0.148716","  1.243608","  0.136574"
"62","  0.131707","  1.238136","  0.130920"
"63","  0.114751","  1.231593","  0.124803"
"64","  0.097802","  1.223940","  0.118157"
"65","  0.080812","  1.215157","  0.110928"
"66","  0.063735","  1.205241","  0.103082"
"67","  0.046536","  1.194196","  0.094604"
"68","  0.029185","  1.182031","  0.085499"
"69","  0.011661","  1.168754","  0.075790"
"70"," -0.006048","  1.154369","  0.065519"
"71"," -0.023945","  1.138867","  0.054742"
"72"," -0.042024","  1.122231","  0.043531"
"73"," -0.060271","  1.104432","  0.031968"
"74"," -0.078660","  1.085432","  0.020143"
"75"," -0.097156","  1.065190","  0.008154"
