"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0","  0.302226","  0.036144","  0.213766"
"1","  0.290809","  0.033093","  0.198985"
"2","  0.279220","  0.029379","  0.183681"
"3","  0.267545","  0.024958","  0.167952"
"4","  0.255881","  0.019818","  0.151905"
"5","  0.244332","  0.013976","  0.135657"
"6","  0.233010","  0.007486","  0.119335"
"7","  0.222031","  0.000431","  0.103073"
"8","  0.211514"," -0.007074","  0.087016"
"9","  0.201574"," -0.014889","  0.071314"
"10","  0.192322"," -0.022856","  0.056124"
"11","  0.183857"," -0.030809","  0.041609"
"12","  0.176268"," -0.038580","  0.027935"
"13","  0.169627"," -0.046012","  0.015263"
"14","  0.163989"," -0.052965","  0.003751"
"15","  0.159387"," -0.059317"," -0.006463"
"16","  0.155836"," -0.064961"," -0.015259"
"17","  0.153332"," -0.069807"," -0.022549"
"18","  0.151856"," -0.073765"," -0.028284"
"19","  0.151381"," -0.076745"," -0.032450"
"20","  0.151873"," -0.078652"," -0.035080"
"21","  0.153295"," -0.079385"," -0.036240"
"22","  0.155604"," -0.078844"," -0.036034"
"23","  0.158752"," -0.076936"," -0.034585"
"24","  0.162683"," -0.073588"," -0.032031"
"25","  0.167339"," -0.068759"," -0.028514"
"26","  0.172655"," -0.062445"," -0.024167"
"27","  0.178573"," -0.054687"," -0.019109"
"28","  0.185041"," -0.045574"," -0.013439"
"29","  0.192021"," -0.035237"," -0.007226"
"30","  0.199496"," -0.023850"," -0.000515"
"31","  0.207466"," -0.011616","  0.006679"
"32","  0.215955","  0.001234","  0.014367"
"33","  0.225002","  0.014456","  0.022581"
"34","  0.234658","  0.027806","  0.031369"
"35","  0.244979","  0.041047","  0.040788"
"36","  0.256009","  0.053963","  0.050896"
"37","  0.267782","  0.066369","  0.061743"
"38","  0.280303","  0.078120","  0.073368"
"39","  0.293549","  0.089114","  0.085789"
"40","  0.307470","  0.099297","  0.099003"
"41","  0.321983","  0.108658","  0.112980"
"42","  0.336982","  0.117232","  0.127666"
"43","  0.352342","  0.125096","  0.142984"
"44","  0.367924","  0.132372","  0.158837"
"45","  0.383582","  0.139222","  0.175117"
"46","  0.399168","  0.145848","  0.191704"
"47","  0.414541","  0.152477","  0.208483"
"48","  0.429574","  0.159341","  0.225340"
"49","  0.444163","  0.166655","  0.242176"
"50","  0.458232","  0.174590","  0.258910"
"51","  0.471736","  0.183258","  0.275478"
"52","  0.484665","  0.192705","  0.291839"
"53","  0.497033","  0.202911","  0.307967"
"54","  0.508880","  0.213809","  0.323850"
"55","  0.520259","  0.225291","  0.339484"
"56","  0.531230","  0.237229","  0.354867"
"57","  0.541854","  0.249479","  0.369999"
"58","  0.552191","  0.261895","  0.384875"
"59","  0.562289","  0.274336","  0.399483"
"60","  0.572190","  0.286671","  0.413805"
"61","  0.581921","  0.298783","  0.427817"
"62","  0.591490","  0.310569","  0.441485"
"63","  0.600891","  0.321944","  0.454767"
"64","  0.610095","  0.332844","  0.467614"
"65","  0.619048","  0.343224","  0.479967"
"66","  0.627677","  0.353057","  0.491762"
"67","  0.635885","  0.362334","  0.502931"
"68","  0.643557","  0.371058","  0.513402"
"69","  0.650561","  0.379238","  0.523101"
"70","  0.656754","  0.386885","  0.531956"
"71","  0.661989","  0.394007","  0.539896"
"72","  0.666121","  0.400608","  0.546854"
"73","  0.669014","  0.406686","  0.552769"
"74","  0.670546","  0.412229","  0.557584"
"75","  0.670614","  0.417220","  0.561249"
"76","  0.669141","  0.421625","  0.563722"
"77","  0.666080","  0.425402","  0.564967"
"78","  0.661410","  0.428500","  0.564959"
"79","  0.655145","  0.430861","  0.563685"
"80","  0.647323","  0.432423","  0.561137"
"81","  0.638009","  0.433127","  0.557323"
"82","  0.627288","  0.432914","  0.552256"
"83","  0.615262","  0.431734","  0.545960"
"84","  0.602043","  0.429541","  0.538467"
"85","  0.587753","  0.426301","  0.529817"
"86","  0.572516","  0.421990","  0.520055"
"87","  0.556456","  0.416593","  0.509235"
"88","  0.539692","  0.410107","  0.497416"
"89","  0.522341","  0.402541","  0.484666"
"90","  0.504508","  0.393913","  0.471057"
"91","  0.486293","  0.384252","  0.456669"
"92","  0.467786","  0.373599","  0.441587"
"93","  0.449072","  0.362004","  0.425904"
"94","  0.430228","  0.349529","  0.409714"
"95","  0.411326","  0.336245","  0.393115"
"96","  0.392438","  0.322233","  0.376209"
"97","  0.373629","  0.307576","  0.359094"
"98","  0.354965","  0.292364","  0.341870"
"99","  0.336509","  0.276692","  0.324633"
"100","  0.318320","  0.260656","  0.307479"
"101","  0.300456","  0.244360","  0.290498"
"102","  0.282970","  0.227914","  0.273779"
"103","  0.265911","  0.211434","  0.257406"
"104","  0.249320","  0.195042","  0.241459"
"105","  0.233233","  0.178866","  0.226013"
"106","  0.217674","  0.163039","  0.211133"
"107","  0.202659","  0.147688","  0.196878"
"108","  0.188190","  0.132933","  0.183290"
"109","  0.174260","  0.118882","  0.170399"
