"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0","  0.013929","  1.265471","  0.008276"
"1","  0.027923","  1.259833","  0.005220"
"2","  0.042459","  1.254050","  0.001840"
"3","  0.057321","  1.248229"," -0.001792"
"4","  0.072253","  1.242473"," -0.005622"
"5","  0.086966","  1.236876"," -0.009624"
"6","  0.101139","  1.231519"," -0.013803"
"7","  0.114419","  1.226469"," -0.018199"
"8","  0.126423","  1.221776"," -0.022889"
"9","  0.136745","  1.217478"," -0.027984"
"10","  0.144959","  1.213593"," -0.033625"
"11","  0.150623","  1.210129"," -0.039972"
"12","  0.153288","  1.207077"," -0.047199"
"13","  0.152510","  1.204417"," -0.055484"
"14","  0.147860","  1.202113"," -0.064994"
"15","  0.138935","  1.200110"," -0.075885"
"16","  0.125376","  1.198328"," -0.088286"
"17","  0.106882","  1.196654"," -0.102302"
"18","  0.083226","  1.194939"," -0.118001"
"19","  0.054277","  1.192985"," -0.135416"
"20","  0.020016","  1.190541"," -0.154537"
"21"," -0.019449","  1.187307"," -0.175311"
"22"," -0.063869","  1.182933"," -0.197634"
"23"," -0.112857","  1.177035"," -0.221355"
"24"," -0.165887","  1.169215"," -0.246274"
"25"," -0.222313","  1.159089"," -0.272142"
"26"," -0.281392","  1.146314"," -0.298673"
"27"," -0.342312","  1.130619"," -0.325546"
"28"," -0.404227","  1.111833"," -0.352419"
"29"," -0.466287","  1.089903"," -0.378943"
"30"," -0.527685","  1.064905"," -0.404774"
"31"," -0.587681","  1.037041"," -0.429588"
"32"," -0.645636","  1.006638"," -0.453092"
"33"," -0.701024","  0.974129"," -0.475031"
"34"," -0.753448","  0.940040"," -0.495186"
"35"," -0.802626","  0.904962"," -0.513381"
"36"," -0.848389","  0.869530"," -0.529470"
"37"," -0.890663","  0.834391"," -0.543345"
"38"," -0.929450","  0.800171"," -0.554928"
"39"," -0.964809","  0.767446"," -0.564173"
"40"," -0.996838","  0.736730"," -0.571061"
"41"," -1.025654","  0.708456"," -0.575600"
"42"," -1.051385","  0.682969"," -0.577817"
"43"," -1.074154","  0.660522"," -0.577752"
"44"," -1.094085","  0.641256"," -0.575463"
"45"," -1.111295","  0.625185"," -0.571021"
"46"," -1.125912","  0.612173"," -0.564520"
"47"," -1.138084","  0.601917"," -0.556090"
"48"," -1.147994","  0.593942"," -0.545912"
"49"," -1.155883","  0.587609"," -0.534237"
"50"," -1.162055","  0.582161"," -0.521395"
"51"," -1.166877","  0.576768"," -0.507794"
"52"," -1.170769","  0.570604"," -0.493910"
"53"," -1.174180","  0.562903"," -0.480259"
"54"," -1.177562","  0.553003"," -0.467374"
"55"," -1.181346","  0.540367"," -0.455769"
"56"," -1.185919","  0.524578"," -0.445923"
"57"," -1.191617","  0.505315"," -0.438261"
"58"," -1.198719","  0.482331"," -0.433144"
"59"," -1.207445","  0.455421"," -0.430873"
"60"," -1.217962","  0.424401"," -0.431681"
"61"," -1.230380","  0.389104"," -0.435738"
"62"," -1.244756","  0.349376"," -0.443151"
"63"," -1.261086","  0.305088"," -0.453961"
"64"," -1.279306","  0.256160"," -0.468136"
"65"," -1.299287","  0.202579"," -0.485578"
"66"," -1.320844","  0.144429"," -0.506116"
"67"," -1.343740","  0.081911"," -0.529516"
"68"," -1.367707","  0.015357"," -0.555485"
"69"," -1.392461"," -0.054768"," -0.583688"
"70"," -1.417721"," -0.127883"," -0.613764"
"71"," -1.443226"," -0.203319"," -0.645340"
"72"," -1.468751"," -0.280348"," -0.678049"
"73"," -1.494106"," -0.358223"," -0.711537"
"74"," -1.519139"," -0.436209"," -0.745469"
"75"," -1.543731"," -0.513610"," -0.779532"
"76"," -1.567785"," -0.589789"," -0.813432"
"77"," -1.591222"," -0.664176"," -0.846891"
"78"," -1.613975"," -0.736282"," -0.879646"
"79"," -1.635982"," -0.805690"," -0.911448"
"80"," -1.657190"," -0.872061"," -0.942058"
"81"," -1.677552"," -0.935122"," -0.971255"
"82"," -1.697033"," -0.994668"," -0.998833"
"83"," -1.715617"," -1.050552"," -1.024611"
"84"," -1.733307"," -1.102685"," -1.048430"
"85"," -1.750126"," -1.151031"," -1.070161"
"86"," -1.766123"," -1.195608"," -1.089705"
"87"," -1.781363"," -1.236482"," -1.106995"
"88"," -1.795931"," -1.273769"," -1.121993"
"89"," -1.809919"," -1.307627"," -1.134691"
"90"," -1.823428"," -1.338250"," -1.145103"
"91"," -1.836563"," -1.365858"," -1.153263"
"92"," -1.849425"," -1.390677"," -1.159214"
"93"," -1.862117"," -1.412922"," -1.163004"
"94"," -1.874735"," -1.432775"," -1.164675"
"95"," -1.887371"," -1.450367"," -1.164260"
"96"," -1.900116"," -1.465761"," -1.161772"
"97"," -1.913054"," -1.478933"," -1.157208"
"98"," -1.926265"," -1.489770"," -1.150544"
"99"," -1.939824"," -1.498061"," -1.141736"
"100"," -1.953797"," -1.503495"," -1.130724"
"101"," -1.968240"," -1.505668"," -1.117430"
"102"," -1.983190"," -1.504093"," -1.101772"
"103"," -1.998664"," -1.498226"," -1.083659"
"104"," -2.014651"," -1.487489"," -1.063007"
"105"," -2.031106"," -1.471307"," -1.039742"
"106"," -2.047951"," -1.449148"," -1.013813"
"107"," -2.065072"," -1.420559"," -0.985198"
"108"," -2.082323"," -1.385202"," -0.953918"
"109"," -2.099538"," -1.342879"," -0.920045"
"110"," -2.116532"," -1.293556"," -0.883716"
"111"," -2.133121"," -1.237363"," -0.845138"
"112"," -2.149126"," -1.174595"," -0.804597"
"113"," -2.164383"," -1.105692"," -0.762458"
"114"," -2.178748"," -1.031213"," -0.719165"
"115"," -2.192098"," -0.951806"," -0.675225"
"116"," -2.204322"," -0.868172"," -0.631198"
"117"," -2.215316"," -0.781042"," -0.587665"
"118"," -2.224969"," -0.691153"," -0.545206"
"119"," -2.233153"," -0.599240"," -0.504361"
"120"," -2.239705"," -0.506027"," -0.465586"
"121"," -2.244408"," -0.412226"," -0.429207"
"122"," -2.246966"," -0.318518"," -0.395367"
"123"," -2.246967"," -0.225520"," -0.363967"
"124"," -2.243843"," -0.133726"," -0.334620"
"125"," -2.236825"," -0.043405"," -0.306613"
"126"," -2.224905","  0.045495"," -0.278919"
"127"," -2.206831","  0.133442"," -0.250266"
"128"," -2.181132","  0.221340"," -0.219284"
"129"," -2.146177","  0.310446"," -0.184704"
"130"," -2.100270","  0.402176"," -0.145592"
"131"," -2.041746","  0.497816"," -0.101547"
"132"," -1.969065","  0.598199"," -0.052817"
"133"," -1.880904","  0.703430"," -0.000312"
"134"," -1.776231","  0.812734","  0.054497"
"135"," -1.654395","  0.924436","  0.109745"
"136"," -1.515205","  1.036088","  0.163364"
"137"," -1.359023","  1.144661","  0.213271"
"138"," -1.186822","  1.246788","  0.257522"
