"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0","  0.902187","  0.683363","  0.516983"
"1","  0.858049","  0.708097","  0.471249"
"2","  0.811759","  0.732760","  0.424132"
"3","  0.763291","  0.756881","  0.375880"
"4","  0.712650","  0.780011","  0.326730"
"5","  0.659868","  0.801746","  0.276901"
"6","  0.605017","  0.821735","  0.226595"
"7","  0.548207","  0.839690","  0.176005"
"8","  0.489595","  0.855384","  0.125316"
"9","  0.429384","  0.868650","  0.074714"
"10","  0.367815","  0.879372","  0.024391"
"11","  0.305168","  0.887484"," -0.025457"
"12","  0.241746","  0.892960"," -0.074626"
"13","  0.177869","  0.895815"," -0.122910"
"14","  0.113862","  0.896096"," -0.170098"
"15","  0.050046","  0.893881"," -0.215985"
"16"," -0.013268","  0.889280"," -0.260370"
"17"," -0.075786","  0.882429"," -0.303066"
"18"," -0.137237","  0.873485"," -0.343902"
"19"," -0.197374","  0.862631"," -0.382730"
"20"," -0.255981","  0.850066"," -0.419432"
"21"," -0.312877","  0.836006"," -0.453926"
"22"," -0.367918","  0.820677"," -0.486167"
"23"," -0.421000","  0.804309"," -0.516153"
"24"," -0.472063","  0.787127"," -0.543923"
"25"," -0.521085","  0.769347"," -0.569556"
"26"," -0.568088","  0.751166"," -0.593168"
"27"," -0.613129","  0.732761"," -0.614904"
"28"," -0.656301","  0.714283"," -0.634934"
"29"," -0.697729","  0.695853"," -0.653447"
"30"," -0.737561","  0.677562"," -0.670639"
"31"," -0.775970","  0.659466"," -0.686712"
"32"," -0.813137","  0.641586"," -0.701860"
"33"," -0.849256","  0.623908"," -0.716272"
"34"," -0.884517","  0.606383"," -0.730119"
"35"," -0.919103","  0.588926"," -0.743556"
"36"," -0.953182","  0.571416"," -0.756718"
"37"," -0.986891","  0.553691"," -0.769712"
"38"," -1.020329","  0.535543"," -0.782622"
"39"," -1.053542","  0.516718"," -0.795498"
"40"," -1.086520","  0.496921"," -0.808358"
"41"," -1.119184","  0.475820"," -0.821183"
"42"," -1.151386","  0.453058"," -0.833919"
"43"," -1.182906","  0.428273"," -0.846475"
"44"," -1.213457","  0.401109"," -0.858722"
"45"," -1.242688","  0.371245"," -0.870497"
