"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0","  0.602700","  0.664072","  0.329134"
"1","  0.602290","  0.670338","  0.324327"
"2","  0.602050","  0.676605","  0.319478"
"3","  0.601998","  0.682872","  0.314653"
"4","  0.602144","  0.689155","  0.309913"
"5","  0.602493","  0.695490","  0.305306"
"6","  0.603044","  0.701928","  0.300869"
"7","  0.603788","  0.708529","  0.296627"
"8","  0.604709","  0.715365","  0.292591"
"9","  0.605784","  0.722506","  0.288762"
"10","  0.606984","  0.730027","  0.285129"
"11","  0.608274","  0.737995","  0.281672"
"12","  0.609616","  0.746471","  0.278362"
"13","  0.610968","  0.755505","  0.275168"
"14","  0.612285","  0.765134","  0.272055"
"15","  0.613524","  0.775376","  0.268986"
"16","  0.614644","  0.786234","  0.265931"
"17","  0.615608","  0.797692","  0.262863"
"18","  0.616382","  0.809713","  0.259761"
"19","  0.616937","  0.822244","  0.256615"
"20","  0.617248","  0.835213","  0.253420"
"21","  0.617296","  0.848533","  0.250182"
"22","  0.617064","  0.862104","  0.246918"
"23","  0.616543","  0.875815","  0.243651"
"24","  0.615728","  0.889550","  0.240416"
"25","  0.614620","  0.903187","  0.237253"
"26","  0.613226","  0.916600","  0.234210"
"27","  0.611555","  0.929666","  0.231338"
"28","  0.609616","  0.942262","  0.228689"
"29","  0.607417","  0.954271","  0.226314"
"30","  0.604964","  0.965589","  0.224260"
"31","  0.602257","  0.976130","  0.222567"
"32","  0.599289","  0.985832","  0.221269"
"33","  0.596050","  0.994664","  0.220395"
"34","  0.592529","  1.002627","  0.219966"
"35","  0.588714","  1.009759","  0.220000"
"36","  0.584592","  1.016129","  0.220509"
"37","  0.580156","  1.021836","  0.221503"
"38","  0.575395","  1.027001","  0.222980"
"39","  0.570296","  1.031754","  0.224933"
"40","  0.564845","  1.036224","  0.227342"
"41","  0.559024","  1.040524","  0.230176"
"42","  0.552815","  1.044745","  0.233389"
"43","  0.546201","  1.048946","  0.236921"
"44","  0.539167","  1.053155","  0.240704"
"45","  0.531704","  1.057368","  0.244657"
"46","  0.523808","  1.061556","  0.248696"
"47","  0.515487","  1.065668","  0.252738"
"48","  0.506756","  1.069641","  0.256702"
"49","  0.497646","  1.073409","  0.260515"
"50","  0.488197","  1.076911","  0.264116"
"51","  0.478460","  1.080097","  0.267459"
"52","  0.468497","  1.082938","  0.270513"
"53","  0.458377","  1.085426","  0.273265"
"54","  0.448177","  1.087573","  0.275718"
"55","  0.437975","  1.089413","  0.277892"
"56","  0.427855","  1.090992","  0.279817"
"57","  0.417896","  1.092362","  0.281535"
"58","  0.408176","  1.093573","  0.283089"
"59","  0.398762","  1.094667","  0.284524"
"60","  0.389713","  1.095665","  0.285877"
"61","  0.381067","  1.096569","  0.287178"
"62","  0.372846","  1.097348","  0.288441"
"63","  0.365050","  1.097943","  0.289664"
"64","  0.357654","  1.098260","  0.290829"
"65","  0.350616","  1.098175","  0.291901"
"66","  0.343870","  1.097535","  0.292830"
"67","  0.337336","  1.096166","  0.293554"
"68","  0.330923","  1.093882","  0.294002"
"69","  0.324531","  1.090490","  0.294094"
"70","  0.318063","  1.085803","  0.293750"
"71","  0.311420","  1.079646","  0.292888"
"72","  0.304518","  1.071865","  0.291434"
"73","  0.297282","  1.062333","  0.289319"
"74","  0.289655","  1.050959","  0.286490"
"75","  0.281597","  1.037689","  0.282906"
"76","  0.273087","  1.022516","  0.278545"
"77","  0.264122","  1.005479","  0.273403"
"78","  0.254712","  0.986664","  0.267496"
"79","  0.244883","  0.966200","  0.260855"
"80","  0.234669","  0.944243","  0.253529"
"81","  0.224107","  0.920969","  0.245575"
"82","  0.213239","  0.896560","  0.237060"
"83","  0.202102","  0.871195","  0.228055"
"84","  0.190733","  0.845045","  0.218636"
"85","  0.179163","  0.818271","  0.208876"
"86","  0.167423","  0.791024","  0.198853"
"87","  0.155540","  0.763438","  0.188639"
"88","  0.143544","  0.735631","  0.178303"
"89","  0.131467","  0.707702","  0.167911"
"90","  0.119350","  0.679734","  0.157526"
"91","  0.107238","  0.651784","  0.147205"
"92","  0.095187","  0.623892","  0.136997"
"93","  0.083260","  0.596075","  0.126947"
"94","  0.071528","  0.568330","  0.117089"
