"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0"," -0.836985","  0.807607"," -0.809568"
"1"," -0.820012","  0.807637"," -0.802141"
"2"," -0.802920","  0.807770"," -0.794833"
"3"," -0.785747","  0.808013"," -0.787686"
"4"," -0.768524","  0.808357"," -0.780731"
"5"," -0.751269","  0.808774"," -0.773989"
"6"," -0.733994","  0.809221"," -0.767469"
"7"," -0.716700","  0.809640"," -0.761175"
"8"," -0.699382","  0.809966"," -0.755103"
"9"," -0.682035","  0.810127"," -0.749244"
"10"," -0.664647","  0.810055"," -0.743590"
"11"," -0.647209","  0.809682"," -0.738130"
"12"," -0.629714","  0.808950"," -0.732857"
"13"," -0.612160","  0.807814"," -0.727766"
"14"," -0.594550","  0.806241"," -0.722858"
"15"," -0.576897","  0.804215"," -0.718140"
"16"," -0.559226","  0.801740"," -0.713627"
"17"," -0.541570","  0.798837"," -0.709339"
"18"," -0.523974","  0.795547"," -0.705308"
"19"," -0.506497","  0.791925"," -0.701572"
"20"," -0.489208","  0.788040"," -0.698178"
"21"," -0.472188","  0.783971"," -0.695179"
"22"," -0.455532","  0.779799"," -0.692637"
"23"," -0.439344","  0.775601"," -0.690617"
"24"," -0.423741","  0.771455"," -0.689189"
"25"," -0.408853","  0.767424"," -0.688433"
"26"," -0.394823","  0.763562"," -0.688429"
"27"," -0.381808","  0.759912"," -0.689269"
"28"," -0.369975","  0.756497"," -0.691048"
"29"," -0.359498","  0.753327"," -0.693866"
"30"," -0.350558","  0.750396"," -0.697823"
"31"," -0.343329","  0.747683"," -0.703018"
"32"," -0.337975","  0.745153"," -0.709541"
"33"," -0.334644","  0.742765"," -0.717469"
"34"," -0.333459","  0.740472"," -0.726865"
"35"," -0.334511","  0.738227"," -0.737770"
"36"," -0.337861","  0.735990"," -0.750199"
"37"," -0.343529","  0.733730"," -0.764136"
"38"," -0.351498","  0.731422"," -0.779532"
"39"," -0.361715","  0.729048"," -0.796303"
"40"," -0.374099","  0.726590"," -0.814334"
"41"," -0.388550","  0.724016"," -0.833486"
"42"," -0.404956","  0.721272"," -0.853607"
"43"," -0.423205","  0.718273"," -0.874538"
"44"," -0.443189","  0.714901"," -0.896125"
"45"," -0.464806","  0.711010"," -0.918219"
"46"," -0.487959","  0.706434"," -0.940683"
"47"," -0.512561","  0.700992"," -0.963394"
"48"," -0.538537","  0.694497"," -0.986249"
"49"," -0.565822","  0.686765"," -1.009168"
"50"," -0.594369","  0.677619"," -1.032094"
"51"," -0.624154","  0.666899"," -1.054993"
"52"," -0.655175","  0.654461"," -1.077856"
"53"," -0.687459","  0.640184"," -1.100696"
"54"," -0.721063","  0.623971"," -1.123541"
"55"," -0.756074","  0.605749"," -1.146432"
"56"," -0.792608","  0.585463"," -1.169414"
"57"," -0.830808","  0.563080"," -1.192533"
"58"," -0.870837","  0.538577"," -1.215830"
"59"," -0.912867","  0.511941"," -1.239331"
"60"," -0.957073","  0.483162"," -1.263045"
"61"," -1.003615","  0.452222"," -1.286954"
"62"," -1.052627","  0.419098"," -1.311014"
"63"," -1.104199","  0.383746"," -1.335147"
"64"," -1.158366","  0.346100"," -1.359240"
"65"," -1.215097","  0.306068"," -1.383146"
"66"," -1.274289","  0.263535"," -1.406681"
"67"," -1.335759","  0.218366"," -1.429627"
"68"," -1.399249","  0.170412"," -1.451737"
"69"," -1.464424","  0.119528"," -1.472736"
"70"," -1.530878","  0.065577"," -1.492329"
"71"," -1.598142","  0.008445"," -1.510202"
"72"," -1.665689"," -0.051953"," -1.526034"
"73"," -1.732948"," -0.115668"," -1.539498"
"74"," -1.799313"," -0.182712"," -1.550265"
"75"," -1.864152"," -0.253063"," -1.558013"
"76"," -1.926816"," -0.326661"," -1.562423"
"77"," -1.986641"," -0.403411"," -1.563186"
"78"," -2.042949"," -0.483185"," -1.560001"
"79"," -2.095054"," -0.565826"," -1.552589"
"80"," -2.142263"," -0.651153"," -1.540694"
"81"," -2.183891"," -0.738970"," -1.524108"
"82"," -2.219282"," -0.829079"," -1.502690"
"83"," -2.247838"," -0.921293"," -1.476404"
"84"," -2.269063"," -1.015458"," -1.445343"
"85"," -2.282612"," -1.111458"," -1.409766"
"86"," -2.288341"," -1.209227"," -1.370115"
"87"," -2.286364"," -1.308731"," -1.327016"
"88"," -2.277095"," -1.409937"," -1.281271"
"89"," -2.261277"," -1.512772"," -1.233829"
"90"," -2.239995"," -1.617062"," -1.185735"
"91"," -2.214645"," -1.722486"," -1.138079"
"92"," -2.186873"," -1.828540"," -1.091934"
"93"," -2.158480"," -1.934524"," -1.048298"
"94"," -2.131305"," -2.039570"," -1.008054"
"95"," -2.107124"," -2.142691"," -0.971951"
"96"," -2.087546"," -2.242860"," -0.940602"
"97"," -2.073964"," -2.339086"," -0.914498"
"98"," -2.067517"," -2.430492"," -0.894030"
"99"," -2.069096"," -2.516366"," -0.879509"
"100"," -2.079357"," -2.596186"," -0.871177"
"101"," -2.098739"," -2.669626"," -0.869204"
"102"," -2.127482"," -2.736535"," -0.873683"
"103"," -2.165632"," -2.796908"," -0.884610"
"104"," -2.213031"," -2.850844"," -0.901859"
"105"," -2.269311"," -2.898509"," -0.925164"
"106"," -2.333865"," -2.940098"," -0.954093"
"107"," -2.405832"," -2.975804"," -0.988037"
"108"," -2.484078"," -3.005785"," -1.026202"
"109"," -2.567195"," -3.030135"," -1.067611"
"110"," -2.653502"," -3.048863"," -1.111118"
"111"," -2.741076"," -3.061860"," -1.155428"
"112"," -2.827795"," -3.068878"," -1.199131"
"113"," -2.911400"," -3.069499"," -1.240743"
"114"," -2.989574"," -3.063119"," -1.278746"
"115"," -3.060033"," -3.048928"," -1.311635"
"116"," -3.120610"," -3.025908"," -1.337960"
"117"," -3.169342"," -2.992853"," -1.356363"
"118"," -3.204527"," -2.948402"," -1.365607"
"119"," -3.224769"," -2.891111"," -1.364601"
"120"," -3.228998"," -2.819551"," -1.352415"
"121"," -3.216475"," -2.732427"," -1.328296"
"122"," -3.186792"," -2.628697"," -1.291671"
"123"," -3.139870"," -2.507694"," -1.242156"
"124"," -3.075964"," -2.369199"," -1.179554"
"125"," -2.995686"," -2.213483"," -1.103862"
"126"," -2.900025"," -2.041294"," -1.015268"
"127"," -2.790384"," -1.853810"," -0.914176"
"128"," -2.668603"," -1.652580"," -0.801233"
"129"," -2.536971"," -1.439478"," -0.677394"
"130"," -2.398188"," -1.216707"," -0.544006"
"131"," -2.255240"," -0.986873"," -0.402914"
"132"," -2.111163"," -0.753115"," -0.256544"
"133"," -1.968671"," -0.519234"," -0.107923"
"134"," -1.829716"," -0.289734","  0.039428"
"135"," -1.695094"," -0.069648","  0.181755"
"136"," -1.564285","  0.135883","  0.315446"
"137"," -1.435641","  0.322240","  0.437412"
"138"," -1.306932","  0.485990","  0.545331"
"139"," -1.176066","  0.625350","  0.637689"
"140"," -1.041722","  0.740331","  0.713629"
"141"," -0.903703","  0.832505","  0.772744"
"142"," -0.762957","  0.904521","  0.814931"
"143"," -0.621380","  0.959487","  0.840381"
"144"," -0.481516","  1.000348","  0.849683"
"145"," -0.346226","  1.029340","  0.844005"
"146"," -0.218290","  1.047611","  0.825272"
"147"," -0.099853","  1.055102","  0.796284"
"148","  0.008281","  1.050825","  0.760621"
"149","  0.107289","  1.033637","  0.722138"
"150","  0.200443","  1.003404","  0.683939"
"151","  0.292237","  0.962176","  0.647080"
"152","  0.386519","  0.914749","  0.609708"
