"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0"," -0.393952","  1.621154"," -0.127821"
"1"," -0.384799","  1.622596"," -0.123737"
"2"," -0.375791","  1.624006"," -0.119927"
"3"," -0.366982","  1.625317"," -0.116491"
"4"," -0.358419","  1.626465"," -0.113529"
"5"," -0.350137","  1.627396"," -0.111143"
"6"," -0.342164","  1.628058"," -0.109431"
"7"," -0.334517","  1.628409"," -0.108489"
"8"," -0.327204","  1.628412"," -0.108402"
"9"," -0.320232","  1.628037"," -0.109250"
"10"," -0.313600","  1.627257"," -0.111098"
"11"," -0.307307","  1.626056"," -0.114002"
"12"," -0.301349","  1.624421"," -0.118001"
"13"," -0.295728","  1.622351"," -0.123123"
"14"," -0.290447","  1.619856"," -0.129376"
"15"," -0.285520","  1.616954"," -0.136757"
"16"," -0.280972","  1.613676"," -0.145247"
"17"," -0.276839","  1.610061"," -0.154815"
"18"," -0.273176","  1.606159"," -0.165423"
"19"," -0.270054","  1.602024"," -0.177023"
"20"," -0.267559","  1.597720"," -0.189563"
"21"," -0.265796","  1.593311"," -0.202988"
"22"," -0.264879","  1.588864"," -0.217239"
"23"," -0.264931","  1.584445"," -0.232254"
"24"," -0.266076","  1.580112"," -0.247965"
"25"," -0.268436","  1.575910"," -0.264297"
"26"," -0.272119","  1.571866"," -0.281170"
"27"," -0.277214","  1.567984"," -0.298491"
"28"," -0.283784","  1.564241"," -0.316161"
"29"," -0.291864","  1.560586"," -0.334076"
"30"," -0.301454","  1.556947"," -0.352125"
"31"," -0.312527","  1.553230"," -0.370200"
"32"," -0.325019","  1.549333"," -0.388200"
"33"," -0.338844","  1.545151"," -0.406035"
"34"," -0.353888","  1.540580"," -0.423631"
"35"," -0.370016","  1.535529"," -0.440933"
"36"," -0.387078","  1.529915"," -0.457910"
"37"," -0.404912","  1.523671"," -0.474550"
"38"," -0.423347","  1.516740"," -0.490861"
"39"," -0.442212","  1.509078"," -0.506871"
"40"," -0.461338","  1.500655"," -0.522626"
"41"," -0.480569","  1.491454"," -0.538187"
"42"," -0.499770","  1.481475"," -0.553634"
"43"," -0.518838","  1.470738"," -0.569058"
"44"," -0.537712","  1.459288"," -0.584568"
"45"," -0.556386","  1.447195"," -0.600287"
"46"," -0.574913","  1.434559"," -0.616352"
"47"," -0.593403","  1.421496"," -0.632906"
"48"," -0.612023","  1.408134"," -0.650101"
"49"," -0.630975","  1.394588"," -0.668087"
"50"," -0.650481","  1.380937"," -0.687006"
"51"," -0.670764","  1.367208"," -0.706993"
"52"," -0.692031","  1.353354"," -0.728164"
"53"," -0.714465","  1.339251"," -0.750618"
"54"," -0.738226","  1.324707"," -0.774437"
"55"," -0.763445","  1.309471"," -0.799678"
"56"," -0.790232","  1.293249"," -0.826378"
"57"," -0.818671","  1.275727"," -0.854545"
"58"," -0.848817","  1.256583"," -0.884156"
"59"," -0.880697","  1.235511"," -0.915159"
"60"," -0.914305","  1.212228"," -0.947467"
"61"," -0.949598","  1.186492"," -0.980957"
"62"," -0.986500","  1.158106"," -1.015476"
"63"," -1.024899","  1.126925"," -1.050844"
"64"," -1.064649","  1.092860"," -1.086855"
"65"," -1.105575","  1.055877"," -1.123288"
"66"," -1.147482","  1.015994"," -1.159918"
"67"," -1.190155","  0.973277"," -1.196519"
"68"," -1.233372","  0.927841"," -1.232875"
"69"," -1.276911","  0.879840"," -1.268787"
"70"," -1.320558","  0.829467"," -1.304077"
"71"," -1.364114","  0.776943"," -1.338591"
"72"," -1.407401","  0.722510"," -1.372197"
"73"," -1.450262","  0.666418"," -1.404784"
"74"," -1.492557","  0.608915"," -1.436261"
"75"," -1.534164","  0.550238"," -1.466549"
"76"," -1.574969","  0.490603"," -1.495582"
"77"," -1.614860","  0.430201"," -1.523301"
"78"," -1.653725","  0.369196"," -1.549654"
"79"," -1.691443","  0.307723"," -1.574592"
"80"," -1.727883","  0.245893"," -1.598075"
"81"," -1.762904","  0.183793"," -1.620068"
"82"," -1.796347","  0.121489"," -1.640540"
"83"," -1.828045","  0.059027"," -1.659470"
"84"," -1.857816"," -0.003569"," -1.676845"
"85"," -1.885470"," -0.066292"," -1.692665"
"86"," -1.910808"," -0.129159"," -1.706939"
"87"," -1.933626"," -0.192205"," -1.719695"
"88"," -1.953724"," -0.255480"," -1.730973"
"89"," -1.970909"," -0.319045"," -1.740836"
"90"," -1.985006"," -0.382962"," -1.749365"
"91"," -1.995867"," -0.447291"," -1.756661"
"92"," -2.003374"," -0.512078"," -1.762841"
"93"," -2.007448"," -0.577352"," -1.768043"
"94"," -2.008054"," -0.643119"," -1.772409"
"95"," -2.005198"," -0.709352"," -1.776086"
"96"," -1.998935"," -0.775989"," -1.779212"
"97"," -1.989362"," -0.842925"," -1.781911"
"98"," -1.976622"," -0.910004"," -1.784280"
"99"," -1.960895"," -0.977021"," -1.786391"
"100"," -1.942400"," -1.043716"," -1.788281"
"101"," -1.921388"," -1.109777"," -1.789957"
"102"," -1.898135"," -1.174847"," -1.791391"
"103"," -1.872933"," -1.238533"," -1.792533"
"104"," -1.846086"," -1.300425"," -1.793303"
"105"," -1.817894"," -1.360108"," -1.793608"
