"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0","  0.369837","  0.436215"," -0.001948"
"1","  0.378939","  0.445090"," -0.002002"
"2","  0.387950","  0.453896"," -0.002275"
"3","  0.396934","  0.462412"," -0.002678"
"4","  0.405912","  0.470423"," -0.003123"
"5","  0.414861","  0.477728"," -0.003538"
"6","  0.423701","  0.484158"," -0.003867"
"7","  0.432305","  0.489578"," -0.004080"
"8","  0.440496","  0.493893"," -0.004177"
"9","  0.448061","  0.497055"," -0.004190"
"10","  0.454755","  0.499060"," -0.004181"
"11","  0.460315","  0.499946"," -0.004243"
"12","  0.464472","  0.499793"," -0.004490"
"13","  0.466959","  0.498713"," -0.005057"
"14","  0.467516","  0.496847"," -0.006093"
"15","  0.465901","  0.494348"," -0.007750"
"16","  0.461885","  0.491377"," -0.010183"
"17","  0.455257","  0.488082"," -0.013540"
"18","  0.445823","  0.484596"," -0.017962"
"19","  0.433404","  0.481025"," -0.023575"
"20","  0.417842","  0.477439"," -0.030491"
"21","  0.399003","  0.473876"," -0.038803"
"22","  0.376777","  0.470340"," -0.048583"
"23","  0.351088","  0.466804"," -0.059882"
"24","  0.321892","  0.463212"," -0.072726"
"25","  0.289181","  0.459489"," -0.087118"
"26","  0.252987","  0.455544"," -0.103034"
"27","  0.213376","  0.451278"," -0.120427"
"28","  0.170454","  0.446588"," -0.139227"
"29","  0.124363","  0.441373"," -0.159340"
"30","  0.075282","  0.435539"," -0.180655"
"31","  0.023427","  0.429000"," -0.203039"
"32"," -0.030949","  0.421688"," -0.226344"
"33"," -0.087560","  0.413554"," -0.250413"
"34"," -0.146085","  0.404569"," -0.275075"
"35"," -0.206181","  0.394726"," -0.300157"
"36"," -0.267481","  0.384036"," -0.325483"
"37"," -0.329605","  0.372524"," -0.350877"
"38"," -0.392163","  0.360230"," -0.376167"
"39"," -0.454765","  0.347201"," -0.401185"
"40"," -0.517021","  0.333492"," -0.425771"
"41"," -0.578552","  0.319162"," -0.449772"
"42"," -0.638998","  0.304276"," -0.473047"
"43"," -0.698022","  0.288893"," -0.495466"
"44"," -0.755320","  0.273075"," -0.516910"
"45"," -0.810633","  0.256875"," -0.537278"
"46"," -0.863751","  0.240345"," -0.556488"
"47"," -0.914524","  0.223533"," -0.574480"
"48"," -0.962871","  0.206481"," -0.591222"
"49"," -1.008779","  0.189228"," -0.606707"
"50"," -1.052302","  0.171806"," -0.620962"
"51"," -1.093553","  0.154236"," -0.634036"
"52"," -1.132691","  0.136525"," -0.646004"
"53"," -1.169901","  0.118660"," -0.656957"
"54"," -1.205376","  0.100614"," -0.667000"
"55"," -1.239298","  0.082344"," -0.676241"
"56"," -1.271823","  0.063800"," -0.684786"
"57"," -1.303067","  0.044931"," -0.692733"
"58"," -1.333101","  0.025695"," -0.700170"
"59"," -1.361946","  0.006069"," -0.707168"
"60"," -1.389577"," -0.013948"," -0.713780"
"61"," -1.415935"," -0.034324"," -0.720043"
"62"," -1.440930"," -0.054993"," -0.725977"
"63"," -1.464461"," -0.075850"," -0.731587"
"64"," -1.486420"," -0.096753"," -0.736865"
"65"," -1.506701"," -0.117519"," -0.741794"
"66"," -1.525200"," -0.137937"," -0.746346"
"67"," -1.541814"," -0.157773"," -0.750487"
"68"," -1.556450"," -0.176793"," -0.754176"
"69"," -1.569023"," -0.194780"," -0.757365"
"70"," -1.579465"," -0.211557"," -0.760009"
"71"," -1.587735"," -0.227006"," -0.762061"
"72"," -1.593818"," -0.241080"," -0.763481"
"73"," -1.597732"," -0.253808"," -0.764237"
"74"," -1.599521"," -0.265293"," -0.764312"
"75"," -1.599259"," -0.275702"," -0.763699"
"76"," -1.597041"," -0.285259"," -0.762415"
"77"," -1.592991"," -0.294222"," -0.760495"
"78"," -1.587255"," -0.302875"," -0.757995"
"79"," -1.580007"," -0.311504"," -0.754993"
"80"," -1.571443"," -0.320381"," -0.751588"
"81"," -1.561778"," -0.329748"," -0.747890"
"82"," -1.551243"," -0.339806"," -0.744021"
"83"," -1.540075"," -0.350697"," -0.740108"
"84"," -1.528514"," -0.362504"," -0.736276"
"85"," -1.516800"," -0.375251"," -0.732644"
"86"," -1.505163"," -0.388898"," -0.729319"
"87"," -1.493823"," -0.403355"," -0.726393"
"88"," -1.482982"," -0.418489"," -0.723937"
"89"," -1.472819"," -0.434133"," -0.721998"
"90"," -1.463484"," -0.450100"," -0.720601"
"91"," -1.455088"," -0.466191"," -0.719738"
"92"," -1.447697"," -0.482206"," -0.719377"
"93"," -1.441326"," -0.497950"," -0.719456"
"94"," -1.435934"," -0.513239"," -0.719887"
"95"," -1.431432"," -0.527902"," -0.720559"
"96"," -1.427678"," -0.541787"," -0.721343"
"97"," -1.424488"," -0.554761"," -0.722097"
"98"," -1.421647"," -0.566718"," -0.722671"
"99"," -1.418920"," -0.577578"," -0.722922"
"100"," -1.416069"," -0.587298"," -0.722717"
"101"," -1.412871"," -0.595875"," -0.721943"
"102"," -1.409138"," -0.603355"," -0.720523"
"103"," -1.404725"," -0.609834"," -0.718414"
"104"," -1.399548"," -0.615463"," -0.715622"
"105"," -1.393580"," -0.620431"," -0.712197"
"106"," -1.386852"," -0.624956"," -0.708231"
"107"," -1.379442"," -0.629264"," -0.703854"
"108"," -1.371466"," -0.633570"," -0.699220"
"109"," -1.363058"," -0.638066"," -0.694500"
"110"," -1.354365"," -0.642914"," -0.689865"
"111"," -1.345532"," -0.648239"," -0.685486"
"112"," -1.336689"," -0.654126"," -0.681515"
"113"," -1.327943"," -0.660620"," -0.678084"
"114"," -1.319370"," -0.667725"," -0.675291"
"115"," -1.311005"," -0.675406"," -0.673197"
"116"," -1.302843"," -0.683588"," -0.671827"
"117"," -1.294847"," -0.692169"," -0.671165"
"118"," -1.286952"," -0.701022"," -0.671162"
"119"," -1.279080"," -0.710007"," -0.671743"
"120"," -1.271149"," -0.718980"," -0.672810"
"121"," -1.263090"," -0.727806"," -0.674254"
"122"," -1.254855"," -0.736366"," -0.675965"
"123"," -1.246418"," -0.744567"," -0.677834"
"124"," -1.237787"," -0.752343"," -0.679764"
"125"," -1.228991"," -0.759660"," -0.681667"
"126"," -1.220086"," -0.766507"," -0.683470"
"127"," -1.211145"," -0.772902"," -0.685117"
"128"," -1.202253"," -0.778883"," -0.686565"
"129"," -1.193503"," -0.784507"," -0.687792"
"130"," -1.184990"," -0.789844"," -0.688787"
"131"," -1.176804"," -0.794975"," -0.689556"
"132"," -1.169022"," -0.799990"," -0.690116"
"133"," -1.161706"," -0.804983"," -0.690488"
"134"," -1.154900"," -0.810057"," -0.690700"
"135"," -1.148626"," -0.815316"," -0.690782"
"136"," -1.142887"," -0.820872"," -0.690763"
"137"," -1.137667"," -0.826835"," -0.690668"
"138"," -1.132936"," -0.833316"," -0.690522"
"139"," -1.128647"," -0.840421"," -0.690342"
"140"," -1.124743"," -0.848247"," -0.690143"
"141"," -1.121159"," -0.856882"," -0.689933"
"142"," -1.117827"," -0.866392"," -0.689718"
"143"," -1.114674"," -0.876821"," -0.689500"
"144"," -1.111634"," -0.888183"," -0.689280"
"145"," -1.108647"," -0.900459"," -0.689057"
"146"," -1.105662"," -0.913594"," -0.688832"
"147"," -1.102637"," -0.927504"," -0.688601"
"148"," -1.099537"," -0.942073"," -0.688364"
"149"," -1.096336"," -0.957164"," -0.688114"
"150"," -1.093012"," -0.972624"," -0.687845"
"151"," -1.089547"," -0.988293"," -0.687549"
