"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0","  0.180115"," -0.228820","  0.076001"
"1","  0.174205"," -0.216544","  0.066816"
"2","  0.168924"," -0.204489","  0.057424"
"3","  0.164416"," -0.192666","  0.048019"
"4","  0.160790"," -0.181079","  0.038788"
"5","  0.158115"," -0.169732","  0.029904"
"6","  0.156409"," -0.158638","  0.021515"
"7","  0.155633"," -0.147817","  0.013734"
"8","  0.155690"," -0.137308","  0.006636"
"9","  0.156420"," -0.127171","  0.000250"
"10","  0.157610"," -0.117490"," -0.005445"
"11","  0.159003"," -0.108374"," -0.010510"
"12","  0.160313"," -0.099952"," -0.015048"
"13","  0.161239"," -0.092368"," -0.019191"
"14","  0.161492"," -0.085770"," -0.023090"
"15","  0.160802"," -0.080295"," -0.026899"
"16","  0.158940"," -0.076054"," -0.030765"
"17","  0.155727"," -0.073119"," -0.034814"
"18","  0.151038"," -0.071513"," -0.039147"
"19","  0.144802"," -0.071203"," -0.043829"
"20","  0.137001"," -0.072101"," -0.048899"
"21","  0.127658"," -0.074077"," -0.054366"
"22","  0.116833"," -0.076968"," -0.060217"
"23","  0.104608"," -0.080598"," -0.066426"
"24","  0.091084"," -0.084794"," -0.072953"
"25","  0.076372"," -0.089400"," -0.079754"
"26","  0.060594"," -0.094291"," -0.086777"
"27","  0.043882"," -0.099385"," -0.093960"
"28","  0.026379"," -0.104643"," -0.101236"
"29","  0.008246"," -0.110077"," -0.108522"
"30"," -0.010337"," -0.115738"," -0.115726"
"31"," -0.029166"," -0.121713"," -0.122745"
"32"," -0.048015"," -0.128109"," -0.129469"
"33"," -0.066637"," -0.135039"," -0.135790"
"34"," -0.084773"," -0.142606"," -0.141607"
"35"," -0.102153"," -0.150894"," -0.146834"
"36"," -0.118515"," -0.159957"," -0.151406"
"37"," -0.133610"," -0.169821"," -0.155284"
"38"," -0.147213"," -0.180477"," -0.158455"
"39"," -0.159138"," -0.191891"," -0.160940"
"40"," -0.169241"," -0.204009"," -0.162783"
"41"," -0.177433"," -0.216759"," -0.164057"
"42"," -0.183675"," -0.230062"," -0.164853"
"43"," -0.187983"," -0.243827"," -0.165276"
"44"," -0.190420"," -0.257961"," -0.165438"
"45"," -0.191095"," -0.272364"," -0.165452"
"46"," -0.190156"," -0.286934"," -0.165428"
"47"," -0.187781"," -0.301574"," -0.165471"
"48"," -0.184174"," -0.316189"," -0.165675"
"49"," -0.179553"," -0.330693"," -0.166121"
"50"," -0.174145"," -0.345011"," -0.166878"
"51"," -0.168177"," -0.359083"," -0.167999"
"52"," -0.161871"," -0.372865"," -0.169523"
