"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0"," -0.346261","  1.182429"," -0.370871"
"1"," -0.386082","  1.177947"," -0.388137"
"2"," -0.427010","  1.173379"," -0.406180"
"3"," -0.468817","  1.168763"," -0.424792"
"4"," -0.511287","  1.164127"," -0.443755"
"5"," -0.554220","  1.159492"," -0.462847"
"6"," -0.597443","  1.154870"," -0.481854"
"7"," -0.640819","  1.150269"," -0.500575"
"8"," -0.684244","  1.145691"," -0.518832"
"9"," -0.727652","  1.141136"," -0.536468"
"10"," -0.771005","  1.136609"," -0.553350"
"11"," -0.814290","  1.132110"," -0.569372"
"12"," -0.857512","  1.127646"," -0.584446"
"13"," -0.900689","  1.123218"," -0.598508"
"14"," -0.943847","  1.118830"," -0.611513"
"15"," -0.987017","  1.114481"," -0.623436"
"16"," -1.030238","  1.110169"," -0.634273"
"17"," -1.073551","  1.105888"," -0.644039"
"18"," -1.116998","  1.101631"," -0.652767"
"19"," -1.160621","  1.097381"," -0.660510"
"20"," -1.204454","  1.093121"," -0.667331"
"21"," -1.248522","  1.088823"," -0.673310"
"22"," -1.292837","  1.084457"," -0.678531"
"23"," -1.337393","  1.079984"," -0.683086"
"24"," -1.382167","  1.075362"," -0.687069"
"25"," -1.427113","  1.070550"," -0.690574"
"26"," -1.472165","  1.065504"," -0.693694"
"27"," -1.517235","  1.060188"," -0.696517"
"28"," -1.562216","  1.054576"," -0.699124"
"29"," -1.606981","  1.048654"," -0.701590"
"30"," -1.651388","  1.042425"," -0.703978"
"31"," -1.695283","  1.035909"," -0.706341"
"32"," -1.738502","  1.029145"," -0.708719"
"33"," -1.780880","  1.022182"," -0.711139"
"34"," -1.822249","  1.015079"," -0.713615"
"35"," -1.862444","  1.007895"," -0.716149"
"36"," -1.901305","  1.000683"," -0.718729"
"37"," -1.938679","  0.993480"," -0.721333"
"38"," -1.974422","  0.986304"," -0.723928"
"39"," -2.008398","  0.979145"," -0.726468"
"40"," -2.040485","  0.971967"," -0.728906"
"41"," -2.070576","  0.964707"," -0.731188"
"42"," -2.098588","  0.957280"," -0.733265"
"43"," -2.124463","  0.949584"," -0.735097"
"44"," -2.148182","  0.941514"," -0.736659"
"45"," -2.169758","  0.932967"," -0.737945"
"46"," -2.189241","  0.923848"," -0.738973"
"47"," -2.206715","  0.914081"," -0.739778"
"48"," -2.222283","  0.903604"," -0.740412"
"49"," -2.236069","  0.892378"," -0.740938"
"50"," -2.248200","  0.880379"," -0.741423"
"51"," -2.258806","  0.867605"," -0.741932"
"52"," -2.268003","  0.854068"," -0.742520"
"53"," -2.275898","  0.839802"," -0.743230"
"54"," -2.282576","  0.824854"," -0.744091"
"55"," -2.288101","  0.809286"," -0.745112"
"56"," -2.292517","  0.793170"," -0.746291"
"57"," -2.295849","  0.776588"," -0.747608"
"58"," -2.298106","  0.759624"," -0.749038"
"59"," -2.299292","  0.742361"," -0.750551"
"60"," -2.299405","  0.724882"," -0.752119"
"61"," -2.298451","  0.707261"," -0.753721"
"62"," -2.296442","  0.689573"," -0.755336"
"63"," -2.293401","  0.671888"," -0.756954"
"64"," -2.289369","  0.654277"," -0.758563"
"65"," -2.284401","  0.636816"," -0.760156"
"66"," -2.278573","  0.619581"," -0.761723"
"67"," -2.271977","  0.602653"," -0.763254"
"68"," -2.264719","  0.586112"," -0.764735"
"69"," -2.256921","  0.570036"," -0.766149"
"70"," -2.248711","  0.554496"," -0.767474"
"71"," -2.240226","  0.539557"," -0.768684"
"72"," -2.231600","  0.525269"," -0.769750"
"73"," -2.222969","  0.511670"," -0.770642"
"74"," -2.214458","  0.498781"," -0.771329"
"75"," -2.206188","  0.486609"," -0.771781"
"76"," -2.198264","  0.475148"," -0.771970"
"77"," -2.190782","  0.464382"," -0.771872"
"78"," -2.183824","  0.454289"," -0.771465"
"79"," -2.177455","  0.444848"," -0.770729"
"80"," -2.171728","  0.436045"," -0.769645"
"81"," -2.166679","  0.427869"," -0.768195"
"82"," -2.162326","  0.420323"," -0.766357"
"83"," -2.158671","  0.413416"," -0.764111"
"84"," -2.155703","  0.407167"," -0.761436"
"85"," -2.153392","  0.401603"," -0.758310"
"86"," -2.151701","  0.396758"," -0.754714"
"87"," -2.150583","  0.392664"," -0.750635"
"88"," -2.149983","  0.389357"," -0.746063"
"89"," -2.149844","  0.386866"," -0.741001"
"90"," -2.150109","  0.385218"," -0.735457"
"91"," -2.150716","  0.384430"," -0.729448"
"92"," -2.151606","  0.384513"," -0.722998"
"93"," -2.152714","  0.385472"," -0.716134"
"94"," -2.153973","  0.387299"," -0.708887"
"95"," -2.155309","  0.389985"," -0.701285"
"96"," -2.156645","  0.393511"," -0.693359"
"97"," -2.157899","  0.397864"," -0.685133"
"98"," -2.158986","  0.403032"," -0.676630"
"99"," -2.159815","  0.409014"," -0.667867"
"100"," -2.160297","  0.415819"," -0.658858"
"101"," -2.160341","  0.423465"," -0.649611"
"102"," -2.159850","  0.431979"," -0.640133"
"103"," -2.158730","  0.441391"," -0.630426"
"104"," -2.156875","  0.451721"," -0.620490"
"105"," -2.154175","  0.462979"," -0.610327"
"106"," -2.150512","  0.475153"," -0.599935"
"107"," -2.145760","  0.488203"," -0.589317"
"108"," -2.139783","  0.502062"," -0.578477"
"109"," -2.132445","  0.516631"," -0.567420"
"110"," -2.123614","  0.531787"," -0.556158"
"111"," -2.113164","  0.547385"," -0.544705"
"112"," -2.100988","  0.563265"," -0.533082"
"113"," -2.087006","  0.579266"," -0.521313"
"114"," -2.071168","  0.595230"," -0.509425"
"115"," -2.053465","  0.611014"," -0.497450"
"116"," -2.033934","  0.626504"," -0.485420"
"117"," -2.012658","  0.641627"," -0.473368"
"118"," -1.989769","  0.656365"," -0.461325"
"119"," -1.965442","  0.670767"," -0.449317"
"120"," -1.939882","  0.684962"," -0.437362"
"121"," -1.913314","  0.699160"," -0.425465"
"122"," -1.885954","  0.713661"," -0.413615"
"123"," -1.857995","  0.728849"," -0.401783"
"124"," -1.829574","  0.745183"," -0.389916"
"125"," -1.800749","  0.763184"," -0.377946"
"126"," -1.771477","  0.783410"," -0.365785"
"127"," -1.741593","  0.806425"," -0.353339"
"128"," -1.710801","  0.832765"," -0.340511"
"129"," -1.678673","  0.862902"," -0.327216"
"130"," -1.644654","  0.897207"," -0.313392"
"131"," -1.608082","  0.935915"," -0.299006"
"132"," -1.568214","  0.979100"," -0.284070"
"133"," -1.524253","  1.026642"," -0.268645"
"134"," -1.475389","  1.078219"," -0.252842"
"135"," -1.420841","  1.133293"," -0.236828"
"136"," -1.359900","  1.191122"," -0.220818"
"137"," -1.291975","  1.250773"," -0.205074"
"138"," -1.216633","  1.311155"," -0.189893"
