"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0"," -0.595549","  1.412963"," -0.897961"
"1"," -0.528209","  1.395343"," -0.854716"
"2"," -0.460534","  1.378198"," -0.811476"
"3"," -0.393011","  1.361628"," -0.768610"
"4"," -0.326112","  1.345731"," -0.726479"
"5"," -0.260291","  1.330606"," -0.685435"
"6"," -0.195980","  1.316355"," -0.645813"
"7"," -0.133588","  1.303079"," -0.607930"
"8"," -0.073495","  1.290881"," -0.572088"
"9"," -0.016058","  1.279860"," -0.538565"
"10","  0.038396","  1.270109"," -0.507616"
"11","  0.089566","  1.261713"," -0.479475"
"12","  0.137180","  1.254740"," -0.454348"
"13","  0.180994","  1.249241"," -0.432417"
"14","  0.220789","  1.245246"," -0.413834"
"15","  0.256376","  1.242761"," -0.398722"
"16","  0.287594","  1.241766"," -0.387175"
"17","  0.314307","  1.242218"," -0.379256"
"18","  0.336407","  1.244049"," -0.375000"
"19","  0.353810","  1.247169"," -0.374412"
"20","  0.366453","  1.251468"," -0.377474"
"21","  0.374292","  1.256818"," -0.384147"
"22","  0.377296","  1.263078"," -0.394374"
"23","  0.375445","  1.270093"," -0.408092"
"24","  0.368721","  1.277701"," -0.425230"
"25","  0.357101","  1.285732"," -0.445726"
"26","  0.340553","  1.294011"," -0.469525"
"27","  0.319027","  1.302355"," -0.496594"
"28","  0.292451","  1.310574"," -0.526920"
"29","  0.260724","  1.318465"," -0.560518"
"30","  0.223717","  1.325814"," -0.597431"
"31","  0.181271","  1.332385"," -0.637728"
"32","  0.133206","  1.337925"," -0.681500"
"33","  0.079323","  1.342151"," -0.728849"
"34","  0.019421","  1.344760"," -0.779882"
"35"," -0.046694","  1.345418"," -0.834693"
"36"," -0.119194","  1.343770"," -0.893353"
"37"," -0.198215","  1.339432"," -0.955897"
"38"," -0.283843","  1.332001"," -1.022316"
"39"," -0.376107","  1.321055"," -1.092538"
"40"," -0.474961","  1.306154"," -1.166431"
"41"," -0.580285","  1.286849"," -1.243787"
"42"," -0.691870","  1.262684"," -1.324323"
"43"," -0.809416","  1.233211"," -1.407676"
"44"," -0.932527","  1.197999"," -1.493406"
"45"," -1.060707","  1.156652"," -1.580997"
"46"," -1.193361","  1.108831"," -1.669860"
"47"," -1.329794","  1.054267"," -1.759348"
"48"," -1.469222","  0.992791"," -1.848761"
"49"," -1.610774","  0.924343"," -1.937365"
"50"," -1.753510","  0.848992"," -2.024403"
"51"," -1.896433","  0.766943"," -2.109114"
"52"," -2.038511","  0.678548"," -2.190752"
"53"," -2.178690","  0.584300"," -2.268600"
"54"," -2.315924","  0.484831"," -2.341993"
"55"," -2.449186","  0.380904"," -2.410334"
"56"," -2.577497","  0.273393"," -2.473106"
"57"," -2.699938","  0.163265"," -2.529888"
"58"," -2.815672","  0.051553"," -2.580356"
"59"," -2.923955"," -0.060670"," -2.624288"
"60"," -3.024149"," -0.172331"," -2.661569"
"61"," -3.115732"," -0.282384"," -2.692179"
"62"," -3.198300"," -0.389851"," -2.716200"
"63"," -3.271577"," -0.493852"," -2.733801"
"64"," -3.335411"," -0.593634"," -2.745235"
"65"," -3.389775"," -0.688593"," -2.750828"
"66"," -3.434760"," -0.778295"," -2.750971"
"67"," -3.470569"," -0.862479"," -2.746108"
"68"," -3.497508"," -0.941069"," -2.736721"
"69"," -3.515972"," -1.014159"," -2.723325"
"70"," -3.526432"," -1.082009"," -2.706452"
"71"," -3.529422"," -1.145024"," -2.686645"
"72"," -3.525526"," -1.203726"," -2.664445"
"73"," -3.515366"," -1.258736"," -2.640383"
"74"," -3.499588"," -1.310740"," -2.614971"
"75"," -3.478856"," -1.360467"," -2.588696"
"76"," -3.453839"," -1.408657"," -2.562008"
"77"," -3.425205"," -1.456039"," -2.535322"
"78"," -3.393609"," -1.503297"," -2.509005"
"79"," -3.359685"," -1.551058"," -2.483379"
"80"," -3.324041"," -1.599863"," -2.458711"
"81"," -3.287246"," -1.650157"," -2.435216"
"82"," -3.249825"," -1.702275"," -2.413052"
"83"," -3.212256"," -1.756440"," -2.392322"
"84"," -3.174967"," -1.812756"," -2.373076"
