"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0","  0.824249","  0.390616","  0.566316"
"1","  0.808952","  0.387114","  0.548824"
"2","  0.793561","  0.383262","  0.531300"
"3","  0.778221","  0.378983","  0.513886"
"4","  0.763067","  0.374224","  0.496719"
"5","  0.748222","  0.368962","  0.479925"
"6","  0.733794","  0.363208","  0.463620"
"7","  0.719870","  0.356999","  0.447904"
"8","  0.706519","  0.350402","  0.432865"
"9","  0.693789","  0.343503","  0.418569"
"10","  0.681708","  0.336406","  0.405069"
"11","  0.670287","  0.329223","  0.392397"
"12","  0.659517","  0.322070","  0.380569"
"13","  0.649378","  0.315060","  0.369583"
"14","  0.639836","  0.308292","  0.359421"
"15","  0.630850","  0.301858","  0.350048"
"16","  0.622366","  0.295830","  0.341416"
"17","  0.614326","  0.290268","  0.333462"
"18","  0.606665","  0.285211","  0.326109"
"19","  0.599312","  0.280685","  0.319273"
"20","  0.592199","  0.276698","  0.312864"
"21","  0.585255","  0.273245","  0.306790"
"22","  0.578418","  0.270307","  0.300965"
"23","  0.571630","  0.267858","  0.295309"
"24","  0.564842","  0.265862","  0.289753"
"25","  0.558013","  0.264277","  0.284238"
"26","  0.551106","  0.263061","  0.278716"
"27","  0.544093","  0.262171","  0.273151"
"28","  0.536952","  0.261568","  0.267520"
"29","  0.529665","  0.261218","  0.261807"
"30","  0.522222","  0.261095","  0.256012"
"31","  0.514624","  0.261184","  0.250145"
"32","  0.506876","  0.261479","  0.244228"
"33","  0.498995","  0.261987","  0.238297"
"34","  0.491008","  0.262724","  0.232395"
"35","  0.482951","  0.263712","  0.226575"
"36","  0.474864","  0.264983","  0.220891"
"37","  0.466791","  0.266569","  0.215400"
"38","  0.458777","  0.268504","  0.210153"
"39","  0.450858","  0.270823","  0.205195"
"40","  0.443068","  0.273552","  0.200558"
"41","  0.435428","  0.276712","  0.196261"
"42","  0.427953","  0.280314","  0.192309"
"43","  0.420647","  0.284360","  0.188695"
"44","  0.413503","  0.288841","  0.185398"
"45","  0.406507","  0.293742","  0.182387"
"46","  0.399636","  0.299047","  0.179623"
"47","  0.392859","  0.304740","  0.177060"
