"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0","  0.303490","  0.415396","  0.162190"
"1","  0.304243","  0.414611","  0.162246"
"2","  0.304859","  0.413976","  0.162261"
"3","  0.305306","  0.413535","  0.162231"
"4","  0.305563","  0.413316","  0.162155"
"5","  0.305622","  0.413331","  0.162034"
"6","  0.305486","  0.413575","  0.161872"
"7","  0.305173","  0.414023","  0.161677"
"8","  0.304710","  0.414636","  0.161457"
"9","  0.304137","  0.415360","  0.161227"
"10","  0.303504","  0.416134","  0.160998"
"11","  0.302865","  0.416889","  0.160787"
"12","  0.302278","  0.417555","  0.160609"
"13","  0.301800","  0.418065","  0.160478"
"14","  0.301486","  0.418357","  0.160406"
"15","  0.301379","  0.418375","  0.160402"
"16","  0.301515","  0.418078","  0.160475"
"17","  0.301918","  0.417431","  0.160628"
"18","  0.302598","  0.416415","  0.160861"
"19","  0.303552","  0.415019","  0.161169"
"20","  0.304763","  0.413243","  0.161546"
"21","  0.306207","  0.411097","  0.161978"
"22","  0.307849","  0.408599","  0.162452"
"23","  0.309651","  0.405778","  0.162950"
"24","  0.311570","  0.402670","  0.163455"
"25","  0.313562","  0.399322","  0.163949"
"26","  0.315580","  0.395787","  0.164414"
"27","  0.317578","  0.392127","  0.164833"
"28","  0.319511","  0.388403","  0.165191"
"29","  0.321336","  0.384678","  0.165474"
"30","  0.323013","  0.381009","  0.165670"
"31","  0.324506","  0.377445","  0.165772"
"32","  0.325789","  0.374025","  0.165775"
"33","  0.326841","  0.370775","  0.165676"
"34","  0.327650","  0.367712","  0.165476"
"35","  0.328213","  0.364838","  0.165181"
"36","  0.328534","  0.362146","  0.164798"
"37","  0.328628","  0.359624","  0.164336"
"38","  0.328515","  0.357256","  0.163808"
"39","  0.328224","  0.355028","  0.163229"
"40","  0.327788","  0.352926","  0.162618"
"41","  0.327246","  0.350940","  0.161993"
"42","  0.326642","  0.349065","  0.161375"
"43","  0.326022","  0.347297","  0.160786"
"44","  0.325432","  0.345633","  0.160247"
"45","  0.324916","  0.344075","  0.159778"
"46","  0.324515","  0.342623","  0.159396"
"47","  0.324261","  0.341277","  0.159116"
"48","  0.324177","  0.340038","  0.158946"
"49","  0.324278","  0.338907","  0.158892"
"50","  0.324565","  0.337882","  0.158954"
"51","  0.325032","  0.336963","  0.159129"
"52","  0.325666","  0.336148","  0.159407"
"53","  0.326447","  0.335432","  0.159778"
"54","  0.327354","  0.334808","  0.160228"
"55","  0.328364","  0.334266","  0.160744"
"56","  0.329456","  0.333796","  0.161310"
"57","  0.330610","  0.333386","  0.161913"
"58","  0.331807","  0.333025","  0.162540"
"59","  0.333032","  0.332706","  0.163181"
"60","  0.334269","  0.332425","  0.163826"
"61","  0.335503","  0.332183","  0.164467"
"62","  0.336721","  0.331989","  0.165099"
"63","  0.337910","  0.331854","  0.165718"
"64","  0.339059","  0.331792","  0.166321"
"65","  0.340160","  0.331818","  0.166908"
"66","  0.341203","  0.331940","  0.167476"
"67","  0.342183","  0.332160","  0.168023"
"68","  0.343093","  0.332471","  0.168548"
"69","  0.343925","  0.332856","  0.169043"
"70","  0.344673","  0.333286","  0.169504"
"71","  0.345331","  0.333728","  0.169922"
"72","  0.345891","  0.334144","  0.170292"
"73","  0.346352","  0.334495","  0.170605"
"74","  0.346714","  0.334746","  0.170858"
"75","  0.346980","  0.334871","  0.171049"
"76","  0.347155","  0.334856","  0.171178"
"77","  0.347248","  0.334697","  0.171246"
"78","  0.347267","  0.334409","  0.171260"
"79","  0.347220","  0.334015","  0.171226"
"80","  0.347117","  0.333548","  0.171150"
"81","  0.346965","  0.333048","  0.171039"
"82","  0.346772","  0.332551","  0.170901"
"83","  0.346545","  0.332092","  0.170743"
"84","  0.346292","  0.331695","  0.170570"
"85","  0.346020","  0.331375","  0.170386"
"86","  0.345737","  0.331136","  0.170196"
"87","  0.345449","  0.330968","  0.170003"
"88","  0.345164","  0.330854","  0.169809"
"89","  0.344891","  0.330768","  0.169619"
"90","  0.344640","  0.330678","  0.169434"
"91","  0.344421","  0.330549","  0.169259"
"92","  0.344245","  0.330345","  0.169099"
"93","  0.344123","  0.330033","  0.168959"
"94","  0.344063","  0.329582","  0.168843"
"95","  0.344073","  0.328967","  0.168754"
"96","  0.344153","  0.328174","  0.168695"
"97","  0.344301","  0.327197","  0.168668"
"98","  0.344509","  0.326045","  0.168671"
"99","  0.344762","  0.324736","  0.168703"
"100","  0.345043","  0.323303","  0.168758"
"101","  0.345327","  0.321785","  0.168831"
"102","  0.345590","  0.320232","  0.168915"
"103","  0.345803","  0.318695","  0.169001"
"104","  0.345940","  0.317228","  0.169077"
"105","  0.345975","  0.315880","  0.169134"
"106","  0.345890","  0.314698","  0.169161"
"107","  0.345668","  0.313721","  0.169149"
"108","  0.345301","  0.312980","  0.169089"
"109","  0.344788","  0.312495","  0.168975"
"110","  0.344134","  0.312276","  0.168804"
"111","  0.343350","  0.312326","  0.168575"
"112","  0.342449","  0.312634","  0.168288"
"113","  0.341449","  0.313184","  0.167948"
"114","  0.340365","  0.313949","  0.167557"
"115","  0.339216","  0.314897","  0.167123"
"116","  0.338017","  0.315992","  0.166650"
"117","  0.336781","  0.317193","  0.166145"
"118","  0.335520","  0.318459","  0.165615"
"119","  0.334242","  0.319747","  0.165067"
"120","  0.332958","  0.321016","  0.164508"
"121","  0.331673","  0.322227","  0.163945"
"122","  0.330397","  0.323339","  0.163384"
"123","  0.329138","  0.324316","  0.162832"
"124","  0.327905","  0.325120","  0.162296"
"125","  0.326707","  0.325716","  0.161781"
"126","  0.325557","  0.326073","  0.161292"
"127","  0.324464","  0.326167","  0.160832"
"128","  0.323441","  0.325982","  0.160404"
"129","  0.322500","  0.325513","  0.160009"
"130","  0.321652","  0.324768","  0.159650"
"131","  0.320908","  0.323768","  0.159328"
"132","  0.320274","  0.322548","  0.159043"
"133","  0.319755","  0.321157","  0.158794"
"134","  0.319351","  0.319653","  0.158581"
"135","  0.319055","  0.318102","  0.158401"
"136","  0.318862","  0.316575","  0.158253"
"137","  0.318758","  0.315139","  0.158132"
"138","  0.318733","  0.313858","  0.158034"
"139","  0.318771","  0.312788","  0.157955"
"140","  0.318860","  0.311970","  0.157890"
"141","  0.318986","  0.311435","  0.157834"
"142","  0.319136","  0.311198","  0.157781"
"143","  0.319296","  0.311258","  0.157725"
"144","  0.319456","  0.311600","  0.157660"
"145","  0.319604","  0.312197","  0.157581"
"146","  0.319734","  0.313006","  0.157483"
"147","  0.319838","  0.313974","  0.157363"
"148","  0.319916","  0.315041","  0.157219"
"149","  0.319964","  0.316138","  0.157052"
"150","  0.319983","  0.317192","  0.156862"
"151","  0.319973","  0.318131","  0.156652"
"152","  0.319935","  0.318885","  0.156428"
"153","  0.319869","  0.319394","  0.156196"
"154","  0.319777","  0.319608","  0.155965"
"155","  0.319662","  0.319490","  0.155742"
"156","  0.319524","  0.319021","  0.155538"
"157","  0.319363","  0.318197","  0.155360"
"158","  0.319182","  0.317033","  0.155219"
"159","  0.318985","  0.315555","  0.155120"
"160","  0.318778","  0.313809","  0.155069"
"161","  0.318572","  0.311849","  0.155073"
"162","  0.318382","  0.309740","  0.155135"
"163","  0.318224","  0.307554","  0.155258"
"164","  0.318118","  0.305368","  0.155445"
"165","  0.318083","  0.303256","  0.155694"
"166","  0.318136","  0.301294","  0.156004"
"167","  0.318291","  0.299553","  0.156370"
"168","  0.318558","  0.298095","  0.156784"
"169","  0.318939","  0.296975","  0.157237"
"170","  0.319431","  0.296235","  0.157719"
"171","  0.320024","  0.295901","  0.158218"
"172","  0.320701","  0.295984","  0.158721"
"173","  0.321444","  0.296479","  0.159218"
"174","  0.322228","  0.297363","  0.159697"
"175","  0.323031","  0.298599","  0.160149"
"176","  0.323829","  0.300130","  0.160566"
"177","  0.324605","  0.301889","  0.160943"
"178","  0.325346","  0.303794","  0.161276"
"179","  0.326043","  0.305754","  0.161567"
"180","  0.326698","  0.307673","  0.161814"
"181","  0.327313","  0.309452","  0.162020"
"182","  0.327898","  0.310993","  0.162189"
"183","  0.328462","  0.312206","  0.162321"
"184","  0.329015","  0.313016","  0.162418"
"185","  0.329562","  0.313363","  0.162479"
"186","  0.330103","  0.313215","  0.162504"
"187","  0.330632","  0.312569","  0.162489"
"188","  0.331133","  0.311453","  0.162431"
"189","  0.331587","  0.309923","  0.162327"
"190","  0.331972","  0.308058","  0.162173"
"191","  0.332264","  0.305952","  0.161966"
"192","  0.332442","  0.303712","  0.161706"
"193","  0.332488","  0.301445","  0.161392"
"194","  0.332388","  0.299253","  0.161027"
"195","  0.332135","  0.297232","  0.160614"
"196","  0.331724","  0.295465","  0.160157"
"197","  0.331157","  0.294018","  0.159661"
"198","  0.330441","  0.292937","  0.159132"
"199","  0.329588","  0.292253","  0.158576"
"200","  0.328614","  0.291973","  0.157999"
"201","  0.327540","  0.292088","  0.157408"
"202","  0.326391","  0.292569","  0.156810"
"203","  0.325196","  0.293371","  0.156209"
"204","  0.323987","  0.294438","  0.155614"
"205","  0.322794","  0.295702","  0.155029"
"206","  0.321650","  0.297092","  0.154464"
"207","  0.320583","  0.298540","  0.153923"
"208","  0.319614","  0.299980","  0.153415"
"209","  0.318762","  0.301353","  0.152945"
"210","  0.318036","  0.302610","  0.152520"
"211","  0.317442","  0.303710","  0.152144"
"212","  0.316980","  0.304620","  0.151821"
"213","  0.316644","  0.305315","  0.151555"
"214","  0.316425","  0.305779","  0.151348"
"215","  0.316313","  0.306006","  0.151202"
"216","  0.316293","  0.305998","  0.151118"
"217","  0.316349","  0.305765","  0.151093"
"218","  0.316463","  0.305326","  0.151125"
"219","  0.316617","  0.304705","  0.151212"
