"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0"," -0.182630","  1.094905"," -0.206532"
"1"," -0.179361","  1.100882"," -0.204926"
"2"," -0.176004","  1.106679"," -0.203329"
"3"," -0.172600","  1.112136"," -0.201772"
"4"," -0.169187","  1.117122"," -0.200282"
"5"," -0.165802","  1.121539"," -0.198883"
"6"," -0.162481","  1.125323"," -0.197593"
"7"," -0.159260","  1.128441"," -0.196429"
"8"," -0.156180","  1.130886"," -0.195403"
"9"," -0.153285","  1.132669"," -0.194527"
"10"," -0.150617","  1.133814"," -0.193806"
"11"," -0.148218","  1.134350"," -0.193245"
"12"," -0.146123","  1.134305"," -0.192843"
"13"," -0.144353","  1.133702"," -0.192595"
"14"," -0.142913","  1.132562"," -0.192492"
"15"," -0.141780","  1.130902"," -0.192518"
"16"," -0.140904","  1.128740"," -0.192652"
"17"," -0.140197","  1.126096"," -0.192863"
"18"," -0.139535","  1.122995"," -0.193111"
"19"," -0.138752","  1.119471"," -0.193341"
"20"," -0.137645","  1.115563"," -0.193486"
"21"," -0.135973","  1.111319"," -0.193459"
"22"," -0.133458","  1.106799"," -0.193152"
"23"," -0.129787","  1.102075"," -0.192437"
"24"," -0.124615","  1.097235"," -0.191163"
"25"," -0.117569","  1.092382"," -0.189160"
"26"," -0.108260","  1.087633"," -0.186240"
"27"," -0.096288","  1.083113"," -0.182206"
"28"," -0.081256","  1.078955"," -0.176857"
"29"," -0.062784","  1.075295"," -0.169996"
"30"," -0.040516","  1.072268"," -0.161439"
"31"," -0.014135","  1.070008"," -0.151025"
"32","  0.016619","  1.068643"," -0.138621"
"33","  0.051937","  1.068293"," -0.124138"
"34","  0.091924","  1.069064"," -0.107529"
"35","  0.136577","  1.071045"," -0.088806"
"36","  0.185777","  1.074302"," -0.068039"
"37","  0.239272","  1.078873"," -0.045362"
"38","  0.296674","  1.084768"," -0.020972"
"39","  0.357461","  1.091967","  0.004872"
"40","  0.420979","  1.100422","  0.031854"
"41","  0.486455","  1.110060","  0.059606"
"42","  0.553009","  1.120780","  0.087716"
"43","  0.619669","  1.132462","  0.115733"
"44","  0.685397","  1.144964","  0.143176"
"45","  0.749110","  1.158126","  0.169541"
"46","  0.809699","  1.171774","  0.194312"
"47","  0.866062","  1.185722","  0.216969"
"48","  0.917116","  1.199774","  0.236996"
"49","  0.961826","  1.213728","  0.253891"
"50","  0.999216","  1.227376","  0.267170"
"51","  1.028385","  1.240511","  0.276376"
"52","  1.048522","  1.252924","  0.281081"
"53","  1.058906","  1.264410","  0.280895"
"54","  1.058915","  1.274760","  0.275463"
"55","  1.048029","  1.283767","  0.264475"
"56","  1.025825","  1.291218","  0.247663"
"57","  0.991977","  1.296898","  0.224809"
"58","  0.946256","  1.300583","  0.195745"
"59","  0.888522","  1.302040","  0.160357"
"60","  0.818728","  1.301020","  0.118588"
"61","  0.736913","  1.297252","  0.070438"
"62","  0.643207","  1.290449","  0.015967"
"63","  0.537831","  1.280299"," -0.044699"
"64","  0.421099","  1.266474"," -0.111375"
"65","  0.293418","  1.248637"," -0.183808"
"66","  0.155293","  1.226449"," -0.261680"
"67","  0.007321","  1.199578"," -0.344607"
"68"," -0.149804","  1.167710"," -0.432138"
"69"," -0.315291","  1.130561"," -0.523760"
"70"," -0.488255","  1.087889"," -0.618893"
"71"," -0.667716","  1.039505"," -0.716904"
"72"," -0.852603","  0.985286"," -0.817102"
"73"," -1.041760","  0.925192"," -0.918755"
"74"," -1.233962","  0.859276"," -1.021094"
"75"," -1.427924","  0.787699"," -1.123329"
"76"," -1.622320","  0.710743"," -1.224662"
"77"," -1.815809","  0.628817"," -1.324302"
"78"," -2.007052","  0.542462"," -1.421488"
"79"," -2.194742","  0.452353"," -1.515503"
